rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 92.1 93.0 0.20652173 0.25515428 0.3152174 0.8255814 0.89069766 0.94186044
100 0.27 0.37399998 0.45 1.0 104.4 108.0 0.2970297 0.33794492 0.37254903 0.8488372 0.89069766 0.95348835
200 0.35 0.43400002 0.5 1.0 105.7 113.0 0.38317758 0.423952 0.46153846 0.81395346 0.8476745 0.88372093
300 0.45 0.48966664 0.52666664 1.0 106.1 116.0 0.43809524 0.47898808 0.53333336 0.75581396 0.8162791 0.872093
400 0.5 0.53774995 0.5775 1.0 105.5 114.0 0.4649123 0.5243221 0.5769231 0.7093023 0.81860465 0.9186047
500 0.514 0.56500006 0.612 1.0 103.5 111.0 0.5315315 0.5819455 0.62857145 0.76744187 0.8034884 0.8372093
600 0.53833336 0.592 0.62333333 1.0 101.9 109.0 0.5904762 0.628969 0.6875 0.7209302 0.79767436 0.88372093
700 0.55857146 0.6142857 0.64857143 1.0 99.8 110.0 0.6181818 0.6694604 0.7083333 0.7209302 0.77441865 0.8255814
800 0.5875 0.635625 0.65625 1.0 99.5 110.0 0.6272727 0.6949954 0.7419355 0.68604654 0.76395357 0.8255814
900 0.61444443 0.65555555 0.6811111 1.0 97.2 106.0 0.6761905 0.7198055 0.78409094 0.6976744 0.772093 0.8488372
1000 0.636 0.6719 0.694 1.0 97.0 103.0 0.6969697 0.7371259 0.7802198 0.6744186 0.7546512 0.8255814
1100 0.65 0.6865455 0.7081818 1.0 95.6 100.0 0.72164947 0.75864756 0.7912088 0.7093023 0.7523256 0.8023256
1200 0.66333336 0.70133334 0.7241667 1.0 93.7 100.0 0.75 0.78838074 0.82758623 0.7093023 0.75581396 0.8023256
1300 0.6807692 0.71469235 0.7369231 1.0 92.0 96.0 0.7659575 0.8080204 0.8494624 0.6744186 0.7383721 0.7906977
1400 0.69785714 0.7270714 0.7442857 1.0 90.9 95.0 0.76842105 0.82463896 0.86904764 0.6744186 0.7337209 0.7906977
1500 0.71 0.73820007 0.75266665 1.0 89.7 95.0 0.7802198 0.8455156 0.9111111 0.6744186 0.72325575 0.76744187
1600 0.71875 0.7480625 0.76375 1.0 88.0 94.0 0.8021978 0.8665336 0.9318182 0.627907 0.7186047 0.7790698
1700 0.7311765 0.7574118 0.7717647 1.0 86.9 93.0 0.82758623 0.8784506 0.9425287 0.61627907 0.7023255 0.7790698
1800 0.74333334 0.7670556 0.7827778 1.0 85.9 91.0 0.82222223 0.89091176 0.9318182 0.627907 0.7034884 0.7790698
1900 0.7531579 0.776158 0.79210526 1.0 85.8 89.0 0.8636364 0.8963453 0.95348835 0.627907 0.69767445 0.75581396
