rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 92.0 93.0 0.20652173 0.25441343 0.30769232 0.8255814 0.8860465 0.94186044
100 0.19 0.338 0.39 1.0 97.5 101.0 0.25742576 0.3014837 0.35643566 0.7906977 0.8709302 0.90697676
200 0.335 0.37699997 0.425 1.0 96.1 103.0 0.2815534 0.33773404 0.41111112 0.7209302 0.81279075 0.872093
300 0.36 0.41500002 0.45666668 1.0 90.9 101.0 0.33663365 0.39897537 0.4625 0.68604654 0.7523256 0.81395346
400 0.38 0.4415 0.48 1.0 87.0 95.0 0.3617021 0.4502623 0.50617284 0.60465115 0.68953484 0.75581396
500 0.424 0.46699995 0.498 1.0 80.5 88.0 0.42352942 0.5080842 0.5810811 0.5697674 0.6546512 0.75581396
600 0.46666667 0.49333334 0.52 1.0 76.8 81.0 0.5070422 0.5558573 0.6052632 0.4883721 0.6232558 0.7209302
700 0.48857144 0.5137143 0.54285717 1.0 74.0 82.0 0.55 0.59910905 0.70149255 0.5 0.583721 0.6511628
800 0.50875 0.535875 0.56625 1.0 71.3 84.0 0.575 0.65186036 0.7846154 0.4651163 0.56046516 0.6511628
900 0.53555554 0.5598889 0.58555555 1.0 71.1 85.0 0.6233766 0.67997545 0.7647059 0.43023255 0.54186046 0.60465115
1000 0.558 0.58129996 0.603 1.0 69.3 80.0 0.65753424 0.7239502 0.8235294 0.43023255 0.5430232 0.61627907
1100 0.57272726 0.6003637 0.62545455 1.0 68.4 77.0 0.7058824 0.7571979 0.8030303 0.45348838 0.53372097 0.61627907
1200 0.58916664 0.6196667 0.64666665 1.0 67.9 74.0 0.74626863 0.77725273 0.8142857 0.4651163 0.52441865 0.60465115
1300 0.60923076 0.63576925 0.65923077 1.0 65.4 71.0 0.7741935 0.8257478 0.880597 0.40697673 0.49651164 0.55813956
1400 0.63 0.6528571 0.67142856 1.0 65.9 70.0 0.7846154 0.8335392 0.8939394 0.40697673 0.49534884 0.55813956
1500 0.6473333 0.6673333 0.686 1.0 64.8 73.0 0.79710144 0.8639887 0.95238096 0.39534885 0.4860465 0.53488374
1600 0.660625 0.68075 0.701875 1.0 64.9 71.0 0.8333333 0.8727382 0.92424244 0.38372093 0.5 0.5813953
1700 0.67294115 0.6929411 0.71588236 1.0 64.6 72.0 0.84615386 0.88001525 0.953125 0.39534885 0.49186048 0.5697674
1800 0.6855556 0.70494443 0.72944444 1.0 64.0 70.0 0.8382353 0.8966821 0.96428573 0.38372093 0.47906977 0.54651165
1900 0.69578946 0.7162632 0.74157894 1.0 63.0 71.0 0.875 0.91908014 1.0 0.37209302 0.477907 0.53488374
2000 0.707 0.72675 0.7535 1.0 63.1 73.0 0.859375 0.9263567 1.0 0.37209302 0.477907 0.54651165
2100 0.7190476 0.7367619 0.7638095 1.0 63.4 73.0 0.8450704 0.9276926 1.0 0.38372093 0.477907 0.5232558
2200 0.7290909 0.7460455 0.77363634 1.0 63.4 69.0 0.85294116 0.93044615 0.98245615 0.40697673 0.48023254 0.5232558
2300 0.7378261 0.7544783 0.7804348 1.0 63.1 70.0 0.90163934 0.9373105 1.0 0.43023255 0.47906977 0.5232558
2400 0.74541664 0.7624583 0.7866667 1.0 62.0 70.0 0.9206349 0.95555574 1.0 0.38372093 0.48139533 0.53488374
2500 0.7532 0.77044 0.7932 1.0 61.7 69.0 0.9206349 0.9626421 0.98507464 0.39534885 0.47209302 0.5116279
2600 0.7619231 0.7781154 0.8007692 1.0 61.6 70.0 0.9206349 0.96916515 0.9852941 0.39534885 0.47093025 0.5
2700 0.7685185 0.78533334 0.8074074 1.0 61.4 70.0 0.95 0.9772132 0.9852941 0.38372093 0.46860465 0.5116279
2800 0.7764286 0.7921071 0.81392854 1.0 62.3 72.0 0.9354839 0.9683374 1.0 0.38372093 0.4790698 0.54651165
2900 0.7841379 0.7982069 0.8203448 1.0 62.4 70.0 0.9508197 0.97135687 1.0 0.38372093 0.4755814 0.54651165
3000 0.79066664 0.8040334 0.82566667 1.0 62.8 70.0 0.90625 0.9648123 1.0 0.39534885 0.47674417 0.5232558
3100 0.7964516 0.80941945 0.8309677 1.0 62.8 69.0 0.93333334 0.965975 1.0 0.40697673 0.477907 0.5232558
3200 0.8009375 0.8145938 0.8353125 1.0 63.4 70.0 0.93333334 0.9586976 0.98550725 0.40697673 0.48139533 0.5232558
3300 0.8060606 0.819606 0.8393939 1.0 62.9 70.0 0.9402985 0.96993273 1.0 0.39534885 0.4790698 0.5232558
3400 0.8111765 0.8243824 0.8435294 1.0 62.9 70.0 0.9491525 0.96966296 0.98550725 0.40697673 0.4755814 0.5116279
3500 0.8165714 0.82891434 0.8477143 1.0 63.0 70.0 0.9354839 0.96810806 1.0 0.39534885 0.48255816 0.54651165
3600 0.8213889 0.8331111 0.8516667 1.0 62.8 69.0 0.9032258 0.97109157 1.0 0.39534885 0.46976742 0.5232558
