rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 92.0 93.0 0.20652173 0.2565279 0.3043478 0.8255814 0.8883721 0.94186044
100 0.24 0.39 0.49 1.0 109.0 116.0 0.32110092 0.34225333 0.36697248 0.8255814 0.89418614 0.95348835
200 0.335 0.431 0.515 1.0 115.3 120.0 0.37815127 0.42165238 0.44166666 0.8255814 0.90348846 0.95348835
300 0.44333333 0.48266667 0.54 1.0 119.0 128.0 0.44915253 0.48091102 0.52100843 0.8372093 0.90348846 0.96511626
400 0.49 0.5285 0.565 1.0 119.5 125.0 0.49593496 0.52150404 0.5603448 0.8372093 0.8988372 0.94186044
500 0.538 0.5606 0.59 1.0 119.6 129.0 0.5271318 0.5539713 0.5964912 0.8255814 0.91627914 0.9767442
600 0.56666666 0.593 0.62666667 1.0 117.3 126.0 0.5641026 0.595748 0.6486486 0.8255814 0.894186 0.9767442
700 0.5885714 0.61542857 0.6514286 1.0 117.0 128.0 0.56557375 0.62526906 0.6759259 0.7906977 0.87558144 0.9767442
800 0.6075 0.635125 0.6675 1.0 116.3 128.0 0.6034483 0.6463375 0.6875 0.74418604 0.85 0.95348835
900 0.63 0.6505555 0.68 1.0 116.4 132.0 0.6136364 0.66842616 0.70535713 0.75581396 0.8511628 0.95348835
1000 0.641 0.66519994 0.696 1.0 113.6 127.0 0.63779527 0.69199765 0.7407407 0.76744187 0.8348838 0.9186047
1100 0.64454544 0.6782727 0.7054545 1.0 113.3 129.0 0.64341086 0.7060201 0.7641509 0.74418604 0.8267442 0.9302326
1200 0.66 0.69125 0.7133333 1.0 112.0 123.0 0.67479676 0.7211753 0.78846157 0.73255813 0.81860477 0.9186047
1300 0.6707692 0.7018462 0.72307694 1.0 108.8 123.0 0.67479676 0.75463116 0.8137255 0.7209302 0.81162786 0.90697676
1400 0.6842857 0.7122857 0.7278572 1.0 107.5 124.0 0.67741936 0.7692971 0.85858583 0.6976744 0.7895349 0.872093
