rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 92.1 93.0 0.20652173 0.25190508 0.3043478 0.8255814 0.8906978 0.94186044
100 0.19 0.34300002 0.41 1.0 98.2 106.0 0.24489796 0.28527492 0.34343433 0.872093 0.90232563 0.9302326
200 0.31 0.382 0.435 1.0 94.7 103.0 0.28421053 0.33718997 0.40425533 0.75581396 0.8313953 0.90697676
300 0.35333332 0.4246667 0.46 1.0 88.3 97.0 0.35443038 0.39714462 0.443038 0.6744186 0.7790698 0.88372093
400 0.385 0.45625 0.505 1.0 85.6 91.0 0.39534885 0.44253668 0.48351648 0.6627907 0.7395349 0.8488372
500 0.434 0.48719996 0.532 1.0 81.8 90.0 0.443038 0.485001 0.55263156 0.54651165 0.6883721 0.81395346
600 0.47 0.51066667 0.54 1.0 78.7 87.0 0.5 0.52635914 0.5753425 0.59302324 0.6825581 0.76744187
700 0.50142854 0.53414285 0.55285716 1.0 75.5 79.0 0.4935065 0.56194055 0.58666664 0.54651165 0.60581386 0.6976744
800 0.525 0.559125 0.5875 1.0 73.8 81.0 0.5131579 0.60436326 0.6666667 0.5232558 0.59883726 0.6627907
900 0.5377778 0.58100003 0.60555553 1.0 71.1 79.0 0.5970149 0.6460881 0.7205882 0.5232558 0.5976744 0.6744186
1000 0.558 0.6025 0.627 1.0 71.9 78.0 0.61333334 0.65700424 0.6857143 0.5 0.59999996 0.68604654
1100 0.58454543 0.62145454 0.64363635 1.0 71.2 77.0 0.6438356 0.68017673 0.73134327 0.47674417 0.5860465 0.6744186
1200 0.6 0.63900006 0.66083336 1.0 71.1 79.0 0.6708861 0.70838916 0.75 0.5232558 0.61511624 0.7209302
1300 0.6176923 0.65530765 0.6776923 1.0 71.5 78.0 0.68421054 0.71970356 0.7647059 0.5 0.5895349 0.6511628
1400 0.635 0.6707857 0.69285715 1.0 71.7 81.0 0.6753247 0.7316597 0.78688526 0.5 0.59302324 0.6627907
1500 0.6526667 0.68586665 0.7033333 1.0 72.0 77.0 0.68421054 0.7379791 0.78688526 0.4883721 0.6034883 0.73255813
1600 0.666875 0.69925 0.71375 1.0 71.1 77.0 0.7012987 0.75769734 0.82758623 0.5116279 0.60232556 0.6511628
1700 0.6782353 0.71294117 0.7282353 1.0 71.0 79.0 0.7236842 0.77046514 0.8125 0.53488374 0.6 0.6395349
1800 0.69277775 0.7250555 0.7416667 1.0 72.3 79.0 0.6962025 0.7632109 0.8305085 0.5 0.61744183 0.68604654
1900 0.70736843 0.7363684 0.7531579 1.0 71.9 78.0 0.72727275 0.77113086 0.8305085 0.5 0.6151163 0.6744186
2000 0.7185 0.74665004 0.7645 1.0 71.4 77.0 0.74666667 0.7776276 0.8030303 0.5232558 0.60232556 0.6744186
2100 0.7271429 0.7558571 0.7733333 1.0 71.0 78.0 0.75641024 0.78483975 0.8153846 0.5232558 0.6034884 0.6511628
2200 0.7340909 0.7654091 0.7818182 1.0 71.9 77.0 0.7567568 0.7806845 0.82191783 0.5232558 0.61162794 0.68604654
2300 0.7421739 0.774 0.78913045 1.0 70.8 78.0 0.75641024 0.7948533 0.83870965 0.5232558 0.6069767 0.6627907
2400 0.7525 0.78191674 0.79791665 1.0 71.0 77.0 0.75 0.7969868 0.852459 0.54651165 0.6151163 0.6744186
2500 0.762 0.78956 0.8044 1.0 70.9 77.0 0.7714286 0.80035985 0.83870965 0.5232558 0.6151163 0.6627907
2600 0.77 0.79700005 0.81076926 1.0 70.9 77.0 0.7638889 0.80156595 0.83870965 0.53488374 0.6139535 0.6511628
2700 0.7774074 0.80385196 0.81777775 1.0 70.9 77.0 0.7714286 0.803257 0.852459 0.54651165 0.6127907 0.6511628
2800 0.7846429 0.8099643 0.8239286 1.0 70.7 77.0 0.7826087 0.8054021 0.852459 0.53488374 0.6069768 0.6511628
2900 0.79068965 0.81596553 0.8296552 1.0 70.8 77.0 0.7826087 0.8043167 0.852459 0.53488374 0.605814 0.6511628
3000 0.797 0.8217333 0.83533335 1.0 70.9 77.0 0.7746479 0.8029355 0.83870965 0.53488374 0.60930234 0.6627907
3100 0.8022581 0.826742 0.84032255 1.0 70.6 76.0 0.7746479 0.8064208 0.83870965 0.53488374 0.61162794 0.6627907
3200 0.8078125 0.83168745 0.8453125 1.0 70.5 76.0 0.7638889 0.80758095 0.83870965 0.54651165 0.61162794 0.6627907
3300 0.81242424 0.8363334 0.85 1.0 70.5 76.0 0.7638889 0.80783004 0.852459 0.5232558 0.6081396 0.6627907
3400 0.8179412 0.8406765 0.8532353 1.0 70.2 77.0 0.7746479 0.81132555 0.852459 0.5232558 0.60697675 0.6627907
3500 0.82285714 0.8449143 0.8568571 1.0 70.5 77.0 0.78571427 0.8079699 0.852459 0.54651165 0.61162794 0.68604654
3600 0.8277778 0.8488334 0.8597222 1.0 70.6 77.0 0.78571427 0.80823916 0.852459 0.5232558 0.6069767 0.6511628
3700 0.83162165 0.85262156 0.8635135 1.0 70.6 77.0 0.7826087 0.80813247 0.852459 0.5232558 0.60930234 0.6511628
3800 0.8357895 0.85626316 0.8668421 1.0 70.6 78.0 0.78205127 0.808078 0.83870965 0.5232558 0.60930234 0.6511628
3900 0.8397436 0.8597436 0.8702564 1.0 70.7 78.0 0.78205127 0.8071519 0.852459 0.5232558 0.60697675 0.6511628
4000 0.84375 0.86317503 0.87325 1.0 70.7 79.0 0.7721519 0.8072146 0.852459 0.5232558 0.6081396 0.6511628
4100 0.847561 0.8663902 0.87585366 1.0 70.6 79.0 0.7721519 0.80836153 0.852459 0.5232558 0.6058139 0.6511628
4200 0.85119045 0.86947614 0.87857145 1.0 70.6 79.0 0.7721519 0.808489 0.852459 0.5232558 0.6069767 0.6511628
4300 0.85465115 0.87237203 0.88139534 1.0 70.5 79.0 0.7721519 0.8095416 0.852459 0.5232558 0.6058139 0.6511628
4400 0.8575 0.8752273 0.8840909 1.0 70.6 79.0 0.7721519 0.80841905 0.852459 0.5232558 0.6058139 0.6511628
4500 0.8606667 0.87795556 0.88666666 1.0 70.6 79.0 0.7721519 0.80841905 0.852459 0.5232558 0.6058139 0.6511628
4600 0.86347824 0.8805653 0.8891304 1.0 70.5 79.0 0.7721519 0.80983984 0.8666667 0.5232558 0.60465115 0.6511628
4700 0.8661702 0.8830638 0.8914894 1.0 70.5 79.0 0.7721519 0.80983984 0.8666667 0.5232558 0.60465115 0.6511628
4800 0.86895835 0.8854375 0.89375 1.0 70.6 79.0 0.7721519 0.80865973 0.8666667 0.5232558 0.605814 0.6511628
4900 0.87163264 0.88769376 0.8957143 1.0 70.5 79.0 0.7721519 0.8097823 0.8666667 0.5232558 0.605814 0.6511628
5000 0.8742 0.88992006 0.8978 1.0 70.6 79.0 0.7721519 0.80859697 0.8666667 0.5232558 0.605814 0.6511628
5100 0.87666667 0.89205873 0.89960784 1.0 70.6 79.0 0.7721519 0.80859697 0.8666667 0.5232558 0.605814 0.6511628
5200 0.87903845 0.8940384 0.9015385 1.0 70.6 79.0 0.7721519 0.80859697 0.8666667 0.5232558 0.60465115 0.6511628
5300 0.88113207 0.89598113 0.90339625 1.0 70.6 79.0 0.7721519 0.8086546 0.8666667 0.5232558 0.6058139 0.6511628
5400 0.88277775 0.89785177 0.90518516 1.0 70.6 79.0 0.7721519 0.8086546 0.8666667 0.5232558 0.6058139 0.6511628
5500 0.8849091 0.8997091 0.9069091 1.0 70.7 79.0 0.7721519 0.8089002 0.8666667 0.5232558 0.60697675 0.6627907
5600 0.88696426 0.90144646 0.9085714 1.0 70.6 79.0 0.7721519 0.8100227 0.8666667 0.5232558 0.6058139 0.6627907
5700 0.88894737 0.90315783 0.91017544 1.0 70.7 79.0 0.7721519 0.80897015 0.8666667 0.5232558 0.6058139 0.6627907
5800 0.89086205 0.9047931 0.91172415 1.0 70.6 79.0 0.7721519 0.8101554 0.8666667 0.5232558 0.6058139 0.6627907
5900 0.8927119 0.90640676 0.91322035 1.0 70.6 79.0 0.7721519 0.8101554 0.8666667 0.5232558 0.6058139 0.6627907
6000 0.8945 0.9079499 0.91466665 1.0 70.6 79.0 0.7721519 0.8101554 0.8666667 0.5232558 0.6058139 0.6627907
6100 0.8962295 0.909459 0.9160656 1.0 70.7 79.0 0.7721519 0.8089701 0.8666667 0.5232558 0.60697675 0.6627907
6200 0.8979032 0.91088706 0.9174194 1.0 70.7 79.0 0.7721519 0.8089701 0.8666667 0.5232558 0.6058139 0.6627907
6300 0.8995238 0.9122857 0.91873014 1.0 70.7 79.0 0.7721519 0.8089701 0.8666667 0.5232558 0.60697675 0.6627907
6400 0.9010937 0.9136406 0.92 1.0 70.6 79.0 0.7721519 0.8101554 0.8666667 0.5232558 0.6058139 0.6627907
6500 0.90261537 0.91496927 0.9212308 1.0 70.6 79.0 0.7721519 0.8101554 0.8666667 0.5232558 0.6058139 0.6627907
6600 0.9040909 0.9162425 0.92242426 1.0 70.7 79.0 0.7721519 0.8091301 0.8666667 0.5232558 0.6058139 0.6627907
6700 0.9055224 0.91749257 0.9235821 1.0 70.7 79.0 0.7721519 0.8091301 0.8666667 0.5232558 0.6058139 0.6627907
