rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 92.1 93.0 0.20652173 0.25190508 0.3043478 0.8255814 0.883721 0.94186044
100 0.27 0.338 0.42 1.0 99.7 104.0 0.24509804 0.2973018 0.37894738 0.81395346 0.8988372 0.96511626
200 0.315 0.3595 0.415 1.0 96.0 103.0 0.2631579 0.33942288 0.38297874 0.76744187 0.80581397 0.8488372
300 0.36 0.40766668 0.46333334 1.0 91.6 97.0 0.2967033 0.3858423 0.43157893 0.6395349 0.7523256 0.8604651
400 0.4 0.44 0.4875 1.0 86.2 94.0 0.3580247 0.43025723 0.47777778 0.5232558 0.7069768 0.81395346
500 0.438 0.4702 0.526 1.0 84.0 90.0 0.37179488 0.46563023 0.5294118 0.5116279 0.6604651 0.7790698
600 0.46166667 0.49400002 0.54833335 1.0 74.9 80.0 0.484375 0.548025 0.6025641 0.5232558 0.6000001 0.7093023
700 0.49571428 0.52114284 0.5642857 1.0 71.5 79.0 0.5194805 0.5994507 0.6911765 0.4651163 0.54767436 0.627907
800 0.51625 0.543875 0.58375 1.0 70.0 74.0 0.57746476 0.64608926 0.69863015 0.4651163 0.54186046 0.60465115
900 0.5411111 0.56533337 0.5977778 1.0 69.4 81.0 0.6 0.684722 0.77272725 0.4651163 0.5139535 0.60465115
1000 0.557 0.58519995 0.612 1.0 69.2 78.0 0.6567164 0.69984514 0.76811594 0.45348838 0.50813955 0.5697674
1100 0.57545453 0.60554546 0.63545454 1.0 68.7 74.0 0.6875 0.7248467 0.765625 0.4651163 0.5255814 0.61627907
1200 0.58666664 0.6221667 0.64666665 1.0 67.7 76.0 0.7105263 0.7548582 0.8030303 0.43023255 0.5069767 0.59302324
1300 0.61153847 0.63915384 0.66 1.0 66.8 77.0 0.71428573 0.7845694 0.859375 0.43023255 0.48953485 0.5813953
1400 0.62714285 0.6521429 0.67285717 1.0 66.3 71.0 0.74242425 0.7993115 0.8636364 0.43023255 0.49186048 0.54651165
1500 0.6433333 0.6659334 0.68133336 1.0 65.0 70.0 0.7936508 0.83642817 0.8787879 0.4651163 0.494186 0.53488374
