rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 21.0 21.0 0.95238096 0.9666667 1.0 0.028571429 0.028857142 0.03142857
100 0.22 0.27 0.34 1.0 101.7 108.0 0.3148148 0.35963073 0.41237113 0.105714284 0.12685713 0.16
200 0.235 0.288 0.335 1.0 157.2 165.0 0.29375 0.33957714 0.375 0.16571428 0.21800001 0.28285715
300 0.28 0.30699998 0.35666665 1.0 193.3 205.0 0.29381442 0.34345073 0.38172042 0.24571429 0.2982857 0.33714285
400 0.3125 0.332 0.36 1.0 216.6 228.0 0.3153153 0.3533357 0.3872549 0.28285715 0.36314282 0.42285714
500 0.334 0.35520002 0.384 1.0 235.4 246.0 0.31623933 0.35786483 0.3794643 0.34857142 0.42457142 0.56
600 0.34166667 0.37033334 0.395 1.0 251.4 260.0 0.3320158 0.37219897 0.3888889 0.36857143 0.4634286 0.5742857
700 0.36 0.38271427 0.40857142 1.0 262.2 276.0 0.34586465 0.38252088 0.40977442 0.42571428 0.51514286 0.5942857
800 0.37875 0.397 0.41625 1.0 271.2 285.0 0.3505535 0.39418828 0.4148148 0.47428572 0.5505715 0.61714286
900 0.3911111 0.40766662 0.42444444 1.0 277.8 290.0 0.3607143 0.40642056 0.43205574 0.49714285 0.5894286 0.7171429
1000 0.405 0.41989994 0.44 1.0 282.9 299.0 0.3728223 0.4194964 0.44217688 0.58 0.6237143 0.7057143
1100 0.41181818 0.43100005 0.45363638 1.0 288.1 301.0 0.39590445 0.42891556 0.45017183 0.5857143 0.6594286 0.72571427
1200 0.41833332 0.44141668 0.4575 1.0 293.6 305.0 0.39864865 0.43784475 0.45637584 0.6257143 0.6982857 0.7657143
1300 0.43307692 0.45253843 0.47 1.0 297.7 306.0 0.41333333 0.4469483 0.46710527 0.64285713 0.70028573 0.76285714
1400 0.44428572 0.46250004 0.4842857 1.0 301.3 310.0 0.42244226 0.4557844 0.48051947 0.6457143 0.6988571 0.76285714
1500 0.45333335 0.47053337 0.49 1.0 304.3 314.0 0.43493152 0.4630862 0.48553056 0.64857143 0.7131429 0.79714286
1600 0.461875 0.480625 0.499375 1.0 306.9 316.0 0.4362416 0.4729038 0.49683544 0.62285715 0.72457147 0.79142857
1700 0.47235295 0.4882353 0.50411767 1.0 309.5 316.0 0.4389439 0.4786682 0.5032051 0.62857145 0.73228574 0.80285716
1800 0.47833332 0.4953889 0.515 1.0 310.6 317.0 0.45751634 0.4888878 0.52884614 0.6342857 0.72657144 0.7714286
1900 0.48473683 0.50463164 0.52526313 1.0 311.7 320.0 0.46732026 0.4950018 0.53896105 0.6742857 0.7308572 0.78
