rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 170.7 171.0 0.058479533 0.059167527 0.064327486 0.93142855 0.972 0.99714285
100 0.13 0.19600001 0.27 1.0 229.5 235.0 0.060344826 0.07542784 0.08810572 0.9342857 0.96828574 0.99714285
200 0.165 0.21849999 0.29 1.0 261.8 266.0 0.06390978 0.09022201 0.12403101 0.9342857 0.962 0.9942857
300 0.21333334 0.24466667 0.3 1.0 280.3 284.0 0.08243728 0.11169416 0.13818182 0.93142855 0.95571434 0.98571426
400 0.2175 0.26000002 0.3125 1.0 290.9 296.0 0.096885815 0.12996559 0.15972222 0.93714285 0.95371425 0.9885714
500 0.242 0.2856 0.336 1.0 297.7 301.0 0.1270903 0.1498693 0.17966102 0.91714287 0.9514286 0.9771429
600 0.25666666 0.30116665 0.35166666 1.0 302.0 307.0 0.13712375 0.17083888 0.1980198 0.91714287 0.9517142 0.9885714
700 0.28 0.31900004 0.36 1.0 304.5 309.0 0.16333333 0.18912776 0.22149837 0.9028571 0.9394285 0.9714286
800 0.29375 0.33512503 0.37625 1.0 307.3 314.0 0.18181819 0.20341301 0.23202614 0.9114286 0.93571436 0.98
900 0.31777778 0.34888884 0.37555555 1.0 307.5 313.0 0.19281046 0.21951011 0.24918033 0.8971428 0.9382857 0.98
1000 0.335 0.36339998 0.398 1.0 307.7 312.0 0.2124183 0.23366007 0.26229507 0.9057143 0.928 0.9457143
1100 0.3490909 0.37800002 0.41363636 1.0 307.6 312.0 0.2236842 0.25388116 0.2852459 0.9057143 0.92228574 0.9514286
1200 0.36083335 0.38916665 0.42083332 1.0 307.0 312.0 0.24013157 0.26941136 0.30033004 0.89428574 0.91800004 0.94857144
1300 0.36846155 0.40030771 0.4323077 1.0 306.9 312.0 0.2628205 0.28549066 0.3112583 0.8971428 0.9274286 0.9628571
1400 0.37571427 0.41035715 0.43928573 1.0 305.4 310.0 0.26973686 0.29710189 0.33554816 0.8857143 0.92628574 0.9771429
1500 0.38733333 0.42106667 0.44933334 1.0 304.6 308.0 0.28431374 0.31132913 0.34666666 0.8857143 0.92228574 0.9628571
1600 0.39625 0.4315625 0.46 1.0 303.3 308.0 0.29738563 0.32494372 0.36271188 0.8485714 0.9108571 0.9742857
1700 0.40470588 0.44111767 0.4764706 1.0 301.8 308.0 0.30363035 0.34038445 0.36700338 0.85142857 0.9025713 0.9685714
1800 0.41222224 0.45083338 0.48333332 1.0 300.0 306.0 0.3255814 0.35576373 0.38305086 0.8371429 0.8914286 0.93714285
1900 0.42421052 0.461579 0.4942105 1.0 297.4 306.0 0.34640524 0.3679021 0.39249146 0.8314286 0.8837143 0.9342857
2000 0.4325 0.47045 0.5015 1.0 295.4 302.0 0.3554817 0.38089257 0.41724136 0.80857146 0.87828577 0.9285714
2100 0.44142857 0.47928572 0.51095235 1.0 294.4 302.0 0.36212623 0.3903944 0.42560554 0.81142855 0.8748571 0.9257143
2200 0.45181817 0.48795456 0.5159091 1.0 292.0 300.0 0.375 0.4014625 0.43554008 0.8257143 0.8685714 0.9085714
2300 0.46304348 0.49730435 0.52304345 1.0 290.2 299.0 0.3877551 0.40985695 0.44014084 0.81714284 0.8648571 0.8971428
2400 0.47458333 0.5047917 0.5308333 1.0 288.5 298.0 0.39784947 0.41853684 0.4471831 0.79142857 0.8537143 0.8857143
2500 0.4856 0.51392 0.5388 1.0 286.4 297.0 0.40647483 0.42728576 0.45907474 0.80285716 0.85085714 0.8971428
2600 0.49615383 0.5221923 0.5480769 1.0 284.1 295.0 0.4089347 0.433223 0.46594983 0.78 0.8402858 0.9
2700 0.5014815 0.52944446 0.5551852 1.0 282.4 293.0 0.41580757 0.44126782 0.4746377 0.7714286 0.83485717 0.8914286
2800 0.50785714 0.53671426 0.56392854 1.0 280.5 290.0 0.42068964 0.44960254 0.48351648 0.7885714 0.83285713 0.9028571
2900 0.51896554 0.5447241 0.5731034 1.0 279.1 288.0 0.4340278 0.4578894 0.48708487 0.7457143 0.82800007 0.9
3000 0.525 0.5513667 0.5796667 1.0 277.9 288.0 0.4409722 0.46600595 0.49446493 0.76285714 0.82857144 0.8971428
3100 0.5319355 0.5581613 0.586129 1.0 275.5 285.0 0.44912282 0.47515258 0.5 0.74857146 0.822 0.88857144
3200 0.5365625 0.56443745 0.59125 1.0 273.6 282.0 0.45714286 0.48423856 0.5112782 0.75142854 0.80885714 0.87714285
3300 0.5436364 0.57127273 0.59606063 1.0 271.6 280.0 0.4642857 0.49043164 0.519084 0.73142856 0.79571426 0.85714287
3400 0.54882354 0.5769118 0.6 1.0 268.8 276.0 0.47272727 0.49960834 0.52509654 0.73142856 0.78914285 0.8371429
3500 0.55485713 0.5824 0.6062857 1.0 266.8 274.0 0.48175183 0.5074557 0.5363985 0.72571427 0.77771425 0.8457143
3600 0.5613889 0.5886111 0.6136111 1.0 264.5 272.0 0.4852941 0.5141296 0.5411765 0.72 0.76400006 0.8371429
3700 0.56621623 0.5945676 0.62027025 1.0 263.1 271.0 0.49070632 0.52034485 0.5511811 0.73142856 0.76199996 0.8142857
3800 0.5710526 0.6003947 0.6263158 1.0 261.1 270.0 0.49812734 0.5258137 0.5533597 0.73142856 0.76542854 0.80285716
3900 0.5771795 0.6065641 0.6310256 1.0 260.2 269.0 0.5018587 0.53151655 0.5612648 0.7228571 0.7634286 0.81142855
4000 0.58275 0.612375 0.63725 1.0 259.0 268.0 0.5074627 0.5393289 0.56692916 0.7171429 0.754 0.8
4100 0.58926827 0.61782926 0.6436585 1.0 257.5 267.0 0.5131086 0.5448177 0.576 0.68857145 0.7494285 0.79142857
4200 0.5964286 0.6230953 0.64880955 1.0 255.5 265.0 0.5169811 0.5530267 0.5903614 0.68857145 0.7462857 0.7942857
4300 0.6032558 0.6281395 0.6537209 1.0 253.4 263.0 0.5285171 0.5610915 0.5903614 0.68857145 0.7391429 0.7885714
4400 0.6093182 0.63352275 0.6579546 1.0 252.3 262.0 0.52895755 0.5643838 0.5951417 0.68285716 0.7394285 0.80285716
4500 0.6153333 0.6387778 0.6626667 1.0 251.0 261.0 0.532567 0.56850153 0.597561 0.68285716 0.74171436 0.8057143
4600 0.62043476 0.64356524 0.6678261 1.0 249.2 257.0 0.53696495 0.5741994 0.60408163 0.6685714 0.73742855 0.8057143
4700 0.6268085 0.6482128 0.6725532 1.0 247.6 256.0 0.54296875 0.5778535 0.607438 0.69142854 0.7368571 0.7942857
4800 0.63208336 0.6526042 0.67645836 1.0 246.4 253.0 0.5515873 0.583908 0.61157024 0.69142854 0.72599995 0.7714286
4900 0.63653064 0.6573266 0.68163264 1.0 244.8 252.0 0.556 0.5889316 0.61157024 0.68857145 0.72085714 0.76285714
5000 0.6416 0.6621 0.6852 1.0 243.7 250.0 0.5604839 0.5927993 0.6166667 0.68285716 0.7271429 0.7657143
5100 0.64529413 0.66656864 0.68941176 1.0 242.3 249.0 0.5731707 0.59784555 0.62288135 0.68857145 0.724 0.75714284
5200 0.64884615 0.67057693 0.6930769 1.0 240.9 248.0 0.5766129 0.60172683 0.6260504 0.67714286 0.722 0.7457143
