rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 21.0 21.0 0.95238096 0.9666667 1.0 0.028571429 0.030000001 0.04
100 0.25 0.292 0.36 1.0 93.3 100.0 0.46067417 0.500485 0.53608245 0.18285714 0.2257143 0.29714286
200 0.26 0.29899997 0.34 1.0 138.8 147.0 0.44827586 0.4866559 0.540146 0.25142857 0.33171427 0.42
300 0.29666665 0.3413333 0.38333333 1.0 168.8 177.0 0.46783626 0.4989853 0.5301205 0.34285715 0.39942858 0.4542857
400 0.3425 0.3805 0.4425 1.0 189.4 203.0 0.4920635 0.51583993 0.5380435 0.38 0.446 0.5228571
500 0.39 0.41359997 0.478 1.0 205.9 221.0 0.5 0.5226699 0.55 0.41142857 0.51085716 0.5942857
600 0.41333333 0.43950003 0.50166667 1.0 218.7 240.0 0.51121074 0.5378589 0.5592417 0.41714287 0.5357143 0.6314286
700 0.43857142 0.46328574 0.5214286 1.0 230.0 251.0 0.5086207 0.54583657 0.56573707 0.42857143 0.5377143 0.6514286
800 0.4525 0.480375 0.54 1.0 240.6 264.0 0.51724136 0.55566573 0.5810811 0.47714287 0.55742854 0.6457143
900 0.46333334 0.49688888 0.55222225 1.0 249.8 270.0 0.53207546 0.5631141 0.58943087 0.48 0.5860001 0.67142856
1000 0.489 0.5129 0.566 1.0 256.1 282.0 0.53731346 0.57391846 0.6092437 0.56285715 0.6202857 0.69142854
1100 0.5072727 0.5283636 0.5781818 1.0 263.0 289.0 0.5498155 0.58121186 0.6169355 0.51428574 0.6228571 0.70285714
1200 0.51916665 0.54024994 0.59166664 1.0 268.5 293.0 0.56363636 0.5908948 0.6171875 0.54285717 0.6317143 0.7228571
1300 0.53384614 0.5526154 0.60384613 1.0 274.1 295.0 0.5689046 0.5977153 0.6245353 0.54285717 0.6494286 0.73142856
1400 0.55 0.5656429 0.61142856 1.0 278.8 298.0 0.5694444 0.6040199 0.62815887 0.5285714 0.6442858 0.7171429
1500 0.56 0.5766667 0.61733335 1.0 281.7 303.0 0.5798611 0.6130531 0.63799286 0.5371429 0.6348572 0.72
1600 0.571875 0.5879375 0.625625 1.0 286.0 309.0 0.5782313 0.61728525 0.6570397 0.5657143 0.64257145 0.72
1700 0.57823527 0.59805876 0.6311765 1.0 287.8 306.0 0.58361775 0.6272367 0.64912283 0.5885714 0.65857136 0.7228571
1800 0.58944446 0.60716665 0.63666666 1.0 291.0 308.0 0.5870307 0.6324975 0.66544116 0.5657143 0.6562857 0.74
1900 0.5978947 0.61663157 0.64789474 1.0 292.0 312.0 0.59931505 0.6396293 0.66544116 0.56857145 0.65999997 0.7342857
2000 0.6065 0.62520003 0.656 1.0 293.6 308.0 0.60137457 0.6429788 0.6826568 0.56857145 0.66171426 0.7457143
2100 0.61333334 0.63199997 0.66380954 1.0 294.6 313.0 0.6103448 0.64909476 0.6747405 0.60571426 0.6788571 0.76857144
2200 0.6190909 0.6392273 0.67227274 1.0 294.9 318.0 0.6164383 0.65466684 0.68248177 0.5885714 0.6774286 0.7828571
2300 0.62391305 0.64534783 0.6752174 1.0 293.4 317.0 0.62886596 0.6667838 0.69072163 0.5742857 0.6848572 0.7771429
2400 0.62958336 0.652125 0.68291664 1.0 295.1 324.0 0.63573885 0.6674176 0.69655174 0.5742857 0.67800003 0.7542857
2500 0.6372 0.65911996 0.6896 1.0 295.6 327.0 0.63573885 0.6723095 0.6969697 0.6 0.68285716 0.75142854
2600 0.64384615 0.6659615 0.69461536 1.0 296.7 329.0 0.6413793 0.67236096 0.70181817 0.5971429 0.6637143 0.74857146
2700 0.6511111 0.6715556 0.70111114 1.0 298.2 333.0 0.6366366 0.673103 0.6975945 0.58285713 0.6654285 0.73142856
2800 0.6567857 0.67732143 0.7064286 1.0 298.9 332.0 0.6415663 0.6777137 0.705298 0.5714286 0.66657144 0.7657143
2900 0.66 0.683 0.712069 1.0 299.9 329.0 0.6542373 0.6808036 0.70957094 0.58285713 0.6654286 0.72571427
3000 0.66533333 0.68826663 0.717 1.0 301.8 328.0 0.6433333 0.6808127 0.7105263 0.57714283 0.6677143 0.74
3100 0.6719355 0.6936129 0.7225807 1.0 300.6 329.0 0.6554054 0.687436 0.7161716 0.58 0.67914283 0.76285714
3200 0.6765625 0.6985937 0.72625 1.0 301.1 332.0 0.6701031 0.6896205 0.71854305 0.57714283 0.6685715 0.7285714
3300 0.6818182 0.7032727 0.7309091 1.0 301.3 329.0 0.67241377 0.6927725 0.7266667 0.58 0.67714286 0.73142856
3400 0.6882353 0.70776474 0.73558825 1.0 301.3 327.0 0.67391306 0.69521135 0.73400676 0.60571426 0.6765714 0.73142856
3500 0.69371426 0.7117144 0.7382857 1.0 300.4 326.0 0.67763156 0.7002561 0.7364865 0.61714286 0.6774286 0.7457143
3600 0.6988889 0.7160833 0.7413889 1.0 300.6 327.0 0.67763156 0.70281327 0.7398649 0.62285715 0.67285717 0.7114286
3700 0.7043243 0.7201081 0.7445946 1.0 302.5 329.0 0.67320263 0.70102924 0.7423729 0.5914286 0.6628572 0.7228571
3800 0.70657897 0.7237632 0.7463158 1.0 301.8 328.0 0.68338555 0.70532584 0.7457627 0.5914286 0.6622857 0.7285714
3900 0.7097436 0.72728205 0.7510256 1.0 302.2 329.0 0.6885813 0.7068252 0.730897 0.5914286 0.66885716 0.74285716
4000 0.71425 0.731 0.75425 1.0 302.0 332.0 0.6920635 0.7089194 0.7315436 0.5942857 0.66657144 0.7228571
4100 0.71829265 0.7342683 0.7585366 1.0 302.2 329.0 0.6825939 0.7108234 0.73898304 0.5971429 0.6725715 0.7228571
4200 0.7202381 0.7374285 0.7604762 1.0 301.9 328.0 0.68367344 0.7132091 0.7491409 0.5885714 0.6677143 0.7342857
