rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 170.7 171.0 0.058479533 0.059752326 0.064327486 0.93142855 0.972 0.99714285
100 0.18 0.23900001 0.31 1.0 228.1 234.0 0.100877196 0.12595716 0.15486726 0.9514286 0.96714276 0.98571426
200 0.235 0.28350002 0.325 1.0 259.9 269.0 0.1484375 0.16849388 0.19172932 0.9342857 0.95457155 0.9742857
300 0.28666666 0.3256666 0.35666665 1.0 277.0 284.0 0.19117647 0.20937172 0.22545454 0.92285717 0.9568572 0.98571426
400 0.2975 0.3495 0.39 1.0 287.4 295.0 0.2137931 0.24363235 0.26881722 0.92 0.94514287 0.9714286
500 0.332 0.38459998 0.43 1.0 292.6 299.0 0.24745762 0.27762145 0.30689654 0.89428574 0.92914283 0.95428574
600 0.37166667 0.411 0.45333335 1.0 294.5 300.0 0.2804054 0.3087765 0.33673468 0.8485714 0.92199993 0.96
700 0.39285713 0.43228573 0.47 1.0 297.1 303.0 0.3141892 0.33628705 0.36026937 0.8685714 0.9 0.92
800 0.40875 0.45274997 0.495 1.0 298.6 304.0 0.32 0.3600468 0.3754153 0.8485714 0.89114285 0.9142857
900 0.4288889 0.4672222 0.50666666 1.0 299.2 310.0 0.35666665 0.38311177 0.41237113 0.86285716 0.8888572 0.94285715
1000 0.45 0.487 0.52 1.0 298.2 313.0 0.38333333 0.40356374 0.43103448 0.8314286 0.8748571 0.9
1100 0.4709091 0.50436366 0.53818184 1.0 298.9 312.0 0.40264025 0.41960138 0.45 0.8142857 0.86857146 0.8971428
1200 0.485 0.51816666 0.54833335 1.0 299.4 310.0 0.41333333 0.43550795 0.4560811 0.82285714 0.8740001 0.9085714
1300 0.49461538 0.5313846 0.5638462 1.0 300.1 312.0 0.4271523 0.45127064 0.4760274 0.80857146 0.87257147 0.9114286
1400 0.5042857 0.5444285 0.58285713 1.0 299.6 316.0 0.43670887 0.46279335 0.4880546 0.80285716 0.8751429 0.96
1500 0.516 0.55526674 0.59 1.0 299.5 315.0 0.44444445 0.4740727 0.49655172 0.8057143 0.8771428 0.94857144
1600 0.53 0.5675 0.60375 1.0 300.0 317.0 0.44479495 0.4860843 0.5221843 0.8142857 0.86457145 0.89428574
1700 0.54058826 0.57888234 0.6152941 1.0 300.0 318.0 0.46226415 0.4968679 0.5254237 0.81142855 0.8562857 0.8914286
1800 0.5538889 0.58894444 0.62333333 1.0 299.8 321.0 0.46105918 0.50632817 0.5286195 0.82285714 0.85285723 0.88
1900 0.56578946 0.5995263 0.63473684 1.0 299.4 314.0 0.477707 0.51625323 0.5506757 0.8314286 0.85999995 0.9142857
2000 0.575 0.6072999 0.6435 1.0 297.5 307.0 0.495114 0.5278757 0.5650685 0.8257143 0.8571428 0.9028571
2100 0.5809524 0.6139048 0.64238095 1.0 296.3 305.0 0.5066225 0.53602403 0.5675676 0.8371429 0.8608571 0.88285714
2200 0.5895454 0.62140906 0.65 1.0 294.1 304.0 0.51644737 0.5458989 0.580756 0.82 0.8471429 0.88
2300 0.5973913 0.629 0.65869564 1.0 294.5 308.0 0.51623374 0.55029505 0.579661 0.81714284 0.842 0.9
2400 0.60583335 0.636375 0.665 1.0 296.2 308.0 0.5173611 0.5531999 0.57912457 0.80285716 0.8405715 0.8914286
2500 0.6128 0.64320004 0.6728 1.0 296.4 305.0 0.52097905 0.55940855 0.5872483 0.79714286 0.8428572 0.89428574
2600 0.6188462 0.6493461 0.67846155 1.0 297.3 310.0 0.522807 0.562822 0.590604 0.7714286 0.8397142 0.87714285
2700 0.6262963 0.6548889 0.67925924 1.0 297.8 311.0 0.52982455 0.5652978 0.59197325 0.78571427 0.8365714 0.8742857
2800 0.6339286 0.6606428 0.6842857 1.0 298.8 314.0 0.5243056 0.56678665 0.59395975 0.77428573 0.8457143 0.87142855
2900 0.64 0.6657931 0.6886207 1.0 299.3 313.0 0.5277778 0.5711969 0.59717315 0.7771429 0.8402858 0.8685714
3000 0.648 0.67130005 0.6943333 1.0 300.0 314.0 0.5368421 0.57472265 0.6047297 0.7885714 0.84428567 0.87142855
3100 0.65387094 0.676129 0.6993548 1.0 299.5 313.0 0.5422535 0.5793776 0.6122449 0.79714286 0.8394286 0.87142855
3200 0.6584375 0.6806251 0.7021875 1.0 298.5 308.0 0.54723126 0.5847721 0.6126761 0.76857144 0.8442858 0.8857143
3300 0.66333336 0.6850909 0.7063636 1.0 298.1 307.0 0.55409837 0.588806 0.6081081 0.7828571 0.8445715 0.88285714
3400 0.6673529 0.6894412 0.71205884 1.0 299.0 312.0 0.55789477 0.58901966 0.61694914 0.77428573 0.8502857 0.89428574
