rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 170.8 171.0 0.058479533 0.060302723 0.064327486 0.93142855 0.972 0.99714285
100 0.15 0.21599999 0.3 1.0 229.5 233.0 0.09090909 0.12387742 0.15178572 0.91714287 0.9554286 0.98285717
200 0.2 0.25800002 0.3 1.0 263.8 267.0 0.13207547 0.16338855 0.18181819 0.9085714 0.9445714 0.9628571
300 0.24333334 0.28666666 0.32666665 1.0 282.8 290.0 0.18309858 0.20831828 0.23404256 0.87142855 0.93571436 0.9714286
400 0.26 0.31574997 0.3525 1.0 290.7 298.0 0.22222222 0.24730504 0.27181208 0.8314286 0.91 0.9685714
500 0.31 0.3504 0.372 1.0 293.9 303.0 0.25165564 0.28241062 0.32013202 0.79142857 0.87742865 0.9114286
600 0.35833332 0.379 0.40666667 1.0 293.9 302.0 0.27972028 0.3143382 0.34437087 0.76857144 0.8537143 0.92285717
700 0.38285714 0.40357143 0.43714285 1.0 291.9 300.0 0.32042253 0.34394732 0.37 0.77428573 0.8248571 0.8914286
800 0.4 0.42362505 0.455 1.0 288.2 299.0 0.34680134 0.37411168 0.4013378 0.73142856 0.8102857 0.87142855
900 0.42444444 0.44277778 0.47555557 1.0 284.4 300.0 0.37373737 0.39715382 0.43103448 0.69142854 0.7814286 0.86
1000 0.438 0.4598 0.493 1.0 280.2 298.0 0.4 0.42413527 0.45774648 0.66571426 0.772 0.8457143
1100 0.45272726 0.4784546 0.50272727 1.0 276.5 294.0 0.40714285 0.4490923 0.49097472 0.6857143 0.7371428 0.82285714
1200 0.46833333 0.49425 0.5183333 1.0 271.9 289.0 0.4384058 0.47539458 0.51648355 0.6542857 0.72771424 0.8
1300 0.48384616 0.50915384 0.5323077 1.0 268.3 289.0 0.46350366 0.50068957 0.54850745 0.62285715 0.70114285 0.79714286
1400 0.5 0.5245 0.5435714 1.0 263.7 281.0 0.47940075 0.5229909 0.5730337 0.62 0.686 0.7542857
1500 0.5133333 0.53673327 0.56 1.0 258.6 273.0 0.50570345 0.5467989 0.58270675 0.6028572 0.6648571 0.74
1600 0.5225 0.55075 0.571875 1.0 253.8 269.0 0.5252918 0.56746405 0.6075949 0.5885714 0.6497143 0.7171429
1700 0.5282353 0.5617647 0.5805882 1.0 248.2 263.0 0.53333336 0.5920963 0.640625 0.5714286 0.6222857 0.69142854
1800 0.5372222 0.5738889 0.5927778 1.0 243.0 260.0 0.56 0.6154883 0.65873015 0.54571426 0.6091429 0.7171429
1900 0.548421 0.58599997 0.6052632 1.0 239.4 258.0 0.5731707 0.63237584 0.67741936 0.52 0.5774286 0.67142856
2000 0.561 0.59679997 0.6175 1.0 234.6 253.0 0.60504204 0.65515524 0.70711297 0.5 0.5762857 0.6571429
2100 0.5738095 0.6063333 0.62857145 1.0 230.7 250.0 0.6092437 0.6708034 0.7296137 0.48857144 0.564 0.6942857
2200 0.5863636 0.61690915 0.6381818 1.0 226.4 245.0 0.62770563 0.6876157 0.74561405 0.48857144 0.5451429 0.6542857
2300 0.6 0.6265217 0.64913046 1.0 222.4 243.0 0.65198237 0.71187913 0.75770926 0.4485714 0.52599996 0.6628571
2400 0.61083335 0.6362917 0.65875 1.0 218.8 237.0 0.6711111 0.7294189 0.7792793 0.42571428 0.50028574 0.64
2500 0.6224 0.64592 0.6688 1.0 216.4 235.0 0.6909091 0.74310756 0.79816514 0.42285714 0.49257144 0.5657143
2600 0.6330769 0.6555385 0.6769231 1.0 213.6 232.0 0.70642203 0.75569135 0.8101852 0.4 0.47914284 0.54571426
2700 0.6422222 0.66448146 0.6851852 1.0 211.3 229.0 0.720524 0.7702123 0.8181818 0.38 0.46771425 0.5257143
2800 0.6507143 0.67303574 0.6907143 1.0 209.1 228.0 0.7280702 0.7828515 0.8445596 0.36857143 0.45371428 0.51428574
2900 0.66034484 0.6808966 0.6975862 1.0 206.8 225.0 0.74666667 0.79716146 0.85863876 0.35428572 0.446 0.50857145
3000 0.66966665 0.68896663 0.70533335 1.0 204.2 220.0 0.77272725 0.81106263 0.8677249 0.37714285 0.4514286 0.5057143
3100 0.6787097 0.6969355 0.7116129 1.0 203.1 219.0 0.7745098 0.81837845 0.87700534 0.34285715 0.458 0.5228571
3200 0.6846875 0.7036875 0.7175 1.0 201.2 214.0 0.79512197 0.830228 0.8817204 0.34285715 0.44228572 0.51428574
3300 0.69151515 0.7103939 0.7239394 1.0 199.9 214.0 0.8 0.8393685 0.8913044 0.38857144 0.44828573 0.54571426
3400 0.69941175 0.71688235 0.73 1.0 198.2 213.0 0.8142857 0.85006636 0.9010989 0.37714285 0.4317143 0.4857143
3500 0.70714283 0.7234857 0.73657143 1.0 197.1 211.0 0.8142857 0.8568613 0.90954775 0.34285715 0.42171425 0.46285716
3600 0.7133333 0.72925 0.73972225 1.0 195.2 211.0 0.8341232 0.8712069 0.9191919 0.3342857 0.41571432 0.46
3700 0.7197297 0.73516214 0.7454054 1.0 193.3 209.0 0.84313726 0.883463 0.9285714 0.3342857 0.41599998 0.46
3800 0.72605264 0.74094737 0.7515789 1.0 192.5 207.0 0.8522167 0.8896409 0.93846154 0.32 0.4062857 0.4542857
3900 0.7317949 0.74651283 0.7574359 1.0 191.9 207.0 0.85507244 0.8956342 0.943299 0.32 0.40657145 0.4942857
4000 0.73625 0.75162494 0.763 1.0 190.8 205.0 0.8613861 0.903895 0.953125 0.32 0.39714286 0.47714287
4100 0.7414634 0.7567073 0.76804876 1.0 189.6 203.0 0.87 0.91068953 0.95811516 0.31714284 0.38942856 0.4485714
4200 0.74666667 0.7619048 0.77357143 1.0 189.2 202.0 0.87 0.9141755 0.95811516 0.31714284 0.39200002 0.43714285
4300 0.7516279 0.7666744 0.7786046 1.0 188.1 200.0 0.8787879 0.91992724 0.9631579 0.31714284 0.38742858 0.43714285
4400 0.75613636 0.77115905 0.7834091 1.0 187.4 199.0 0.8877551 0.924986 0.9631579 0.31714284 0.39171427 0.44
4500 0.76111114 0.7758222 0.7882222 1.0 187.2 197.0 0.8877551 0.92641735 0.9631579 0.31714284 0.39257142 0.4542857
4600 0.76608694 0.7800652 0.7921739 1.0 186.2 194.0 0.9015544 0.9312072 0.9631579 0.31714284 0.3854286 0.43714285
4700 0.76957446 0.78425527 0.79638296 1.0 185.3 193.0 0.9015544 0.93673885 0.96825397 0.31714284 0.38028577 0.42857143
4800 0.77416664 0.7883541 0.800625 1.0 184.9 193.0 0.9067358 0.9398875 0.96825397 0.31714284 0.37514287 0.42285714
4900 0.777551 0.7922653 0.8046939 1.0 184.5 193.0 0.9114583 0.9418737 0.96825397 0.31714284 0.376 0.42571428
5000 0.7818 0.79604 0.8086 1.0 184.0 192.0 0.9162304 0.94492656 0.96825397 0.31714284 0.372 0.42857143
