rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 170.7 171.0 0.058479533 0.059752326 0.064327486 0.93142855 0.972 0.99714285
100 0.18 0.226 0.31 1.0 228.6 231.0 0.09565217 0.12520185 0.16 0.9514286 0.9631429 0.9771429
200 0.225 0.276 0.335 1.0 260.8 267.0 0.13307984 0.1725928 0.20152092 0.8914286 0.9442857 0.9742857
300 0.29 0.3243333 0.37 1.0 274.9 279.0 0.18345323 0.21319333 0.23722628 0.8971428 0.93714285 0.9685714
400 0.3225 0.356 0.4075 1.0 282.8 290.0 0.22614841 0.24793024 0.27758008 0.8371429 0.92342854 0.96
500 0.358 0.389 0.43 1.0 287.5 292.0 0.25259516 0.2790626 0.31118882 0.8457143 0.91171426 0.95714283
600 0.38166666 0.4165 0.46166667 1.0 287.5 292.0 0.28819445 0.3130897 0.3614035 0.8657143 0.9054287 0.94857144
700 0.40285715 0.4412857 0.48285714 1.0 289.1 293.0 0.3105802 0.3383055 0.36551723 0.83428574 0.88828576 0.93714285
800 0.42375 0.46325007 0.49875 1.0 288.4 292.0 0.3321918 0.36199772 0.3811189 0.81714284 0.87057143 0.9114286
900 0.45 0.48388892 0.51111114 1.0 286.1 291.0 0.35051546 0.38273266 0.40418118 0.82 0.8625714 0.9114286
1000 0.468 0.5046 0.53 1.0 283.0 286.0 0.3846154 0.4017818 0.43157893 0.78 0.8459999 0.8971428
1100 0.4909091 0.52454543 0.5509091 1.0 280.8 285.0 0.3950178 0.41840634 0.44561404 0.74857146 0.8345715 0.89428574
1200 0.5075 0.5410833 0.56666666 1.0 278.6 285.0 0.41366908 0.43963867 0.46666667 0.7342857 0.82514286 0.9028571
1300 0.52307695 0.5556923 0.5784615 1.0 275.3 282.0 0.43272728 0.4590965 0.4893617 0.70857143 0.8037143 0.86
1400 0.5392857 0.57199997 0.5971429 1.0 272.5 279.0 0.4501845 0.47450128 0.50179213 0.75142854 0.8019999 0.8657143
1500 0.556 0.5843333 0.61266667 1.0 268.6 276.0 0.46616542 0.49116158 0.52307695 0.7114286 0.7914286 0.8457143
1600 0.571875 0.59681255 0.625625 1.0 264.6 272.0 0.47348484 0.50583345 0.5533597 0.70285714 0.77742857 0.85142857
1700 0.58411765 0.61 0.6388235 1.0 261.4 271.0 0.4903475 0.52049124 0.5742972 0.6542857 0.76428574 0.8314286
1800 0.5988889 0.62333333 0.6533333 1.0 258.4 269.0 0.5 0.53163105 0.58704454 0.6514286 0.7605714 0.80857146
1900 0.61315787 0.63478947 0.6657895 1.0 255.2 266.0 0.512 0.5438477 0.60493827 0.6628571 0.7534285 0.81714284
2000 0.6225 0.64434993 0.673 1.0 252.2 263.0 0.5241935 0.55505735 0.607438 0.61714286 0.7351428 0.7885714
2100 0.63285714 0.65304756 0.67904764 1.0 247.8 258.0 0.5495868 0.57016146 0.61764705 0.5885714 0.734 0.7942857
2200 0.6440909 0.66218174 0.68545455 1.0 243.7 255.0 0.5595238 0.5827102 0.6282051 0.6 0.7222856 0.7657143
2300 0.6547826 0.67200005 0.69608694 1.0 241.4 251.0 0.572 0.5907267 0.6336207 0.6 0.7148571 0.78
2400 0.66125 0.68066657 0.7025 1.0 238.9 248.0 0.5761317 0.6007972 0.6478261 0.61142856 0.7162857 0.7657143
