rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 170.7 171.0 0.058479533 0.06033712 0.064327486 0.93142855 0.972 0.99714285
100 0.17 0.21400002 0.28 1.0 245.0 254.0 0.10204082 0.12250199 0.16465864 0.94285715 0.9648572 0.98571426
200 0.225 0.2615 0.33 1.0 286.6 293.0 0.14482759 0.16546483 0.20415226 0.9285714 0.95600003 0.99142855
300 0.25666666 0.29733333 0.36666667 1.0 311.9 320.0 0.171875 0.20413406 0.2374582 0.93714285 0.9597143 0.98285717
400 0.285 0.33249998 0.3875 1.0 327.2 336.0 0.20783132 0.24067166 0.29299363 0.94 0.96028566 0.9885714
500 0.314 0.3684 0.416 1.0 336.0 344.0 0.23684211 0.26593795 0.32507738 0.94857144 0.9645715 0.9885714
600 0.345 0.39066666 0.43833333 1.0 340.8 352.0 0.27002966 0.29627967 0.35951662 0.94285715 0.96171427 0.9771429
700 0.37285715 0.41357145 0.46142858 1.0 348.1 361.0 0.30571428 0.32587573 0.37900874 0.94 0.95914286 0.98
800 0.385 0.43524998 0.48 1.0 350.9 366.0 0.31728044 0.3508389 0.38968483 0.9342857 0.95714283 0.98285717
900 0.40333334 0.454 0.48222223 1.0 353.5 365.0 0.3380682 0.37055033 0.4164306 0.94285715 0.95800006 0.9771429
1000 0.431 0.47550002 0.507 1.0 354.3 368.0 0.36103153 0.38833636 0.4318182 0.93142855 0.9548572 0.98
1100 0.45909092 0.49754542 0.53090906 1.0 354.9 368.0 0.37861273 0.40512714 0.4532578 0.9085714 0.9545714 0.98571426
1200 0.475 0.5135833 0.54 1.0 356.0 368.0 0.39367816 0.4220981 0.46648043 0.9085714 0.9514286 0.99142855
1300 0.49 0.5293077 0.55153847 1.0 355.5 366.0 0.40804598 0.43958122 0.48459384 0.9057143 0.9488572 0.9685714
1400 0.505 0.5440714 0.56357145 1.0 355.7 367.0 0.42774567 0.45322776 0.49859154 0.9085714 0.9500001 0.98571426
1500 0.5133333 0.5561333 0.57533336 1.0 354.4 364.0 0.44505495 0.46651936 0.5126051 0.8857143 0.9419999 0.98285717
1600 0.525625 0.56943756 0.589375 1.0 357.4 367.0 0.44827586 0.47280216 0.5263158 0.89428574 0.94542855 0.98285717
1700 0.53764707 0.5817647 0.6023529 1.0 357.1 367.0 0.4640884 0.4830287 0.53203344 0.87142855 0.9457143 0.98571426
1800 0.55277777 0.5941111 0.61388886 1.0 357.9 368.0 0.47042254 0.48784837 0.5363129 0.8657143 0.9365714 0.99142855
