rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 21.0 21.0 0.95238096 0.95714295 1.0 0.028571429 0.030571427 0.04
100 0.14 0.257 0.31 1.0 87.2 98.0 0.30588236 0.37017065 0.39534885 0.2 0.2697143 0.3257143
200 0.22 0.27999997 0.35 1.0 125.1 134.0 0.29508197 0.3253206 0.36290324 0.2742857 0.3662857 0.43714285
300 0.25333333 0.29466665 0.35 1.0 152.5 158.0 0.2847222 0.31509346 0.3548387 0.4 0.4571429 0.5657143
400 0.265 0.3075 0.3425 1.0 169.9 178.0 0.28484848 0.32166868 0.3554217 0.39714286 0.47399998 0.5314286
500 0.278 0.32639998 0.362 1.0 184.6 190.0 0.29213482 0.32891873 0.35789475 0.4 0.5122857 0.64285713
600 0.28 0.333 0.38833332 1.0 194.9 204.0 0.2857143 0.34019884 0.38190955 0.3857143 0.5551428 0.6571429
700 0.29142857 0.34428573 0.40571427 1.0 201.8 214.0 0.2914573 0.35198158 0.39252338 0.40571427 0.5525714 0.62857145
800 0.30625 0.355 0.41375 1.0 205.2 217.0 0.30660376 0.37046352 0.415 0.46 0.54571426 0.64857143
900 0.32444444 0.3656667 0.41333333 1.0 207.9 219.0 0.31308413 0.38578928 0.44059405 0.49714285 0.5631429 0.64
1000 0.341 0.37480003 0.419 1.0 208.5 223.0 0.33816424 0.4012305 0.44927537 0.46571428 0.54342854 0.6028572
1100 0.35181817 0.38154545 0.4190909 1.0 212.1 223.0 0.34862384 0.4134818 0.46341464 0.47714287 0.52914286 0.62285715
1200 0.35833332 0.38775 0.42333335 1.0 213.6 225.0 0.36818182 0.42755595 0.4764151 0.46571428 0.5351429 0.64285713
1300 0.36384615 0.39461535 0.43461537 1.0 215.3 231.0 0.39631337 0.44242015 0.47804877 0.38285714 0.5182857 0.62285715
1400 0.375 0.4012143 0.43928573 1.0 216.3 229.0 0.41777778 0.45556107 0.48430493 0.40571427 0.53571427 0.6142857
1500 0.38 0.4083333 0.452 1.0 217.0 233.0 0.4212963 0.46457872 0.49344978 0.4342857 0.53114283 0.58285713
1600 0.386875 0.41468748 0.46125 1.0 216.1 230.0 0.43055555 0.48131293 0.5144231 0.44285715 0.5194286 0.67714286
1700 0.39235294 0.4214118 0.46705884 1.0 214.2 228.0 0.4372093 0.49467763 0.5336323 0.4485714 0.51342857 0.56
