rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 170.7 171.0 0.058479533 0.060340565 0.064705886 0.93142855 0.972 0.99714285
100 0.14 0.19100001 0.25 1.0 227.8 232.0 0.074235804 0.086471915 0.103896104 0.9057143 0.9474285 0.98285717
200 0.17 0.20799999 0.26 1.0 260.0 269.0 0.07865169 0.10898997 0.12941177 0.87714285 0.92285717 0.98285717
300 0.18333334 0.22133334 0.25333333 1.0 275.0 282.0 0.09642857 0.13063166 0.15053764 0.84 0.8922857 0.9285714
400 0.2025 0.23725 0.2675 1.0 277.5 286.0 0.11888112 0.15280958 0.16666667 0.82857144 0.8771429 0.93714285
500 0.226 0.25359997 0.294 1.0 277.1 287.0 0.13937283 0.17136389 0.19163764 0.83428574 0.85485727 0.88285714
600 0.24333334 0.26666668 0.305 1.0 274.8 284.0 0.16549295 0.1869754 0.204947 0.7542857 0.83457136 0.9085714
700 0.25285715 0.27442855 0.3157143 1.0 269.1 277.0 0.1768953 0.2033592 0.22509225 0.74 0.8242857 0.88
800 0.255 0.281625 0.31375 1.0 260.9 272.0 0.19117647 0.22439957 0.24521072 0.69714284 0.7862857 0.84
900 0.26444444 0.28822222 0.31 1.0 254.1 264.0 0.20833333 0.24231744 0.27125505 0.67142856 0.7691429 0.84
1000 0.277 0.2971 0.32 1.0 246.9 258.0 0.22857143 0.2604631 0.2987552 0.6142857 0.7131428 0.78571427
1100 0.28636363 0.3081818 0.32818183 1.0 241.9 253.0 0.24892704 0.28266189 0.30864197 0.56857145 0.67371434 0.75714284
1200 0.29416665 0.31675002 0.33333334 1.0 232.2 245.0 0.2631579 0.3126456 0.34632036 0.46571428 0.62885714 0.70285714
1300 0.29615384 0.32438463 0.3430769 1.0 224.7 231.0 0.2850679 0.3381639 0.36681223 0.5657143 0.60028565 0.68285716
1400 0.3042857 0.33442855 0.35357141 1.0 217.2 227.0 0.3270142 0.3623299 0.3838384 0.43714285 0.57371426 0.64
1500 0.31333333 0.34153333 0.36133334 1.0 211.7 221.0 0.34146342 0.38480031 0.41666666 0.4457143 0.5491429 0.6514286
1600 0.321875 0.35162503 0.37 1.0 207.2 219.0 0.37914693 0.41102988 0.43317974 0.4 0.5188571 0.62285715
1700 0.3317647 0.35923532 0.3829412 1.0 205.6 221.0 0.3875598 0.42963758 0.45714286 0.47714287 0.5202857 0.5942857
1800 0.3422222 0.36805552 0.39277777 1.0 201.1 212.0 0.39512196 0.45243734 0.47668394 0.42571428 0.50971425 0.6085714
1900 0.35157895 0.37710527 0.40052631 1.0 200.2 212.0 0.40865386 0.47025222 0.5 0.36285713 0.4688571 0.58285713
2000 0.358 0.38564998 0.4125 1.0 198.9 211.0 0.42380953 0.4896266 0.52682924 0.37142858 0.4677143 0.56285715
2100 0.36571428 0.39366668 0.42 1.0 195.1 208.0 0.45673078 0.51734877 0.5555556 0.3857143 0.4542857 0.56
2200 0.38045454 0.4021364 0.42863637 1.0 194.5 209.0 0.47368422 0.535077 0.56989247 0.36 0.44799995 0.58285713
2300 0.38869566 0.41095653 0.43913043 1.0 192.5 211.0 0.49261084 0.5537971 0.6043956 0.33714285 0.41571426 0.5
2400 0.39625 0.41962498 0.44666666 1.0 192.4 204.0 0.51 0.5683213 0.6075269 0.35428572 0.40914288 0.43714285
2500 0.4052 0.42788 0.4544 1.0 192.4 202.0 0.5408163 0.58470166 0.6069652 0.34857142 0.41742858 0.51714283
2600 0.4126923 0.43546152 0.46461537 1.0 192.3 209.0 0.56796116 0.60141695 0.6318408 0.33142856 0.39799997 0.49142858
2700 0.42185184 0.44311112 0.47037038 1.0 191.4 213.0 0.5828877 0.6167664 0.6363636 0.33714285 0.41285715 0.5
2800 0.43035713 0.4510714 0.48035714 1.0 192.3 212.0 0.5846154 0.6262824 0.65680474 0.33714285 0.39657146 0.47714287
2900 0.43931034 0.4576207 0.4862069 1.0 192.9 206.0 0.5833333 0.6391713 0.6796116 0.3257143 0.40428573 0.47142857
3000 0.448 0.46513328 0.491 1.0 192.3 210.0 0.60215056 0.6527778 0.6857143 0.36 0.39742854 0.47428572
3100 0.45451614 0.47141933 0.49548388 1.0 189.7 207.0 0.6096257 0.6679839 0.7112299 0.3257143 0.37371427 0.4342857
3200 0.46125 0.47849998 0.504375 1.0 190.0 205.0 0.61621624 0.67853624 0.7256098 0.30285713 0.38199997 0.42571428
3300 0.46878788 0.48551518 0.50939393 1.0 189.5 214.0 0.65591395 0.6929151 0.7368421 0.2942857 0.37857142 0.42285714
3400 0.4752941 0.492 0.51705885 1.0 190.9 211.0 0.65555555 0.7029928 0.73939395 0.2742857 0.352 0.41142857
3500 0.48171428 0.4975143 0.5228571 1.0 190.5 210.0 0.64324325 0.71387434 0.7765958 0.29142857 0.3437143 0.43714285
3600 0.48694444 0.5040277 0.52805555 1.0 190.7 218.0 0.6486486 0.7244017 0.8 0.2942857 0.34057146 0.42285714
