rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 170.6 171.0 0.058479533 0.06095631 0.064327486 0.93142855 0.972 0.99714285
100 0.16 0.201 0.24 1.0 227.8 231.0 0.069565214 0.08521716 0.11894273 0.88 0.94828576 0.9771429
200 0.19 0.22199997 0.26 1.0 255.5 258.0 0.078431375 0.10102276 0.12749004 0.88857144 0.92628574 0.96
300 0.20666666 0.23866668 0.28333333 1.0 265.3 274.0 0.09363296 0.11692699 0.14981273 0.85142857 0.9077142 0.9514286
400 0.2225 0.25500003 0.295 1.0 267.3 274.0 0.099631 0.13543497 0.17100371 0.8428571 0.8957143 0.9771429
500 0.248 0.2784 0.308 1.0 262.7 272.0 0.1124031 0.15480764 0.19847329 0.8457143 0.86714286 0.8971428
600 0.27666667 0.29749998 0.33333334 1.0 254.7 263.0 0.122047246 0.1742228 0.21317829 0.7714286 0.8325714 0.8971428
700 0.28428572 0.31357145 0.35428572 1.0 245.6 257.0 0.13821138 0.19895682 0.22983871 0.76285714 0.8234285 0.87142855
800 0.28125 0.32875004 0.36625 1.0 234.9 249.0 0.15086207 0.22195134 0.26180258 0.6742857 0.75171435 0.8657143
900 0.29666665 0.344 0.36888888 1.0 223.6 240.0 0.18348624 0.24523237 0.28310502 0.6342857 0.7222856 0.78571427
1000 0.317 0.36400002 0.388 1.0 211.6 229.0 0.20707071 0.2664394 0.31132075 0.6 0.6571428 0.7542857
1100 0.33454546 0.38390914 0.40636364 1.0 200.0 217.0 0.22994652 0.28937465 0.32642487 0.4857143 0.5908572 0.68857145
1200 0.35333332 0.40225 0.42333335 1.0 187.5 205.0 0.25287357 0.31760037 0.36065573 0.48 0.5417143 0.64285713
1300 0.37538463 0.4200769 0.4446154 1.0 176.4 191.0 0.28313252 0.3435284 0.38728324 0.3857143 0.5097143 0.6457143
1400 0.39785713 0.43892854 0.46642858 1.0 167.2 183.0 0.30128205 0.36562783 0.40571427 0.36857143 0.4791429 0.61142856
1500 0.412 0.4548666 0.48866665 1.0 156.8 176.0 0.32413793 0.39596552 0.45679012 0.2942857 0.4385714 0.57714283
1600 0.42875 0.4715 0.505625 1.0 148.8 168.0 0.34814814 0.42285022 0.4871795 0.32857144 0.39514285 0.54
1700 0.44470587 0.48758823 0.51823527 1.0 139.9 161.0 0.41322315 0.4578844 0.5205479 0.24857143 0.35742858 0.49714285
1800 0.46388888 0.5043333 0.5283333 1.0 132.5 155.0 0.44642857 0.4872199 0.5588235 0.23142858 0.35 0.47142857
1900 0.48842105 0.5210526 0.54157895 1.0 126.4 148.0 0.4587156 0.51189554 0.59375 0.23428571 0.32714286 0.44
2000 0.5045 0.536 0.5545 1.0 120.4 137.0 0.4854369 0.54286367 0.6178862 0.22571428 0.31857142 0.42571428
2100 0.52047616 0.5509523 0.56904763 1.0 114.2 131.0 0.5208333 0.57307464 0.6495727 0.19714285 0.28428572 0.36571428
2200 0.5377273 0.565591 0.57863635 1.0 109.4 122.0 0.5319149 0.5974201 0.67256635 0.20285714 0.26914287 0.34571427
2300 0.55260867 0.5805217 0.5926087 1.0 106.1 121.0 0.5494506 0.6185995 0.6909091 0.20285714 0.25857145 0.34857142
2400 0.56583333 0.5937917 0.6070833 1.0 103.3 119.0 0.5897436 0.6366483 0.7037037 0.16857143 0.24371429 0.3342857
2500 0.5792 0.60664004 0.6212 1.0 99.2 115.0 0.6160714 0.6646106 0.71028036 0.16285715 0.23628572 0.31428573
2600 0.5942308 0.6189615 0.6330769 1.0 96.2 112.0 0.6542056 0.68750274 0.7378641 0.17714286 0.23571427 0.34857142
2700 0.6074074 0.6307777 0.6462963 1.0 93.5 108.0 0.68 0.70833397 0.75 0.16 0.22314283 0.32857144
2800 0.62 0.6416785 0.6575 1.0 91.2 107.0 0.7010309 0.7294399 0.7590361 0.15142857 0.22228572 0.33142856
2900 0.6324138 0.6525518 0.6672414 1.0 89.6 106.0 0.7234042 0.7446877 0.76829267 0.14 0.2202857 0.32
3000 0.644 0.6623667 0.6756667 1.0 87.7 106.0 0.7358491 0.76307315 0.7875 0.14571428 0.20942858 0.31428573
3100 0.6541935 0.6723871 0.6848387 1.0 86.9 106.0 0.7358491 0.7722232 0.8055556 0.14571428 0.20942858 0.32285714
3200 0.6646875 0.681625 0.694375 1.0 85.8 104.0 0.75 0.78309 0.8076923 0.13714285 0.20742857 0.31428573
3300 0.6739394 0.6903939 0.7030303 1.0 85.0 104.0 0.75 0.79049593 0.8181818 0.13428572 0.20285717 0.30857143
3400 0.6829412 0.69867647 0.7114706 1.0 84.1 104.0 0.75961536 0.80134785 0.8202247 0.12857144 0.20542857 0.32285714
3500 0.692 0.7067428 0.7197143 1.0 83.4 103.0 0.7669903 0.809336 0.84090906 0.12857144 0.20428571 0.30571428
3600 0.70055556 0.71422225 0.72694445 1.0 82.9 102.0 0.7745098 0.8164894 0.8426966 0.12857144 0.20057145 0.3
3700 0.7086486 0.72145945 0.73351353 1.0 82.4 101.0 0.7821782 0.8225638 0.8513514 0.12857144 0.19971429 0.2942857
3800 0.7163158 0.7284211 0.7405263 1.0 82.1 100.0 0.79 0.82755584 0.8636364 0.12857144 0.19485715 0.2942857
3900 0.7235897 0.7349743 0.7471795 1.0 81.2 97.0 0.814433 0.83642924 0.8636364 0.12857144 0.19228573 0.28285715
4000 0.7305 0.74105 0.75325 1.0 80.7 97.0 0.814433 0.84164965 0.87356323 0.12857144 0.19228572 0.28
4100 0.7370732 0.74697554 0.7587805 1.0 80.2 97.0 0.8153846 0.84831077 0.9047619 0.12857144 0.19085714 0.28857142
4200 0.7430952 0.75288093 0.7645238 1.0 80.0 96.0 0.8153846 0.85018814 0.9047619 0.12857144 0.19028573 0.2857143
4300 0.74906975 0.7583488 0.7693023 1.0 79.3 96.0 0.8153846 0.8575676 0.9047619 0.12857144 0.18914285 0.28857142
4400 0.7547727 0.76370454 0.77431816 1.0 79.0 96.0 0.8153846 0.8607586 0.9047619 0.12857144 0.18885715 0.2857143
4500 0.76 0.7688444 0.77933335 1.0 78.8 96.0 0.8153846 0.86307585 0.9047619 0.13142857 0.18857142 0.2857143
4600 0.765 0.7737826 0.78413045 1.0 78.4 96.0 0.828125 0.8677956 0.9047619 0.13142857 0.188 0.2857143
4700 0.76893616 0.7784256 0.7887234 1.0 78.2 95.0 0.828125 0.8700248 0.9047619 0.12571429 0.18685713 0.28
4800 0.7735417 0.78302085 0.793125 1.0 78.1 95.0 0.84126985 0.8713392 0.9047619 0.12571429 0.18685713 0.28
4900 0.77816325 0.78742856 0.79734695 1.0 78.1 95.0 0.84126985 0.8713392 0.9047619 0.12571429 0.18828571 0.2942857
5000 0.7826 0.79166 0.8014 1.0 78.1 95.0 0.84126985 0.8713392 0.9047619 0.12571429 0.18714286 0.28285715
5100 0.78686273 0.79572546 0.8052941 1.0 78.0 95.0 0.84126985 0.8727334 0.90625 0.12571429 0.18714286 0.28285715
5200 0.79057693 0.79955775 0.80903846 1.0 77.8 94.0 0.84615386 0.8749862 0.90625 0.12571429 0.18657143 0.27714285
5300 0.7945283 0.80333966 0.8126415 1.0 77.8 94.0 0.84615386 0.8749862 0.90625 0.12571429 0.18657143 0.27714285
5400 0.79833335 0.80696297 0.8161111 1.0 77.7 93.0 0.84615386 0.87590134 0.90625 0.12571429 0.18657143 0.27714285
5500 0.802 0.81047267 0.81945455 1.0 77.7 93.0 0.84615386 0.87590134 0.90625 0.12571429 0.18657143 0.27714285
5600 0.80553573 0.8138572 0.82267857 1.0 77.7 93.0 0.84615386 0.87590134 0.90625 0.12571429 0.18657143 0.27714285
5700 0.8089474 0.81712276 0.82578945 1.0 77.7 93.0 0.84615386 0.87590134 0.90625 0.12571429 0.18657143 0.27714285
5800 0.8122414 0.82024133 0.8287931 1.0 77.5 93.0 0.84615386 0.87826073 0.90625 0.12571429 0.18657143 0.27714285
5900 0.8154237 0.82328814 0.8316949 1.0 77.5 93.0 0.84615386 0.87826073 0.90625 0.12571429 0.18657143 0.27714285
