rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 170.5 171.0 0.058479533 0.05865153 0.05882353 0.93142855 0.972 0.99714285
100 0.12 0.193 0.25 1.0 232.5 237.0 0.05907173 0.06882023 0.08695652 0.93714285 0.9700001 0.9942857
200 0.19 0.22449999 0.26 1.0 261.7 268.0 0.06949807 0.084458664 0.11673152 0.94857144 0.9714286 0.99714285
300 0.20333333 0.24433334 0.28333333 1.0 279.4 285.0 0.086021505 0.10631885 0.13186814 0.9457143 0.96857136 0.9942857
400 0.22 0.26250002 0.3125 1.0 291.2 297.0 0.1 0.12472214 0.15789473 0.93142855 0.96400005 0.98571426
500 0.24 0.281 0.34 1.0 299.0 308.0 0.123333335 0.15054695 0.17704917 0.9257143 0.9634285 0.98571426
600 0.26 0.299 0.35833332 1.0 304.6 311.0 0.14144737 0.16647466 0.20578778 0.9285714 0.9628571 0.99714285
700 0.28 0.31228572 0.37285715 1.0 309.0 317.0 0.17350158 0.19104514 0.22364217 0.9 0.9525715 0.98285717
800 0.29875 0.32912502 0.3825 1.0 311.5 321.0 0.18530351 0.21289194 0.25 0.9142857 0.94542855 0.9885714
900 0.3122222 0.3431111 0.39 1.0 313.3 325.0 0.20382166 0.2289521 0.25974026 0.8971428 0.9445714 0.99142855
1000 0.329 0.35840002 0.396 1.0 314.9 328.0 0.21794872 0.24655625 0.28481013 0.8742857 0.938 0.9885714
1100 0.3490909 0.3720909 0.40727273 1.0 316.4 330.0 0.22683705 0.2627722 0.30599368 0.88 0.9382857 0.98571426
1200 0.36 0.38450003 0.42583334 1.0 316.5 329.0 0.24600638 0.27743337 0.31629393 0.88857144 0.936 0.9771429
1300 0.36846155 0.396 0.4369231 1.0 316.2 329.0 0.2674772 0.2939615 0.33870968 0.8857143 0.9334286 0.9714286
1400 0.3807143 0.40864286 0.4485714 1.0 317.2 329.0 0.27760252 0.30561107 0.3483871 0.88857144 0.93200004 0.9771429
1500 0.392 0.41846666 0.45933333 1.0 316.1 332.0 0.28753993 0.32087916 0.3583062 0.9 0.9297142 0.9657143
1600 0.400625 0.430375 0.47125 1.0 315.8 333.0 0.2972973 0.33130497 0.36335403 0.8914286 0.92485714 0.9685714
1700 0.41 0.4377059 0.47764707 1.0 315.9 332.0 0.30120483 0.34234884 0.371875 0.88285714 0.91800004 0.9685714
1800 0.42 0.44705552 0.4861111 1.0 315.7 327.0 0.32110092 0.3526098 0.37658226 0.8685714 0.9122857 0.9714286
1900 0.43157893 0.4558421 0.49157894 1.0 315.7 325.0 0.3323077 0.36114347 0.3892405 0.84 0.9122856 0.9714286
2000 0.4395 0.46585003 0.503 1.0 315.6 326.0 0.33742332 0.37021682 0.40127388 0.86285716 0.91314286 0.9685714
2100 0.44714287 0.473 0.5104762 1.0 315.2 327.0 0.35423198 0.38273543 0.41025642 0.82857144 0.9037143 0.95428574
2200 0.4522727 0.48127276 0.5190909 1.0 315.9 327.0 0.36677116 0.3918072 0.4248366 0.78571427 0.88714284 0.93714285
2300 0.46086955 0.4888261 0.5247826 1.0 315.4 327.0 0.3785489 0.4000731 0.42996743 0.8 0.8874286 0.9457143
2400 0.47125 0.4962917 0.53 1.0 315.7 326.0 0.384127 0.40757403 0.43506494 0.81142855 0.88171434 0.93142855
2500 0.4768 0.50384 0.538 1.0 315.9 325.0 0.38801262 0.4138936 0.4383117 0.81714284 0.87600005 0.9257143
2600 0.4853846 0.51061547 0.545 1.0 314.3 324.0 0.399361 0.4223526 0.44771242 0.84 0.8785714 0.9257143
2700 0.4937037 0.5177407 0.5525926 1.0 313.4 323.0 0.4025559 0.42858297 0.45394737 0.83428574 0.8791429 0.9142857
2800 0.49642858 0.52342856 0.5592857 1.0 313.8 325.0 0.41214058 0.43334445 0.453125 0.82857144 0.8825715 0.9257143
2900 0.5024138 0.5299655 0.56517243 1.0 313.8 325.0 0.42038217 0.44106334 0.46557376 0.79142857 0.8742857 0.9285714
3000 0.509 0.53620005 0.57166666 1.0 312.9 325.0 0.42307693 0.44618726 0.47350994 0.82 0.88285714 0.93714285
3100 0.5145161 0.54164517 0.5735484 1.0 312.7 325.0 0.42628205 0.4510076 0.48 0.8142857 0.88085717 0.9342857
3200 0.5171875 0.54590625 0.5765625 1.0 312.2 323.0 0.42857143 0.4561468 0.47936508 0.83428574 0.88142854 0.9285714
3300 0.5221212 0.5512122 0.58151513 1.0 311.8 321.0 0.43987343 0.46277437 0.48407644 0.8371429 0.8780001 0.91714287
3400 0.5273529 0.5566765 0.58705884 1.0 311.8 322.0 0.4437299 0.46692553 0.49201277 0.84 0.8797143 0.9057143
3500 0.5322857 0.5621714 0.594 1.0 311.8 319.0 0.44551283 0.47048777 0.49201277 0.8257143 0.8714286 0.8971428
3600 0.5375 0.5676111 0.5986111 1.0 311.1 319.0 0.45425868 0.4750639 0.49514562 0.8314286 0.8731429 0.9114286
3700 0.5413514 0.57197297 0.6 1.0 311.1 319.0 0.45741326 0.47924772 0.5 0.8542857 0.8717143 0.8971428
3800 0.54710525 0.57644737 0.6028947 1.0 311.6 320.0 0.45454547 0.4814145 0.50482315 0.8314286 0.8702857 0.9085714
3900 0.55230767 0.58123076 0.60820514 1.0 312.8 321.0 0.459375 0.48275012 0.50961536 0.8428571 0.8728572 0.92
4000 0.559 0.5858749 0.6105 1.0 312.6 324.0 0.45794392 0.48760146 0.5225806 0.8 0.86285716 0.91714287
4100 0.5629268 0.58992684 0.61463416 1.0 311.8 323.0 0.47039473 0.49335027 0.5339806 0.8 0.8551428 0.9257143
4200 0.567619 0.5943572 0.61904764 1.0 311.7 321.0 0.47352025 0.49699873 0.53697747 0.7942857 0.85485715 0.92285717
4300 0.57139534 0.5986744 0.6230233 1.0 311.9 321.0 0.47975078 0.50087523 0.54545456 0.79714286 0.8568572 0.9114286
4400 0.5775 0.60302275 0.62636364 1.0 312.1 322.0 0.48253968 0.50319016 0.55737704 0.80285716 0.85257137 0.9142857
4500 0.58022225 0.6063333 0.62866664 1.0 312.6 321.0 0.48355263 0.5056329 0.56393445 0.80285716 0.85457146 0.91714287
4600 0.5847826 0.61036956 0.6319565 1.0 312.7 324.0 0.4819672 0.5084295 0.57236844 0.81142855 0.8562857 0.9114286
4700 0.5887234 0.6139574 0.6342553 1.0 312.2 325.0 0.48264983 0.51168 0.5780731 0.8057143 0.8517143 0.92
4800 0.593125 0.6175208 0.6375 1.0 312.2 325.0 0.4827586 0.5142826 0.5819398 0.7828571 0.85085714 0.9057143
4900 0.5967347 0.62063265 0.6410204 1.0 312.4 325.0 0.4827586 0.5197741 0.5819398 0.7828571 0.85199994 0.9057143
