rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 21.0 21.0 0.95238096 0.9666668 1.0 0.028571429 0.029142857 0.03142857
100 0.15 0.251 0.36 1.0 102.2 108.0 0.31 0.3860926 0.46078432 0.09714286 0.11942859 0.15428571
200 0.225 0.272 0.315 1.0 158.7 170.0 0.28947368 0.3286766 0.4041096 0.16571428 0.20857143 0.24857143
300 0.27333334 0.29299998 0.32333332 1.0 195.7 214.0 0.30729166 0.33497298 0.39361703 0.20857143 0.29285714 0.35142857
400 0.2875 0.31675 0.3525 1.0 220.2 234.0 0.32272726 0.3466779 0.41121495 0.25428572 0.35657144 0.43714285
500 0.314 0.3362 0.36 1.0 240.8 250.0 0.33333334 0.3609156 0.4 0.34571427 0.40542856 0.45142856
600 0.32 0.35166663 0.38333333 1.0 254.5 265.0 0.33466136 0.37066004 0.41245136 0.42857143 0.46514282 0.51428574
700 0.33571428 0.3672857 0.39571428 1.0 265.6 282.0 0.35714287 0.38601044 0.42066422 0.40285715 0.5071429 0.5885714
800 0.35875 0.38125 0.41125 1.0 274.4 292.0 0.3607143 0.39606488 0.4352518 0.42285714 0.54085714 0.62285715
900 0.36777776 0.39022225 0.42444444 1.0 284.1 299.0 0.3689655 0.40521663 0.43333334 0.5228571 0.5851429 0.68857145
1000 0.37 0.4015 0.428 1.0 291.1 303.0 0.39084506 0.42016038 0.44765344 0.58 0.6148572 0.6742857
1100 0.37727273 0.4108182 0.43363637 1.0 296.8 310.0 0.4054983 0.43257174 0.46938777 0.5742857 0.62714285 0.68857145
1200 0.39333335 0.42216668 0.45083332 1.0 300.8 314.0 0.41216215 0.44425026 0.4814815 0.58285713 0.6431428 0.7228571
1300 0.40384614 0.43107694 0.46076924 1.0 305.6 320.0 0.41860464 0.45208532 0.48534203 0.5542857 0.6631428 0.7714286
1400 0.41642857 0.4408571 0.46857142 1.0 309.3 323.0 0.43506494 0.4626914 0.49838188 0.5742857 0.6745714 0.76285714
1500 0.42333335 0.4495333 0.476 1.0 312.5 325.0 0.4430769 0.4715897 0.50476193 0.62 0.6771428 0.75142854
1600 0.43625 0.45856252 0.485 1.0 315.2 334.0 0.45079365 0.47995538 0.5254777 0.5857143 0.68285716 0.75714284
1700 0.44764706 0.46629414 0.49411765 1.0 316.3 333.0 0.45396826 0.48652458 0.5220126 0.61714286 0.6934286 0.74857146
1800 0.4561111 0.47277778 0.5 1.0 318.7 333.0 0.46708465 0.49324623 0.523511 0.62 0.68314284 0.74285716
1900 0.46052632 0.47952628 0.50842106 1.0 320.9 336.0 0.48 0.4992036 0.52684563 0.62285715 0.68857145 0.74857146
2000 0.468 0.48745003 0.518 1.0 322.6 339.0 0.49185666 0.50739807 0.54 0.64285713 0.6894285 0.74857146
2100 0.47333333 0.4945714 0.52761906 1.0 322.6 340.0 0.49852508 0.52109927 0.5555556 0.6314286 0.6848572 0.77428573
2200 0.4781818 0.5009545 0.53136367 1.0 324.8 342.0 0.5014663 0.5254823 0.551495 0.62285715 0.6874286 0.78
2300 0.48391303 0.50752175 0.5373913 1.0 325.9 343.0 0.516129 0.53374445 0.55409837 0.6142857 0.6837143 0.74285716
2400 0.4925 0.513 0.54125 1.0 326.6 344.0 0.523511 0.54267716 0.5635179 0.6142857 0.686 0.76
2500 0.4976 0.51843995 0.548 1.0 328.8 344.0 0.5339506 0.5490352 0.57051283 0.61142856 0.67628574 0.7457143
2600 0.50384617 0.524 0.5530769 1.0 329.0 343.0 0.53846157 0.5548571 0.5833333 0.5857143 0.68428576 0.75142854
2700 0.50703704 0.53007406 0.5588889 1.0 329.3 341.0 0.537037 0.5601497 0.5987261 0.5942857 0.68685716 0.7714286
2800 0.51357144 0.5350357 0.56142855 1.0 329.2 344.0 0.5415385 0.56893665 0.611465 0.6028572 0.6974286 0.7714286
2900 0.51931036 0.53986204 0.5696552 1.0 329.1 342.0 0.54798764 0.57631123 0.61269844 0.6142857 0.69342864 0.79714286
3000 0.52566665 0.5456333 0.5746667 1.0 329.2 343.0 0.5552147 0.583742 0.6163522 0.66 0.694 0.8057143
3100 0.53 0.54977417 0.5793548 1.0 328.4 338.0 0.559633 0.59081286 0.6182965 0.6542857 0.69428575 0.77428573
3200 0.535 0.55425006 0.5821875 1.0 329.0 339.0 0.5736196 0.5951912 0.6194969 0.6514286 0.6834286 0.74857146
3300 0.539697 0.55842423 0.5860606 1.0 328.8 342.0 0.58153844 0.6026114 0.6329114 0.58 0.676 0.73714286
3400 0.54588234 0.5627647 0.58735293 1.0 328.0 341.0 0.5882353 0.6108268 0.64285713 0.61714286 0.67314285 0.72571427
3500 0.5525714 0.5674 0.592 1.0 328.6 339.0 0.59384614 0.6166696 0.65015477 0.6142857 0.6685715 0.74857146
3600 0.55694443 0.5716389 0.5963889 1.0 328.7 338.0 0.60493827 0.62189806 0.6542056 0.5914286 0.6685714 0.74857146
3700 0.56108105 0.5750271 0.6002703 1.0 328.7 337.0 0.6055046 0.62642765 0.65634674 0.58285713 0.6651429 0.73714286
3800 0.5644737 0.5795 0.60394734 1.0 329.2 337.0 0.60923076 0.63184255 0.6584615 0.5857143 0.6545715 0.72
3900 0.56871796 0.58315384 0.60615385 1.0 328.7 338.0 0.61609906 0.6380451 0.6697531 0.5971429 0.656 0.7171429
4000 0.57475 0.587275 0.609 1.0 329.2 339.0 0.62153846 0.6431189 0.6676923 0.5857143 0.64485717 0.6942857
4100 0.57853657 0.5909512 0.61292684 1.0 329.6 341.0 0.6219512 0.6484777 0.6801242 0.57714283 0.63799995 0.6942857
4200 0.58309525 0.59461904 0.6154762 1.0 329.9 339.0 0.62691134 0.65396154 0.69158876 0.5485714 0.63628566 0.6742857
4300 0.5867442 0.5988139 0.6183721 1.0 330.0 342.0 0.62883437 0.6573993 0.69375 0.54285717 0.63714284 0.70285714
4400 0.5904545 0.60231817 0.62204546 1.0 329.6 340.0 0.6369231 0.661502 0.6978193 0.54571426 0.6277143 0.67714286
4500 0.59511113 0.6055112 0.62644446 1.0 329.5 343.0 0.64 0.6653799 0.6965944 0.55142856 0.62285715 0.68
4600 0.59847826 0.6091087 0.63 1.0 330.8 345.0 0.6452599 0.6673309 0.7027864 0.5485714 0.62542856 0.6942857
4700 0.6025532 0.6125744 0.63276595 1.0 330.4 343.0 0.64329267 0.6717335 0.7049689 0.5542857 0.6291429 0.7171429
4800 0.60479164 0.61570835 0.63416666 1.0 330.7 344.0 0.6493902 0.6744367 0.7037037 0.58 0.624 0.70285714
4900 0.60918367 0.618796 0.63857144 1.0 330.1 343.0 0.652439 0.6796593 0.7120743 0.5742857 0.63 0.7
5000 0.6124 0.62215996 0.6418 1.0 331.0 344.0 0.65349543 0.68205464 0.7173913 0.5857143 0.6354286 0.6942857
5100 0.6141176 0.6253334 0.64431375 1.0 331.2 344.0 0.6625767 0.68530405 0.7173913 0.5742857 0.63199997 0.68285716
