rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.6 1.0 1.0 170.4 171.0 0.058479533 0.058685936 0.05882353 0.93142855 0.972 0.99714285
100 0.16 0.19600001 0.23 1.0 234.2 240.0 0.05882353 0.07131712 0.08154506 0.9514286 0.9699999 0.9942857
200 0.18 0.21900001 0.255 1.0 267.0 272.0 0.07251909 0.08685645 0.104477614 0.96 0.9711429 0.99714285
300 0.18666667 0.23466668 0.27333334 1.0 287.4 291.0 0.08934708 0.10442449 0.11971831 0.94 0.9648571 0.98571426
400 0.185 0.24825001 0.29 1.0 301.5 308.0 0.103896104 0.118476406 0.13 0.9285714 0.95085704 0.9885714
500 0.214 0.26319999 0.316 1.0 309.4 315.0 0.114285715 0.13580228 0.15210356 0.92 0.94371426 0.99142855
600 0.23666666 0.27949998 0.34166667 1.0 314.1 320.0 0.122257054 0.14779308 0.16190477 0.8428571 0.9202858 0.99142855
700 0.24571429 0.2887143 0.35285714 1.0 317.7 324.0 0.16049382 0.16939905 0.1826923 0.88 0.9042857 0.9685714
800 0.2675 0.30237502 0.36 1.0 319.9 325.0 0.16923077 0.19171646 0.21135646 0.8542857 0.896 0.94857144
900 0.27444443 0.31622222 0.37111112 1.0 322.6 328.0 0.18153846 0.20898907 0.2264151 0.8314286 0.888 0.94
1000 0.294 0.3265 0.37 1.0 322.7 329.0 0.21100917 0.22661789 0.24050634 0.81714284 0.8865714 0.94857144
1100 0.31363636 0.3363636 0.37454545 1.0 323.1 329.0 0.22741432 0.24736623 0.26415095 0.80857146 0.87457144 0.91714287
1200 0.32416666 0.347 0.38916665 1.0 323.7 331.0 0.24923077 0.26203698 0.27272728 0.78 0.8682858 0.9085714
1300 0.33615384 0.35576925 0.39615384 1.0 324.0 331.0 0.26234567 0.27667367 0.29192546 0.7657143 0.8597143 0.9342857
1400 0.34857142 0.36635715 0.40857142 1.0 323.7 330.0 0.26934984 0.29045245 0.31034482 0.76 0.85057145 0.9085714
1500 0.35866666 0.37500003 0.41533333 1.0 323.2 328.0 0.27863777 0.30732885 0.32698414 0.7885714 0.85057145 0.93142855
1600 0.37125 0.38356248 0.42375 1.0 322.6 330.0 0.3 0.3211749 0.34862384 0.77428573 0.8462857 0.9285714
1700 0.37470588 0.39182353 0.42882353 1.0 321.8 327.0 0.3190184 0.33719248 0.36391437 0.81142855 0.85057145 0.92285717
1800 0.38666666 0.40122223 0.43611112 1.0 320.7 324.0 0.3271605 0.34832174 0.38271606 0.78571427 0.8597142 0.94
1900 0.39631578 0.40973687 0.44473684 1.0 320.8 324.0 0.34055728 0.36006555 0.3993808 0.78571427 0.85200006 0.91714287
2000 0.3995 0.41779995 0.4575 1.0 320.5 325.0 0.34472048 0.36915594 0.4099379 0.8057143 0.84914285 0.9
2100 0.40714285 0.4239524 0.46809524 1.0 319.2 327.0 0.35168195 0.38356927 0.421875 0.81714284 0.842 0.88285714
2200 0.41454545 0.43190908 0.47772726 1.0 318.6 326.0 0.36196318 0.39622027 0.4384858 0.80285716 0.822 0.8542857
2300 0.42173913 0.43886957 0.4869565 1.0 318.5 326.0 0.37341774 0.40449685 0.44339624 0.78 0.8145715 0.8857143
2400 0.42875 0.44425002 0.48875 1.0 318.5 326.0 0.38607594 0.41612595 0.44827586 0.7542857 0.8105715 0.88
2500 0.4352 0.45076004 0.4972 1.0 317.3 325.0 0.39240506 0.42554846 0.4620253 0.7457143 0.792 0.8542857
2600 0.44 0.45719233 0.50653845 1.0 316.5 323.0 0.4037267 0.43487287 0.471519 0.74285716 0.7874285 0.87714285
2700 0.4474074 0.46362963 0.51148146 1.0 315.6 325.0 0.41719747 0.44718352 0.48253968 0.7228571 0.7668571 0.87142855
2800 0.4525 0.46935716 0.51464283 1.0 315.1 322.0 0.4258675 0.4580927 0.49201277 0.70285714 0.7534286 0.8457143
2900 0.4572414 0.4741724 0.52 1.0 314.1 324.0 0.4384858 0.46787724 0.5 0.68 0.74542856 0.81714284
3000 0.464 0.48023334 0.527 1.0 312.7 322.0 0.44409937 0.4802571 0.5033113 0.68857145 0.74857146 0.82285714
3100 0.46741936 0.48512906 0.5319355 1.0 310.8 317.0 0.45425868 0.48918843 0.5163399 0.68 0.7471428 0.8057143
3200 0.4734375 0.49046874 0.5371875 1.0 311.8 316.0 0.46325877 0.4949134 0.52117264 0.7 0.73800004 0.7885714
3300 0.47848484 0.4958788 0.54212123 1.0 310.9 315.0 0.4726688 0.50373465 0.5367412 0.68857145 0.7465714 0.81142855
3400 0.48088235 0.5009118 0.54588234 1.0 310.9 315.0 0.47741935 0.5114363 0.5399361 0.68857145 0.73857147 0.80857146
3500 0.48857144 0.50645715 0.5511429 1.0 311.6 319.0 0.4854369 0.52024996 0.5504886 0.68 0.7348572 0.81714284
3600 0.49333334 0.5109444 0.55277777 1.0 310.1 319.0 0.49508196 0.5292192 0.5620915 0.6457143 0.72257143 0.78571427
3700 0.49648649 0.51548654 0.5548649 1.0 308.4 314.0 0.5049505 0.5372276 0.5635179 0.68857145 0.71742857 0.78571427
3800 0.50026315 0.5197632 0.55763155 1.0 307.2 315.0 0.5081967 0.5458637 0.56677526 0.67142856 0.7088572 0.7714286
3900 0.5053846 0.5249487 0.56076926 1.0 307.0 315.0 0.50980395 0.5543346 0.5779221 0.66571426 0.71428573 0.78
4000 0.51075 0.5298499 0.562 1.0 307.6 319.0 0.5163399 0.5582125 0.58360654 0.66 0.7008571 0.75142854
4100 0.5131707 0.5340732 0.56658536 1.0 307.1 319.0 0.5247525 0.565561 0.5927152 0.6457143 0.6917143 0.74857146
4200 0.51714283 0.5378809 0.5704762 1.0 306.3 314.0 0.5263158 0.57251436 0.6013072 0.60571426 0.6845714 0.7714286
4300 0.5227907 0.542186 0.5751163 1.0 305.8 312.0 0.5412541 0.57864064 0.60457516 0.58 0.66085714 0.75142854
4400 0.52840906 0.5467954 0.57863635 1.0 304.7 312.0 0.55479455 0.5856037 0.6131148 0.5742857 0.65800005 0.7285714
4500 0.5317778 0.55046666 0.58022225 1.0 304.0 310.0 0.5585284 0.590879 0.6131148 0.58285713 0.6565714 0.72
4600 0.53652173 0.5553261 0.5847826 1.0 304.1 312.0 0.5614618 0.59599864 0.6229508 0.5657143 0.64771426 0.70285714
4700 0.5406383 0.5591277 0.5876596 1.0 304.2 314.0 0.56666666 0.6004796 0.63422817 0.56285715 0.6511429 0.7228571
4800 0.543125 0.5623542 0.591875 1.0 304.6 312.0 0.5770492 0.60630846 0.6405229 0.6 0.6411429 0.6857143
4900 0.5465306 0.5658571 0.5942857 1.0 305.3 315.0 0.5833333 0.61074364 0.6423841 0.60571426 0.6408571 0.6942857
5000 0.551 0.56975996 0.598 1.0 305.6 314.0 0.58471763 0.6134315 0.64784056 0.61142856 0.65314287 0.7114286
5100 0.5539216 0.5732941 0.6011765 1.0 305.2 315.0 0.5855263 0.61886126 0.65460527 0.6028572 0.6554285 0.7171429
5200 0.5571154 0.57644236 0.6048077 1.0 305.2 314.0 0.5855263 0.622107 0.6633663 0.6 0.65914285 0.73142856
5300 0.56245285 0.5801698 0.60754716 1.0 305.4 314.0 0.59477127 0.6265944 0.6622951 0.58285713 0.65371424 0.7
5400 0.5653704 0.5832777 0.6103704 1.0 304.2 315.0 0.6 0.6327431 0.6732673 0.5942857 0.65342855 0.70285714
5500 0.56854546 0.5860363 0.6129091 1.0 302.7 311.0 0.60596025 0.6408626 0.6765677 0.5885714 0.64657146 0.7228571
5600 0.5708929 0.5890535 0.61714286 1.0 301.7 314.0 0.6092715 0.64669305 0.67763156 0.58 0.6405715 0.7171429
5700 0.5742105 0.59249127 0.6191228 1.0 300.4 310.0 0.615894 0.65174615 0.679868 0.5885714 0.63285714 0.69142854
5800 0.5781034 0.59556895 0.6222414 1.0 299.4 311.0 0.6208054 0.65696514 0.69205296 0.6028572 0.6331429 0.6942857
5900 0.58152544 0.59871185 0.6259322 1.0 299.9 310.0 0.625 0.6584368 0.6875 0.5914286 0.6308571 0.68285716
6000 0.5851667 0.60165006 0.628 1.0 300.0 313.0 0.6317568 0.6609462 0.69205296 0.57714283 0.6257143 0.67142856
6100 0.5881967 0.60442626 0.63065577 1.0 300.3 314.0 0.6385135 0.66368103 0.69078946 0.5942857 0.6354286 0.6685714
6200 0.59048384 0.6071936 0.6333871 1.0 300.4 316.0 0.64 0.6686042 0.69463086 0.57714283 0.6345714 0.6942857
6300 0.594127 0.61025393 0.6363492 1.0 299.8 315.0 0.64444447 0.67191195 0.7006579 0.57714283 0.628 0.69142854
6400 0.5967187 0.61275005 0.6379688 1.0 298.6 313.0 0.65319866 0.6786872 0.71672356 0.54 0.6277143 0.68857145
6500 0.59953845 0.6152769 0.64030766 1.0 298.3 312.0 0.65705127 0.68263656 0.71428573 0.58 0.62114286 0.67714286
6600 0.6019697 0.6181667 0.6428788 1.0 297.4 311.0 0.6588629 0.68613446 0.7201365 0.5742857 0.6202857 0.67714286
6700 0.6052239 0.6208358 0.64522386 1.0 298.2 311.0 0.659164 0.68859327 0.72696245 0.54 0.61457145 0.6742857
6800 0.60838234 0.62326473 0.64735293 1.0 298.3 310.0 0.66129035 0.6901759 0.737931 0.5285714 0.6014286 0.64857143
6900 0.6110145 0.6259565 0.6505797 1.0 297.6 308.0 0.66445184 0.6928337 0.737931 0.52 0.6082857 0.6542857
7000 0.6142857 0.6279858 0.6507143 1.0 296.6 308.0 0.6688963 0.69587326 0.74912894 0.54571426 0.60800004 0.66
7100 0.61647886 0.6302676 0.65211266 1.0 297.0 308.0 0.67 0.697472 0.7413793 0.56285715 0.61171424 0.6514286
7200 0.6188889 0.63208336 0.65347224 1.0 298.7 310.0 0.6590164 0.6958267 0.7337884 0.5914286 0.6251428 0.6571429
7300 0.62027395 0.63439727 0.6549315 1.0 298.2 309.0 0.66013074 0.70005596 0.73898304 0.54 0.6194285 0.66
7400 0.62202704 0.636527 0.6571622 1.0 298.8 309.0 0.6569579 0.7026532 0.7466216 0.5657143 0.61399996 0.66571426
7500 0.6242667 0.63865334 0.6592 1.0 298.0 307.0 0.66775244 0.7068869 0.7568493 0.55714285 0.6088571 0.68
7600 0.6261842 0.6406316 0.6607895 1.0 297.7 308.0 0.66558444 0.7099431 0.7568493 0.5371429 0.60571426 0.64285713
7700 0.628961 0.64298695 0.6622078 1.0 297.7 308.0 0.66883117 0.71190256 0.7542662 0.5342857 0.6025715 0.6257143
7800 0.63051283 0.6452436 0.66423076 1.0 297.3 308.0 0.6753247 0.7161896 0.7475083 0.5542857 0.6031429 0.6342857
7900 0.63177216 0.64729106 0.6663291 1.0 296.7 308.0 0.6785714 0.7186063 0.75 0.5742857 0.6082857 0.64285713
8000 0.634125 0.649175 0.6675 1.0 296.2 307.0 0.6807818 0.7208627 0.74747473 0.5657143 0.608 0.66
8100 0.63617283 0.65138274 0.6697531 1.0 295.6 307.0 0.6807818 0.72373724 0.76094276 0.55714285 0.6068572 0.6628571
8200 0.63804877 0.65325606 0.6715854 1.0 296.0 307.0 0.6840391 0.72450656 0.7558528 0.5257143 0.60228574 0.69142854
8300 0.63963854 0.65502405 0.67313254 1.0 296.1 303.0 0.69636965 0.72583324 0.7569444 0.5371429 0.61142856 0.7057143
8400 0.64178574 0.65683335 0.6755952 1.0 296.0 304.0 0.7033333 0.7263331 0.75250834 0.54285717 0.60742855 0.69142854
8500 0.6442353 0.6587882 0.6767059 1.0 296.0 302.0 0.70547944 0.72729933 0.75757575 0.54285717 0.59342855 0.6457143
8600 0.6460465 0.6606163 0.6784884 1.0 295.0 301.0 0.7108014 0.73178595 0.75838923 0.5228571 0.5825714 0.6257143
