rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 21.0 21.0 0.95238096 0.952381 0.95238096 0.028571429 0.03142857 0.04
100 0.19 0.255 0.32 1.0 93.9 101.0 0.4040404 0.48121014 0.5555556 0.14857143 0.22342856 0.3
200 0.27 0.3045 0.35 1.0 135.6 148.0 0.37956205 0.46284413 0.52671754 0.26 0.33714285 0.40571427
300 0.31333333 0.34766665 0.39666668 1.0 167.4 180.0 0.41040462 0.47370934 0.5280899 0.3342857 0.39857143 0.4542857
400 0.32 0.37349996 0.4225 1.0 191.4 208.0 0.4247312 0.4899765 0.5480769 0.4 0.4237143 0.47142857
500 0.346 0.40499997 0.476 1.0 210.9 221.0 0.46116504 0.50262016 0.5656109 0.4542857 0.5117143 0.5885714
600 0.38 0.4245 0.48666668 1.0 221.8 230.0 0.47906977 0.5196549 0.5676856 0.48285714 0.52685714 0.61714286
700 0.41714287 0.4444286 0.49571428 1.0 233.5 244.0 0.49372384 0.530087 0.58158994 0.4542857 0.5271428 0.62857145
800 0.435 0.4585 0.51375 1.0 243.5 252.0 0.5080645 0.54650366 0.5943775 0.48857144 0.54057145 0.5885714
900 0.45222223 0.47288886 0.52111113 1.0 250.9 259.0 0.52895755 0.56184375 0.61328125 0.5114286 0.5545714 0.6085714
1000 0.463 0.48709998 0.535 1.0 259.3 267.0 0.5486381 0.5679088 0.60305345 0.50285715 0.55857146 0.5942857
1100 0.47636363 0.49945456 0.54545456 1.0 264.5 273.0 0.5505618 0.5832412 0.61710036 0.5285714 0.5705714 0.6
1200 0.49666667 0.51374996 0.5625 1.0 269.3 277.0 0.5510949 0.5932953 0.6313869 0.51428574 0.5831429 0.67714286
1300 0.5092308 0.52553844 0.57076925 1.0 272.8 284.0 0.5661765 0.6044562 0.6413044 0.5285714 0.59314287 0.6514286
1400 0.5207143 0.5382857 0.5814286 1.0 276.4 288.0 0.57092196 0.61268663 0.6571429 0.5228571 0.58542854 0.62857145
1500 0.53333336 0.54780006 0.58933336 1.0 280.5 296.0 0.56401384 0.6237964 0.66785717 0.5314286 0.59114283 0.6542857
1600 0.54375 0.55825 0.596875 1.0 282.4 298.0 0.57288134 0.6360651 0.66784453 0.50857145 0.5928572 0.6857143
1700 0.54764706 0.5657059 0.60411763 1.0 284.2 301.0 0.6 0.64687204 0.68301886 0.49714285 0.58685714 0.6571429
1800 0.55777776 0.5736667 0.61 1.0 288.2 302.0 0.60884356 0.6493913 0.6802974 0.51714283 0.58542854 0.62857145
1900 0.5636842 0.58089477 0.6194737 1.0 290.6 303.0 0.61409396 0.6561077 0.6826568 0.4942857 0.5725714 0.64
2000 0.5725 0.5884 0.623 1.0 290.4 303.0 0.6409396 0.6724208 0.7031802 0.5228571 0.5802857 0.6542857
2100 0.58238095 0.5967143 0.63 1.0 289.9 304.0 0.6573427 0.6847926 0.71910113 0.50285715 0.57000005 0.6085714
2200 0.5863636 0.6038636 0.6340909 1.0 288.3 302.0 0.670068 0.69997084 0.7360595 0.48857144 0.57114285 0.62
2300 0.5917391 0.61121744 0.6421739 1.0 289.1 302.0 0.6802721 0.71007186 0.7425373 0.46857142 0.5608572 0.6342857
2400 0.59583336 0.6170417 0.6433333 1.0 289.1 298.0 0.69473684 0.7200282 0.7583643 0.42571428 0.55485713 0.6257143
2500 0.6028 0.62292004 0.6476 1.0 289.6 301.0 0.6968641 0.72783935 0.7592593 0.44285715 0.5500001 0.61142856
2600 0.6088461 0.62903845 0.65076923 1.0 290.4 305.0 0.7062937 0.7323185 0.75457877 0.4857143 0.57114285 0.66
2700 0.61703706 0.63503706 0.65555555 1.0 290.1 309.0 0.71985817 0.73780835 0.75789475 0.47714287 0.5551428 0.60571426
2800 0.62392855 0.6406428 0.6578571 1.0 291.2 303.0 0.72 0.740864 0.7640845 0.50285715 0.5668572 0.6085714
2900 0.6282759 0.6457587 0.66172415 1.0 291.0 305.0 0.7324415 0.7481566 0.7708333 0.5285714 0.55857146 0.6257143
3000 0.6336667 0.65136665 0.66933334 1.0 289.8 307.0 0.73448277 0.75561535 0.7757353 0.47142857 0.5514286 0.62285715
3100 0.63870966 0.65551615 0.6732258 1.0 289.8 307.0 0.7474049 0.76206434 0.7820069 0.49714285 0.5577143 0.6571429
3200 0.645625 0.6597813 0.6778125 1.0 288.9 306.0 0.75084174 0.7707321 0.79044116 0.4857143 0.5434286 0.5971429
3300 0.64969695 0.6643636 0.68242425 1.0 287.2 305.0 0.7610921 0.7806676 0.8134328 0.4857143 0.53599995 0.6085714
3400 0.655 0.6694706 0.68647057 1.0 288.4 304.0 0.7676768 0.78148234 0.81040895 0.48285714 0.5388571 0.57714283
3500 0.66 0.67385715 0.69114286 1.0 289.0 307.0 0.7673611 0.7840213 0.8134328 0.5 0.54314286 0.5914286
3600 0.6641667 0.67813885 0.69555557 1.0 288.9 304.0 0.7708333 0.7882343 0.8233083 0.4857143 0.5437143 0.61142856
3700 0.66864866 0.6816486 0.7 1.0 288.8 306.0 0.7743056 0.7920334 0.8202247 0.48 0.5345714 0.5742857
3800 0.6755263 0.6853158 0.701579 1.0 290.0 308.0 0.77483445 0.79432553 0.8264151 0.4342857 0.52828574 0.5857143
3900 0.678718 0.6892821 0.70564103 1.0 290.0 307.0 0.78827363 0.8002157 0.8148148 0.4457143 0.53114283 0.6028572
4000 0.68325 0.6933 0.70925 1.0 289.5 307.0 0.7913907 0.8057731 0.8200692 0.46 0.5257143 0.58
4100 0.6878049 0.6974634 0.712439 1.0 289.4 309.0 0.7898305 0.8095274 0.844697 0.46285716 0.52742857 0.58
4200 0.6919048 0.7014524 0.7159524 1.0 290.5 312.0 0.7887789 0.8103682 0.844697 0.45714286 0.5205714 0.58285713
4300 0.69581395 0.7048372 0.7193023 1.0 289.0 308.0 0.79801327 0.81818867 0.8490566 0.4485714 0.5185714 0.56285715
4400 0.6988636 0.70865905 0.7234091 1.0 287.6 304.0 0.7986799 0.82352245 0.8593156 0.46285716 0.5191428 0.58285713
