rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.93142855 0.97085714 0.99714285
100 0.16 0.20400003 0.27 1.0 169.5 173.0 0.07878788 0.09792985 0.12426036 0.80857146 0.8831428 0.9285714
200 0.185 0.2345 0.285 1.0 168.6 175.0 0.09815951 0.12983973 0.15384616 0.7 0.79228574 0.8857143
300 0.21333334 0.253 0.29 1.0 168.8 176.0 0.11931818 0.15348278 0.1871345 0.5485714 0.7 0.8
400 0.2325 0.263 0.2975 1.0 170.6 178.0 0.12921348 0.18362853 0.22941177 0.54571426 0.63285714 0.7285714
500 0.24 0.27719998 0.31 1.0 172.0 180.0 0.15923567 0.21082945 0.25 0.48285714 0.5891429 0.6742857
600 0.25833333 0.29033333 0.315 1.0 175.3 188.0 0.18539326 0.24125771 0.27745664 0.5 0.5997143 0.68
700 0.26714286 0.30142856 0.33142856 1.0 175.4 190.0 0.20786516 0.26368552 0.30526316 0.45142856 0.5488571 0.6628571
800 0.265 0.310625 0.3375 1.0 178.6 189.0 0.23076923 0.28987014 0.33522728 0.46857142 0.56971437 0.64857143
900 0.2777778 0.3202222 0.34555554 1.0 176.5 181.0 0.2601156 0.31777173 0.35955057 0.46 0.55457145 0.6571429
1000 0.283 0.3262 0.348 1.0 178.1 185.0 0.27322406 0.34001404 0.38121548 0.4857143 0.5394286 0.5971429
1100 0.2890909 0.3343636 0.35545453 1.0 177.3 189.0 0.3015873 0.36409527 0.41379312 0.4 0.50514287 0.5657143
1200 0.305 0.34616667 0.37583333 1.0 178.9 191.0 0.32460734 0.38642776 0.43930635 0.38 0.48542857 0.56
1300 0.31615385 0.357 0.38384616 1.0 181.6 192.0 0.34065935 0.40102267 0.45856354 0.46285716 0.5065714 0.56
1400 0.32214287 0.36528572 0.39642859 1.0 183.7 199.0 0.36263737 0.41100034 0.49171272 0.4342857 0.5082857 0.55714285
1500 0.334 0.3761333 0.408 1.0 181.9 192.0 0.38202247 0.43256682 0.5 0.41714287 0.4877143 0.5714286
1600 0.345625 0.38693747 0.425 1.0 184.0 193.0 0.3901099 0.44563633 0.510989 0.3942857 0.46828574 0.5285714
1700 0.35588235 0.39458826 0.4335294 1.0 183.8 193.0 0.41450778 0.4639605 0.51955307 0.4342857 0.4897143 0.51428574
1800 0.36944443 0.40355554 0.44333333 1.0 182.3 193.0 0.42780748 0.4818925 0.5406977 0.42 0.46914285 0.5542857
1900 0.38 0.4127895 0.4536842 1.0 183.1 195.0 0.42408377 0.49705115 0.5535714 0.36571428 0.44885716 0.4942857
2000 0.3845 0.42150003 0.4645 1.0 181.7 196.0 0.45402297 0.51586545 0.57608694 0.36285713 0.43485713 0.51428574
2100 0.39095238 0.42866665 0.4652381 1.0 183.9 206.0 0.4673913 0.5229078 0.5837838 0.40571427 0.4425714 0.50857145
