rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 21.0 21.0 0.95238096 0.9619048 1.0 0.028571429 0.03057143 0.037142858
100 0.18 0.253 0.33 1.0 88.2 92.0 0.30769232 0.36414766 0.41304347 0.2 0.28428572 0.36285713
200 0.21 0.2775 0.325 1.0 125.7 132.0 0.30952382 0.332573 0.37288135 0.2942857 0.3717143 0.47142857
300 0.24333334 0.29466668 0.36333334 1.0 152.1 158.0 0.2781457 0.31958 0.35099337 0.37714285 0.45199996 0.52
400 0.2525 0.30125 0.3675 1.0 173.5 194.0 0.28402367 0.32008994 0.3604651 0.38285714 0.49085718 0.5857143
500 0.266 0.30879998 0.362 1.0 187.7 202.0 0.2984293 0.3297057 0.37628865 0.42285714 0.5428571 0.63714284
600 0.28166667 0.31633335 0.36166668 1.0 198.7 208.0 0.29946524 0.33930773 0.36714977 0.48285714 0.5565714 0.6857143
700 0.28857142 0.32842857 0.36142856 1.0 204.9 213.0 0.32057416 0.35093778 0.39800996 0.49714285 0.56114286 0.61714286
800 0.2975 0.3375 0.365 1.0 210.6 219.0 0.34761906 0.3660327 0.39170507 0.51428574 0.5942858 0.6457143
900 0.2988889 0.34233335 0.37333333 1.0 212.1 225.0 0.36190477 0.38036934 0.4170616 0.5314286 0.60199994 0.68285716
1000 0.305 0.35079998 0.376 1.0 211.9 226.0 0.37373737 0.39619297 0.42990655 0.44285715 0.5748572 0.6457143
1100 0.3272727 0.36063632 0.38636363 1.0 212.2 226.0 0.37313432 0.4106242 0.47368422 0.45142856 0.54628575 0.66
1200 0.33166668 0.3695833 0.3925 1.0 214.4 224.0 0.38349515 0.4220365 0.48847926 0.43714285 0.53342855 0.6142857
1300 0.33692306 0.3772308 0.40538463 1.0 216.9 228.0 0.4009009 0.43532905 0.50660795 0.48285714 0.5525714 0.66
1400 0.35142857 0.38607144 0.41857144 1.0 218.1 232.0 0.4266055 0.45396432 0.5258621 0.48285714 0.5428571 0.6342857
1500 0.36333334 0.39433336 0.42666668 1.0 218.0 233.0 0.4330357 0.4721524 0.55364805 0.4342857 0.5417143 0.67142856
1600 0.37375 0.40368748 0.431875 1.0 218.1 233.0 0.4549356 0.49176732 0.5646552 0.42571428 0.51628566 0.58
1700 0.37882352 0.4114706 0.44 1.0 217.1 228.0 0.46902654 0.5049793 0.5833333 0.45714286 0.5202857 0.5714286
1800 0.38944444 0.41877776 0.44722223 1.0 215.5 226.0 0.48 0.5238443 0.6 0.4342857 0.48400003 0.5342857
1900 0.39842105 0.42515793 0.45947367 1.0 214.1 226.0 0.5116279 0.54298264 0.6061947 0.40285715 0.47199997 0.5285714
2000 0.407 0.4337 0.4645 1.0 214.9 228.0 0.50877196 0.5514456 0.6079295 0.37714285 0.47399998 0.5714286
2100 0.41333333 0.43923807 0.47428572 1.0 213.9 234.0 0.536036 0.5628042 0.60683763 0.36857143 0.45685714 0.5342857
2200 0.42 0.44609088 0.47863635 1.0 213.2 236.0 0.5525114 0.5746531 0.6137339 0.40571427 0.46371427 0.56
2300 0.42913043 0.45326084 0.48434782 1.0 213.8 228.0 0.55140185 0.5838342 0.6343612 0.36 0.46800002 0.54
2400 0.43541667 0.4592917 0.49041668 1.0 211.3 229.0 0.56682026 0.5979155 0.6486486 0.4 0.4608572 0.56
2500 0.4428 0.46567997 0.4952 1.0 209.1 221.0 0.5858586 0.61950654 0.6904762 0.36571428 0.43800002 0.49714285
2600 0.45 0.47234616 0.5023077 1.0 207.0 219.0 0.5969388 0.63247573 0.6985646 0.36 0.4257143 0.49714285
2700 0.45555556 0.4787778 0.50666666 1.0 206.4 220.0 0.6105769 0.64846116 0.7190476 0.35428572 0.41799998 0.46285716
2800 0.46214285 0.48553568 0.51285714 1.0 208.2 226.0 0.622549 0.65093464 0.7050691 0.36285713 0.41542855 0.46
2900 0.4686207 0.491 0.51758623 1.0 206.6 222.0 0.6220096 0.6645002 0.7205882 0.38 0.4234286 0.47428572
3000 0.47433335 0.49780002 0.52133334 1.0 205.9 216.0 0.6435185 0.67235106 0.735 0.40571427 0.43142852 0.5114286
3100 0.48032257 0.50241935 0.52387094 1.0 203.4 219.0 0.65174127 0.6895434 0.75117373 0.31714284 0.4077143 0.46857142
3200 0.485 0.5087813 0.5303125 1.0 204.0 222.0 0.6666667 0.7003896 0.7562189 0.32285714 0.4197143 0.52
3300 0.49272728 0.51469696 0.5369697 1.0 204.2 222.0 0.68686867 0.7097639 0.74757284 0.34857142 0.4162857 0.45142856
3400 0.49911764 0.520853 0.5411765 1.0 204.1 218.0 0.7025641 0.71803707 0.75813955 0.31714284 0.40085712 0.54
3500 0.5048571 0.52622855 0.54657143 1.0 202.6 216.0 0.71291864 0.7333931 0.7688679 0.33714285 0.38171428 0.42571428
3600 0.51027775 0.5320278 0.55333334 1.0 204.2 222.0 0.71428573 0.7373998 0.76744187 0.34 0.3897143 0.43714285
3700 0.5178378 0.5373243 0.55675673 1.0 204.5 220.0 0.71573603 0.74805677 0.77251184 0.31428573 0.38057142 0.45714286
3800 0.52394736 0.5429474 0.5626316 1.0 203.6 219.0 0.7336683 0.76083523 0.7878788 0.30285713 0.3797143 0.44285715
3900 0.5294872 0.5484103 0.5669231 1.0 203.8 219.0 0.74883723 0.7691488 0.7953488 0.29714286 0.38085714 0.52
4000 0.536 0.55365 0.57275 1.0 204.9 222.0 0.74752474 0.7722155 0.7962963 0.34285715 0.3802857 0.45714286
4100 0.54170734 0.55870736 0.57829267 1.0 206.5 220.0 0.74876845 0.77212507 0.7914438 0.34285715 0.37971428 0.46
4200 0.5466667 0.5638572 0.58309525 1.0 208.9 224.0 0.7414634 0.77059007 0.79452056 0.31714284 0.37914288 0.48285714
4300 0.5502325 0.56848836 0.58790696 1.0 207.8 221.0 0.7298578 0.7801286 0.8101852 0.3257143 0.37285715 0.4457143
4400 0.55454546 0.5733863 0.59386367 1.0 207.9 222.0 0.7557604 0.7829867 0.8293839 0.32285714 0.37914285 0.46
4500 0.55955553 0.5776444 0.5973333 1.0 208.8 222.0 0.75609756 0.7826301 0.8333333 0.34571427 0.38171428 0.41428572
4600 0.5643478 0.58219564 0.6023913 1.0 209.3 222.0 0.75119615 0.78555286 0.82 0.31714284 0.37085718 0.42571428
4700 0.5697872 0.58702123 0.60638297 1.0 210.9 223.0 0.75598085 0.78601944 0.82587063 0.30285713 0.37114286 0.43142858
