rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.93142855 0.96999997 0.99714285
100 0.1 0.174 0.26 1.0 170.8 173.0 0.08139535 0.09778289 0.11764706 0.8257143 0.90342855 0.9685714
200 0.16 0.20050001 0.27 1.0 168.6 173.0 0.11627907 0.13831145 0.16666667 0.68 0.75685716 0.83428574
300 0.20666666 0.22766666 0.26 1.0 172.1 182.0 0.14285715 0.16690241 0.19075145 0.5371429 0.67542857 0.75142854
400 0.2 0.23675 0.2725 1.0 174.5 190.0 0.16091955 0.18874803 0.20809248 0.51428574 0.6088571 0.70285714
500 0.21 0.24840002 0.292 1.0 175.8 186.0 0.18128654 0.21863803 0.24698795 0.5057143 0.5862857 0.6742857
600 0.24166666 0.26383334 0.295 1.0 177.9 191.0 0.21714285 0.24427962 0.2848837 0.50857145 0.5665714 0.62285715
700 0.26142856 0.27671427 0.30571428 1.0 179.1 194.0 0.23655914 0.26896992 0.30357143 0.4857143 0.5511428 0.6542857
800 0.265 0.290125 0.31875 1.0 182.3 194.0 0.26595744 0.2947826 0.32544377 0.4542857 0.53314286 0.60571426
900 0.27444443 0.30288887 0.33555555 1.0 183.4 201.0 0.296875 0.31687337 0.34517765 0.48857144 0.53142864 0.5942857
1000 0.286 0.3134 0.35 1.0 184.6 199.0 0.30808082 0.33694613 0.3857868 0.43714285 0.50285715 0.5914286
1100 0.30272728 0.32463634 0.36 1.0 183.4 206.0 0.3106796 0.36107457 0.41237113 0.42571428 0.48514286 0.5657143
1200 0.31083333 0.33525 0.36583334 1.0 185.9 207.0 0.34502923 0.37829152 0.43367347 0.43142858 0.48857147 0.5942857
1300 0.32153845 0.34669232 0.37384614 1.0 187.5 205.0 0.3488372 0.39375752 0.44221106 0.41142857 0.4757143 0.56285715
1400 0.33214286 0.35921425 0.39285713 1.0 187.6 204.0 0.36416185 0.4121582 0.46039605 0.35142857 0.45571432 0.5057143
1500 0.34266666 0.3703333 0.404 1.0 186.0 200.0 0.39053255 0.43273076 0.47894737 0.34571427 0.44428572 0.5114286
1600 0.35625 0.37974998 0.414375 1.0 185.7 200.0 0.4198895 0.4581473 0.5 0.34285715 0.4334286 0.5714286
1700 0.36411765 0.38870585 0.4217647 1.0 185.0 208.0 0.44102564 0.48006088 0.5343915 0.28 0.4134286 0.58285713
1800 0.37555555 0.39833334 0.43166667 1.0 180.9 206.0 0.46022728 0.50539094 0.57377046 0.32285714 0.40600005 0.54
1900 0.38578948 0.40642104 0.4368421 1.0 182.9 212.0 0.49468085 0.5223938 0.56852794 0.31142858 0.42514285 0.5542857
2000 0.3985 0.41575003 0.4465 1.0 183.8 212.0 0.51086956 0.5399119 0.5989583 0.2857143 0.39828572 0.5371429
2100 0.4047619 0.42438093 0.45714286 1.0 181.2 203.0 0.5352941 0.559752 0.6040609 0.2857143 0.37428576 0.45142856
2200 0.41454545 0.43418178 0.4659091 1.0 183.0 206.0 0.5543478 0.5754136 0.6111111 0.27714285 0.38599998 0.47428572
2300 0.42391303 0.44195652 0.4752174 1.0 184.2 205.0 0.56149733 0.58673686 0.6262626 0.34285715 0.4005715 0.46285716
2400 0.43458334 0.4512083 0.48166665 1.0 183.4 197.0 0.5561497 0.5984952 0.63265306 0.32857144 0.39457142 0.46857142
