rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
100 0.13 0.187 0.27 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
200 0.105 0.1865 0.275 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
300 0.12 0.18233335 0.23333333 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
400 0.135 0.184 0.2225 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
500 0.14 0.1858 0.23 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
600 0.15166667 0.18183331 0.22333333 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
700 0.16142857 0.18357143 0.22714286 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
800 0.155 0.18412499 0.21625 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
900 0.16 0.18244442 0.21111111 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
1000 0.164 0.1814 0.208 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
1100 0.16363636 0.18209091 0.20818181 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
1200 0.16416667 0.182 0.205 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
1300 0.16384615 0.18123075 0.20384616 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
1400 0.15857142 0.18121429 0.20857143 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
1500 0.158 0.18053333 0.20866667 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
1600 0.1525 0.17975001 0.2125 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
1700 0.15058823 0.1807647 0.21294117 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
1800 0.15166667 0.18105558 0.21277778 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
1900 0.15157895 0.18126315 0.21105263 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
2000 0.1505 0.1803 0.2075 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
2100 0.15047619 0.17971429 0.20714286 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
2200 0.15227273 0.1800909 0.20954545 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
2300 0.15391305 0.1798261 0.21304348 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
2400 0.155 0.17958333 0.21291667 1.0 170.0 170.0 0.05882353 0.058823533 0.05882353 0.95714283 0.97485715 0.99714285
