rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 170.6 172.0 0.058139537 0.059202332 0.064327486 0.93142855 0.972 0.99714285
100 0.15 0.206 0.27 1.0 247.9 254.0 0.10288066 0.123700164 0.14056225 0.9342857 0.96571434 0.98285717
200 0.215 0.2575 0.31 1.0 283.7 294.0 0.14079422 0.16131742 0.18309858 0.94 0.9622857 0.99142855
300 0.24 0.29366666 0.35333332 1.0 307.9 323.0 0.17763157 0.20258811 0.2254902 0.92 0.9582857 0.98285717
400 0.29 0.329 0.3625 1.0 324.1 335.0 0.20987654 0.2421745 0.26666668 0.9142857 0.95314294 0.9771429
500 0.32 0.3578 0.398 1.0 334.2 343.0 0.24483776 0.27864033 0.3081571 0.9057143 0.95028573 0.9742857
600 0.35333332 0.38716665 0.435 1.0 341.1 353.0 0.27433628 0.30929178 0.33628318 0.9114286 0.94428575 0.9657143
700 0.36857143 0.41242856 0.4642857 1.0 347.4 359.0 0.29912025 0.33757532 0.36982247 0.9114286 0.9377143 0.96
800 0.39375 0.43549997 0.48375 1.0 351.5 360.0 0.33142856 0.3618812 0.39825583 0.9 0.9337143 0.95714283
900 0.41444445 0.45699996 0.49888888 1.0 353.9 365.0 0.33988765 0.3826319 0.4149856 0.8971428 0.9365714 0.96
1000 0.441 0.4776 0.508 1.0 356.6 370.0 0.35457063 0.40048704 0.42196533 0.85714287 0.9348571 0.9657143
1100 0.45454547 0.49427277 0.5254545 1.0 358.6 373.0 0.37127373 0.41587502 0.43611112 0.85714287 0.9334286 0.9685714
1200 0.4775 0.5140833 0.54833335 1.0 359.2 376.0 0.38356164 0.42737326 0.45355192 0.8857143 0.9365714 0.9657143
1300 0.49384615 0.5306154 0.5638462 1.0 358.7 373.0 0.39779004 0.44210976 0.4688347 0.92 0.9402857 0.96
1400 0.5114286 0.5460714 0.57785714 1.0 359.7 380.0 0.41095892 0.45184523 0.48108107 0.91714287 0.9419999 0.9714286
1500 0.5273333 0.5611333 0.59066665 1.0 360.1 378.0 0.42465752 0.4609719 0.4972973 0.9057143 0.9448571 0.9771429
1600 0.541875 0.575 0.603125 1.0 359.8 377.0 0.44044322 0.468857 0.5081081 0.88 0.946 0.9742857
1700 0.55352944 0.58547056 0.6135294 1.0 360.8 375.0 0.45479453 0.47865677 0.5148248 0.9 0.9471428 0.98
1800 0.565 0.59544444 0.62277776 1.0 360.6 374.0 0.45604396 0.48418078 0.5176152 0.9114286 0.94514287 0.9685714
1900 0.5710526 0.60468423 0.6305263 1.0 361.4 373.0 0.46866485 0.4905695 0.5241935 0.93142855 0.9505714 0.9685714
2000 0.583 0.61550003 0.6445 1.0 362.0 374.0 0.47425476 0.49523014 0.53513515 0.93142855 0.95114297 0.9685714
2100 0.59190476 0.6245238 0.65238094 1.0 361.8 377.0 0.48010612 0.5007641 0.53783786 0.9114286 0.94400007 0.9685714
2200 0.6036364 0.63295454 0.6577273 1.0 361.1 378.0 0.489418 0.5050419 0.5420054 0.9085714 0.94657147 0.98285717
2300 0.61130434 0.64121735 0.66695654 1.0 359.6 373.0 0.49162012 0.5115627 0.5432432 0.9085714 0.94228566 0.9685714
2400 0.62041664 0.64758337 0.67125 1.0 358.9 374.0 0.4930362 0.5165362 0.55494505 0.9142857 0.94142866 0.9657143
2500 0.6284 0.65404004 0.6784 1.0 358.0 378.0 0.49720672 0.5204359 0.5595568 0.9028571 0.9405714 0.9657143
2600 0.635 0.66038465 0.6830769 1.0 357.1 379.0 0.5042254 0.524518 0.5638889 0.9114286 0.93971425 0.9657143
2700 0.642963 0.667 0.69 1.0 357.6 377.0 0.5084746 0.5256947 0.56666666 0.9085714 0.9394285 0.96
2800 0.64928573 0.6719286 0.6939286 1.0 356.9 372.0 0.509915 0.5289227 0.5682451 0.9028571 0.93828565 0.9628571
2900 0.65689653 0.67727584 0.6986207 1.0 355.4 371.0 0.51594204 0.53311944 0.5742297 0.9114286 0.93857145 0.9685714
3000 0.663 0.6821667 0.7033333 1.0 355.1 373.0 0.5129683 0.53473055 0.5742297 0.91714287 0.9351429 0.9685714
3100 0.66935486 0.6860967 0.70580643 1.0 354.9 371.0 0.51445085 0.53610504 0.56786704 0.9 0.934 0.9742857
3200 0.6734375 0.6901875 0.7084375 1.0 354.6 369.0 0.5252809 0.53825176 0.56786704 0.9 0.9325714 0.9714286
3300 0.679697 0.69469696 0.7124242 1.0 353.5 364.0 0.5184136 0.5408236 0.5758427 0.8857143 0.9345714 0.9714286
3400 0.6832353 0.69879407 0.7167647 1.0 353.2 364.0 0.5184136 0.54157305 0.57703084 0.86285716 0.9262856 0.9771429
3500 0.68542856 0.7029428 0.72257143 1.0 354.1 366.0 0.5198864 0.5413315 0.575419 0.86 0.92485714 0.9885714
