rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 21.0 21.0 0.95238096 0.952381 0.95238096 0.028571429 0.030857142 0.04
100 0.18 0.24700001 0.32 1.0 111.3 117.0 0.35135135 0.4363807 0.5 0.16 0.23599999 0.2857143
200 0.23 0.2945 0.355 1.0 177.3 185.0 0.34054053 0.39868635 0.4364641 0.3342857 0.3942857 0.47428572
300 0.29666665 0.336 0.38333333 1.0 221.4 232.0 0.36444443 0.4006051 0.43534482 0.41428572 0.49171424 0.5542857
400 0.3275 0.359 0.39 1.0 255.6 266.0 0.37969926 0.41176325 0.45384616 0.48 0.5714286 0.63714284
500 0.354 0.3882 0.414 1.0 280.3 292.0 0.38602942 0.42509946 0.45907474 0.52 0.6234285 0.74
600 0.36833334 0.41000003 0.43833333 1.0 300.0 311.0 0.3888889 0.44356656 0.47826087 0.6085714 0.6822857 0.76
700 0.3857143 0.42942864 0.4542857 1.0 316.5 328.0 0.40432099 0.46292916 0.5 0.61714286 0.6851429 0.74857146
800 0.41125 0.44925004 0.4725 1.0 327.1 339.0 0.43491125 0.48288226 0.51863354 0.6085714 0.71999997 0.7885714
900 0.43 0.4677778 0.49333334 1.0 335.7 347.0 0.45953757 0.49939767 0.5339506 0.6571429 0.7422858 0.79142857
1000 0.446 0.48330006 0.507 1.0 342.7 358.0 0.46927375 0.5140652 0.54711246 0.69714284 0.7534286 0.85142857
1100 0.4618182 0.49818182 0.52 1.0 350.0 362.0 0.48066297 0.5261423 0.5555556 0.72 0.7694286 0.80857146
1200 0.47833332 0.513 0.5425 1.0 356.7 370.0 0.5027027 0.5395717 0.56342185 0.7171429 0.77485716 0.81714284
1300 0.49384615 0.52569234 0.55230767 1.0 360.3 377.0 0.52021563 0.5535696 0.5821727 0.69142854 0.7731429 0.8485714
1400 0.50857145 0.5394286 0.565 1.0 365.4 377.0 0.5198939 0.5631823 0.59365994 0.73142856 0.77914286 0.8485714
1500 0.52466667 0.5518001 0.5746667 1.0 367.1 380.0 0.52785146 0.57718146 0.6080692 0.69714284 0.78000003 0.8428571
1600 0.534375 0.562875 0.588125 1.0 369.4 382.0 0.53825855 0.5887881 0.6314286 0.75142854 0.79914284 0.8542857
