rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 170.5 171.0 0.058479533 0.05865153 0.05882353 0.93142855 0.972 0.99714285
100 0.13 0.189 0.25 1.0 236.8 241.0 0.06437768 0.07722551 0.0875 0.94285715 0.9608571 0.98
200 0.175 0.2125 0.255 1.0 267.7 278.0 0.06834532 0.09340417 0.11235955 0.9257143 0.9497143 0.98
300 0.18 0.22066668 0.26666668 1.0 285.2 292.0 0.07986111 0.10938428 0.123674914 0.9057143 0.9388572 0.9771429
400 0.1925 0.23749998 0.2775 1.0 293.8 306.0 0.11072665 0.1286445 0.1442953 0.89428574 0.9245714 0.95714283
500 0.212 0.25019997 0.29 1.0 297.2 306.0 0.13043478 0.14740653 0.15824915 0.87142855 0.91971433 0.9628571
600 0.22666667 0.26466668 0.30333334 1.0 298.9 310.0 0.13712375 0.16134271 0.17708333 0.86285716 0.9134286 0.9514286
700 0.23714286 0.27485716 0.3257143 1.0 298.4 309.0 0.15436241 0.17632776 0.19243987 0.8542857 0.91714287 0.9685714
800 0.2475 0.28599998 0.3375 1.0 296.1 305.0 0.16949153 0.1925971 0.207483 0.86 0.8871428 0.93714285
900 0.26 0.29599997 0.33333334 1.0 291.0 300.0 0.19031142 0.21100669 0.2260274 0.84 0.8691429 0.92
1000 0.276 0.3056 0.344 1.0 288.4 298.0 0.204947 0.22751133 0.24825175 0.8542857 0.8782857 0.9057143
1100 0.28727272 0.31418177 0.3481818 1.0 285.9 294.0 0.21276596 0.24352226 0.26595744 0.78 0.86942863 0.92
1200 0.29583332 0.3225 0.35666665 1.0 284.5 292.0 0.23487544 0.2580158 0.27857143 0.7885714 0.84800005 0.88285714
1300 0.30076924 0.33253846 0.37076923 1.0 279.0 290.0 0.24482758 0.27618524 0.30291972 0.76285714 0.83399993 0.8971428
1400 0.31857142 0.34285712 0.37071428 1.0 274.8 287.0 0.2543554 0.29101476 0.32342008 0.7771429 0.8154286 0.8371429
1500 0.31933334 0.353 0.382 1.0 270.1 283.0 0.26855123 0.30726177 0.33208954 0.74857146 0.7942857 0.85714287
1600 0.326875 0.36174998 0.390625 1.0 268.5 283.0 0.2810219 0.31937903 0.3432836 0.72571427 0.7802857 0.8257143
1700 0.32941177 0.36788234 0.39764705 1.0 268.3 278.0 0.29347825 0.33555368 0.3598485 0.67714286 0.7811429 0.8371429
1800 0.33444443 0.376 0.40166667 1.0 268.6 281.0 0.31182796 0.3503129 0.3846154 0.6857143 0.78 0.84
1900 0.3405263 0.3833158 0.41 1.0 266.2 285.0 0.32352942 0.3659648 0.4110672 0.68857145 0.75971425 0.8314286
2000 0.3505 0.39095002 0.413 1.0 263.3 283.0 0.32958803 0.38116246 0.43032786 0.6685714 0.74885714 0.8057143
2100 0.3547619 0.39638093 0.42238095 1.0 260.9 280.0 0.34615386 0.39595753 0.43548387 0.6571429 0.74599993 0.8142857
2200 0.36227274 0.4038182 0.42909092 1.0 258.1 277.0 0.36614174 0.40870804 0.4497992 0.62285715 0.7288571 0.79142857
2300 0.36695653 0.41056523 0.44 1.0 255.3 279.0 0.3715415 0.425414 0.47540984 0.5942857 0.7088572 0.7657143
2400 0.37166667 0.41670832 0.44541666 1.0 256.5 281.0 0.39112905 0.43372208 0.47389558 0.62 0.71400005 0.76
2500 0.3784 0.42328006 0.4532 1.0 256.5 277.0 0.404 0.44274014 0.48221344 0.58285713 0.7131429 0.7657143
2600 0.38692307 0.42965382 0.45692307 1.0 256.8 277.0 0.41035858 0.45261496 0.49019608 0.57714283 0.6971429 0.75714284
2700 0.39703703 0.43670374 0.46222222 1.0 256.7 282.0 0.44 0.46605235 0.5019608 0.6542857 0.6994287 0.74
2800 0.4075 0.4424643 0.46785715 1.0 256.6 277.0 0.43307087 0.47360167 0.513834 0.64 0.70085704 0.74
2900 0.41275862 0.44872412 0.47551724 1.0 255.2 272.0 0.4484127 0.48586917 0.51953125 0.64 0.6797143 0.7228571
3000 0.41833332 0.45450002 0.483 1.0 254.8 272.0 0.45816734 0.49210805 0.5135135 0.62285715 0.67028576 0.75714284
3100 0.42483872 0.46012902 0.48741937 1.0 253.5 275.0 0.45454547 0.50124013 0.5294118 0.58 0.65971434 0.73142856
3200 0.431875 0.4663125 0.4925 1.0 251.7 272.0 0.47580644 0.5117158 0.54310346 0.5714286 0.6617144 0.7228571
3300 0.43454546 0.4718485 0.49727273 1.0 254.3 272.0 0.484375 0.51611125 0.54393303 0.5885714 0.66257143 0.71428573
3400 0.44029412 0.47761768 0.5035294 1.0 255.7 271.0 0.4921875 0.5209585 0.53696495 0.5914286 0.65599996 0.7
3500 0.4437143 0.48268571 0.50685716 1.0 255.9 274.0 0.496063 0.53323615 0.55833334 0.5971429 0.65685713 0.70857143
3600 0.44944444 0.4874722 0.51111114 1.0 255.8 271.0 0.5058824 0.539849 0.5780591 0.5971429 0.66400003 0.74
3700 0.4564865 0.49275675 0.51486486 1.0 255.5 266.0 0.5150376 0.54592264 0.575 0.56285715 0.6585714 0.7057143
3800 0.46184212 0.49707896 0.51842105 1.0 255.8 263.0 0.5247148 0.5514256 0.58436215 0.5657143 0.65342855 0.72571427
3900 0.46717948 0.50164104 0.52282053 1.0 254.9 268.0 0.51865673 0.55990905 0.59504133 0.5542857 0.6545714 0.7542857
4000 0.47375 0.506975 0.52825 1.0 256.2 267.0 0.5280899 0.56539273 0.6015326 0.5971429 0.64971423 0.7457143
4100 0.47878048 0.5121951 0.53317076 1.0 257.5 272.0 0.5330882 0.5718502 0.608 0.56285715 0.66 0.7542857
4200 0.4845238 0.51716673 0.5364286 1.0 260.1 274.0 0.54379565 0.5756513 0.63265306 0.56857145 0.65714294 0.7457143
4300 0.49093023 0.5218605 0.54209304 1.0 260.3 278.0 0.53956836 0.5806526 0.6300813 0.56 0.65999997 0.75142854
4400 0.49681818 0.5267955 0.5468182 1.0 260.7 274.0 0.54744524 0.58450925 0.62352943 0.5657143 0.66428566 0.73714286
4500 0.502 0.5314889 0.5497778 1.0 261.5 273.0 0.5588235 0.5902836 0.61811024 0.5657143 0.6622857 0.7228571
4600 0.5071739 0.5361522 0.555 1.0 260.9 278.0 0.5625 0.59860647 0.6287879 0.5742857 0.6531428 0.70857143
4700 0.51276594 0.54040426 0.5595745 1.0 261.2 275.0 0.56363636 0.60444176 0.63257575 0.56857145 0.6494286 0.7
4800 0.5183333 0.54535425 0.5652083 1.0 260.4 271.0 0.5785441 0.6113753 0.6468254 0.5542857 0.6554285 0.75142854
4900 0.5236735 0.54983675 0.56877553 1.0 260.4 270.0 0.58301157 0.6183543 0.6486486 0.5885714 0.656 0.73142856
5000 0.5282 0.55386 0.5734 1.0 263.2 274.0 0.58518517 0.6158916 0.6363636 0.5942857 0.65971434 0.7457143
5100 0.53137255 0.5578235 0.57823527 1.0 264.2 278.0 0.5932836 0.61919034 0.648855 0.5657143 0.6488572 0.71428573
5200 0.5357692 0.56157696 0.5809615 1.0 265.4 281.0 0.59607846 0.6201567 0.64285713 0.5971429 0.6577143 0.71428573
5300 0.5403774 0.56550944 0.5854717 1.0 265.5 280.0 0.60299623 0.62551486 0.6486486 0.62285715 0.6694285 0.7057143
5400 0.5453704 0.56972224 0.5883333 1.0 267.2 281.0 0.5962264 0.6286678 0.651341 0.6085714 0.6745714 0.7171429
5500 0.55127275 0.5735272 0.59236366 1.0 266.9 280.0 0.6037736 0.6324152 0.65637064 0.6142857 0.6768571 0.73142856
5600 0.5551786 0.5772143 0.5967857 1.0 265.9 279.0 0.60150373 0.6387497 0.6825397 0.6 0.67342854 0.7457143
5700 0.5587719 0.5801403 0.59894735 1.0 267.1 284.0 0.62015504 0.6407712 0.685259 0.61714286 0.6865714 0.74285716
5800 0.5632759 0.583862 0.6037931 1.0 266.3 281.0 0.62357414 0.6464063 0.6832061 0.60571426 0.684 0.7457143
5900 0.5662712 0.5875593 0.6072881 1.0 265.7 283.0 0.62222224 0.6539699 0.69201523 0.61714286 0.672 0.73714286
6000 0.5706667 0.5909334 0.61 1.0 265.2 280.0 0.6212121 0.6575802 0.7019608 0.60571426 0.65800005 0.7171429
6100 0.57409835 0.5946558 0.6136066 1.0 267.3 283.0 0.61567163 0.6564475 0.70155036 0.60571426 0.65828574 0.70857143
6200 0.5764516 0.5982258 0.6170968 1.0 268.0 283.0 0.60805863 0.6581395 0.7 0.61714286 0.67257136 0.7457143
