rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 170.5 171.0 0.058479533 0.05865153 0.05882353 0.93142855 0.972 0.99714285
100 0.15 0.194 0.24 1.0 235.2 241.0 0.063025214 0.076519266 0.09361702 0.9285714 0.962 1.0
200 0.175 0.20349999 0.27 1.0 267.6 275.0 0.08015267 0.09788919 0.11567164 0.9285714 0.9497143 0.9714286
300 0.15666667 0.21900001 0.28666666 1.0 287.8 293.0 0.09252669 0.11427434 0.13333334 0.92 0.9391429 0.9657143
400 0.1625 0.23349997 0.2875 1.0 296.8 306.0 0.11072665 0.12801185 0.14675768 0.8914286 0.9185715 0.95714283
500 0.198 0.248 0.298 1.0 299.0 311.0 0.12881356 0.14544946 0.16611296 0.9028571 0.92342865 0.9514286
600 0.22166666 0.2616667 0.31166667 1.0 300.6 313.0 0.14814815 0.1620774 0.1858108 0.8657143 0.9174286 0.9628571
700 0.22857143 0.27228573 0.32428572 1.0 299.9 308.0 0.15771812 0.17743646 0.20469798 0.88285714 0.9177143 0.96
800 0.24 0.2815 0.33125 1.0 298.5 307.0 0.17763157 0.1937494 0.21678321 0.8485714 0.9042857 0.9457143
900 0.2488889 0.29133332 0.34333333 1.0 295.1 306.0 0.18627451 0.2102544 0.22968198 0.8457143 0.892 0.9342857
1000 0.262 0.30150002 0.354 1.0 290.2 300.0 0.19661017 0.22522879 0.24738675 0.78 0.8674286 0.9114286
1100 0.2709091 0.31045452 0.3581818 1.0 287.6 301.0 0.21527778 0.24222584 0.27622378 0.80857146 0.866 0.9457143
1200 0.28416666 0.32091668 0.36833334 1.0 284.6 305.0 0.2326389 0.25816447 0.28782287 0.7828571 0.84257144 0.8857143
1300 0.29 0.33107692 0.37307692 1.0 280.8 303.0 0.24295774 0.27479643 0.32170543 0.75714284 0.8162857 0.9085714
1400 0.29857144 0.3385714 0.3807143 1.0 276.8 295.0 0.26440677 0.2912471 0.33206108 0.78 0.81942856 0.87714285
1500 0.30333334 0.34699997 0.386 1.0 274.5 289.0 0.27430555 0.30747727 0.3448276 0.7714286 0.8297142 0.86285716
1600 0.315625 0.35743752 0.395 1.0 270.8 288.0 0.28521127 0.32073817 0.3560606 0.75714284 0.80885714 0.86
1700 0.32058823 0.3640588 0.3970588 1.0 268.7 281.0 0.29893237 0.33811527 0.35555556 0.70285714 0.78371435 0.8742857
1800 0.32944444 0.3718889 0.4027778 1.0 267.9 288.0 0.31654677 0.35204738 0.36567163 0.66571426 0.7668571 0.87142855
1900 0.3394737 0.3793684 0.4063158 1.0 267.0 285.0 0.32616487 0.36271244 0.37918216 0.68857145 0.7648571 0.85142857
2000 0.3485 0.38685 0.415 1.0 265.0 280.0 0.3392857 0.37792754 0.4057971 0.64857143 0.74 0.82285714
2100 0.35619047 0.3952381 0.42857143 1.0 263.9 278.0 0.3501805 0.38853088 0.41007194 0.68857145 0.7437142 0.80857146
2200 0.36409092 0.40277272 0.43681818 1.0 262.1 273.0 0.36397058 0.3988082 0.42124543 0.6571429 0.7242857 0.81714284
2300 0.37347826 0.4097826 0.4421739 1.0 258.6 271.0 0.37174723 0.41317558 0.43307087 0.68857145 0.734 0.82285714
2400 0.38291666 0.41620833 0.44625 1.0 257.7 267.0 0.38846153 0.4237984 0.4456929 0.66571426 0.73885715 0.82857144
2500 0.3916 0.42303997 0.4524 1.0 258.9 267.0 0.40377358 0.43655616 0.4496124 0.6685714 0.7185715 0.7771429
2600 0.40115383 0.42926922 0.45615384 1.0 256.7 266.0 0.41960785 0.45107156 0.4741036 0.62857145 0.706 0.7714286
2700 0.41148147 0.43596298 0.45777777 1.0 256.0 270.0 0.4241245 0.4608325 0.47709924 0.66 0.70628566 0.74
