rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 170.5 171.0 0.058479533 0.05865153 0.05882353 0.93142855 0.972 0.99714285
100 0.12 0.186 0.25 1.0 240.0 246.0 0.05982906 0.0771375 0.094017096 0.9 0.9451429 0.9742857
200 0.18 0.1995 0.225 1.0 278.1 285.0 0.07326008 0.0963705 0.113970585 0.9057143 0.9308572 0.94857144
300 0.17666666 0.20666666 0.24666667 1.0 299.1 311.0 0.08389262 0.11182034 0.13 0.87714285 0.912 0.9457143
400 0.195 0.21949999 0.2575 1.0 312.3 330.0 0.10606061 0.12466991 0.13968255 0.9028571 0.92228574 0.9457143
500 0.2 0.22679996 0.264 1.0 318.6 332.0 0.12101911 0.14132726 0.16088328 0.84 0.89800006 0.9285714
600 0.20666666 0.24016666 0.29333332 1.0 319.8 327.0 0.13333334 0.1544593 0.17142858 0.8485714 0.89 0.93142855
700 0.21714285 0.25242856 0.31857142 1.0 323.0 329.0 0.146875 0.16932386 0.18960245 0.8457143 0.88571423 0.91714287
800 0.22125 0.26175004 0.31625 1.0 319.6 324.0 0.15923567 0.18487301 0.20872274 0.86 0.8988571 0.95428574
900 0.23555556 0.27188888 0.33 1.0 317.0 326.0 0.18092105 0.20120904 0.22539683 0.82285714 0.88485706 0.9285714
1000 0.243 0.27889997 0.327 1.0 316.2 323.0 0.18506494 0.21062033 0.23624596 0.80857146 0.884 0.94
1100 0.24636364 0.28463632 0.33363637 1.0 311.6 320.0 0.2032258 0.2261333 0.2451613 0.8057143 0.85885715 0.9114286
1200 0.2525 0.29266667 0.33833334 1.0 308.3 320.0 0.21333334 0.23931739 0.26298702 0.79142857 0.83285725 0.88
1300 0.26384616 0.3016923 0.34615386 1.0 303.4 315.0 0.23076923 0.25571516 0.27631578 0.78 0.82085717 0.86285716
1400 0.27928573 0.30942854 0.36 1.0 300.2 308.0 0.25167784 0.27076486 0.29333332 0.78571427 0.81428576 0.85142857
1500 0.28933334 0.31713334 0.35933334 1.0 296.6 302.0 0.26440677 0.28594694 0.32107022 0.76857144 0.8002857 0.8485714
1600 0.294375 0.3236875 0.364375 1.0 294.2 303.0 0.27062705 0.3005796 0.34013605 0.7342857 0.78171426 0.8371429
1700 0.29941177 0.32970586 0.3670588 1.0 291.5 304.0 0.2779661 0.31309858 0.35971224 0.72571427 0.7662858 0.86
1800 0.30833334 0.3378889 0.37 1.0 288.0 297.0 0.29965156 0.32823348 0.3731884 0.69142854 0.73971426 0.78
1900 0.31578946 0.34510526 0.38 1.0 281.1 293.0 0.32142857 0.34516737 0.38518518 0.66 0.7048571 0.73714286
2000 0.324 0.35334998 0.386 1.0 279.0 291.0 0.3274648 0.35658783 0.3939394 0.6628571 0.7017142 0.73714286
2100 0.33285713 0.3600952 0.38761905 1.0 277.0 286.0 0.34042552 0.37270135 0.41762453 0.62 0.69514287 0.73142856
2200 0.34272727 0.36704546 0.39227274 1.0 274.1 284.0 0.35793358 0.38737682 0.4296578 0.6257143 0.68142855 0.7714286
2300 0.34347826 0.37399998 0.39782608 1.0 271.3 285.0 0.37269372 0.4014849 0.44705883 0.61142856 0.678 0.75714284
2400 0.34583333 0.37820834 0.4025 1.0 271.5 280.0 0.3866171 0.4139986 0.45173746 0.6342857 0.6868571 0.7657143
2500 0.352 0.38415998 0.4092 1.0 271.4 279.0 0.3919414 0.42526525 0.45945945 0.62285715 0.6754286 0.7342857
2600 0.35923076 0.38923076 0.41346154 1.0 270.5 283.0 0.4007353 0.43489647 0.48046875 0.56857145 0.6551429 0.7
2700 0.36851853 0.39440742 0.42 1.0 269.9 277.0 0.40433213 0.44656748 0.48301888 0.58285713 0.6642858 0.72
2800 0.375 0.39896426 0.42285714 1.0 269.1 280.0 0.40357143 0.45575958 0.49070632 0.6 0.6651429 0.74
2900 0.37965518 0.4043793 0.42931035 1.0 266.5 276.0 0.41666666 0.47025147 0.5095785 0.5657143 0.6574286 0.75142854
3000 0.382 0.40936667 0.436 1.0 263.7 276.0 0.42490843 0.4841949 0.532567 0.5742857 0.65 0.7114286
3100 0.38516128 0.41477424 0.4416129 1.0 262.3 275.0 0.4535316 0.49441242 0.53435117 0.5285714 0.6305715 0.73142856
3200 0.3928125 0.42000002 0.4471875 1.0 261.5 270.0 0.4597701 0.50257796 0.5390946 0.5228571 0.6234285 0.7342857
3300 0.39939395 0.42521214 0.45151514 1.0 260.8 274.0 0.45895523 0.5133146 0.5564202 0.5342857 0.61714286 0.7228571
3400 0.40382352 0.4300294 0.45647058 1.0 260.4 272.0 0.464684 0.52401835 0.56589144 0.5285714 0.61028564 0.7228571
3500 0.41114286 0.4353714 0.46 1.0 258.5 270.0 0.4774436 0.53901994 0.56653994 0.5057143 0.5945715 0.6628571
3600 0.4186111 0.4401389 0.46388888 1.0 258.9 273.0 0.48863637 0.5460156 0.5875486 0.5228571 0.592 0.6542857
3700 0.42378378 0.44535136 0.46783784 1.0 255.9 268.0 0.49618322 0.5605434 0.58914727 0.4857143 0.56771433 0.63714284
3800 0.42973685 0.45092106 0.47236842 1.0 256.5 270.0 0.52755904 0.5676078 0.5931559 0.52 0.5714286 0.62
3900 0.4369231 0.45610255 0.47615385 1.0 255.5 268.0 0.5411765 0.58366084 0.6091954 0.4942857 0.5648571 0.6028572
4000 0.44175 0.46152502 0.48225 1.0 256.1 268.0 0.5538462 0.5940069 0.62015504 0.49142858 0.5534286 0.6257143
4100 0.44756097 0.46614632 0.48682928 1.0 256.3 270.0 0.5660377 0.6009232 0.6264591 0.45714286 0.5477143 0.6342857
4200 0.45380953 0.4712619 0.49142858 1.0 257.0 272.0 0.58076924 0.6077326 0.63235295 0.46571428 0.54771435 0.61142856
4300 0.4611628 0.47683716 0.4988372 1.0 260.6 274.0 0.56296295 0.6060897 0.6360294 0.47428572 0.54600006 0.6
