rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 170.5 171.0 0.058479533 0.05865153 0.05882353 0.93142855 0.972 0.99714285
100 0.14 0.188 0.24 1.0 230.7 235.0 0.074235804 0.0849671 0.09913793 0.94857144 0.96542853 0.99142855
200 0.18 0.21849999 0.27 1.0 258.2 264.0 0.09266409 0.10691476 0.13229571 0.9057143 0.95428574 0.98
300 0.2 0.23900001 0.32 1.0 267.5 279.0 0.11363637 0.12525848 0.15151516 0.8742857 0.9337142 0.98285717
400 0.2025 0.24875 0.3175 1.0 273.2 284.0 0.124542125 0.14384377 0.17518248 0.86285716 0.91285706 0.94
500 0.214 0.2588 0.312 1.0 271.5 288.0 0.14760147 0.16535476 0.18996416 0.8371429 0.88828576 0.93142855
600 0.23833333 0.27199998 0.31833333 1.0 266.9 280.0 0.16666667 0.1827004 0.20652173 0.82 0.86428565 0.8971428
700 0.24714285 0.28371426 0.33571428 1.0 261.5 268.0 0.18106996 0.20406577 0.22568093 0.79714286 0.854 0.8971428
800 0.26375 0.291125 0.3425 1.0 255.0 262.0 0.19583334 0.22617598 0.25099602 0.75142854 0.8274285 0.9
900 0.27444443 0.30377778 0.35444444 1.0 248.6 260.0 0.22310758 0.24936812 0.27385893 0.7342857 0.788 0.8428571
1000 0.295 0.315 0.372 1.0 240.9 253.0 0.24669604 0.2704099 0.30131003 0.68 0.7388572 0.82857144
1100 0.3018182 0.3212727 0.37454545 1.0 232.8 246.0 0.26422763 0.3010456 0.33187774 0.6514286 0.7354286 0.80857146
1200 0.31166667 0.33 0.38166666 1.0 227.3 239.0 0.28451884 0.32698965 0.36607143 0.6314286 0.6942857 0.7828571
1300 0.32 0.34053844 0.38923076 1.0 221.0 233.0 0.30357143 0.34721488 0.3960396 0.5942857 0.6654285 0.77428573
1400 0.32714286 0.34900004 0.39214286 1.0 219.2 230.0 0.3122172 0.36571378 0.41919193 0.54285717 0.6362858 0.69142854
1500 0.33866668 0.3592667 0.40333334 1.0 214.5 227.0 0.3287037 0.38933057 0.4526316 0.50857145 0.64942855 0.74
1600 0.344375 0.36856252 0.410625 1.0 211.0 227.0 0.34951457 0.40916634 0.47668394 0.46571428 0.62742853 0.7657143
1700 0.35411766 0.37529412 0.4164706 1.0 209.1 223.0 0.36548224 0.42809278 0.47263682 0.5542857 0.61057144 0.67714286
1800 0.36722222 0.3851111 0.4211111 1.0 206.9 222.0 0.40625 0.4465262 0.50256413 0.4542857 0.61142856 0.68857145
1900 0.3763158 0.39426315 0.42736843 1.0 206.8 221.0 0.41666666 0.46247616 0.51269037 0.49142858 0.5871428 0.71428573
2000 0.3855 0.40194997 0.4345 1.0 203.4 213.0 0.42051283 0.4830481 0.53266335 0.47428572 0.56314284 0.62857145
2100 0.39571428 0.4101429 0.4390476 1.0 202.0 217.0 0.45833334 0.50277656 0.5482234 0.48285714 0.5311429 0.64
2200 0.40727273 0.4195455 0.44545454 1.0 201.0 215.0 0.4604651 0.51824397 0.58638746 0.46 0.54342854 0.64857143
2300 0.41434783 0.42800003 0.45695654 1.0 200.6 214.0 0.47663552 0.53556836 0.6052632 0.47428572 0.5257143 0.6085714
2400 0.42 0.43616667 0.46625 1.0 200.1 217.0 0.48847926 0.54749876 0.6236559 0.4857143 0.53599995 0.66571426
2500 0.428 0.44383997 0.4748 1.0 200.2 220.0 0.50769234 0.5579009 0.62903225 0.42 0.5262857 0.60571426
2600 0.4380769 0.45234618 0.48423076 1.0 198.9 213.0 0.52380955 0.5729572 0.6411483 0.3942857 0.5114286 0.5914286
2700 0.44555557 0.4603333 0.49148148 1.0 199.1 215.0 0.5380435 0.5808023 0.6507177 0.36857143 0.496 0.6028572
2800 0.44678572 0.46667856 0.4975 1.0 200.3 216.0 0.5555556 0.5897199 0.6448598 0.42 0.49771428 0.62
2900 0.45448276 0.47406897 0.50551724 1.0 200.1 212.0 0.5714286 0.6038102 0.6556604 0.40285715 0.49685723 0.5971429
3000 0.461 0.48103333 0.511 1.0 197.8 214.0 0.57297295 0.6193435 0.6588785 0.43714285 0.47885713 0.55142856
3100 0.46612903 0.48767743 0.51870966 1.0 199.9 219.0 0.5783784 0.62354624 0.65789473 0.4485714 0.49685717 0.56
3200 0.475625 0.49490625 0.52375 1.0 198.7 223.0 0.5945946 0.6364825 0.6717949 0.40857142 0.4794286 0.5857143
3300 0.48181817 0.5016364 0.5290909 1.0 201.3 222.0 0.6 0.638795 0.68041235 0.41142857 0.49914283 0.60571426
3400 0.4882353 0.50835294 0.53617644 1.0 204.9 225.0 0.5829146 0.6345665 0.680203 0.42857143 0.50857145 0.5971429
