rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.10949495 0.11111111 0.8372093 0.8930233 0.95348835
2 0.0 0.25 0.5 1.0 55.4 56.0 0.10714286 0.1083189 0.11111111 0.8372093 0.88953495 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.2 57.0 0.10526316 0.112120464 0.125 0.8255814 0.8883721 0.95348835
4 0.0 0.3 0.75 1.0 56.8 58.0 0.10344828 0.110960945 0.125 0.8255814 0.8872093 0.95348835
5 0.0 0.3 0.6 1.0 57.5 59.0 0.10169491 0.10958467 0.12280702 0.8255814 0.8779069 0.95348835
6 0.0 0.3 0.5 1.0 58.2 60.0 0.1 0.10997601 0.13333334 0.8255814 0.8779069 0.95348835
7 0.0 0.3 0.5714286 1.0 58.9 61.0 0.09836066 0.11035947 0.13333334 0.8255814 0.8779069 0.95348835
8 0.0 0.3 0.5 1.0 59.5 62.0 0.09677419 0.10931931 0.13333334 0.8255814 0.8779069 0.95348835
9 0.0 0.3 0.5555556 1.0 60.0 63.0 0.0952381 0.1100644 0.13114753 0.8255814 0.8755814 0.94186044
10 0.0 0.31 0.6 1.0 60.6 64.0 0.09375 0.11225597 0.13333334 0.8255814 0.8744186 0.94186044
11 0.09090909 0.3181818 0.6363636 1.0 61.2 64.0 0.09375 0.11274798 0.14754099 0.8255814 0.8744186 0.94186044
12 0.083333336 0.31666666 0.5833333 1.0 61.8 65.0 0.092307694 0.11165865 0.14754099 0.8255814 0.87325585 0.94186044
13 0.07692308 0.31538463 0.53846157 1.0 62.4 66.0 0.09090909 0.11229356 0.14754099 0.7906977 0.8639536 0.94186044
14 0.14285715 0.3142857 0.5714286 1.0 62.9 66.0 0.09090909 0.108329915 0.14754099 0.7906977 0.8651163 0.95348835
15 0.13333334 0.30666667 0.53333336 1.0 63.4 66.0 0.09090909 0.11069711 0.16129032 0.7906977 0.8662791 0.95348835
16 0.125 0.30625 0.5 1.0 64.0 67.0 0.08955224 0.11444153 0.16129032 0.7906977 0.8651164 0.95348835
17 0.11764706 0.3 0.47058824 1.0 64.5 67.0 0.08955224 0.11512704 0.16129032 0.7906977 0.86744195 0.95348835
18 0.11111111 0.29444447 0.44444445 1.0 65.0 68.0 0.08955224 0.114198245 0.16129032 0.7906977 0.8639535 0.95348835
19 0.10526316 0.28947368 0.47368422 1.0 65.5 68.0 0.08955224 0.11322633 0.15873016 0.7906977 0.8569768 0.95348835
20 0.1 0.28500003 0.5 1.0 65.9 69.0 0.0882353 0.11245978 0.15625 0.7906977 0.8511628 0.9302326
21 0.14285715 0.2952381 0.52380955 1.0 66.3 69.0 0.08695652 0.111796655 0.15384616 0.76744187 0.84651166 0.9302326
22 0.13636364 0.29545456 0.5 1.0 67.0 70.0 0.08695652 0.11523925 0.15384616 0.76744187 0.84651166 0.9302326
23 0.13043478 0.29130432 0.47826087 1.0 67.8 71.0 0.08571429 0.11527111 0.15151516 0.76744187 0.8476745 0.9302326
24 0.125 0.29166666 0.45833334 1.0 68.2 71.0 0.08450704 0.11464987 0.14925373 0.76744187 0.8476745 0.9302326
25 0.12 0.28800002 0.44 1.0 68.8 72.0 0.083333336 0.115212694 0.14925373 0.76744187 0.8430233 0.9302326
26 0.115384616 0.28076926 0.42307693 1.0 69.5 73.0 0.08219178 0.11403719 0.14925373 0.76744187 0.8430233 0.9302326
27 0.11111111 0.27777776 0.44444445 1.0 69.8 73.0 0.08219178 0.11196961 0.14705883 0.76744187 0.8418605 0.9302326
28 0.14285715 0.275 0.42857143 1.0 70.2 73.0 0.08450704 0.11412158 0.14705883 0.76744187 0.8395349 0.9186047
29 0.13793103 0.26896554 0.44827586 1.0 71.0 74.0 0.083333336 0.114181936 0.14492753 0.76744187 0.8383721 0.9186047
30 0.16666667 0.28000003 0.43333334 1.0 71.2 75.0 0.083333336 0.11244436 0.14492753 0.76744187 0.8383721 0.9186047
31 0.16129032 0.28064513 0.41935483 1.0 71.5 75.0 0.083333336 0.11194668 0.14492753 0.76744187 0.83720934 0.9186047
32 0.15625 0.278125 0.40625 1.0 71.9 75.0 0.083333336 0.11553278 0.15714286 0.75581396 0.83255816 0.9186047
33 0.15151516 0.2818182 0.3939394 1.0 72.1 76.0 0.083333336 0.11518864 0.15492958 0.75581396 0.8313953 0.9186047
34 0.1764706 0.28235295 0.4117647 1.0 72.4 76.0 0.083333336 0.11330652 0.15492958 0.75581396 0.82790697 0.9186047
35 0.2 0.28285715 0.4 1.0 73.0 77.0 0.083333336 0.113651656 0.15277778 0.75581396 0.8267442 0.9186047
36 0.19444445 0.2861111 0.41666666 1.0 73.5 77.0 0.083333336 0.11289527 0.15068494 0.76744187 0.83372086 0.9186047
37 0.1891892 0.28378382 0.4054054 1.0 73.9 78.0 0.09090909 0.11495769 0.14864865 0.76744187 0.8395349 0.9186047
38 0.21052632 0.2842105 0.42105263 1.0 74.3 78.0 0.08108108 0.11571716 0.14864865 0.76744187 0.8395349 0.9186047
39 0.20512821 0.2846154 0.41025642 1.0 74.6 78.0 0.08108108 0.11389754 0.14864865 0.76744187 0.84069765 0.9186047
40 0.2 0.285 0.425 1.0 75.2 79.0 0.08 0.11294867 0.15189873 0.76744187 0.8418605 0.9186047
41 0.19512194 0.28292683 0.41463414 1.0 75.4 80.0 0.08 0.113934234 0.15 0.7790698 0.8430233 0.9186047
42 0.1904762 0.27857143 0.4047619 1.0 75.8 80.0 0.08974359 0.11598953 0.15 0.7790698 0.8418605 0.9186047
