rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8372093 0.8848837 0.95348835
2 0.0 0.3 1.0 1.0 54.0 54.0 0.11111111 0.112962976 0.12962963 0.8023256 0.8744186 0.94186044
3 0.0 0.23333335 0.6666667 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.8023256 0.87325585 0.94186044
4 0.0 0.3 0.75 1.0 54.0 54.0 0.11111111 0.116666675 0.14814815 0.7906977 0.86860466 0.94186044
5 0.0 0.3 0.6 1.0 54.0 54.0 0.11111111 0.116666675 0.14814815 0.7906977 0.85813963 0.94186044
6 0.0 0.3 0.6666667 1.0 54.0 54.0 0.11111111 0.116666675 0.14814815 0.7906977 0.8511628 0.94186044
7 0.0 0.3 0.5714286 1.0 54.0 54.0 0.11111111 0.116666675 0.14814815 0.7790698 0.85 0.94186044
8 0.0 0.2875 0.625 1.0 54.0 54.0 0.11111111 0.11851852 0.16666667 0.7790698 0.84534883 0.9186047
9 0.0 0.31111115 0.6666667 1.0 54.1 55.0 0.11111111 0.11828283 0.16666667 0.76744187 0.8395349 0.9186047
10 0.1 0.32999998 0.7 1.0 54.1 55.0 0.11111111 0.11828283 0.16666667 0.76744187 0.8430233 0.9186047
11 0.09090909 0.3454546 0.6363636 1.0 54.2 55.0 0.10909091 0.11808081 0.16666667 0.74418604 0.8383721 0.9186047
12 0.083333336 0.3333333 0.5833333 1.0 54.2 55.0 0.10909091 0.11808081 0.16666667 0.74418604 0.833721 0.94186044
13 0.15384616 0.3230769 0.53846157 1.0 54.4 55.0 0.10909091 0.11767677 0.16666667 0.75581396 0.83255816 0.96511626
14 0.14285715 0.3142857 0.5714286 1.0 54.4 55.0 0.10909091 0.11952863 0.16666667 0.73255813 0.82325584 0.95348835
15 0.13333334 0.3 0.53333336 1.0 54.2 55.0 0.10909091 0.11993267 0.16666667 0.7209302 0.8069767 0.95348835
16 0.125 0.2875 0.5 1.0 54.2 55.0 0.10909091 0.12175846 0.16666667 0.7093023 0.8081395 0.94186044
17 0.11764706 0.29411766 0.5294118 1.0 54.3 56.0 0.10909091 0.12149873 0.16666667 0.6976744 0.8081395 0.94186044
18 0.11111111 0.3 0.5 1.0 54.1 55.0 0.10909091 0.12196048 0.16666667 0.6976744 0.8034884 0.94186044
19 0.10526316 0.2894737 0.47368422 1.0 54.0 55.0 0.10909091 0.12398831 0.16666667 0.68604654 0.7941861 0.9302326
20 0.1 0.28500003 0.45 1.0 53.9 55.0 0.11111111 0.12604217 0.18518518 0.6976744 0.7906977 0.94186044
21 0.14285715 0.3 0.47619048 1.0 53.9 55.0 0.11111111 0.12604217 0.18518518 0.7093023 0.7906977 0.9302326
22 0.13636364 0.2909091 0.45454547 1.0 53.9 55.0 0.11111111 0.12604217 0.18518518 0.7093023 0.78372097 0.9186047
23 0.13043478 0.2826087 0.4347826 1.0 53.9 55.0 0.11111111 0.12789403 0.18518518 0.68604654 0.77558136 0.9186047
24 0.125 0.28333336 0.41666666 1.0 53.9 55.0 0.11111111 0.12789403 0.18518518 0.6511628 0.77325577 0.9186047
25 0.16 0.28800005 0.4 1.0 54.0 56.0 0.11111111 0.12942763 0.18518518 0.6627907 0.7627908 0.8488372
26 0.15384616 0.27692312 0.3846154 1.0 54.1 56.0 0.10714286 0.12741464 0.18518518 0.6627907 0.7674419 0.8488372
27 0.14814815 0.27037036 0.4074074 1.0 54.1 56.0 0.10714286 0.12926649 0.18518518 0.68604654 0.7546512 0.8488372
28 0.14285715 0.27142856 0.42857143 1.0 54.0 56.0 0.10714286 0.12951109 0.18518518 0.68604654 0.7511629 0.8255814
29 0.13793103 0.26551723 0.41379312 1.0 54.0 56.0 0.10714286 0.13136294 0.18518518 0.6976744 0.74883723 0.81395346
30 0.13333334 0.2666667 0.4 1.0 54.3 57.0 0.11111111 0.1342896 0.18518518 0.6976744 0.75581396 0.8255814
31 0.12903225 0.27096775 0.41935483 1.0 54.4 57.0 0.11111111 0.13593182 0.18518518 0.6976744 0.75116277 0.81395346
32 0.15625 0.271875 0.40625 1.0 54.5 57.0 0.11111111 0.13377693 0.16666667 0.68604654 0.7395349 0.7906977
33 0.15151516 0.2727273 0.3939394 1.0 54.6 57.0 0.11111111 0.13354124 0.16666667 0.68604654 0.73372096 0.7906977
34 0.1764706 0.27941173 0.4117647 1.0 54.7 57.0 0.10909091 0.13158484 0.16666667 0.6744186 0.7430233 0.8023256
35 0.17142858 0.27714288 0.4 1.0 54.8 58.0 0.10909091 0.12952468 0.16666667 0.6511628 0.739535 0.8023256
36 0.16666667 0.27777782 0.41666666 1.0 55.0 58.0 0.10714286 0.13094603 0.16666667 0.6627907 0.7441861 0.81395346
37 0.1891892 0.28108105 0.4054054 1.0 55.0 58.0 0.10714286 0.13838963 0.16666667 0.6627907 0.7348838 0.7906977
38 0.18421052 0.27894738 0.39473686 1.0 55.0 58.0 0.10714286 0.13841358 0.16666667 0.627907 0.7232558 0.7906977
39 0.17948718 0.2820513 0.41025642 1.0 55.1 58.0 0.10526316 0.13822562 0.16666667 0.627907 0.7255814 0.81395346
