rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11131313 0.12727273 0.81395346 0.88255805 0.95348835
2 0.0 0.3 1.0 1.0 55.4 56.0 0.10714286 0.11010462 0.125 0.81395346 0.8790698 0.95348835
3 0.0 0.26666665 0.6666667 1.0 56.2 57.0 0.10526316 0.112075076 0.14035088 0.8023256 0.872093 0.95348835
4 0.0 0.3 0.5 1.0 56.8 58.0 0.10344828 0.112578854 0.15517241 0.76744187 0.8662791 0.95348835
5 0.0 0.3 0.6 1.0 57.3 59.0 0.10344828 0.11156001 0.15254237 0.76744187 0.86162794 0.95348835
6 0.0 0.28333333 0.5 1.0 57.9 60.0 0.10169491 0.11389454 0.15 0.76744187 0.85813963 0.94186044
7 0.14285715 0.27142859 0.42857143 1.0 58.7 60.0 0.10169491 0.115804054 0.15 0.8023256 0.86162794 0.9302326
8 0.125 0.275 0.375 1.0 59.5 61.0 0.09836066 0.11767711 0.15517241 0.7790698 0.8569768 0.9302326
9 0.11111111 0.3 0.44444445 1.0 59.7 62.0 0.09836066 0.11721967 0.15517241 0.8023256 0.86162794 0.9302326
10 0.1 0.31 0.5 1.0 60.2 63.0 0.09836066 0.11785571 0.15517241 0.8023256 0.8639535 0.90697676
11 0.09090909 0.3090909 0.45454547 1.0 60.9 63.0 0.09677419 0.12150389 0.15517241 0.8023256 0.8651163 0.90697676
12 0.083333336 0.3 0.5 1.0 61.4 64.0 0.0952381 0.12044958 0.15254237 0.7906977 0.8662791 0.90697676
13 0.15384616 0.30769235 0.46153846 1.0 62.0 65.0 0.09375 0.12087699 0.15 0.8023256 0.8604652 0.89534885
14 0.14285715 0.3 0.42857143 1.0 62.9 66.0 0.09375 0.12076752 0.14754099 0.8023256 0.8604652 0.90697676
15 0.13333334 0.2866667 0.4 1.0 63.4 67.0 0.09375 0.12136485 0.14516129 0.8023256 0.8546513 0.89534885
16 0.125 0.2875 0.375 1.0 63.9 68.0 0.092307694 0.12511702 0.14705883 0.7906977 0.8546513 0.89534885
17 0.11764706 0.28235295 0.3529412 1.0 64.5 68.0 0.09090909 0.1255166 0.14705883 0.8023256 0.85348845 0.89534885
18 0.11111111 0.2777778 0.33333334 1.0 65.2 69.0 0.08955224 0.12265003 0.14492753 0.7790698 0.8511629 0.90697676
19 0.10526316 0.2736842 0.36842105 1.0 65.9 70.0 0.0882353 0.11982821 0.14285715 0.76744187 0.8476745 0.90697676
20 0.15 0.27 0.35 1.0 66.1 70.0 0.0882353 0.12100415 0.14285715 0.7790698 0.8418605 0.89534885
21 0.14285715 0.27142856 0.3809524 1.0 66.4 70.0 0.0882353 0.12042253 0.14285715 0.7790698 0.83953494 0.89534885
22 0.13636364 0.26818183 0.36363637 1.0 66.9 71.0 0.08695652 0.12258266 0.14084508 0.75581396 0.8372094 0.872093
23 0.13043478 0.25652173 0.3478261 1.0 67.6 71.0 0.08571429 0.122598276 0.15492958 0.75581396 0.8360466 0.872093
24 0.125 0.2625 0.375 1.0 68.1 72.0 0.08450704 0.12173827 0.15277778 0.76744187 0.83720934 0.872093
25 0.12 0.264 0.36 1.0 68.6 73.0 0.083333336 0.12226371 0.15277778 0.76744187 0.82790697 0.872093
26 0.115384616 0.25384617 0.34615386 1.0 69.3 74.0 0.083333336 0.12094818 0.16216215 0.76744187 0.82790697 0.8604651
27 0.11111111 0.25185186 0.37037036 1.0 69.6 74.0 0.083333336 0.12044442 0.16216215 0.76744187 0.8267442 0.8604651
28 0.10714286 0.25357145 0.35714287 1.0 69.7 74.0 0.083333336 0.120273925 0.16216215 0.76744187 0.8302325 0.8604651
29 0.10344828 0.24482758 0.3448276 1.0 70.5 74.0 0.08219178 0.11888418 0.16216215 0.75581396 0.8302326 0.89534885
30 0.1 0.24666667 0.33333334 1.0 70.6 74.0 0.08219178 0.11873925 0.16216215 0.75581396 0.82441866 0.8604651
31 0.09677419 0.25161287 0.3548387 1.0 70.9 75.0 0.08219178 0.1167585 0.16216215 0.75581396 0.8174418 0.8604651
32 0.09375 0.253125 0.34375 1.0 71.2 75.0 0.08219178 0.11913617 0.16216215 0.7209302 0.811628 0.8488372
33 0.09090909 0.25454545 0.33333334 1.0 71.6 76.0 0.08219178 0.11844273 0.16216215 0.73255813 0.8081395 0.8488372
34 0.0882353 0.2529412 0.3529412 1.0 71.9 76.0 0.08219178 0.11785968 0.16 0.73255813 0.80465114 0.8488372
35 0.114285715 0.25428572 0.34285715 1.0 72.5 77.0 0.08108108 0.11826267 0.15789473 0.73255813 0.8046511 0.8488372
36 0.11111111 0.25 0.3611111 1.0 73.1 77.0 0.08 0.11733451 0.15584415 0.76744187 0.80930233 0.8604651
37 0.13513513 0.24864867 0.35135135 1.0 73.5 78.0 0.08 0.118009195 0.15384616 0.76744187 0.81046504 0.8604651
38 0.13157895 0.25 0.36842105 1.0 73.9 78.0 0.08 0.11874884 0.15384616 0.76744187 0.8034884 0.8604651
39 0.12820514 0.25641024 0.35897437 1.0 74.1 78.0 0.08 0.11843251 0.15384616 0.76744187 0.81046516 0.9186047
40 0.15 0.25750002 0.375 1.0 74.5 80.0 0.08 0.11773454 0.15 0.76744187 0.81046504 0.9186047
41 0.14634146 0.2585366 0.36585367 1.0 74.8 81.0 0.093333334 0.118526325 0.14814815 0.76744187 0.81162786 0.9186047
42 0.14285715 0.25714287 0.35714287 1.0 74.8 81.0 0.093333334 0.121135995 0.15384616 0.76744187 0.80930233 0.9186047
43 0.13953489 0.25581393 0.3488372 1.0 75.2 82.0 0.093333334 0.12045322 0.15384616 0.74418604 0.8069767 0.9186047
44 0.13636364 0.25227275 0.3409091 1.0 75.6 82.0 0.09210526 0.119969666 0.14666666 0.74418604 0.8151163 0.9186047
