rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.7 55.0 0.10909091 0.11151515 0.12727273 0.81395346 0.8802325 0.95348835
2 0.0 0.3 0.5 1.0 55.1 56.0 0.10714286 0.110721506 0.12727273 0.81395346 0.8755814 0.95348835
3 0.0 0.26666665 0.6666667 1.0 55.8 57.0 0.10526316 0.11290328 0.14285715 0.8023256 0.8662791 0.94186044
4 0.0 0.35 0.5 1.0 56.3 58.0 0.10344828 0.113647975 0.15789473 0.7906977 0.8662791 0.94186044
5 0.0 0.34000003 0.6 1.0 57.0 59.0 0.10169491 0.11222887 0.15517241 0.7906977 0.86046517 0.94186044
6 0.0 0.3333333 0.5 1.0 57.7 60.0 0.1 0.11779662 0.16949153 0.7906977 0.8569768 0.95348835
7 0.0 0.32857147 0.5714286 1.0 58.4 61.0 0.09836066 0.11815544 0.16949153 0.7906977 0.8627907 0.95348835
8 0.0 0.325 0.625 1.0 58.9 61.0 0.09836066 0.11892239 0.16949153 0.7790698 0.8534883 0.95348835
9 0.0 0.34444445 0.6666667 1.0 59.3 62.0 0.09677419 0.11807896 0.16666667 0.7906977 0.8627907 0.95348835
10 0.0 0.35000005 0.6 1.0 59.8 63.0 0.0952381 0.11713953 0.16666667 0.7906977 0.86744183 0.95348835
11 0.09090909 0.34545454 0.54545456 1.0 60.5 63.0 0.0952381 0.11909113 0.16393442 0.7906977 0.8662791 0.95348835
12 0.083333336 0.3333333 0.5 1.0 61.0 63.0 0.0952381 0.11811634 0.16129032 0.76744187 0.8616279 0.94186044
13 0.07692308 0.31538463 0.46153846 1.0 61.8 64.0 0.09677419 0.121512756 0.16129032 0.7906977 0.85116273 0.94186044
14 0.14285715 0.31428573 0.5 1.0 62.5 65.0 0.09677419 0.12166896 0.17460318 0.7790698 0.85116273 0.94186044
15 0.2 0.31333333 0.46666667 1.0 62.9 66.0 0.09677419 0.1240416 0.171875 0.7790698 0.84534883 0.94186044
16 0.1875 0.3125 0.4375 1.0 63.4 65.0 0.0952381 0.12613383 0.16923077 0.7790698 0.8511628 0.94186044
17 0.1764706 0.31764704 0.47058824 1.0 63.7 66.0 0.10769231 0.12709881 0.16666667 0.7790698 0.8534883 0.94186044
18 0.16666667 0.31666666 0.44444445 1.0 64.2 67.0 0.10606061 0.1260855 0.1641791 0.7790698 0.8511628 0.94186044
19 0.15789473 0.3210526 0.47368422 1.0 64.5 67.0 0.104477614 0.1254636 0.1641791 0.75581396 0.84767437 0.94186044
20 0.15 0.32 0.5 1.0 64.4 67.0 0.10606061 0.125662 0.1641791 0.75581396 0.83837205 0.9186047
21 0.1904762 0.32380953 0.52380955 1.0 64.6 67.0 0.10606061 0.12370392 0.1641791 0.74418604 0.8360465 0.9302326
