rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.10949495 0.11111111 0.8372093 0.89069766 0.95348835
100 0.22 0.33100003 0.42 1.0 84.7 89.0 0.085365854 0.12631658 0.17857143 0.73255813 0.81162786 0.90697676
200 0.33 0.389 0.44 1.0 87.4 91.0 0.11363637 0.14060605 0.1954023 0.73255813 0.8081396 0.9186047
300 0.38666666 0.41800004 0.45333335 1.0 86.6 91.0 0.11363637 0.17352712 0.23255815 0.68604654 0.8069768 0.9186047
400 0.435 0.44675002 0.4625 1.0 85.5 91.0 0.13793103 0.18882917 0.23529412 0.6976744 0.8151163 0.9767442
500 0.458 0.4684 0.486 1.0 84.1 88.0 0.14285715 0.19752726 0.27058825 0.6976744 0.811628 0.90697676
600 0.48 0.49333334 0.5133333 1.0 82.7 86.0 0.19753087 0.23605919 0.3164557 0.6976744 0.78604656 0.872093
700 0.49571428 0.51071435 0.5342857 1.0 80.3 84.0 0.21428572 0.25353032 0.34615386 0.6627907 0.75232565 0.8488372
800 0.51125 0.529625 0.555 1.0 78.2 83.0 0.20481928 0.28744742 0.33783785 0.6627907 0.7430233 0.81395346
900 0.5322222 0.551 0.5777778 1.0 75.7 82.0 0.24358974 0.30877995 0.369863 0.6627907 0.73023254 0.8023256
1000 0.539 0.5703 0.599 1.0 73.8 81.0 0.25333333 0.3317596 0.4084507 0.6627907 0.73255813 0.8255814
1100 0.56363636 0.5873636 0.61636364 1.0 71.1 76.0 0.30136988 0.37135297 0.45945945 0.68604654 0.7348837 0.7906977
1200 0.5825 0.60375005 0.6358333 1.0 70.1 74.0 0.3108108 0.39951706 0.47945204 0.6627907 0.7244186 0.76744187
1300 0.59923077 0.6204616 0.6492308 1.0 68.8 73.0 0.3802817 0.4259383 0.47826087 0.6511628 0.71279067 0.8023256
1400 0.6157143 0.63535714 0.6635714 1.0 66.2 72.0 0.4027778 0.46440864 0.5522388 0.6395349 0.7023255 0.76744187
