rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11313131 0.12727273 0.8372093 0.89069766 0.95348835
100 0.28 0.37800002 0.45 1.0 83.0 87.0 0.14457831 0.17241062 0.20731707 0.7093023 0.81976736 0.9302326
200 0.355 0.43050003 0.505 1.0 82.0 86.0 0.15384616 0.20816179 0.27058825 0.73255813 0.7930233 0.94186044
300 0.42666668 0.47233334 0.5233333 1.0 77.3 83.0 0.19512194 0.23558435 0.27631578 0.68604654 0.77674425 0.872093
400 0.4925 0.513 0.54 1.0 72.2 78.0 0.1923077 0.26491287 0.33333334 0.6627907 0.7348837 0.872093
500 0.52 0.54980004 0.59 1.0 67.2 75.0 0.24193548 0.3183612 0.3611111 0.6395349 0.70348835 0.8372093
600 0.54 0.5855 0.63166666 1.0 64.0 72.0 0.26666668 0.3450109 0.42857143 0.627907 0.69534886 0.8488372
700 0.5742857 0.61614287 0.6585714 1.0 60.2 69.0 0.3043478 0.39566803 0.5 0.61627907 0.6860465 0.8372093
800 0.6025 0.6435 0.69 1.0 57.4 67.0 0.3880597 0.45168954 0.5471698 0.60465115 0.6802326 0.8255814
900 0.6288889 0.66888887 0.7122222 1.0 55.8 62.0 0.43548387 0.49312335 0.5689655 0.59302324 0.67093027 0.8023256
1000 0.659 0.6939 0.734 1.0 54.5 61.0 0.44262296 0.5207047 0.60714287 0.59302324 0.66511625 0.7906977
1100 0.68 0.7148182 0.75454545 1.0 53.7 60.0 0.47058824 0.53988194 0.60714287 0.59302324 0.66279066 0.76744187
1200 0.70166665 0.73375005 0.7733333 1.0 53.1 59.0 0.50980395 0.58215225 0.6530612 0.59302324 0.6616279 0.76744187
1300 0.72 0.75061536 0.78692305 1.0 52.8 59.0 0.54901963 0.6151634 0.6964286 0.59302324 0.6604651 0.7790698
1400 0.7385714 0.76592857 0.8 1.0 52.4 59.0 0.5614035 0.63156736 0.6964286 0.59302324 0.6604651 0.7790698
1500 0.75266665 0.78006667 0.81266665 1.0 52.1 59.0 0.58928573 0.6552473 0.7291667 0.59302324 0.65930235 0.76744187
1600 0.766875 0.792875 0.82375 1.0 51.9 59.0 0.61538464 0.6598004 0.7291667 0.59302324 0.65930235 0.76744187
1700 0.7805882 0.8042353 0.83411765 1.0 51.9 59.0 0.59615386 0.66323453 0.73214287 0.59302324 0.65930235 0.76744187
1800 0.7927778 0.8145555 0.8422222 1.0 51.9 59.0 0.61538464 0.6692427 0.73214287 0.59302324 0.65930235 0.76744187
1900 0.80315787 0.82384217 0.85 1.0 51.7 58.0 0.6181818 0.6793504 0.73214287 0.59302324 0.65930235 0.76744187
2000 0.812 0.83234996 0.857 1.0 51.7 58.0 0.61538464 0.6754962 0.75 0.59302324 0.65930235 0.76744187
2100 0.82095236 0.84009516 0.8638095 1.0 51.6 58.0 0.59615386 0.6810523 0.75510204 0.59302324 0.65930235 0.76744187
2200 0.8290909 0.8471819 0.8690909 1.0 51.6 58.0 0.6181818 0.6847807 0.75 0.59302324 0.65930235 0.76744187
2300 0.83652174 0.8536956 0.87391305 1.0 51.6 58.0 0.6181818 0.6867038 0.75 0.59302324 0.65930235 0.76744187
2400 0.8433333 0.85966665 0.87916666 1.0 51.6 58.0 0.6181818 0.68874466 0.75510204 0.59302324 0.65930235 0.76744187
2500 0.8496 0.86520004 0.8836 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
2600 0.8553846 0.8703847 0.8880769 1.0 51.6 58.0 0.6181818 0.688882 0.75510204 0.59302324 0.65930235 0.76744187
2700 0.8607407 0.8751482 0.8922222 1.0 51.6 58.0 0.6181818 0.688882 0.75510204 0.59302324 0.65930235 0.76744187
2800 0.8657143 0.8795357 0.89607143 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
2900 0.8703448 0.8836896 0.89965516 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
3000 0.8746667 0.8875667 0.903 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
3100 0.8787097 0.89119357 0.906129 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
3200 0.8825 0.89459383 0.9090625 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
3300 0.8860606 0.89778787 0.9118182 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
3400 0.88941175 0.90079415 0.9144118 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
3500 0.89257145 0.9036285 0.9168571 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
3600 0.89555556 0.9063055 0.9191667 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
3700 0.8983784 0.9088378 0.9213514 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
3800 0.90105265 0.9112369 0.923421 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
3900 0.9035897 0.9135128 0.92538464 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
4000 0.906 0.915675 0.92725 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
4100 0.9082927 0.91773164 0.9290244 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
4200 0.9104762 0.9196905 0.9307143 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
4300 0.91255814 0.9215582 0.9323256 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
4400 0.9145455 0.9233409 0.93386364 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
4500 0.9164444 0.9250444 0.9353333 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
4600 0.9182609 0.9266739 0.93673915 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
4700 0.92 0.928234 0.9380851 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
4800 0.9216667 0.9297293 0.939375 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
4900 0.9232653 0.9311632 0.94061226 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
5000 0.9248 0.93254006 0.9418 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
5100 0.92627454 0.9338628 0.9429412 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
5200 0.9276923 0.93513453 0.94403845 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
5300 0.9290566 0.93635845 0.94509435 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
5400 0.9303704 0.9375371 0.9461111 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
5500 0.9316364 0.93867284 0.9470909 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
5600 0.93285716 0.93976796 0.9480357 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
5700 0.93403506 0.9408245 0.94894737 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
5800 0.93517244 0.9418448 0.9498276 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
5900 0.9362712 0.94283056 0.950678 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
6000 0.93733335 0.9437833 0.9515 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
6100 0.93836063 0.9447049 0.95229506 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
6200 0.93935484 0.9455967 0.9530645 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
6300 0.94031745 0.94646025 0.9538095 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
6400 0.94125 0.9472969 0.95453125 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
6500 0.9421539 0.9481076 0.9552308 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
6600 0.9430303 0.948894 0.9559091 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
6700 0.9438806 0.94965667 0.95656717 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
6800 0.9447059 0.95039713 0.9572059 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
6900 0.9455072 0.9511159 0.9578261 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
7000 0.9462857 0.95181435 0.95842856 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
7100 0.9470422 0.952493 0.95901406 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
7200 0.94777775 0.9531528 0.95958334 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
7300 0.9484931 0.9537946 0.960137 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
7400 0.9491892 0.95441896 0.96067566 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
7500 0.94986665 0.9550266 0.9612 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
7600 0.9505263 0.9556184 0.9617105 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
7700 0.95116884 0.95619476 0.9622078 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
7800 0.95179486 0.9567564 0.9626923 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
7900 0.95240504 0.9573038 0.96316457 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
8000 0.953 0.95783746 0.963625 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
8100 0.95358026 0.958358 0.9640741 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
8200 0.9541463 0.95886594 0.96451217 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
8300 0.9546988 0.95936143 0.9649398 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
8400 0.9552381 0.95984524 0.9653571 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
8500 0.9557647 0.9603176 0.9657647 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
8600 0.9562791 0.960779 0.9661628 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
8700 0.9567816 0.9612299 0.9665517 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
8800 0.9572727 0.9616705 0.9669318 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
8900 0.9577528 0.9621011 0.9673034 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
9000 0.9582222 0.9625222 0.9676667 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
9100 0.95868134 0.96293414 0.968022 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
9200 0.9591304 0.96333694 0.96836954 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
9300 0.9595699 0.9637311 0.96870965 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
9400 0.96 0.96411693 0.96904254 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
9500 0.960421 0.9644948 0.9693684 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
9600 0.9608333 0.96486455 0.9696875 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
9700 0.96123713 0.9652268 0.97 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
9800 0.96163267 0.9655817 0.9703061 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
9900 0.9620202 0.9659293 0.9706061 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
10000 0.9624 0.96626997 0.9709 1.0 51.6 58.0 0.6181818 0.69066775 0.75510204 0.59302324 0.65930235 0.76744187
