rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.1149495 0.12727273 0.8372093 0.88720924 0.95348835
100 0.29 0.37399998 0.42 1.0 90.0 96.0 0.125 0.1730921 0.2247191 0.75581396 0.8441861 0.9302326
200 0.395 0.43150002 0.465 1.0 94.6 102.0 0.17525773 0.20005783 0.2747253 0.73255813 0.8313953 0.9186047
300 0.44333333 0.473 0.50666666 1.0 94.3 102.0 0.17171717 0.2272232 0.26666668 0.7790698 0.83953494 0.9302326
400 0.4825 0.50825 0.53 1.0 93.3 101.0 0.20833333 0.2495126 0.27722773 0.76744187 0.84069777 0.94186044
500 0.514 0.54399997 0.574 1.0 91.4 100.0 0.21111111 0.2700823 0.32 0.75581396 0.8383721 0.94186044
600 0.545 0.5683333 0.59166664 1.0 89.7 95.0 0.25 0.29096633 0.3448276 0.76744187 0.84069765 0.94186044
700 0.5742857 0.5921428 0.6142857 1.0 87.0 93.0 0.2840909 0.31829163 0.3655914 0.76744187 0.8418605 0.94186044
800 0.595 0.61212504 0.62875 1.0 84.9 92.0 0.29411766 0.35064036 0.4177215 0.7906977 0.844186 0.94186044
900 0.61333334 0.63188887 0.6488889 1.0 83.1 88.0 0.31034482 0.37676954 0.4375 0.7906977 0.8430233 0.9302326
1000 0.636 0.65129995 0.666 1.0 81.4 86.0 0.32941177 0.3909245 0.47368422 0.7906977 0.8441861 0.9302326
1100 0.6554545 0.6685455 0.68363637 1.0 79.9 85.0 0.37804878 0.44540796 0.5 0.7906977 0.8441861 0.9302326
1200 0.6716667 0.68625003 0.6983333 1.0 78.7 86.0 0.4 0.46664682 0.54285717 0.7906977 0.8476745 0.9302326
1300 0.68538463 0.7013846 0.7123077 1.0 78.8 89.0 0.43373495 0.4923676 0.5714286 0.7906977 0.84883726 0.9302326
1400 0.7007143 0.7147857 0.7292857 1.0 76.9 85.0 0.46835443 0.5264829 0.5890411 0.7906977 0.84883726 0.9302326
1500 0.7173333 0.7290667 0.74666667 1.0 75.9 86.0 0.4935065 0.5424782 0.63235295 0.7906977 0.84883726 0.9302326
1600 0.728125 0.74137497 0.76 1.0 75.3 85.0 0.4935065 0.5510808 0.6086956 0.7906977 0.85 0.9302326
1700 0.7394118 0.75358826 0.77235293 1.0 73.9 84.0 0.48051947 0.56041956 0.61764705 0.7906977 0.8488372 0.9302326
1800 0.75333333 0.7657223 0.78333336 1.0 73.1 83.0 0.4935065 0.5677127 0.61764705 0.7906977 0.8476745 0.9302326
1900 0.76526314 0.77615786 0.7936842 1.0 72.1 81.0 0.5064935 0.5829454 0.6515151 0.7906977 0.8476745 0.9302326
2000 0.7755 0.786 0.803 1.0 71.7 79.0 0.5064935 0.58821046 0.6231884 0.7906977 0.8476745 0.9302326
2100 0.7852381 0.79509526 0.8104762 1.0 71.1 78.0 0.53246754 0.59889674 0.64179105 0.7906977 0.8476745 0.9302326
2200 0.795 0.8039091 0.81863636 1.0 70.7 77.0 0.54545456 0.60526264 0.6615385 0.7906977 0.8476745 0.9302326
2300 0.8030435 0.81213045 0.82608694 1.0 70.4 77.0 0.54545456 0.6079031 0.6615385 0.7906977 0.8476745 0.9302326
