rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.5 55.0 0.10909091 0.11373738 0.12727273 0.81395346 0.8837209 0.95348835
100 0.26 0.39900002 0.45 1.0 71.5 79.0 0.14492753 0.19936725 0.25373134 0.5697674 0.66279066 0.81395346
200 0.455 0.49400002 0.54 1.0 65.2 72.0 0.203125 0.26145032 0.34375 0.5232558 0.6011628 0.6976744
300 0.53333336 0.564 0.6 1.0 57.9 64.0 0.27868852 0.33184707 0.42857143 0.5232558 0.5837209 0.6627907
400 0.5975 0.61825 0.64 1.0 54.5 61.0 0.34 0.39601937 0.47058824 0.5232558 0.5848837 0.6511628
500 0.644 0.6632 0.682 1.0 51.7 58.0 0.3137255 0.44259232 0.5102041 0.5232558 0.58372086 0.6511628
600 0.6766667 0.69666666 0.7216667 1.0 50.7 56.0 0.40425533 0.517044 0.59615386 0.53488374 0.5860465 0.6627907
700 0.7114286 0.7241429 0.74714285 1.0 50.6 56.0 0.47916666 0.5676969 0.63461536 0.53488374 0.5883721 0.6627907
800 0.735 0.746875 0.77125 1.0 49.8 55.0 0.5 0.613928 0.7173913 0.53488374 0.5906977 0.6627907
900 0.7544444 0.7665556 0.7888889 1.0 50.2 56.0 0.54347825 0.61113536 0.68085104 0.53488374 0.5906977 0.6627907
1000 0.766 0.7823 0.802 1.0 50.3 55.0 0.6086956 0.6623138 0.7818182 0.53488374 0.5895349 0.6627907
1100 0.7836364 0.79654545 0.8118182 1.0 50.5 56.0 0.6041667 0.70511645 0.7826087 0.53488374 0.5895349 0.6627907
1200 0.79583335 0.80875 0.82416666 1.0 50.7 56.0 0.6458333 0.73125005 0.8076923 0.53488374 0.5895349 0.6627907
1300 0.8069231 0.8196923 0.8353846 1.0 50.6 56.0 0.65957445 0.7463596 0.8269231 0.53488374 0.5895349 0.6627907
1400 0.81642854 0.82914287 0.8457143 1.0 50.6 56.0 0.65957445 0.7816591 0.89285713 0.53488374 0.5895349 0.6627907
1500 0.82733333 0.83760005 0.854 1.0 50.7 56.0 0.7407407 0.81066227 0.875 0.53488374 0.5895349 0.6627907
1600 0.835625 0.8456875 0.86125 1.0 50.7 56.0 0.7777778 0.8223054 0.89285713 0.53488374 0.5895349 0.6627907
1700 0.8435294 0.8530588 0.8682353 1.0 50.7 56.0 0.7826087 0.8421833 0.9423077 0.53488374 0.5895349 0.6627907
1800 0.85055554 0.85949993 0.87277776 1.0 50.6 56.0 0.8043478 0.87729704 0.9347826 0.53488374 0.5895349 0.6627907
1900 0.8578947 0.86594737 0.8768421 1.0 50.6 56.0 0.8333333 0.8918276 0.9464286 0.53488374 0.5895349 0.6627907
2000 0.8635 0.87185 0.8815 1.0 50.8 57.0 0.8596491 0.90211153 0.9347826 0.53488374 0.5895349 0.6627907
2100 0.86904764 0.8773333 0.88666666 1.0 50.8 57.0 0.84210527 0.9087226 0.9583333 0.53488374 0.5895349 0.6627907
2200 0.8740909 0.8820001 0.89045453 1.0 50.8 57.0 0.8703704 0.931166 0.9807692 0.53488374 0.5895349 0.6627907
2300 0.87826085 0.88639134 0.8952174 1.0 50.8 57.0 0.9074074 0.9370515 0.98214287 0.53488374 0.5895349 0.6627907
2400 0.8825 0.8908334 0.89916664 1.0 50.8 57.0 0.88461536 0.9348958 0.98214287 0.53488374 0.5895349 0.6627907
2500 0.8872 0.89488 0.9032 1.0 50.8 57.0 0.88461536 0.9306079 0.98214287 0.53488374 0.5895349 0.6627907
2600 0.89153844 0.8985001 0.90615386 1.0 50.8 57.0 0.8958333 0.9387044 0.98214287 0.53488374 0.5895349 0.6627907
2700 0.8948148 0.90188885 0.90962964 1.0 50.8 57.0 0.875 0.93890774 1.0 0.53488374 0.5895349 0.6627907
2800 0.8982143 0.9049999 0.9125 1.0 50.8 57.0 0.875 0.9484825 1.0 0.53488374 0.5895349 0.6627907
2900 0.9010345 0.90796554 0.9151724 1.0 50.8 57.0 0.92 0.96236455 1.0 0.53488374 0.5895349 0.6627907
3000 0.9036667 0.9108 0.918 1.0 50.8 57.0 0.9298246 0.96450883 0.98214287 0.53488374 0.5895349 0.6627907
3100 0.90645164 0.91354835 0.9203226 1.0 50.8 57.0 0.92 0.9628116 1.0 0.53488374 0.5895349 0.6627907
3200 0.9090625 0.9161251 0.9228125 1.0 50.7 57.0 0.9130435 0.96670043 1.0 0.53488374 0.5895349 0.6627907
3300 0.9118182 0.9185152 0.9248485 1.0 50.7 57.0 0.92 0.9688082 1.0 0.53488374 0.5895349 0.6627907
3400 0.91411763 0.920794 0.9270588 1.0 50.7 57.0 0.9074074 0.96302116 1.0 0.53488374 0.5895349 0.6627907
3500 0.91657144 0.9229714 0.92914283 1.0 50.7 57.0 0.9074074 0.96511173 1.0 0.53488374 0.5895349 0.6627907
3600 0.9186111 0.92502785 0.9311111 1.0 50.7 57.0 0.9259259 0.9587696 1.0 0.53488374 0.5895349 0.6627907
3700 0.9205405 0.9268648 0.9327027 1.0 50.7 57.0 0.94 0.9704011 1.0 0.53488374 0.5895349 0.6627907
3800 0.92263156 0.9287106 0.9344737 1.0 50.7 57.0 0.9444444 0.97448444 1.0 0.53488374 0.5895349 0.6627907
3900 0.92435896 0.9304873 0.9361538 1.0 50.7 57.0 0.95652175 0.9722985 1.0 0.53488374 0.5895349 0.6627907
4000 0.92625 0.9322001 0.93775 1.0 50.7 57.0 0.95652175 0.9742216 1.0 0.53488374 0.5895349 0.6627907
4100 0.9278049 0.9337317 0.9392683 1.0 50.7 57.0 0.95652175 0.9782337 1.0 0.53488374 0.5895349 0.6627907
4200 0.9295238 0.9352619 0.9407143 1.0 50.7 57.0 0.95652175 0.9798279 1.0 0.53488374 0.5895349 0.6627907
4300 0.93093026 0.9366744 0.942093 1.0 50.7 57.0 0.95652175 0.9835366 1.0 0.53488374 0.5895349 0.6627907
4400 0.93227273 0.9380909 0.9434091 1.0 50.7 57.0 0.9347826 0.9814602 1.0 0.53488374 0.5895349 0.6627907
4500 0.93377775 0.9393555 0.9444444 1.0 50.7 57.0 0.95652175 0.9861826 1.0 0.53488374 0.5895349 0.6627907
4600 0.9352174 0.9406522 0.9456522 1.0 50.7 57.0 0.95652175 0.98810565 1.0 0.53488374 0.5895349 0.6627907
4700 0.93659574 0.9418724 0.9468085 1.0 50.7 57.0 0.95652175 0.9898914 1.0 0.53488374 0.5895349 0.6627907
4800 0.9379167 0.9430625 0.9479167 1.0 50.7 57.0 0.95652175 0.9878914 1.0 0.53488374 0.5895349 0.6627907
4900 0.93918365 0.9441835 0.9489796 1.0 50.7 57.0 0.9782609 0.99198836 1.0 0.53488374 0.5895349 0.6627907
5000 0.9404 0.9453 0.95 1.0 50.7 57.0 0.9782609 0.99198836 1.0 0.53488374 0.5895349 0.6627907
5100 0.9415686 0.94635296 0.95098037 1.0 50.7 57.0 0.9782609 0.9940718 1.0 0.53488374 0.5895349 0.6627907
5200 0.9426923 0.9473654 0.9519231 1.0 50.7 57.0 0.9782609 0.9958261 1.0 0.53488374 0.5895349 0.6627907
5300 0.94377357 0.9483396 0.9528302 1.0 50.7 57.0 0.9782609 0.9958261 1.0 0.53488374 0.5895349 0.6627907
5400 0.9448148 0.9492963 0.9537037 1.0 50.7 57.0 0.9782609 0.9958261 1.0 0.53488374 0.5895349 0.6627907
5500 0.9458182 0.9502181 0.95454544 1.0 50.7 57.0 0.9782609 0.9918197 1.0 0.53488374 0.5895349 0.6627907
5600 0.9467857 0.9511072 0.95535713 1.0 50.7 57.0 0.9782609 0.9918197 1.0 0.53488374 0.5895349 0.6627907
5700 0.9477193 0.951965 0.95614034 1.0 50.7 57.0 0.9782609 0.9918197 1.0 0.53488374 0.5895349 0.6627907
5800 0.9486207 0.95277584 0.95689654 1.0 50.7 57.0 0.9782609 0.9938196 1.0 0.53488374 0.5895349 0.6627907
5900 0.9494915 0.95357627 0.9576271 1.0 50.7 57.0 0.9782609 0.9938196 1.0 0.53488374 0.5895349 0.6627907
6000 0.95033336 0.95435 0.9583333 1.0 50.7 57.0 0.9782609 0.9938196 1.0 0.53488374 0.5895349 0.6627907
6100 0.95114756 0.95508206 0.9590164 1.0 50.7 57.0 0.9782609 0.995903 1.0 0.53488374 0.5895349 0.6627907
6200 0.95193547 0.95579034 0.9596774 1.0 50.7 57.0 0.9782609 0.9978261 1.0 0.53488374 0.5895349 0.6627907
6300 0.9526984 0.95649207 0.96031743 1.0 50.7 57.0 0.9782609 0.9978261 1.0 0.53488374 0.5895349 0.6627907
6400 0.9534375 0.9571718 0.9609375 1.0 50.7 57.0 0.9782609 0.9958261 1.0 0.53488374 0.5895349 0.6627907
6500 0.95415384 0.95781535 0.96153843 1.0 50.7 57.0 0.9782609 0.9958261 1.0 0.53488374 0.5895349 0.6627907
6600 0.95469695 0.95843935 0.9621212 1.0 50.7 57.0 0.9782609 0.9958261 1.0 0.53488374 0.5895349 0.6627907
6700 0.9553731 0.9590597 0.96268654 1.0 50.7 57.0 0.9782609 0.9958261 1.0 0.53488374 0.5895349 0.6627907
6800 0.9560294 0.9596618 0.9632353 1.0 50.7 57.0 0.9782609 0.9958261 1.0 0.53488374 0.5895349 0.6627907
6900 0.95666665 0.96024626 0.9637681 1.0 50.7 57.0 0.9782609 0.9958261 1.0 0.53488374 0.5895349 0.6627907
7000 0.9572857 0.9608143 0.96428573 1.0 50.7 57.0 0.9782609 0.9958261 1.0 0.53488374 0.5895349 0.6627907
7100 0.95788735 0.96135217 0.96478873 1.0 50.7 57.0 0.98 0.99799997 1.0 0.53488374 0.5895349 0.6627907
7200 0.95847225 0.9618751 0.9652778 1.0 50.7 57.0 0.9782609 0.9958261 1.0 0.53488374 0.5895349 0.6627907
