rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.5 55.0 0.10909091 0.11373738 0.12727273 0.8372093 0.88720924 0.95348835
100 0.31 0.41300002 0.46 1.0 68.3 75.0 0.15714286 0.20372503 0.23943663 0.627907 0.6825582 0.8255814
200 0.475 0.5145 0.57 1.0 63.6 69.0 0.19672132 0.2480026 0.30645162 0.54651165 0.6255814 0.7093023
300 0.56333333 0.5866667 0.6166667 1.0 56.2 61.0 0.21818182 0.29844618 0.35714287 0.53488374 0.6197675 0.73255813
400 0.62 0.6385 0.6675 1.0 52.1 57.0 0.29411766 0.35031915 0.3859649 0.5116279 0.6081395 0.7209302
500 0.666 0.6814 0.71 1.0 50.2 59.0 0.29166666 0.3831245 0.4509804 0.5232558 0.6127907 0.73255813
600 0.7 0.7151666 0.74666667 1.0 48.5 56.0 0.39130434 0.43894187 0.5 0.53488374 0.6116279 0.73255813
700 0.7271429 0.74214286 0.77 1.0 48.1 56.0 0.39215687 0.47025505 0.5609756 0.53488374 0.616279 0.7209302
800 0.74875 0.763875 0.79125 1.0 47.0 54.0 0.43137255 0.49839386 0.5744681 0.53488374 0.6139535 0.7093023
900 0.77111113 0.7828889 0.8066667 1.0 46.6 54.0 0.46938777 0.52677006 0.62222224 0.53488374 0.6127907 0.7093023
1000 0.787 0.79950005 0.819 1.0 46.5 53.0 0.48 0.54230946 0.61702126 0.53488374 0.6116279 0.7093023
1100 0.8027273 0.8133637 0.8290909 1.0 46.2 53.0 0.5121951 0.58542264 0.67391306 0.53488374 0.6116279 0.7093023
1200 0.815 0.82525 0.8408333 1.0 46.2 53.0 0.5471698 0.6077386 0.67391306 0.53488374 0.6116279 0.7093023
1300 0.8261539 0.8357693 0.85 1.0 46.0 53.0 0.5531915 0.6359391 0.7234042 0.53488374 0.6116279 0.7093023
1400 0.835 0.8455715 0.8592857 1.0 46.0 53.0 0.54 0.6621767 0.7446808 0.53488374 0.6116279 0.7093023
1500 0.84466666 0.8549334 0.868 1.0 46.0 53.0 0.6 0.6815499 0.7446808 0.53488374 0.6116279 0.7093023
1600 0.853125 0.8631875 0.875 1.0 45.9 53.0 0.62222224 0.68467367 0.74418604 0.53488374 0.6116279 0.7093023
1700 0.8611765 0.8707059 0.8811765 1.0 45.9 53.0 0.62 0.6852313 0.75555557 0.53488374 0.6116279 0.7093023
1800 0.8688889 0.87750006 0.88666666 1.0 45.9 53.0 0.62 0.68803394 0.75555557 0.53488374 0.6116279 0.7093023
1900 0.87526315 0.8836315 0.8921053 1.0 45.9 53.0 0.62 0.69705385 0.7659575 0.53488374 0.6116279 0.7093023
2000 0.881 0.88915 0.8975 1.0 45.9 53.0 0.62 0.70137966 0.75609756 0.53488374 0.6116279 0.7093023
2100 0.8861905 0.8941905 0.90190476 1.0 45.9 53.0 0.62222224 0.70550734 0.75609756 0.53488374 0.6116279 0.7093023
2200 0.8909091 0.89881814 0.90636367 1.0 45.9 53.0 0.62222224 0.70750725 0.7659575 0.53488374 0.6116279 0.7093023
2300 0.8947826 0.9031304 0.9104348 1.0 45.9 53.0 0.62222224 0.70750725 0.7659575 0.53488374 0.6116279 0.7093023
2400 0.89916664 0.907125 0.9141667 1.0 45.9 53.0 0.62222224 0.70963496 0.7659575 0.53488374 0.6116279 0.7093023
2500 0.9032 0.9108399 0.9176 1.0 45.9 53.0 0.62222224 0.70719594 0.7659575 0.53488374 0.6116279 0.7093023
2600 0.90692306 0.91426927 0.9207692 1.0 45.9 53.0 0.62222224 0.70497376 0.7659575 0.53488374 0.6116279 0.7093023
2700 0.91 0.9174074 0.92370373 1.0 45.9 53.0 0.62222224 0.7068605 0.7659575 0.53488374 0.6116279 0.7093023
2800 0.91321427 0.9202857 0.92642856 1.0 45.9 53.0 0.62222224 0.7090827 0.7659575 0.53488374 0.6116279 0.7093023
2900 0.9162069 0.9230345 0.9289655 1.0 45.9 53.0 0.62222224 0.7090827 0.7659575 0.53488374 0.6116279 0.7093023
