rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 13.0 13.0 0.9230769 0.96923083 1.0 0.069767445 0.08023255 0.093023255
100 0.26 0.306 0.36 1.0 67.1 70.0 0.21212122 0.23621583 0.29508197 0.45348838 0.56162786 0.6976744
200 0.265 0.3265 0.375 1.0 82.3 91.0 0.1744186 0.20796542 0.225 0.61627907 0.69534886 0.7906977
300 0.27333334 0.343 0.38333333 1.0 87.7 91.0 0.15384616 0.18451674 0.23376623 0.627907 0.7267442 0.8372093
400 0.2925 0.3475 0.3925 1.0 88.1 92.0 0.16091955 0.18162006 0.20224719 0.59302324 0.7406977 0.8023256
500 0.3 0.34919998 0.384 1.0 83.4 94.0 0.17021276 0.18611604 0.20512821 0.55813956 0.6639535 0.74418604
600 0.32166666 0.35750002 0.38166666 1.0 78.9 85.0 0.19736843 0.21828122 0.24050634 0.53488374 0.6081395 0.7093023
700 0.33 0.36771426 0.39285713 1.0 75.1 82.0 0.20779221 0.24313553 0.28985506 0.5 0.5883721 0.6976744
800 0.345 0.376375 0.40125 1.0 72.1 80.0 0.21917808 0.27264708 0.33333334 0.44186047 0.5534884 0.6511628
900 0.35666665 0.38822222 0.41555557 1.0 68.6 77.0 0.24675325 0.31610316 0.3768116 0.38372093 0.5244186 0.5813953
1000 0.372 0.4018 0.431 1.0 66.6 75.0 0.28 0.3443814 0.4181818 0.41860464 0.5127907 0.5813953
1100 0.38272727 0.41454548 0.44454545 1.0 64.0 70.0 0.35384616 0.38876376 0.42857143 0.38372093 0.48837215 0.5697674
1200 0.39083335 0.4290833 0.4525 1.0 64.9 72.0 0.37096775 0.41479787 0.45614034 0.39534885 0.5034884 0.60465115
1300 0.40384614 0.44146156 0.46153846 1.0 63.8 72.0 0.3939394 0.456702 0.4909091 0.39534885 0.48953485 0.59302324
1400 0.42 0.45542854 0.47428572 1.0 63.3 71.0 0.45070422 0.5128455 0.60784316 0.39534885 0.47674417 0.5813953
1500 0.43866667 0.47026667 0.48933333 1.0 63.4 71.0 0.46478873 0.5416198 0.59375 0.37209302 0.46279067 0.59302324
1600 0.456875 0.48337498 0.500625 1.0 60.4 66.0 0.53846157 0.60905397 0.6981132 0.38372093 0.4581395 0.54651165
1700 0.47235295 0.4990588 0.5147059 1.0 63.7 75.0 0.53333336 0.6201047 0.6825397 0.38372093 0.46279067 0.55813956
1800 0.48777777 0.5144444 0.5272222 1.0 65.1 72.0 0.57746476 0.63608944 0.704918 0.41860464 0.48837215 0.55813956
1900 0.50473684 0.5291053 0.5473684 1.0 62.3 72.0 0.5972222 0.6876385 0.7777778 0.41860464 0.4755814 0.5697674
2000 0.521 0.54205 0.5605 1.0 61.9 68.0 0.6764706 0.7290367 0.7894737 0.44186047 0.48488373 0.5232558
2100 0.53619045 0.55457145 0.5695238 1.0 62.1 68.0 0.7058824 0.7625098 0.8 0.43023255 0.49069768 0.55813956
2200 0.5486364 0.5673182 0.5809091 1.0 63.4 70.0 0.67142856 0.77372473 0.84745765 0.43023255 0.50581396 0.5697674
2300 0.5652174 0.5799566 0.59086955 1.0 64.3 76.0 0.7236842 0.7988409 0.86206895 0.4651163 0.51976746 0.627907
2400 0.57666665 0.592 0.60375 1.0 64.6 73.0 0.75757575 0.82178724 0.875 0.4651163 0.5395349 0.61627907
2500 0.5856 0.60403997 0.6156 1.0 64.8 71.0 0.8 0.84884393 0.9 0.4651163 0.5290698 0.60465115
2600 0.59884614 0.61511534 0.6280769 1.0 66.0 74.0 0.7916667 0.8557337 0.90909094 0.4883721 0.54651153 0.61627907
2700 0.60962963 0.626037 0.6377778 1.0 65.2 73.0 0.7916667 0.8824417 0.94827586 0.4651163 0.5418605 0.627907
2800 0.61964285 0.6357857 0.64678574 1.0 64.9 72.0 0.85915494 0.91079074 0.9655172 0.45348838 0.5430233 0.61627907
2900 0.6310345 0.64586204 0.6544828 1.0 65.4 72.0 0.8472222 0.9111433 0.96666664 0.47674417 0.55813956 0.627907
3000 0.642 0.65559995 0.66366667 1.0 65.1 72.0 0.8888889 0.926321 1.0 0.47674417 0.55813956 0.627907
3100 0.6509677 0.665129 0.6735484 1.0 64.4 71.0 0.9117647 0.9434856 0.9830508 0.47674417 0.5534884 0.6511628
3200 0.659375 0.67406255 0.6828125 1.0 64.6 71.0 0.92537314 0.94920397 0.9830508 0.4883721 0.55232555 0.6511628
3300 0.6675758 0.6829697 0.6912121 1.0 65.2 70.0 0.9264706 0.9557474 0.983871 0.5 0.5639535 0.6511628
3400 0.6764706 0.69126475 0.69941175 1.0 65.7 71.0 0.9411765 0.96051633 0.984375 0.5 0.56860465 0.6627907
3500 0.6842857 0.6991429 0.7074286 1.0 66.5 71.0 0.9375 0.9593916 0.98571426 0.5116279 0.57558143 0.6627907
3600 0.69305557 0.7070278 0.7147222 1.0 66.8 72.0 0.9411765 0.9599245 0.984375 0.5116279 0.5755814 0.6627907
3700 0.7002703 0.71424323 0.72162163 1.0 66.7 72.0 0.92753625 0.96718407 0.98507464 0.5232558 0.57790697 0.6627907
3800 0.70789474 0.72118425 0.7281579 1.0 66.6 73.0 0.9411765 0.9733017 1.0 0.5232558 0.5837209 0.6744186
3900 0.7153846 0.72776926 0.7348718 1.0 66.8 74.0 0.93939394 0.9719076 1.0 0.5232558 0.5860465 0.6627907
4000 0.72225 0.73425 0.7405 1.0 66.7 73.0 0.92753625 0.97341824 1.0 0.5232558 0.58720934 0.6627907
4100 0.7290244 0.74036586 0.74634147 1.0 66.3 74.0 0.9411765 0.9794079 1.0 0.5232558 0.5813953 0.6627907
4200 0.7354762 0.7462857 0.75238097 1.0 65.7 72.0 0.96875 0.98947966 1.0 0.5232558 0.58023256 0.6627907
4300 0.74162793 0.75193024 0.75813955 1.0 66.1 74.0 0.9594595 0.9899688 1.0 0.5232558 0.58255816 0.6744186
4400 0.7475 0.7573182 0.7631818 1.0 66.0 72.0 0.969697 0.99263394 1.0 0.5232558 0.58255816 0.6744186
4500 0.7531111 0.7625555 0.7684444 1.0 66.0 72.0 0.9846154 0.9941257 1.0 0.5232558 0.583721 0.6744186
4600 0.75826085 0.76758695 0.77347827 1.0 66.2 72.0 0.984127 0.99108917 1.0 0.5232558 0.583721 0.6744186
4700 0.76340425 0.7723404 0.7780851 1.0 66.2 73.0 0.969697 0.9911764 1.0 0.5232558 0.583721 0.6744186
4800 0.7683333 0.7769375 0.78270835 1.0 65.9 72.0 0.9846154 0.9955341 1.0 0.5232558 0.5860465 0.6744186
4900 0.7730612 0.78138775 0.7871429 1.0 66.2 72.0 0.969697 0.9925272 1.0 0.5232558 0.58488375 0.6744186
5000 0.7774 0.78560007 0.7912 1.0 65.9 72.0 0.9848485 0.99709594 1.0 0.5232558 0.58488375 0.6744186
5100 0.7817647 0.7897059 0.7952941 1.0 65.7 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6744186
5200 0.7859615 0.79367304 0.79923075 1.0 65.9 71.0 0.9846154 0.99846154 1.0 0.5232558 0.58604646 0.6744186
5300 0.79 0.79754716 0.80301887 1.0 65.9 71.0 0.9846154 0.99846154 1.0 0.5232558 0.58604646 0.6744186
5400 0.79388887 0.80125934 0.8066667 1.0 65.9 71.0 0.9846154 0.99846154 1.0 0.5232558 0.58604646 0.6744186
5500 0.7976364 0.80481815 0.8101818 1.0 65.9 71.0 0.9846154 0.99846154 1.0 0.5232558 0.58604646 0.6744186
5600 0.80125 0.8082857 0.81357145 1.0 66.0 71.0 0.984127 0.9968742 1.0 0.5232558 0.5872093 0.6744186
5700 0.80473685 0.81163156 0.8168421 1.0 66.0 71.0 0.984127 0.9968742 1.0 0.5232558 0.5872093 0.6744186
5800 0.80810344 0.81486213 0.82 1.0 65.9 71.0 0.9846154 0.99846154 1.0 0.5232558 0.58604646 0.6744186
5900 0.81135595 0.81799996 0.82305086 1.0 65.9 71.0 0.9846154 0.99846154 1.0 0.5232558 0.58604646 0.6744186
6000 0.8145 0.8209666 0.826 1.0 65.8 71.0 1.0 1.0 1.0 0.5232558 0.58604646 0.6744186
6100 0.817541 0.82390165 0.8288525 1.0 65.9 71.0 1.0 1.0 1.0 0.5232558 0.5872093 0.6744186
6200 0.82048386 0.8267419 0.8316129 1.0 66.0 71.0 0.9846154 0.99846154 1.0 0.5232558 0.5872093 0.6744186
6300 0.8233333 0.8294444 0.83428574 1.0 65.9 71.0 1.0 1.0 1.0 0.5232558 0.5872093 0.6744186
6400 0.82609373 0.83210933 0.836875 1.0 65.9 71.0 1.0 1.0 1.0 0.5232558 0.5872093 0.6744186
6500 0.8287692 0.8346461 0.8393846 1.0 66.0 71.0 0.98550725 0.9985507 1.0 0.5232558 0.5883721 0.6744186
6600 0.8313636 0.8371212 0.84181815 1.0 66.1 72.0 0.98550725 0.99716187 1.0 0.5232558 0.5895349 0.68604654
6700 0.8338806 0.8395373 0.8441791 1.0 66.2 72.0 0.9846154 0.9956234 1.0 0.5232558 0.5895349 0.68604654
6800 0.8363235 0.84188235 0.8464706 1.0 66.2 72.0 0.9846154 0.9956234 1.0 0.5232558 0.5895349 0.68604654
6900 0.83869565 0.8441593 0.84869564 1.0 66.1 72.0 0.9846154 0.9970726 1.0 0.5232558 0.5883721 0.68604654
7000 0.841 0.84634286 0.85085714 1.0 66.0 72.0 0.9861111 0.9986111 1.0 0.5232558 0.5883721 0.68604654
7100 0.8432394 0.8485071 0.8529577 1.0 66.0 72.0 0.9861111 0.9986111 1.0 0.5232558 0.5883721 0.68604654
7200 0.84541667 0.8505972 0.85486114 1.0 66.1 72.0 0.9859155 0.9972027 1.0 0.5232558 0.5883721 0.68604654
7300 0.84753424 0.8526438 0.8568493 1.0 66.1 72.0 0.9859155 0.9972027 1.0 0.5232558 0.5883721 0.68604654
7400 0.8495946 0.8545946 0.85864866 1.0 66.1 72.0 0.9859155 0.9972027 1.0 0.5232558 0.5883721 0.68604654
7500 0.85146666 0.85648 0.86053336 1.0 66.3 72.0 0.969697 0.9941724 1.0 0.5232558 0.5895349 0.68604654
7600 0.85342103 0.8583026 0.8623684 1.0 66.1 72.0 0.9859155 0.9972027 1.0 0.5232558 0.5883721 0.68604654
7700 0.8553247 0.86011696 0.86402595 1.0 65.9 71.0 1.0 1.0 1.0 0.5232558 0.5872093 0.6744186
7800 0.85717946 0.8619102 0.8657692 1.0 65.9 71.0 1.0 1.0 1.0 0.5232558 0.5872093 0.6744186
7900 0.85898733 0.86364555 0.86734176 1.0 65.9 71.0 1.0 1.0 1.0 0.5232558 0.5872093 0.6744186
8000 0.86075 0.86533755 0.869 1.0 65.9 71.0 1.0 1.0 1.0 0.5232558 0.5872093 0.6744186
8100 0.86246914 0.8669876 0.8706173 1.0 65.9 71.0 1.0 1.0 1.0 0.5232558 0.5872093 0.6744186
8200 0.86414635 0.8686097 0.8721951 1.0 65.9 71.0 1.0 1.0 1.0 0.5232558 0.5872093 0.6744186
8300 0.86578315 0.8701927 0.87373495 1.0 65.9 71.0 1.0 1.0 1.0 0.5232558 0.5872093 0.6744186
8400 0.867381 0.87173814 0.8752381 1.0 65.9 71.0 1.0 1.0 1.0 0.5232558 0.5872093 0.6744186
8500 0.8689412 0.87323534 0.8767059 1.0 65.9 71.0 1.0 1.0 1.0 0.5232558 0.5872093 0.6744186
8600 0.8704651 0.8747093 0.87813956 1.0 65.9 71.0 1.0 1.0 1.0 0.5232558 0.5872093 0.6744186
8700 0.871954 0.8761495 0.8795402 1.0 65.9 71.0 1.0 1.0 1.0 0.5232558 0.5872093 0.6744186
8800 0.8734091 0.8775568 0.8809091 1.0 66.0 71.0 0.9848485 0.9984848 1.0 0.5232558 0.5883721 0.6744186
8900 0.87483144 0.8789326 0.8822472 1.0 66.0 71.0 0.9848485 0.9984848 1.0 0.5232558 0.5883721 0.6744186
9000 0.8762222 0.8802778 0.88355553 1.0 66.0 71.0 0.9848485 0.9984848 1.0 0.5232558 0.5883721 0.6744186
9100 0.87758243 0.8815934 0.8848352 1.0 66.0 71.0 0.9848485 0.9984848 1.0 0.5232558 0.5883721 0.6744186
9200 0.87891304 0.8828478 0.88608694 1.0 66.0 71.0 0.9848485 0.9984848 1.0 0.5232558 0.5883721 0.6744186
