rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.7 55.0 0.10909091 0.11151515 0.12727273 0.81395346 0.8802325 0.95348835
100 0.21 0.30299997 0.35 1.0 83.3 88.0 0.07594936 0.10992298 0.14772727 0.7209302 0.7732558 0.8488372
200 0.23 0.31599998 0.37 1.0 80.6 86.0 0.071428575 0.105684206 0.116883114 0.5 0.71744186 0.7906977
300 0.26333332 0.32999998 0.36 1.0 74.1 81.0 0.1 0.12849623 0.17333333 0.5813953 0.67093027 0.7790698
400 0.2975 0.33675003 0.365 1.0 67.4 75.0 0.09589041 0.12660094 0.15873016 0.5232558 0.59069765 0.6976744
500 0.332 0.3578 0.382 1.0 58.0 68.0 0.10294118 0.15606216 0.23728813 0.44186047 0.49534887 0.5813953
600 0.365 0.38133335 0.405 1.0 53.0 60.0 0.125 0.16808419 0.23404256 0.39534885 0.46279073 0.53488374
700 0.38 0.399 0.41714287 1.0 48.3 58.0 0.11764706 0.2061327 0.24528302 0.3372093 0.4104651 0.4651163
800 0.3925 0.418125 0.4375 1.0 44.5 55.0 0.2 0.2679947 0.33333334 0.3255814 0.38604647 0.45348838
900 0.41 0.43744445 0.4588889 1.0 47.1 53.0 0.20408164 0.2979305 0.4318182 0.3139535 0.39069766 0.4651163
1000 0.432 0.4564 0.479 1.0 47.2 55.0 0.23076923 0.32936835 0.45238096 0.3372093 0.3872093 0.4651163
1100 0.4481818 0.4727273 0.48909092 1.0 42.6 51.0 0.25531915 0.39525765 0.53846157 0.30232558 0.35581392 0.44186047
1200 0.46 0.49016666 0.5158333 1.0 41.4 52.0 0.3611111 0.4499125 0.5952381 0.25581396 0.344186 0.45348838
1300 0.4746154 0.5063847 0.53384614 1.0 42.5 50.0 0.34146342 0.46835238 0.54347825 0.29069766 0.35930228 0.43023255
1400 0.495 0.52264285 0.5442857 1.0 42.6 47.0 0.44680852 0.53585774 0.64444447 0.27906978 0.37790698 0.43023255
1500 0.5173333 0.53880006 0.5553333 1.0 42.2 48.0 0.54545456 0.61435497 0.6875 0.30232558 0.35581392 0.44186047
1600 0.5375 0.55512506 0.5675 1.0 43.6 51.0 0.5217391 0.640952 0.85714287 0.29069766 0.36162788 0.41860464
