rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.10929294 0.11111111 0.8372093 0.88953483 0.95348835
2 0.0 0.25 1.0 1.0 55.6 56.0 0.10714286 0.109707795 0.125 0.8372093 0.88720924 0.95348835
3 0.0 0.2 0.6666667 1.0 56.7 57.0 0.10526316 0.11112156 0.125 0.8372093 0.88837206 0.95348835
4 0.0 0.275 0.75 1.0 57.3 58.0 0.10344828 0.10998942 0.125 0.8372093 0.88837206 0.95348835
5 0.0 0.3 0.6 1.0 58.2 59.0 0.10169491 0.10828334 0.12280702 0.8372093 0.88837206 0.95348835
6 0.0 0.3 0.5 1.0 59.3 60.0 0.1 0.10797974 0.13333334 0.8372093 0.88953483 0.95348835
7 0.0 0.3 0.5714286 1.0 60.3 61.0 0.09836066 0.107825324 0.13333334 0.8488372 0.8906978 0.95348835
8 0.0 0.3 0.5 1.0 61.0 62.0 0.09677419 0.106606744 0.13114753 0.8488372 0.8930233 0.95348835
9 0.0 0.32222226 0.5555556 1.0 61.4 63.0 0.0952381 0.10755219 0.13114753 0.8488372 0.8930233 0.95348835
10 0.0 0.31 0.6 1.0 62.4 64.0 0.09375 0.10904805 0.12903225 0.8488372 0.8965117 0.95348835
11 0.09090909 0.3181818 0.54545456 1.0 62.9 64.0 0.09375 0.109663025 0.14285715 0.8488372 0.894186 0.95348835
12 0.083333336 0.31666666 0.5833333 1.0 63.6 65.0 0.092307694 0.10850221 0.14285715 0.8488372 0.894186 0.95348835
13 0.15384616 0.32307696 0.53846157 1.0 64.3 66.0 0.09090909 0.10744904 0.14285715 0.8488372 0.8930233 0.95348835
14 0.14285715 0.32857144 0.5714286 1.0 65.0 67.0 0.08955224 0.104767665 0.140625 0.8488372 0.89883727 0.95348835
15 0.13333334 0.33333334 0.6 1.0 65.5 68.0 0.0882353 0.10702481 0.15384616 0.8488372 0.89883727 0.95348835
16 0.1875 0.325 0.5625 1.0 66.3 69.0 0.08695652 0.11178698 0.15151516 0.8372093 0.8965117 0.95348835
17 0.1764706 0.32352942 0.5882353 1.0 66.8 70.0 0.08571429 0.11398716 0.14925373 0.8372093 0.8988372 0.95348835
18 0.16666667 0.3111111 0.5555556 1.0 67.5 70.0 0.08571429 0.11277814 0.14925373 0.8372093 0.8988372 0.95348835
19 0.15789473 0.30526316 0.57894737 1.0 68.2 70.0 0.08571429 0.11304109 0.14705883 0.8372093 0.8988372 0.95348835
20 0.2 0.305 0.55 1.0 68.6 70.0 0.08571429 0.1122417 0.1594203 0.8372093 0.90116274 0.95348835
21 0.1904762 0.30476195 0.5714286 1.0 68.9 71.0 0.08450704 0.11327674 0.1594203 0.8372093 0.9 0.95348835
22 0.18181819 0.3 0.54545456 1.0 69.7 71.0 0.08450704 0.11483459 0.15714286 0.8372093 0.9011628 0.95348835
23 0.17391305 0.2869565 0.5217391 1.0 70.7 72.0 0.083333336 0.1146248 0.15492958 0.8372093 0.9011628 0.95348835
24 0.16666667 0.2875 0.5 1.0 71.1 73.0 0.08219178 0.11406501 0.15492958 0.8372093 0.9011628 0.95348835
25 0.16 0.28399998 0.48 1.0 71.5 74.0 0.08219178 0.11345883 0.15492958 0.8372093 0.905814 0.95348835
26 0.15384616 0.28076923 0.46153846 1.0 72.2 74.0 0.08219178 0.11095287 0.14084508 0.8372093 0.905814 0.95348835
27 0.14814815 0.28518522 0.44444445 1.0 72.4 75.0 0.08219178 0.11060808 0.1388889 0.8488372 0.9081396 0.95348835
28 0.14285715 0.28214282 0.42857143 1.0 72.9 76.0 0.08108108 0.11262806 0.1388889 0.8488372 0.905814 0.95348835
29 0.13793103 0.27586207 0.41379312 1.0 73.6 77.0 0.08108108 0.11277808 0.1369863 0.8488372 0.9046513 0.95348835
30 0.16666667 0.28333336 0.43333334 1.0 74.1 77.0 0.08108108 0.112077415 0.1369863 0.8488372 0.90348846 0.95348835
31 0.16129032 0.28064516 0.41935483 1.0 74.5 76.0 0.08 0.11151173 0.13333334 0.8488372 0.90348846 0.95348835
32 0.15625 0.271875 0.40625 1.0 75.0 77.0 0.08 0.11471169 0.14285715 0.8488372 0.90232563 0.95348835
33 0.18181819 0.2757576 0.42424244 1.0 75.2 77.0 0.08 0.1143948 0.14285715 0.8255814 0.89767444 0.95348835
34 0.1764706 0.27941176 0.44117647 1.0 75.6 79.0 0.08 0.11242084 0.1392405 0.8255814 0.9 0.95348835
35 0.17142858 0.28000003 0.42857143 1.0 76.1 80.0 0.08 0.11296453 0.14666666 0.81395346 0.8988372 0.95348835
36 0.19444445 0.28333336 0.44444445 1.0 76.5 80.0 0.08 0.11242385 0.14666666 0.7906977 0.9011628 0.95348835
37 0.1891892 0.28108108 0.43243244 1.0 76.7 81.0 0.08108108 0.11086595 0.14666666 0.7906977 0.90232563 0.96511626
38 0.18421052 0.27894735 0.4473684 1.0 77.3 81.0 0.08 0.11127552 0.14666666 0.7906977 0.9000001 0.95348835
39 0.17948718 0.2820513 0.43589744 1.0 77.7 81.0 0.0875 0.11198448 0.14285715 0.7906977 0.9000001 0.95348835
40 0.175 0.2875 0.45 1.0 78.1 82.0 0.0875 0.11141159 0.14285715 0.8023256 0.90348846 0.95348835
41 0.17073171 0.2902439 0.46341464 1.0 78.5 82.0 0.0875 0.11213026 0.14102565 0.8023256 0.9 0.95348835
42 0.16666667 0.2857143 0.45238096 1.0 79.2 82.0 0.086419754 0.11115044 0.1392405 0.8023256 0.90232563 0.95348835
43 0.1627907 0.28372094 0.44186047 1.0 79.7 82.0 0.086419754 0.11171458 0.1375 0.8023256 0.90232563 0.95348835
44 0.1590909 0.2818182 0.4318182 1.0 80.2 82.0 0.085365854 0.11348679 0.13580246 0.8023256 0.8988372 0.95348835
45 0.17777778 0.2866667 0.42222223 1.0 80.5 83.0 0.085365854 0.1154966 0.14634146 0.8023256 0.894186 0.95348835
46 0.17391305 0.28695652 0.41304347 1.0 80.9 84.0 0.085365854 0.11364742 0.14457831 0.8372093 0.8988372 0.96511626
47 0.17021276 0.28510636 0.40425533 1.0 81.3 85.0 0.084337346 0.11560335 0.14457831 0.8255814 0.9023255 0.96511626
48 0.16666667 0.2875 0.41666666 1.0 81.7 85.0 0.084337346 0.11744682 0.15294118 0.8255814 0.90465117 0.96511626
49 0.1632653 0.28367344 0.40816328 1.0 82.4 86.0 0.084337346 0.11892692 0.15116279 0.8255814 0.90465117 0.96511626
50 0.16 0.284 0.42 1.0 83.0 87.0 0.08235294 0.11818755 0.15116279 0.8255814 0.9069767 0.96511626
51 0.1764706 0.28823534 0.43137255 1.0 83.1 87.0 0.08235294 0.11930785 0.14457831 0.8255814 0.9069767 0.96511626
52 0.17307693 0.28846154 0.42307693 1.0 83.5 87.0 0.08139535 0.117523946 0.14457831 0.8255814 0.91279066 0.96511626
53 0.18867925 0.29245284 0.43396226 1.0 83.7 87.0 0.08139535 0.11844002 0.14457831 0.8255814 0.91279066 0.96511626
54 0.18518518 0.29074073 0.42592594 1.0 84.1 87.0 0.08139535 0.115391314 0.14457831 0.8255814 0.9139535 0.96511626
55 0.18181819 0.28909093 0.4181818 1.0 84.5 87.0 0.08139535 0.11488514 0.14285715 0.8255814 0.9104651 0.96511626
56 0.19642857 0.28749996 0.4107143 1.0 84.8 88.0 0.08045977 0.1156955 0.15294118 0.8372093 0.90348834 0.96511626
57 0.19298245 0.28596488 0.40350878 1.0 85.3 89.0 0.07954545 0.116306566 0.15294118 0.8372093 0.90465117 0.96511626
58 0.18965517 0.28620687 0.39655173 1.0 85.5 90.0 0.07954545 0.11714973 0.15294118 0.8372093 0.9011628 0.96511626
59 0.20338982 0.2898305 0.3898305 1.0 85.7 90.0 0.07954545 0.11806133 0.16470589 0.8372093 0.90348834 0.96511626
60 0.2 0.2916667 0.38333333 1.0 86.2 90.0 0.07954545 0.117325306 0.1627907 0.8372093 0.90348834 0.96511626
61 0.19672132 0.28852457 0.37704918 1.0 86.5 90.0 0.08888889 0.11807899 0.1627907 0.8372093 0.8988372 0.96511626
62 0.19354838 0.29032257 0.38709676 1.0 86.7 90.0 0.08888889 0.11785932 0.1627907 0.8372093 0.89534885 0.96511626
63 0.1904762 0.2904762 0.3809524 1.0 86.8 90.0 0.08888889 0.119958565 0.16091955 0.8372093 0.8930233 0.96511626
