rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.7 55.0 0.10909091 0.11333333 0.12727273 0.8372093 0.8883721 0.95348835
2 0.0 0.3 1.0 1.0 55.5 56.0 0.10714286 0.11172799 0.12727273 0.8372093 0.8872093 0.95348835
3 0.0 0.23333335 0.6666667 1.0 56.5 57.0 0.10526316 0.11855321 0.125 0.8372093 0.8883721 0.95348835
4 0.0 0.3 0.75 1.0 57.0 58.0 0.10526316 0.1192651 0.125 0.8372093 0.89069766 0.95348835
5 0.0 0.3 0.6 1.0 58.1 59.0 0.10169491 0.12053623 0.13793103 0.8372093 0.89069766 0.95348835
6 0.0 0.3 0.6666667 1.0 59.1 60.0 0.1 0.12359674 0.14035088 0.8372093 0.89186037 0.95348835
7 0.0 0.2857143 0.5714286 1.0 60.2 61.0 0.114754096 0.124718145 0.14035088 0.8488372 0.8918605 0.9302326
8 0.0 0.2875 0.625 1.0 60.8 62.0 0.11290322 0.12670955 0.13793103 0.8488372 0.8872093 0.9302326
9 0.0 0.2888889 0.6666667 1.0 61.4 63.0 0.11290322 0.1287725 0.14754099 0.8488372 0.8906978 0.94186044
10 0.0 0.29000002 0.7 1.0 62.3 64.0 0.11111111 0.13015203 0.15 0.8488372 0.89418614 0.94186044
11 0.09090909 0.2909091 0.6363636 1.0 63.0 65.0 0.109375 0.13029824 0.15 0.8488372 0.89767444 0.94186044
12 0.083333336 0.29166666 0.5833333 1.0 63.6 66.0 0.109375 0.13218048 0.14754099 0.8488372 0.8965117 0.9302326
13 0.15384616 0.30769235 0.53846157 1.0 64.4 66.0 0.121212125 0.135149 0.14516129 0.8488372 0.89418614 0.9302326
14 0.14285715 0.30714282 0.5714286 1.0 65.3 67.0 0.11940298 0.13187881 0.15625 0.8488372 0.90465117 0.95348835
15 0.13333334 0.30666667 0.6 1.0 66.2 68.0 0.11764706 0.13311996 0.15625 0.8372093 0.905814 0.95348835
16 0.125 0.3 0.5625 1.0 66.6 69.0 0.11940298 0.13222916 0.15384616 0.8372093 0.8988372 0.94186044
17 0.11764706 0.3 0.5882353 1.0 67.0 70.0 0.11940298 0.13591856 0.16666667 0.8372093 0.89534885 0.94186044
18 0.11111111 0.3 0.5555556 1.0 67.8 70.0 0.11764706 0.13575281 0.16666667 0.8372093 0.8965117 0.94186044
19 0.10526316 0.30526313 0.5263158 1.0 68.3 70.0 0.11594203 0.13472924 0.16176471 0.8372093 0.89883727 0.94186044
20 0.1 0.305 0.55 1.0 68.7 70.0 0.11594203 0.13396746 0.16176471 0.8372093 0.89883727 0.94186044
21 0.0952381 0.30476195 0.52380955 1.0 69.0 71.0 0.11594203 0.1377384 0.16176471 0.8372093 0.8988372 0.94186044
22 0.09090909 0.30454546 0.5 1.0 69.2 71.0 0.12857144 0.13737875 0.15151516 0.8372093 0.9 0.94186044
23 0.13043478 0.29565215 0.47826087 1.0 70.2 73.0 0.12676056 0.13686404 0.15492958 0.8372093 0.8988372 0.94186044
24 0.16666667 0.29999998 0.45833334 1.0 70.5 73.0 0.125 0.13911192 0.15714286 0.8372093 0.9 0.95348835
25 0.16 0.31199998 0.48 1.0 70.6 73.0 0.12328767 0.13756098 0.15714286 0.8372093 0.9011628 0.95348835
26 0.15384616 0.30769232 0.46153846 1.0 71.2 73.0 0.112676054 0.1407324 0.1764706 0.8488372 0.9011628 0.95348835
27 0.14814815 0.31111112 0.44444445 1.0 71.6 74.0 0.11111111 0.13998425 0.1764706 0.8488372 0.8988372 0.95348835
28 0.17857143 0.30714285 0.4642857 1.0 71.8 74.0 0.112676054 0.1408954 0.1764706 0.8488372 0.89767444 0.95348835
29 0.1724138 0.3068965 0.4827586 1.0 72.5 75.0 0.11111111 0.14095664 0.1764706 0.8488372 0.9 0.95348835
30 0.16666667 0.31 0.46666667 1.0 73.0 76.0 0.10958904 0.14000593 0.17391305 0.8488372 0.894186 0.95348835
31 0.16129032 0.30967742 0.48387095 1.0 73.5 76.0 0.118421055 0.14173225 0.17391305 0.8372093 0.89069766 0.95348835
32 0.15625 0.303125 0.46875 1.0 74.0 76.0 0.118421055 0.14344802 0.17333333 0.8372093 0.8883721 0.95348835
33 0.15151516 0.3 0.45454547 1.0 74.3 77.0 0.116883114 0.14427158 0.17333333 0.8372093 0.8872093 0.95348835
34 0.14705883 0.29705882 0.44117647 1.0 74.5 78.0 0.116883114 0.14516844 0.17333333 0.8372093 0.8883721 0.95348835
35 0.17142858 0.2971429 0.45714286 1.0 75.2 79.0 0.116883114 0.14781655 0.18421052 0.8255814 0.8883721 0.95348835
36 0.16666667 0.29722223 0.44444445 1.0 75.6 79.0 0.116883114 0.14828035 0.18421052 0.81395346 0.8872093 0.95348835
37 0.1891892 0.2972973 0.43243244 1.0 75.9 79.0 0.116883114 0.14911431 0.18421052 0.81395346 0.883721 0.94186044
38 0.18421052 0.29210526 0.42105263 1.0 76.4 79.0 0.115384616 0.15199392 0.18181819 0.81395346 0.8860465 0.94186044
39 0.20512821 0.3 0.43589744 1.0 76.7 80.0 0.115384616 0.15132089 0.17948718 0.81395346 0.8872093 0.95348835
40 0.2 0.2975 0.425 1.0 77.2 80.0 0.115384616 0.15042855 0.1923077 0.8023256 0.88837206 0.95348835
41 0.19512194 0.297561 0.41463414 1.0 77.6 81.0 0.11392405 0.15101229 0.1923077 0.8023256 0.88953483 0.95348835
42 0.1904762 0.30238095 0.4047619 1.0 78.1 82.0 0.11392405 0.15388358 0.1923077 0.8023256 0.88837206 0.95348835
43 0.18604651 0.3023256 0.39534885 1.0 78.7 83.0 0.11392405 0.15390328 0.18072289 0.8023256 0.88953483 0.95348835
44 0.18181819 0.3 0.4090909 1.0 79.1 83.0 0.12048193 0.15701757 0.18072289 0.8023256 0.89069766 0.95348835
