rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.7 55.0 0.10909091 0.11151515 0.12727273 0.8372093 0.89418614 0.95348835
2 0.0 0.25 0.5 1.0 55.5 56.0 0.10714286 0.10990982 0.125 0.8372093 0.8918605 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.5 57.0 0.10526316 0.1150131 0.125 0.8372093 0.8918605 0.95348835
4 0.0 0.3 0.5 1.0 57.1 58.0 0.10526316 0.11901629 0.13793103 0.8372093 0.89418614 0.95348835
5 0.0 0.3 0.6 1.0 58.1 59.0 0.10169491 0.12049945 0.13793103 0.8372093 0.89534885 0.95348835
6 0.0 0.31666666 0.5 1.0 58.9 60.0 0.1 0.120586395 0.13793103 0.8372093 0.89534885 0.95348835
7 0.0 0.31428576 0.5714286 1.0 60.0 61.0 0.114754096 0.12505642 0.13793103 0.8372093 0.8918605 0.94186044
8 0.0 0.325 0.5 1.0 60.5 62.0 0.11290322 0.12730865 0.13559322 0.8372093 0.8906978 0.9302326
9 0.0 0.35555556 0.5555556 1.0 60.8 62.0 0.11290322 0.12832662 0.14754099 0.8372093 0.8918605 0.9302326
10 0.0 0.35 0.6 1.0 61.8 63.0 0.11290322 0.12949517 0.14754099 0.8372093 0.89767444 0.9302326
11 0.09090909 0.35454544 0.6363636 1.0 62.4 64.0 0.11290322 0.13304678 0.16129032 0.8372093 0.89767444 0.9302326
12 0.083333336 0.3583333 0.5833333 1.0 62.9 64.0 0.11111111 0.13360216 0.16129032 0.8372093 0.89767444 0.9302326
13 0.07692308 0.36153847 0.61538464 1.0 63.7 65.0 0.11111111 0.1334146 0.14285715 0.8372093 0.89767444 0.9302326
14 0.14285715 0.35714287 0.5714286 1.0 64.5 65.0 0.10769231 0.12872598 0.140625 0.81395346 0.9 0.95348835
15 0.13333334 0.35999998 0.6 1.0 65.3 66.0 0.10606061 0.1287012 0.140625 0.81395346 0.9011628 0.95348835
16 0.1875 0.35625 0.5625 1.0 66.0 67.0 0.104477614 0.12882859 0.15384616 0.8488372 0.9046513 0.96511626
17 0.1764706 0.34705883 0.5882353 1.0 66.5 68.0 0.11940298 0.13232724 0.15151516 0.8488372 0.90348846 0.95348835
18 0.16666667 0.34444445 0.5555556 1.0 67.1 68.0 0.11764706 0.13111848 0.14925373 0.81395346 0.89883727 0.9302326
19 0.15789473 0.34210524 0.5263158 1.0 67.8 69.0 0.11764706 0.13122962 0.14925373 0.81395346 0.8965117 0.94186044
20 0.15 0.33499998 0.5 1.0 68.3 70.0 0.11594203 0.13025987 0.14705883 0.81395346 0.8965117 0.94186044
21 0.1904762 0.33333334 0.47619048 1.0 68.6 70.0 0.11594203 0.129658 0.15714286 0.81395346 0.89534885 0.94186044
22 0.18181819 0.33181816 0.5 1.0 69.4 71.0 0.112676054 0.13254538 0.1594203 0.8255814 0.8918605 0.94186044
23 0.17391305 0.3260869 0.47826087 1.0 70.4 72.0 0.114285715 0.13349584 0.15714286 0.8255814 0.8906978 0.94186044
24 0.16666667 0.325 0.5 1.0 70.8 73.0 0.114285715 0.13554493 0.17142858 0.81395346 0.88953483 0.94186044
25 0.16 0.328 0.52 1.0 71.4 73.0 0.114285715 0.13436213 0.16901408 0.81395346 0.8883721 0.94186044
26 0.1923077 0.31923077 0.5 1.0 72.1 74.0 0.11111111 0.13455132 0.16901408 0.81395346 0.89069766 0.94186044
27 0.18518518 0.32222223 0.5185185 1.0 72.4 75.0 0.11111111 0.13394813 0.18055555 0.81395346 0.8883721 0.94186044
28 0.17857143 0.31428573 0.5 1.0 72.7 75.0 0.11111111 0.13611226 0.19178082 0.81395346 0.89069766 0.94186044
29 0.1724138 0.31034485 0.51724136 1.0 73.2 76.0 0.10958904 0.13785523 0.2027027 0.8023256 0.8860465 0.94186044
30 0.16666667 0.31666672 0.5 1.0 73.5 77.0 0.10810811 0.13734454 0.2027027 0.8023256 0.88255817 0.94186044
31 0.19354838 0.31935483 0.48387095 1.0 73.8 77.0 0.10958904 0.13816784 0.2027027 0.7906977 0.877907 0.94186044
32 0.1875 0.31875 0.46875 1.0 74.4 78.0 0.10958904 0.13844672 0.2027027 0.8023256 0.8790698 0.94186044
33 0.18181819 0.31818187 0.45454547 1.0 74.6 79.0 0.10958904 0.13940209 0.2027027 0.8023256 0.87558144 0.9186047
34 0.1764706 0.31764704 0.47058824 1.0 74.6 78.0 0.10810811 0.14218898 0.21621622 0.7790698 0.87325585 0.9186047
35 0.17142858 0.32 0.45714286 1.0 75.0 79.0 0.10810811 0.14535722 0.22666667 0.76744187 0.86860466 0.9186047
36 0.16666667 0.32222223 0.44444445 1.0 75.3 79.0 0.10810811 0.14347719 0.22666667 0.7906977 0.8697675 0.9186047
37 0.1891892 0.3216216 0.43243244 1.0 75.7 79.0 0.11392405 0.14421614 0.22666667 0.7906977 0.86046517 0.9186047
38 0.21052632 0.31842107 0.42105263 1.0 76.0 79.0 0.11392405 0.14638284 0.22666667 0.7906977 0.8627907 0.9186047
39 0.20512821 0.3230769 0.43589744 1.0 76.2 80.0 0.12658228 0.14727987 0.22666667 0.81395346 0.86744183 0.9186047
40 0.2 0.325 0.425 1.0 76.5 80.0 0.118421055 0.14545764 0.22666667 0.81395346 0.86744183 0.9186047
41 0.19512194 0.32926828 0.41463414 1.0 77.0 80.0 0.116883114 0.14570428 0.2236842 0.81395346 0.8709303 0.9186047
42 0.1904762 0.32380953 0.4047619 1.0 77.7 82.0 0.12 0.14455663 0.21052632 0.8372093 0.877907 0.9302326
43 0.20930232 0.32325584 0.39534885 1.0 77.9 82.0 0.12 0.14553824 0.20779221 0.8372093 0.87325585 0.9302326
44 0.22727273 0.32045454 0.4090909 1.0 78.3 82.0 0.118421055 0.15106133 0.21794872 0.8372093 0.8697675 0.9302326
45 0.22222222 0.32666668 0.42222223 1.0 78.6 82.0 0.118421055 0.15167151 0.2278481 0.8255814 0.86744195 0.9302326
46 0.2173913 0.32826084 0.4347826 1.0 78.8 82.0 0.118421055 0.14992695 0.2278481 0.8255814 0.877907 0.9302326
47 0.21276596 0.3255319 0.42553192 1.0 79.1 83.0 0.118421055 0.15056871 0.225 0.81395346 0.877907 0.9302326
48 0.20833333 0.32083333 0.41666666 1.0 79.7 83.0 0.116883114 0.15198687 0.22222222 0.81395346 0.88488376 0.9302326
49 0.2244898 0.32244897 0.42857143 1.0 80.1 83.0 0.12195122 0.15374124 0.22222222 0.81395346 0.88255817 0.9302326
50 0.22 0.32 0.42 1.0 80.6 84.0 0.11904762 0.15415074 0.22222222 0.81395346 0.88488376 0.9302326
51 0.21568628 0.31960785 0.4117647 1.0 81.1 85.0 0.11764706 0.15693372 0.22222222 0.81395346 0.8860465 0.94186044
52 0.23076923 0.32115385 0.40384614 1.0 81.6 86.0 0.11627907 0.15605369 0.22222222 0.81395346 0.8860465 0.94186044
53 0.2264151 0.3264151 0.41509435 1.0 81.8 86.0 0.11627907 0.15446101 0.22222222 0.81395346 0.88488376 0.94186044
54 0.22222222 0.32222223 0.4074074 1.0 81.9 86.0 0.11627907 0.15181811 0.22222222 0.81395346 0.883721 0.94186044
55 0.21818182 0.32 0.4 1.0 82.4 86.0 0.11627907 0.15325378 0.2195122 0.81395346 0.88023263 0.94186044
56 0.21428572 0.31785712 0.39285713 1.0 82.7 87.0 0.11494253 0.15634318 0.22891566 0.81395346 0.88023263 0.94186044
57 0.21052632 0.31754383 0.40350878 1.0 83.0 87.0 0.11494253 0.15578243 0.24096386 0.81395346 0.88139534 0.94186044
58 0.20689656 0.31896552 0.39655173 1.0 83.2 87.0 0.11494253 0.15769836 0.25 0.81395346 0.8837209 0.94186044
59 0.20338982 0.31864408 0.40677965 1.0 83.5 87.0 0.11494253 0.1571361 0.25 0.81395346 0.8848837 0.94186044
