rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11313131 0.12727273 0.8372093 0.89069766 0.95348835
2 0.0 0.25 0.5 1.0 55.6 56.0 0.10714286 0.111525975 0.12727273 0.8372093 0.89069766 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.6 57.0 0.10526316 0.118389726 0.125 0.8372093 0.8918605 0.95348835
4 0.0 0.3 0.5 1.0 57.2 58.0 0.10526316 0.12059027 0.13793103 0.8372093 0.8918605 0.95348835
5 0.0 0.3 0.6 1.0 58.2 59.0 0.10169491 0.12034718 0.14035088 0.8372093 0.8918605 0.95348835
6 0.0 0.3 0.5 1.0 59.2 60.0 0.1 0.12335573 0.15517241 0.8372093 0.8918605 0.95348835
7 0.0 0.3 0.42857143 1.0 60.1 61.0 0.1 0.12661013 0.15517241 0.8372093 0.8930233 0.94186044
8 0.0 0.3 0.5 1.0 60.8 62.0 0.11290322 0.12843597 0.15254237 0.8372093 0.8930233 0.94186044
9 0.0 0.33333334 0.5555556 1.0 61.2 63.0 0.11111111 0.1308741 0.15254237 0.8372093 0.8930233 0.94186044
10 0.0 0.33 0.6 1.0 62.2 64.0 0.109375 0.13193426 0.14754099 0.8372093 0.89767444 0.94186044
11 0.09090909 0.33636364 0.54545456 1.0 62.8 65.0 0.109375 0.13221568 0.15873016 0.8488372 0.89767444 0.94186044
12 0.083333336 0.3333333 0.5 1.0 63.4 66.0 0.10769231 0.13257253 0.15873016 0.8255814 0.8918605 0.9186047
13 0.07692308 0.3461539 0.53846157 1.0 64.1 66.0 0.10606061 0.13270663 0.15873016 0.8255814 0.8883721 0.9186047
14 0.14285715 0.35714287 0.5 1.0 64.7 67.0 0.10606061 0.12996362 0.15625 0.8255814 0.8918605 0.94186044
15 0.13333334 0.35999998 0.53333336 1.0 65.3 68.0 0.104477614 0.13034984 0.16923077 0.81395346 0.89069766 0.94186044
16 0.125 0.35 0.5 1.0 66.1 69.0 0.10294118 0.1317639 0.16666667 0.81395346 0.8918605 0.9302326
17 0.11764706 0.34117645 0.5294118 1.0 66.4 69.0 0.10294118 0.13428043 0.16666667 0.81395346 0.8918605 0.9302326
18 0.11111111 0.3388889 0.5 1.0 67.1 70.0 0.10144927 0.13286719 0.16666667 0.81395346 0.8930233 0.9302326
19 0.10526316 0.3368421 0.5263158 1.0 67.8 70.0 0.104477614 0.13286892 0.1641791 0.81395346 0.8930233 0.9302326
20 0.1 0.33 0.5 1.0 68.3 70.0 0.104477614 0.13332371 0.1641791 0.8023256 0.89767444 0.9302326
21 0.0952381 0.3285714 0.52380955 1.0 68.6 70.0 0.10294118 0.13411766 0.14705883 0.8023256 0.89418614 0.9302326
22 0.09090909 0.3318182 0.5 1.0 69.2 71.0 0.10294118 0.13727939 0.1594203 0.81395346 0.8930233 0.9302326
23 0.13043478 0.32173914 0.47826087 1.0 70.3 72.0 0.1 0.13657661 0.15714286 0.8488372 0.8953489 0.9302326
24 0.125 0.3208333 0.45833334 1.0 70.8 72.0 0.09859155 0.13709584 0.17142858 0.8372093 0.89418614 0.9302326
25 0.12 0.32399997 0.48 1.0 71.1 73.0 0.09859155 0.13642266 0.16901408 0.81395346 0.8918605 0.95348835
26 0.115384616 0.3192308 0.46153846 1.0 71.9 74.0 0.09859155 0.13761598 0.18055555 0.81395346 0.8918605 0.95348835
27 0.11111111 0.3222222 0.4814815 1.0 72.3 74.0 0.097222224 0.13825543 0.18055555 0.81395346 0.8883721 0.94186044
28 0.10714286 0.32142857 0.4642857 1.0 72.6 74.0 0.097222224 0.13763514 0.1780822 0.81395346 0.88953483 0.94186044
29 0.10344828 0.31724137 0.4827586 1.0 73.4 75.0 0.09589041 0.13882026 0.1891892 0.81395346 0.89069766 0.94186044
30 0.13333334 0.32333335 0.46666667 1.0 73.8 76.0 0.09589041 0.13946557 0.1891892 0.8255814 0.88953495 0.94186044
31 0.16129032 0.32903224 0.4516129 1.0 74.1 76.0 0.09589041 0.13893451 0.1891892 0.8372093 0.8860465 0.94186044
32 0.15625 0.328125 0.4375 1.0 74.9 77.0 0.09589041 0.14138243 0.2 0.81395346 0.883721 0.9302326
33 0.18181819 0.33030304 0.45454547 1.0 75.1 78.0 0.09589041 0.1423622 0.2 0.81395346 0.88139534 0.9186047
34 0.1764706 0.3264706 0.47058824 1.0 75.4 78.0 0.09589041 0.14042582 0.2 0.8372093 0.883721 0.9186047
35 0.17142858 0.3285714 0.45714286 1.0 75.9 79.0 0.0945946 0.14341134 0.21052632 0.8372093 0.88255817 0.9186047
36 0.16666667 0.3277778 0.4722222 1.0 76.2 80.0 0.0945946 0.1441459 0.21052632 0.8604651 0.8918605 0.94186044
37 0.16216215 0.3243243 0.45945945 1.0 76.7 81.0 0.0945946 0.14321336 0.21052632 0.8372093 0.88953495 0.94186044
38 0.18421052 0.3210526 0.4473684 1.0 77.1 81.0 0.093333334 0.14383166 0.21052632 0.8372093 0.89418614 0.94186044
39 0.17948718 0.32564107 0.43589744 1.0 77.4 82.0 0.093333334 0.14310075 0.20512821 0.8372093 0.8953489 0.94186044
40 0.175 0.32999998 0.425 1.0 77.5 82.0 0.09210526 0.14415231 0.20512821 0.8372093 0.88953495 0.9302326
41 0.17073171 0.33414632 0.4390244 1.0 77.9 83.0 0.09090909 0.14724304 0.20253165 0.8372093 0.89069766 0.9302326
42 0.1904762 0.3333333 0.45238096 1.0 78.5 83.0 0.103896104 0.14745508 0.20253165 0.8372093 0.89651155 0.9302326
43 0.18604651 0.33255813 0.44186047 1.0 79.1 84.0 0.116883114 0.14757058 0.1875 0.8372093 0.89651155 0.9302326
44 0.18181819 0.3340909 0.45454547 1.0 79.4 84.0 0.12820514 0.15215126 0.1875 0.8372093 0.894186 0.9302326
45 0.17777778 0.34 0.44444445 1.0 79.7 85.0 0.12820514 0.1502256 0.18518518 0.8372093 0.894186 0.9302326
46 0.17391305 0.3369565 0.4347826 1.0 80.1 85.0 0.12345679 0.14952107 0.18292683 0.8372093 0.894186 0.9302326
47 0.17021276 0.33829787 0.42553192 1.0 80.4 85.0 0.12820514 0.1514554 0.18292683 0.8488372 0.89534885 0.9302326
48 0.16666667 0.33750004 0.4375 1.0 80.8 85.0 0.12658228 0.15328683 0.18292683 0.8488372 0.89651155 0.9302326
49 0.1632653 0.33469388 0.42857143 1.0 81.2 84.0 0.125 0.15380669 0.18292683 0.8488372 0.8930232 0.9302326
50 0.16 0.338 0.44 1.0 81.7 85.0 0.125 0.15287356 0.18292683 0.8488372 0.8999999 0.94186044
51 0.15686275 0.3372549 0.4509804 1.0 82.1 85.0 0.12195122 0.15341277 0.18292683 0.872093 0.90465105 0.94186044
52 0.17307693 0.33653846 0.44230768 1.0 82.6 86.0 0.12048193 0.1537456 0.18292683 0.872093 0.90465105 0.94186044
53 0.16981132 0.34339622 0.4528302 1.0 82.7 86.0 0.12048193 0.15359539 0.18292683 0.872093 0.90348834 0.9302326
54 0.16666667 0.3425926 0.46296296 1.0 82.9 86.0 0.12048193 0.14838585 0.18292683 0.872093 0.90348834 0.9302326
55 0.18181819 0.34363636 0.45454547 1.0 83.6 86.0 0.11904762 0.14943068 0.17857143 0.872093 0.90930235 0.9302326
56 0.17857143 0.34464288 0.44642857 1.0 83.9 86.0 0.11764706 0.15128046 0.1882353 0.8488372 0.9011628 0.9302326
57 0.19298245 0.34561405 0.4385965 1.0 84.2 87.0 0.12941177 0.15425 0.2 0.8488372 0.9011628 0.9302326
58 0.18965517 0.34482756 0.44827586 1.0 84.5 87.0 0.12941177 0.15366668 0.2 0.8488372 0.9011628 0.9302326
59 0.18644068 0.35084745 0.45762712 1.0 84.7 87.0 0.12790698 0.15335843 0.2 0.8488372 0.9011628 0.9302326
60 0.2 0.35500002 0.45 1.0 84.9 87.0 0.12790698 0.15059265 0.18604651 0.8488372 0.9011628 0.9302326
61 0.19672132 0.352459 0.44262296 1.0 85.2 88.0 0.12790698 0.15122768 0.18604651 0.8488372 0.9011628 0.9302326
62 0.20967741 0.3516129 0.4516129 1.0 85.5 89.0 0.12790698 0.15308617 0.18604651 0.8255814 0.8965117 0.9302326
63 0.20634921 0.34761906 0.44444445 1.0 85.8 89.0 0.12790698 0.15487176 0.18604651 0.8255814 0.8965117 0.9302326
64 0.21875 0.3484375 0.453125 1.0 85.7 89.0 0.12790698 0.15734085 0.18604651 0.76744187 0.88953483 0.94186044
65 0.21538462 0.34923077 0.44615385 1.0 86.1 89.0 0.13636364 0.15785038 0.18604651 0.76744187 0.8930232 0.94186044
66 0.22727273 0.35151514 0.43939394 1.0 86.3 89.0 0.13636364 0.1598928 0.18604651 0.76744187 0.8930232 0.94186044
67 0.23880596 0.3552239 0.43283582 1.0 86.6 89.0 0.13636364 0.15816942 0.18390805 0.76744187 0.8930233 0.9302326
