rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 13.0 13.0 0.9230769 0.9384616 1.0 0.069767445 0.076744184 0.093023255
2 0.0 0.3 1.0 1.0 14.0 14.0 0.85714287 0.8785714 0.9285714 0.069767445 0.08488371 0.11627907
3 0.0 0.33333334 0.6666667 1.0 15.0 15.0 0.8 0.8266667 0.8666667 0.069767445 0.10116279 0.15116279
4 0.0 0.325 0.75 1.0 16.0 16.0 0.75 0.775 0.875 0.093023255 0.11279069 0.15116279
5 0.0 0.34 0.6 1.0 16.9 17.0 0.7058824 0.7397059 0.8235294 0.093023255 0.118604645 0.1627907
6 0.0 0.3333333 0.6666667 1.0 17.9 18.0 0.6666667 0.6931372 0.7777778 0.093023255 0.12674418 0.1627907
7 0.0 0.31428576 0.5714286 1.0 18.9 19.0 0.6315789 0.6619883 0.7777778 0.093023255 0.1383721 0.18604651
8 0.0 0.3125 0.625 1.0 19.7 20.0 0.6 0.63526314 0.7368421 0.10465116 0.14767441 0.19767442
9 0.11111111 0.33333334 0.6666667 1.0 20.4 21.0 0.5714286 0.6231579 0.7 0.10465116 0.15697674 0.24418604
10 0.1 0.34 0.6 1.0 21.3 22.0 0.54545456 0.59731597 0.7 0.11627907 0.1627907 0.24418604
11 0.09090909 0.33636367 0.6363636 1.0 22.2 23.0 0.5217391 0.57284963 0.61904764 0.11627907 0.16976745 0.26744187
12 0.083333336 0.34166667 0.5833333 1.0 23.1 24.0 0.5 0.5594179 0.61904764 0.11627907 0.1755814 0.26744187
13 0.15384616 0.33076924 0.53846157 1.0 23.9 25.0 0.48 0.53629386 0.6 0.11627907 0.18720931 0.29069766
14 0.14285715 0.32142857 0.5 1.0 24.7 26.0 0.46153846 0.51853454 0.5769231 0.11627907 0.19302326 0.29069766
15 0.13333334 0.32 0.46666667 1.0 25.5 27.0 0.44444445 0.502463 0.56 0.11627907 0.19651164 0.29069766
16 0.1875 0.34375 0.5 1.0 26.4 28.0 0.42857143 0.5005608 0.56 0.11627907 0.20348838 0.29069766
17 0.1764706 0.34117645 0.5294118 1.0 27.1 29.0 0.41379312 0.4729783 0.5 0.12790698 0.2139535 0.30232558
18 0.22222222 0.34444445 0.5 1.0 28.0 30.0 0.41379312 0.4606778 0.5 0.12790698 0.22209302 0.30232558
19 0.21052632 0.33684212 0.5263158 1.0 28.5 31.0 0.41379312 0.45309693 0.4827586 0.13953489 0.22209302 0.30232558
20 0.2 0.32500002 0.5 1.0 29.1 31.0 0.41379312 0.4437005 0.5 0.1627907 0.22674417 0.30232558
21 0.1904762 0.32857144 0.47619048 1.0 29.8 32.0 0.4 0.43341225 0.4827586 0.1627907 0.23255816 0.30232558
22 0.18181819 0.3272727 0.5 1.0 30.3 32.0 0.38709676 0.42605466 0.44827586 0.1627907 0.23488374 0.30232558
23 0.17391305 0.32608694 0.5217391 1.0 31.1 33.0 0.3939394 0.41508156 0.44827586 0.1627907 0.23604651 0.30232558
24 0.20833333 0.325 0.5 1.0 31.5 33.0 0.3939394 0.40973526 0.43333334 0.1744186 0.24186048 0.30232558
25 0.2 0.316 0.48 1.0 31.9 34.0 0.38235295 0.40789706 0.43333334 0.15116279 0.24767442 0.3139535
26 0.1923077 0.3153846 0.46153846 1.0 32.6 35.0 0.37142858 0.40527576 0.44117647 0.15116279 0.25348836 0.3372093
27 0.22222222 0.31851852 0.44444445 1.0 33.4 36.0 0.3611111 0.38965338 0.41935483 0.15116279 0.2616279 0.3372093
28 0.21428572 0.3142857 0.42857143 1.0 34.0 36.0 0.3611111 0.38276157 0.40625 0.15116279 0.26279068 0.3255814
29 0.20689656 0.30689654 0.41379312 1.0 34.5 37.0 0.3529412 0.37736177 0.40625 0.15116279 0.27093023 0.3372093
30 0.2 0.3 0.4 1.0 35.0 37.0 0.35135135 0.37771866 0.40625 0.15116279 0.28139535 0.3488372
31 0.19354838 0.2935484 0.41935483 1.0 35.6 38.0 0.34210527 0.36846644 0.3939394 0.1744186 0.29651165 0.39534885
32 0.1875 0.29375 0.40625 1.0 36.1 38.0 0.34210527 0.3632866 0.3939394 0.1744186 0.29534882 0.40697673
33 0.21212122 0.2939394 0.3939394 1.0 36.7 39.0 0.33333334 0.36560467 0.4 0.1744186 0.3034884 0.41860464
34 0.20588236 0.29117647 0.38235295 1.0 37.2 39.0 0.33333334 0.35520068 0.37142858 0.18604651 0.29883724 0.41860464
35 0.2 0.29142857 0.37142858 1.0 37.7 40.0 0.3243243 0.35554582 0.375 0.19767442 0.30581397 0.39534885
36 0.19444445 0.28611112 0.3888889 1.0 38.4 41.0 0.31578946 0.3468812 0.3783784 0.20930232 0.31046513 0.37209302
37 0.1891892 0.28918916 0.3783784 1.0 38.8 42.0 0.31578946 0.3485798 0.4 0.22093023 0.3127907 0.39534885
38 0.21052632 0.29473683 0.36842105 1.0 39.1 42.0 0.31578946 0.35387015 0.41666666 0.20930232 0.3209302 0.39534885
39 0.20512821 0.2974359 0.3846154 1.0 39.5 42.0 0.30769232 0.34504372 0.3888889 0.20930232 0.32906976 0.45348838
40 0.2 0.2925 0.375 1.0 39.8 43.0 0.3 0.34263876 0.41025642 0.19767442 0.33255813 0.45348838
41 0.19512194 0.2878049 0.36585367 1.0 40.5 44.0 0.29268292 0.34185737 0.4 0.19767442 0.34302324 0.47674417
42 0.21428572 0.28809527 0.35714287 1.0 41.1 45.0 0.2857143 0.33916906 0.4054054 0.19767442 0.34534883 0.44186047
43 0.20930232 0.2906977 0.37209302 1.0 41.3 45.0 0.29268292 0.33718398 0.3902439 0.22093023 0.35581395 0.44186047
44 0.20454545 0.28863636 0.36363637 1.0 41.7 45.0 0.2857143 0.33157128 0.3809524 0.22093023 0.3627907 0.4651163
45 0.2 0.2888889 0.35555556 1.0 42.6 46.0 0.27906978 0.32704535 0.37209302 0.22093023 0.3755814 0.4651163
46 0.19565217 0.29130432 0.36956522 1.0 43.0 47.0 0.29545453 0.32430375 0.37209302 0.22093023 0.37790698 0.5
47 0.19148937 0.293617 0.38297874 1.0 43.8 48.0 0.26666668 0.316421 0.3846154 0.23255815 0.3895349 0.5
48 0.1875 0.29375 0.39583334 1.0 44.1 48.0 0.26086956 0.31215113 0.36842105 0.23255815 0.3895349 0.4883721
