rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.0 54.0 0.11111111 0.11851852 0.12962963 0.8372093 0.8837209 0.94186044
2 0.0 0.2 1.0 1.0 54.1 55.0 0.10909091 0.12016835 0.12962963 0.8372093 0.8790698 0.94186044
3 0.0 0.2 0.6666667 1.0 54.4 56.0 0.10714286 0.12327321 0.14814815 0.8372093 0.87325585 0.9302326
4 0.0 0.275 0.75 1.0 54.5 56.0 0.10714286 0.12307839 0.14814815 0.8255814 0.86860466 0.9302326
5 0.0 0.28000003 0.6 1.0 54.8 56.0 0.10714286 0.1260089 0.14814815 0.81395346 0.8651163 0.9302326
6 0.0 0.31666666 0.5 1.0 55.1 57.0 0.10714286 0.12711115 0.14814815 0.81395346 0.8639535 0.9302326
7 0.0 0.31428573 0.5714286 1.0 55.6 57.0 0.10526316 0.13143015 0.16666667 0.8255814 0.8686048 0.9302326
8 0.0 0.3 0.5 1.0 55.7 57.0 0.10526316 0.13119447 0.16666667 0.8023256 0.86279076 0.90697676
9 0.0 0.34444445 0.5555556 1.0 55.8 57.0 0.10526316 0.13094385 0.16666667 0.8023256 0.86162794 0.90697676
10 0.0 0.34 0.6 1.0 56.3 58.0 0.10344828 0.12987034 0.16666667 0.8023256 0.8662791 0.90697676
11 0.0 0.33636364 0.54545456 1.0 56.3 58.0 0.10344828 0.12987034 0.16666667 0.81395346 0.86046517 0.89534885
12 0.0 0.34166667 0.5833333 1.0 56.5 58.0 0.10344828 0.13122502 0.16666667 0.81395346 0.85930234 0.89534885
13 0.07692308 0.34615386 0.61538464 1.0 56.7 59.0 0.10344828 0.13080874 0.16666667 0.81395346 0.8581395 0.89534885
14 0.14285715 0.35000002 0.5714286 1.0 56.9 59.0 0.10344828 0.13206413 0.16363636 0.7906977 0.85930234 0.89534885
15 0.13333334 0.34666672 0.6 1.0 57.0 59.0 0.10344828 0.13187616 0.16363636 0.7906977 0.855814 0.89534885
16 0.125 0.33125 0.5625 1.0 57.1 59.0 0.10344828 0.13344908 0.16363636 0.7790698 0.84883726 0.89534885
17 0.11764706 0.32352942 0.5294118 1.0 57.1 59.0 0.10344828 0.13344908 0.16363636 0.7790698 0.8441861 0.89534885
18 0.11111111 0.32777777 0.5 1.0 57.2 59.0 0.10344828 0.13502526 0.18181819 0.74418604 0.84651166 0.94186044
19 0.10526316 0.32105264 0.5263158 1.0 57.4 59.0 0.10169491 0.13640198 0.2 0.74418604 0.83953494 0.94186044
20 0.1 0.32500002 0.55 1.0 57.4 60.0 0.10344828 0.13637957 0.2 0.73255813 0.83255804 0.94186044
21 0.0952381 0.33809525 0.5714286 1.0 57.5 61.0 0.10344828 0.13787356 0.2 0.73255813 0.8348837 0.94186044
22 0.13636364 0.34090912 0.54545456 1.0 57.7 61.0 0.10169491 0.13744761 0.2 0.74418604 0.833721 0.9302326
23 0.13043478 0.33478257 0.5217391 1.0 57.9 61.0 0.10169491 0.13351205 0.18181819 0.7093023 0.82674426 0.9186047
24 0.125 0.3291667 0.5 1.0 57.8 61.0 0.10344828 0.13548893 0.18181819 0.74418604 0.8255814 0.9302326
25 0.12 0.33200002 0.48 1.0 57.7 61.0 0.10169491 0.13585486 0.18518518 0.74418604 0.81860465 0.9186047
26 0.115384616 0.32692307 0.46153846 1.0 57.6 61.0 0.10169491 0.13610548 0.18518518 0.74418604 0.8209303 0.9186047
27 0.11111111 0.32222223 0.44444445 1.0 57.6 61.0 0.10169491 0.13610548 0.18518518 0.75581396 0.82558143 0.9186047
28 0.14285715 0.325 0.42857143 1.0 57.7 61.0 0.10169491 0.134206 0.18518518 0.74418604 0.8162791 0.9186047
29 0.13793103 0.32413796 0.44827586 1.0 57.7 61.0 0.10169491 0.13593014 0.18518518 0.74418604 0.80930233 0.9186047
30 0.13333334 0.33 0.43333334 1.0 57.8 61.0 0.1 0.13576064 0.18518518 0.7209302 0.8058139 0.89534885
31 0.12903225 0.33870968 0.4516129 1.0 58.0 61.0 0.1 0.13525464 0.18518518 0.7209302 0.80232555 0.872093
32 0.15625 0.3375 0.4375 1.0 58.1 61.0 0.1 0.13500774 0.18518518 0.74418604 0.80116284 0.872093
33 0.15151516 0.33333334 0.42424244 1.0 58.0 61.0 0.1 0.13526748 0.18518518 0.7093023 0.7906977 0.872093
34 0.14705883 0.34117645 0.44117647 1.0 58.1 61.0 0.09836066 0.13510355 0.18518518 0.7093023 0.78837204 0.872093
35 0.17142858 0.3457143 0.42857143 1.0 58.1 61.0 0.09836066 0.13510355 0.18518518 0.7093023 0.78953487 0.872093
36 0.16666667 0.34166667 0.44444445 1.0 57.9 61.0 0.09836066 0.13898537 0.18518518 0.6976744 0.7813953 0.872093
