rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.11666666 0.12962963 0.8372093 0.8860465 0.95348835
2 0.0 0.25 0.5 1.0 54.2 55.0 0.10909091 0.11626263 0.12962963 0.8023256 0.87441856 0.94186044
3 0.0 0.23333332 0.6666667 1.0 54.4 55.0 0.10909091 0.115824915 0.12962963 0.76744187 0.8651163 0.9302326
4 0.0 0.275 0.5 1.0 54.5 56.0 0.10714286 0.11563011 0.12962963 0.75581396 0.8651163 0.9302326
5 0.0 0.28000003 0.6 1.0 54.7 56.0 0.10714286 0.1151924 0.12962963 0.75581396 0.8639535 0.9302326
6 0.0 0.28333333 0.5 1.0 55.0 57.0 0.10526316 0.11457515 0.12962963 0.75581396 0.8569767 0.94186044
7 0.0 0.28571433 0.42857143 1.0 55.3 57.0 0.10526316 0.11394985 0.12727273 0.76744187 0.86046517 0.94186044
8 0.125 0.2875 0.5 1.0 55.4 57.0 0.10526316 0.11374782 0.12727273 0.76744187 0.86162794 0.95348835
9 0.11111111 0.32222223 0.5555556 1.0 55.5 57.0 0.10526316 0.11722988 0.12962963 0.76744187 0.86046517 0.95348835
10 0.1 0.32 0.5 1.0 55.9 57.0 0.10526316 0.11817942 0.14545454 0.76744187 0.86511624 0.95348835
11 0.09090909 0.3181818 0.45454547 1.0 55.9 57.0 0.10526316 0.121719524 0.14545454 0.76744187 0.8616279 0.95348835
12 0.083333336 0.31666666 0.5 1.0 56.1 57.0 0.10526316 0.12129587 0.14545454 0.76744187 0.8581395 0.96511626
13 0.15384616 0.32307693 0.53846157 1.0 56.2 58.0 0.10344828 0.12290009 0.14545454 0.75581396 0.8534883 0.95348835
14 0.14285715 0.3214286 0.5 1.0 56.5 58.0 0.10344828 0.12404977 0.14285715 0.76744187 0.86046505 0.95348835
15 0.13333334 0.31333333 0.53333336 1.0 56.5 58.0 0.10344828 0.12407311 0.14285715 0.75581396 0.8523256 0.95348835
16 0.125 0.30625 0.5 1.0 56.5 58.0 0.10344828 0.12579726 0.14285715 0.74418604 0.85465115 0.95348835
17 0.11764706 0.31176472 0.5294118 1.0 56.5 58.0 0.10344828 0.1257346 0.14285715 0.74418604 0.855814 0.95348835
18 0.11111111 0.31111112 0.5 1.0 56.8 59.0 0.10169491 0.12692113 0.14285715 0.74418604 0.8569767 0.95348835
19 0.15789473 0.31578946 0.5263158 1.0 57.0 59.0 0.10169491 0.12829956 0.16071428 0.75581396 0.85 0.95348835
