rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.8 55.0 0.10909091 0.11313132 0.12727273 0.8372093 0.89069766 0.95348835
2 0.0 0.25 1.0 1.0 55.6 57.0 0.10714286 0.113269925 0.12727273 0.8372093 0.8872093 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.9 59.0 0.10526316 0.117761694 0.14285715 0.8372093 0.88953483 0.95348835
4 0.0 0.25 0.5 1.0 57.5 60.0 0.10344828 0.118275866 0.14285715 0.8255814 0.8848837 0.95348835
5 0.0 0.26000005 0.6 1.0 58.5 60.0 0.10344828 0.12131794 0.13793103 0.8255814 0.8848837 0.95348835
6 0.0 0.28333333 0.5 1.0 59.5 61.0 0.1 0.12268289 0.13793103 0.8255814 0.8872093 0.95348835
7 0.0 0.27142859 0.42857143 1.0 60.7 63.0 0.09836066 0.12358546 0.15 0.8372093 0.88488376 0.9302326
8 0.0 0.275 0.375 1.0 61.3 64.0 0.09836066 0.12714463 0.15 0.8372093 0.88139534 0.9302326
9 0.0 0.31111112 0.44444445 1.0 61.7 64.0 0.09677419 0.12954673 0.16129032 0.8372093 0.88023263 0.9302326
10 0.1 0.32 0.5 1.0 62.7 64.0 0.0952381 0.12920143 0.15873016 0.8372093 0.8860466 0.9302326
11 0.18181819 0.33636364 0.45454547 1.0 63.4 65.0 0.0952381 0.13082476 0.16923077 0.8372093 0.894186 0.94186044
12 0.16666667 0.33333334 0.5 1.0 64.1 66.0 0.0952381 0.1323386 0.16923077 0.8372093 0.89534885 0.94186044
13 0.15384616 0.33846158 0.53846157 1.0 64.9 67.0 0.09375 0.1307007 0.16666667 0.8372093 0.894186 0.94186044
14 0.14285715 0.33571428 0.5 1.0 65.6 68.0 0.10769231 0.12931207 0.16176471 0.8372093 0.894186 0.94186044
15 0.13333334 0.32666665 0.53333336 1.0 66.5 69.0 0.10606061 0.12909867 0.1594203 0.8255814 0.88953495 0.94186044
16 0.125 0.325 0.5 1.0 67.1 70.0 0.10606061 0.13235418 0.17142858 0.8255814 0.8906978 0.94186044
17 0.11764706 0.31176472 0.47058824 1.0 67.7 70.0 0.10606061 0.13268603 0.17142858 0.8255814 0.8930233 0.96511626
18 0.16666667 0.3166667 0.44444445 1.0 68.2 70.0 0.10606061 0.13173224 0.17142858 0.8255814 0.8918605 0.96511626
19 0.15789473 0.30526316 0.47368422 1.0 69.3 72.0 0.10294118 0.13102113 0.16666667 0.8372093 0.8930232 0.96511626
