rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11494949 0.12727273 0.8372093 0.8860465 0.95348835
2 0.0 0.25 0.5 1.0 55.6 56.0 0.10714286 0.113344155 0.12727273 0.8372093 0.8837209 0.95348835
3 0.0 0.26666665 0.6666667 1.0 56.5 57.0 0.10526316 0.116823316 0.14285715 0.8372093 0.88139534 0.94186044
4 0.0 0.325 0.5 1.0 57.0 58.0 0.10344828 0.11403294 0.14285715 0.81395346 0.8848837 0.94186044
5 0.0 0.32000002 0.6 1.0 58.0 59.0 0.10169491 0.1137596 0.13793103 0.81395346 0.8860465 0.94186044
6 0.0 0.31666666 0.5 1.0 59.0 60.0 0.1 0.1135119 0.13793103 0.81395346 0.8872093 0.95348835
7 0.0 0.31428573 0.42857143 1.0 59.8 61.0 0.09836066 0.11368372 0.13333334 0.81395346 0.8918605 0.95348835
8 0.0 0.3125 0.5 1.0 60.4 62.0 0.09677419 0.11425229 0.13333334 0.81395346 0.88953483 0.9302326
9 0.0 0.34444445 0.5555556 1.0 60.8 63.0 0.0952381 0.115197755 0.13333334 0.81395346 0.88953483 0.9302326
10 0.0 0.34 0.6 1.0 61.7 64.0 0.09375 0.11514269 0.14516129 0.81395346 0.8930233 0.9302326
11 0.09090909 0.34545454 0.54545456 1.0 62.3 64.0 0.09375 0.11870168 0.15873016 0.81395346 0.8918605 0.9186047
12 0.083333336 0.34166664 0.5 1.0 62.9 64.0 0.09375 0.119121775 0.171875 0.81395346 0.8918605 0.9302326
13 0.07692308 0.33846158 0.53846157 1.0 63.7 66.0 0.09090909 0.11781869 0.171875 0.81395346 0.8883721 0.9302326
14 0.14285715 0.34285718 0.5 1.0 64.3 67.0 0.08955224 0.11506395 0.16666667 0.81395346 0.89069766 0.9302326
15 0.13333334 0.34 0.53333336 1.0 64.9 67.0 0.08955224 0.11552366 0.1641791 0.81395346 0.8883721 0.94186044
16 0.125 0.33125 0.5 1.0 65.7 68.0 0.08955224 0.1202036 0.16176471 0.8255814 0.8918605 0.94186044
17 0.11764706 0.32941177 0.5294118 1.0 66.0 68.0 0.08955224 0.122736916 0.16176471 0.8255814 0.8918605 0.94186044
18 0.11111111 0.32222226 0.5 1.0 66.6 69.0 0.08955224 0.123118535 0.16666667 0.8255814 0.8906978 0.94186044
19 0.10526316 0.32105264 0.5263158 1.0 67.0 69.0 0.0882353 0.12239573 0.16666667 0.8255814 0.8872093 0.94186044
20 0.1 0.31 0.5 1.0 67.4 70.0 0.0882353 0.12166394 0.1641791 0.81395346 0.8883721 0.94186044
21 0.14285715 0.3142857 0.52380955 1.0 67.7 70.0 0.08695652 0.12106849 0.16176471 0.81395346 0.883721 0.94186044
22 0.13636364 0.31363636 0.5 1.0 68.4 71.0 0.08955224 0.11988344 0.16176471 0.81395346 0.88488376 0.94186044
23 0.17391305 0.3043478 0.47826087 1.0 69.6 72.0 0.08695652 0.119146004 0.15714286 0.81395346 0.88255817 0.94186044
24 0.16666667 0.30416667 0.45833334 1.0 70.0 72.0 0.08695652 0.119931616 0.15714286 0.8023256 0.883721 0.94186044
25 0.16 0.308 0.48 1.0 70.2 72.0 0.08695652 0.11954466 0.15492958 0.8023256 0.883721 0.94186044
26 0.15384616 0.3 0.46153846 1.0 71.2 73.0 0.08695652 0.11780454 0.15277778 0.8023256 0.883721 0.94186044
27 0.14814815 0.29999995 0.4814815 1.0 71.6 73.0 0.08695652 0.11569085 0.15277778 0.8023256 0.883721 0.94186044
