rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11313131 0.12727273 0.8372093 0.89069766 0.95348835
2 0.0 0.25 0.5 1.0 55.6 56.0 0.10714286 0.111493506 0.125 0.8372093 0.88837206 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.5 57.0 0.10526316 0.111466154 0.12280702 0.8488372 0.8848837 0.94186044
4 0.0 0.3 0.5 1.0 57.1 58.0 0.10344828 0.110303774 0.12280702 0.8372093 0.8848837 0.94186044
5 0.0 0.3 0.6 1.0 58.0 59.0 0.10344828 0.108574554 0.12068965 0.8372093 0.8848837 0.94186044
6 0.0 0.3 0.5 1.0 58.9 60.0 0.1 0.106944285 0.118644066 0.8372093 0.88837206 0.95348835
7 0.0 0.3 0.42857143 1.0 59.6 61.0 0.09836066 0.10741253 0.118644066 0.8372093 0.8965117 0.95348835
8 0.0 0.3125 0.5 1.0 60.1 62.0 0.09677419 0.10818672 0.118644066 0.8372093 0.8965117 0.95348835
9 0.0 0.34444445 0.5555556 1.0 60.5 63.0 0.0952381 0.107514605 0.118644066 0.8372093 0.8965117 0.95348835
10 0.0 0.34 0.6 1.0 61.5 64.0 0.09375 0.10740397 0.13114753 0.8372093 0.9 0.95348835
11 0.09090909 0.34545454 0.54545456 1.0 62.1 64.0 0.09375 0.10957744 0.12903225 0.8488372 0.89767444 0.95348835
12 0.083333336 0.34166664 0.5833333 1.0 62.8 65.0 0.09375 0.10834189 0.12698413 0.8372093 0.8953489 0.95348835
13 0.07692308 0.3461539 0.61538464 1.0 63.4 65.0 0.092307694 0.10892489 0.12698413 0.8372093 0.8918605 0.94186044
14 0.071428575 0.34285718 0.5714286 1.0 64.2 67.0 0.09090909 0.10752161 0.125 0.8372093 0.89418614 0.94186044
15 0.13333334 0.34 0.53333336 1.0 64.5 68.0 0.09090909 0.11015643 0.140625 0.8372093 0.89069766 0.94186044
16 0.125 0.33125 0.5625 1.0 65.3 69.0 0.09090909 0.11329027 0.13846155 0.8488372 0.89418614 0.94186044
17 0.11764706 0.32941177 0.5294118 1.0 65.6 69.0 0.09090909 0.11437179 0.13846155 0.8488372 0.8918605 0.94186044
18 0.11111111 0.3277778 0.5 1.0 66.2 70.0 0.09090909 0.1133152 0.13846155 0.8372093 0.89069766 0.94186044
19 0.10526316 0.32631582 0.5263158 1.0 66.8 71.0 0.08955224 0.11081384 0.13636364 0.8372093 0.8860465 0.94186044
20 0.1 0.315 0.5 1.0 67.3 71.0 0.08955224 0.111493364 0.13846155 0.8372093 0.88488376 0.9302326
21 0.14285715 0.3142857 0.52380955 1.0 67.5 71.0 0.0882353 0.11116916 0.13636364 0.81395346 0.883721 0.9302326
22 0.13636364 0.31363636 0.5 1.0 68.1 72.0 0.08695652 0.11305271 0.13636364 0.8372093 0.877907 0.9302326
23 0.13043478 0.3043478 0.47826087 1.0 69.3 72.0 0.08571429 0.11253531 0.13235295 0.8372093 0.877907 0.9302326
24 0.125 0.30416664 0.5 1.0 69.6 73.0 0.08571429 0.11347661 0.13043478 0.8488372 0.8790698 0.9302326
25 0.12 0.308 0.52 1.0 69.8 74.0 0.08571429 0.11171093 0.13043478 0.8255814 0.8744186 0.9302326
26 0.115384616 0.29615384 0.5 1.0 70.9 75.0 0.08450704 0.11138034 0.12857144 0.8023256 0.8744186 0.94186044
27 0.11111111 0.2962963 0.5185185 1.0 71.3 76.0 0.08450704 0.11205628 0.13157895 0.8023256 0.86744195 0.9302326
28 0.10714286 0.28928572 0.5 1.0 71.6 76.0 0.08450704 0.11161216 0.13157895 0.81395346 0.8709303 0.9302326
29 0.10344828 0.2862069 0.51724136 1.0 72.3 77.0 0.097222224 0.11470841 0.14285715 0.81395346 0.8732557 0.95348835
30 0.1 0.29333335 0.5 1.0 72.8 77.0 0.09589041 0.1139714 0.14285715 0.81395346 0.8709302 0.95348835
31 0.09677419 0.2967742 0.48387095 1.0 73.1 77.0 0.09589041 0.112004474 0.1388889 0.81395346 0.8709303 0.95348835
32 0.09375 0.296875 0.46875 1.0 73.8 79.0 0.093333334 0.11499753 0.1392405 0.81395346 0.86744183 0.94186044
33 0.09090909 0.2969697 0.45454547 1.0 74.2 79.0 0.09210526 0.11443913 0.1392405 0.81395346 0.86860466 0.9302326
34 0.11764706 0.30294117 0.47058824 1.0 74.5 81.0 0.09090909 0.11397572 0.1388889 0.81395346 0.866279 0.9302326
35 0.14285715 0.3057143 0.45714286 1.0 74.9 82.0 0.083333336 0.11467228 0.1388889 0.81395346 0.8639535 0.9302326
36 0.1388889 0.29999998 0.44444445 1.0 75.3 83.0 0.08219178 0.11538245 0.14457831 0.81395346 0.86162794 0.9302326
37 0.16216215 0.3027027 0.45945945 1.0 75.5 84.0 0.08219178 0.115066186 0.14285715 0.81395346 0.86162794 0.9302326
38 0.15789473 0.3 0.4473684 1.0 76.0 84.0 0.08108108 0.11564238 0.14666666 0.8023256 0.86046517 0.9302326
39 0.15384616 0.30769235 0.46153846 1.0 76.4 85.0 0.08108108 0.11499588 0.14666666 0.8023256 0.8697675 0.9302326
40 0.175 0.3075 0.475 1.0 76.7 85.0 0.08219178 0.11433683 0.15294118 0.7906977 0.872093 0.94186044
41 0.19512194 0.31219512 0.46341464 1.0 77.1 86.0 0.08219178 0.11494185 0.15116279 0.7906977 0.87325585 0.94186044
42 0.1904762 0.30952382 0.45238096 1.0 77.9 86.0 0.08 0.11379478 0.15116279 0.7906977 0.87325585 0.94186044
43 0.18604651 0.30697674 0.44186047 1.0 78.5 88.0 0.078947365 0.11531572 0.1590909 0.7906977 0.87325585 0.94186044
44 0.18181819 0.30454546 0.4318182 1.0 78.9 88.0 0.0875 0.11734905 0.1590909 0.81395346 0.86860466 0.94186044
45 0.17777778 0.30444446 0.42222223 1.0 79.1 89.0 0.0875 0.11706593 0.15730338 0.81395346 0.86860466 0.94186044
46 0.17391305 0.3043478 0.4347826 1.0 79.6 90.0 0.0875 0.116331086 0.15555556 0.81395346 0.87325585 0.94186044
47 0.17021276 0.3042553 0.42553192 1.0 79.9 90.0 0.0875 0.11839634 0.15555556 0.81395346 0.87325585 0.94186044
48 0.16666667 0.30208334 0.41666666 1.0 80.5 90.0 0.086419754 0.11886553 0.15555556 0.7906977 0.8662791 0.94186044
49 0.1632653 0.3 0.40816328 1.0 80.9 90.0 0.086419754 0.11830628 0.15555556 0.7906977 0.86744183 0.94186044
50 0.16 0.3 0.4 1.0 81.2 90.0 0.086419754 0.11782694 0.15555556 0.7906977 0.8662791 0.94186044
51 0.15686275 0.3019608 0.39215687 1.0 81.5 90.0 0.085365854 0.11865624 0.15555556 0.7906977 0.86744195 0.94186044
52 0.17307693 0.3019231 0.3846154 1.0 82.0 91.0 0.084337346 0.12044034 0.15384616 0.7906977 0.86744195 0.94186044
53 0.16981132 0.30377358 0.3962264 1.0 82.1 91.0 0.084337346 0.11901834 0.15384616 0.7906977 0.8697675 0.94186044
54 0.16666667 0.30370373 0.3888889 1.0 82.1 91.0 0.084337346 0.115464605 0.14285715 0.7906977 0.8767443 0.94186044
55 0.16363636 0.30363634 0.4 1.0 82.4 91.0 0.083333336 0.11382338 0.14285715 0.7906977 0.8790698 0.95348835
56 0.16071428 0.30535716 0.39285713 1.0 82.5 91.0 0.083333336 0.113626696 0.14285715 0.7906977 0.8802325 0.95348835
57 0.15789473 0.30701756 0.40350878 1.0 82.8 91.0 0.083333336 0.111942925 0.14285715 0.76744187 0.87325585 0.94186044
58 0.15517241 0.30689657 0.41379312 1.0 83.1 92.0 0.083333336 0.110356525 0.14130434 0.76744187 0.872093 0.94186044
59 0.15254237 0.30338985 0.40677965 1.0 83.3 92.0 0.083333336 0.11127448 0.14285715 0.76744187 0.8686048 0.9186047
60 0.16666667 0.30666667 0.41666666 1.0 83.5 92.0 0.083333336 0.11223559 0.14814815 0.76744187 0.8686048 0.9186047
61 0.16393442 0.30491805 0.40983605 1.0 83.6 92.0 0.083333336 0.11445023 0.14634146 0.76744187 0.8639535 0.9186047
62 0.17741935 0.30483872 0.41935483 1.0 83.7 92.0 0.085365854 0.11672314 0.14634146 0.75581396 0.855814 0.9186047
63 0.17460318 0.30317464 0.41269842 1.0 83.9 92.0 0.084337346 0.11759641 0.14634146 0.75581396 0.84883726 0.90697676
64 0.171875 0.3 0.40625 1.0 83.8 92.0 0.084337346 0.11771395 0.14634146 0.75581396 0.84883726 0.9186047
65 0.18461539 0.30461538 0.4 1.0 83.9 92.0 0.084337346 0.118778385 0.14634146 0.76744187 0.85 0.9186047
66 0.1969697 0.3060606 0.3939394 1.0 84.3 92.0 0.084337346 0.11820871 0.14634146 0.76744187 0.8511628 0.9186047
67 0.19402985 0.30895522 0.3880597 1.0 84.6 92.0 0.083333336 0.1178266 0.14457831 0.76744187 0.85 0.9302326
68 0.19117647 0.30882353 0.38235295 1.0 84.8 92.0 0.085365854 0.11883096 0.14285715 0.76744187 0.85 0.9302326
69 0.1884058 0.31014487 0.39130434 1.0 84.8 92.0 0.0952381 0.12009706 0.14285715 0.76744187 0.8511628 0.9186047
70 0.18571429 0.3085714 0.3857143 1.0 84.9 92.0 0.09411765 0.11871992 0.14285715 0.7790698 0.8523256 0.9186047
71 0.18309858 0.3084507 0.3802817 1.0 84.9 92.0 0.09411765 0.11871992 0.14285715 0.7790698 0.855814 0.9302326
72 0.18055555 0.30694443 0.375 1.0 85.3 94.0 0.09411765 0.11816728 0.14285715 0.8023256 0.855814 0.9302326
73 0.1780822 0.30410957 0.38356164 1.0 85.7 93.0 0.09411765 0.11883651 0.14285715 0.8023256 0.85930234 0.96511626
74 0.1891892 0.30270272 0.3783784 1.0 85.9 93.0 0.09411765 0.118592225 0.14457831 0.8023256 0.86046517 0.96511626
75 0.18666667 0.304 0.37333333 1.0 85.9 93.0 0.09411765 0.1185565 0.14457831 0.8023256 0.86046517 0.96511626
76 0.18421052 0.3039474 0.38157895 1.0 86.2 94.0 0.0952381 0.11809721 0.14285715 0.8023256 0.86279076 0.96511626
77 0.18181819 0.3038961 0.37662336 1.0 86.0 94.0 0.0952381 0.11720872 0.14285715 0.8023256 0.86046517 0.94186044
78 0.17948718 0.30512822 0.3846154 1.0 85.9 93.0 0.0952381 0.11854801 0.14285715 0.8023256 0.86046517 0.94186044
79 0.17721519 0.3101266 0.39240506 1.0 86.0 93.0 0.0952381 0.12066002 0.14117648 0.8023256 0.8662791 0.94186044
80 0.1875 0.3075 0.3875 1.0 86.0 93.0 0.09195402 0.1195246 0.13978495 0.8023256 0.872093 0.95348835
81 0.18518518 0.3074074 0.39506173 1.0 86.1 94.0 0.09195402 0.121613875 0.14893617 0.8023256 0.8709302 0.94186044
