rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 13.0 13.0 0.9230769 0.95384616 1.0 0.069767445 0.07441862 0.093023255
100 0.28 0.34900004 0.42 1.0 69.4 75.0 0.23529412 0.26867253 0.3432836 0.3604651 0.45116276 0.5232558
200 0.325 0.3845 0.43 1.0 87.3 90.0 0.20224719 0.24248299 0.31460676 0.5697674 0.63837206 0.73255813
300 0.36666667 0.4103334 0.45333335 1.0 94.6 99.0 0.2159091 0.258722 0.2783505 0.627907 0.7046512 0.74418604
400 0.405 0.43449998 0.47 1.0 97.8 103.0 0.24 0.2755816 0.31914893 0.5813953 0.75232553 0.8372093
500 0.422 0.45700002 0.482 1.0 102.7 109.0 0.25233644 0.29981512 0.34313726 0.59302324 0.7930232 0.88372093
600 0.44 0.4751667 0.49666667 1.0 104.3 109.0 0.2857143 0.33471763 0.407767 0.7209302 0.8174418 0.88372093
700 0.45 0.48814288 0.5114286 1.0 105.1 110.0 0.32673267 0.36165562 0.4056604 0.74418604 0.8313953 0.89534885
800 0.47 0.49999994 0.525 1.0 105.0 113.0 0.3106796 0.3717016 0.4 0.73255813 0.8197675 0.89534885
900 0.49666667 0.5134445 0.53555554 1.0 106.1 116.0 0.3529412 0.39752603 0.43809524 0.73255813 0.8209302 0.90697676
1000 0.508 0.52540004 0.548 1.0 106.1 115.0 0.3529412 0.43268028 0.5049505 0.74418604 0.8255814 0.9302326
1100 0.52363634 0.53763634 0.56 1.0 104.6 113.0 0.41584158 0.4596622 0.5045872 0.73255813 0.8139535 0.9186047
1200 0.5391667 0.5515834 0.57166666 1.0 102.9 109.0 0.46 0.49974552 0.55789477 0.73255813 0.811628 0.89534885
1300 0.55230767 0.56515384 0.5876923 1.0 101.8 110.0 0.46728972 0.53169525 0.64444447 0.6744186 0.7976744 0.88372093
1400 0.5642857 0.57621425 0.5964286 1.0 100.8 108.0 0.5233645 0.5692319 0.6451613 0.6744186 0.7976744 0.89534885
1500 0.5746667 0.58839995 0.6113333 1.0 100.4 108.0 0.5591398 0.59787387 0.7032967 0.7093023 0.80232555 0.89534885
1600 0.5875 0.5995625 0.620625 1.0 98.4 108.0 0.5631068 0.62259316 0.7111111 0.74418604 0.80465114 0.89534885
1700 0.59411764 0.61 0.6335294 1.0 96.8 100.0 0.5638298 0.6419288 0.6989247 0.7093023 0.79883724 0.872093
1800 0.6027778 0.62155557 0.6438889 1.0 95.3 99.0 0.61290324 0.65610033 0.70212764 0.73255813 0.8058139 0.88372093
1900 0.6105263 0.63068426 0.65105265 1.0 93.9 100.0 0.63265306 0.6801554 0.72527474 0.73255813 0.81046516 0.872093
2000 0.62 0.64059997 0.6625 1.0 92.0 100.0 0.65 0.70791584 0.75 0.73255813 0.8081395 0.872093
2100 0.63095236 0.6492857 0.6666667 1.0 90.8 96.0 0.6631579 0.7244768 0.75609756 0.7209302 0.8139535 0.9186047
2200 0.63954544 0.6571363 0.6736364 1.0 89.9 99.0 0.6969697 0.7464235 0.79545456 0.7209302 0.8081395 0.89534885
2300 0.65 0.666 0.68173915 1.0 89.1 98.0 0.7244898 0.7640752 0.81395346 0.7209302 0.79883724 0.872093
2400 0.66041666 0.67429173 0.68875 1.0 88.8 98.0 0.72043014 0.77801085 0.8333333 0.7209302 0.8 0.8604651
2500 0.668 0.68292 0.6988 1.0 87.3 95.0 0.72043014 0.79856384 0.90361446 0.7093023 0.7988372 0.8604651
2600 0.67538464 0.6910384 0.7073077 1.0 86.6 95.0 0.7282609 0.80718887 0.88095236 0.7209302 0.79999995 0.8604651
2700 0.6844444 0.6988519 0.71444446 1.0 86.2 94.0 0.74444443 0.812672 0.85714287 0.7209302 0.79767436 0.8372093
2800 0.6925 0.70617855 0.7210714 1.0 84.9 93.0 0.8064516 0.8343856 0.86904764 0.7209302 0.794186 0.8488372
2900 0.702069 0.71355176 0.727931 1.0 84.7 91.0 0.7906977 0.83569634 0.8795181 0.7209302 0.79651165 0.8488372
3000 0.70966667 0.7204 0.7356667 1.0 82.8 88.0 0.8 0.854578 0.8902439 0.7209302 0.78953487 0.8255814
3100 0.71516126 0.72648394 0.7403226 1.0 82.1 85.0 0.8 0.8629492 0.91358024 0.73255813 0.7895349 0.8255814
3200 0.7221875 0.732875 0.746875 1.0 80.8 84.0 0.8414634 0.8824314 0.9259259 0.74418604 0.7906977 0.8255814
3300 0.72818184 0.73933345 0.7542424 1.0 80.0 84.0 0.86904764 0.8952203 0.9259259 0.75581396 0.78837216 0.8255814
3400 0.7341176 0.7457353 0.7597059 1.0 79.4 84.0 0.8674699 0.90329885 0.9350649 0.75581396 0.78604656 0.8255814
3500 0.7402857 0.7517715 0.766 1.0 79.5 85.0 0.85882354 0.9038541 0.9358974 0.75581396 0.7883721 0.8372093
3600 0.7455556 0.7577778 0.77166665 1.0 79.2 84.0 0.88095236 0.90818787 0.9358974 0.74418604 0.78604656 0.8372093
3700 0.7510811 0.7628919 0.7754054 1.0 78.7 86.0 0.8604651 0.92093116 0.9589041 0.74418604 0.7872094 0.8372093
3800 0.7571053 0.7682368 0.7813158 1.0 78.4 86.0 0.872093 0.9283398 0.9722222 0.74418604 0.7930232 0.8372093
3900 0.7630769 0.77323073 0.78589743 1.0 78.6 85.0 0.88235295 0.92589647 0.9722222 0.74418604 0.794186 0.8372093
4000 0.76875 0.77787507 0.79075 1.0 78.3 85.0 0.88235295 0.9331409 0.9722222 0.74418604 0.79186046 0.8372093
4100 0.7739024 0.782561 0.79536587 1.0 78.1 84.0 0.89285713 0.93588126 0.974359 0.74418604 0.7930232 0.8372093
4200 0.7783333 0.78707135 0.8 1.0 77.5 84.0 0.89285713 0.9428015 0.987013 0.74418604 0.7906977 0.8372093
4300 0.78255814 0.7912093 0.80465114 1.0 77.1 82.0 0.9220779 0.94862443 0.97402596 0.74418604 0.79418606 0.8372093
4400 0.7868182 0.7954318 0.8090909 1.0 76.7 81.0 0.9259259 0.9563282 1.0 0.74418604 0.79186046 0.8372093
4500 0.78977776 0.7994 0.81333333 1.0 76.8 81.0 0.9113924 0.95770264 1.0 0.74418604 0.7906977 0.8372093
4600 0.79391307 0.80334777 0.8171739 1.0 76.1 80.0 0.94736844 0.96624786 1.0 0.74418604 0.7895349 0.8372093
4700 0.7980851 0.8071703 0.8208511 1.0 76.1 80.0 0.94736844 0.966026 0.9868421 0.74418604 0.78837216 0.8255814
4800 0.801875 0.81087494 0.82458335 1.0 76.4 80.0 0.94666666 0.96734506 0.98734176 0.74418604 0.7906977 0.8372093
4900 0.80530614 0.8143673 0.82816327 1.0 76.5 80.0 0.93670887 0.96373177 1.0 0.74418604 0.7906977 0.8372093
5000 0.8092 0.81788 0.8316 1.0 76.4 80.0 0.93421054 0.9650024 1.0 0.74418604 0.7906977 0.8372093
5100 0.81235296 0.8210393 0.834902 1.0 76.7 81.0 0.9102564 0.96119815 0.9868421 0.74418604 0.7906977 0.8372093
5200 0.8153846 0.82413465 0.8378846 1.0 76.6 81.0 0.94666666 0.9648077 1.0 0.74418604 0.79186046 0.8372093
5300 0.8179245 0.8269434 0.8409434 1.0 76.6 80.0 0.94736844 0.96731806 1.0 0.75581396 0.79534876 0.8372093
5400 0.82092595 0.8297593 0.8438889 1.0 75.8 79.0 0.9726027 0.9801405 1.0 0.75581396 0.7930232 0.8372093
5500 0.8238182 0.83263636 0.84672725 1.0 75.9 79.0 0.9459459 0.97762775 1.0 0.75581396 0.79418606 0.8488372
5600 0.82696426 0.8355535 0.8494643 1.0 75.8 79.0 0.9459459 0.97886115 1.0 0.75581396 0.79418606 0.8488372
5700 0.82964915 0.83826315 0.85210526 1.0 75.6 79.0 0.9726027 0.98423064 1.0 0.76744187 0.7953488 0.8488372
5800 0.83224136 0.84087926 0.85465515 1.0 75.6 79.0 0.9726027 0.98423064 1.0 0.76744187 0.7953488 0.8488372
5900 0.8349153 0.8434068 0.85711867 1.0 75.6 79.0 0.9726027 0.9841631 1.0 0.76744187 0.79651165 0.8488372
6000 0.8375 0.84593326 0.8595 1.0 75.4 78.0 0.9726027 0.9867109 1.0 0.76744187 0.7953488 0.8372093
6100 0.83983606 0.8483114 0.8618033 1.0 75.4 78.0 0.97333336 0.98799247 1.0 0.75581396 0.7965116 0.8372093
6200 0.84225804 0.85070974 0.86403227 1.0 75.3 78.0 0.97333336 0.98936236 1.0 0.75581396 0.794186 0.8372093
6300 0.8447619 0.853 0.86603177 1.0 75.1 78.0 0.9861111 0.99206364 1.0 0.75581396 0.794186 0.8372093
6400 0.8471875 0.8551563 0.8673437 1.0 75.0 78.0 0.9861111 0.9933456 1.0 0.75581396 0.794186 0.8372093
6500 0.84953845 0.85730773 0.86923075 1.0 74.9 78.0 0.9861111 0.99603033 1.0 0.75581396 0.794186 0.8372093
6600 0.8518182 0.8594243 0.8710606 1.0 75.0 78.0 0.9861111 0.994697 1.0 0.75581396 0.794186 0.8372093
6700 0.8538806 0.8614925 0.8728358 1.0 75.0 78.0 0.974359 0.99202603 1.0 0.75581396 0.794186 0.8372093
6800 0.8560294 0.86347055 0.87441176 1.0 75.0 78.0 0.9861111 0.99330807 1.0 0.75581396 0.794186 0.8372093
6900 0.857971 0.86534786 0.8762319 1.0 75.2 78.0 0.9861111 0.9919758 1.0 0.75581396 0.7976744 0.8372093
7000 0.86 0.8672286 0.87785715 1.0 75.0 78.0 0.98630136 0.99469805 1.0 0.75581396 0.7976744 0.8372093
7100 0.86197186 0.8690704 0.8794366 1.0 74.9 78.0 0.98630136 0.9959968 1.0 0.75581396 0.7976744 0.8372093
7200 0.86388886 0.8708889 0.8811111 1.0 74.9 78.0 0.98630136 0.9959968 1.0 0.75581396 0.7976744 0.8372093
7300 0.86561644 0.87261647 0.8827397 1.0 75.0 78.0 0.98630136 0.9946454 1.0 0.75581396 0.79651165 0.8372093
7400 0.8674324 0.8742973 0.8843243 1.0 75.0 78.0 0.98630136 0.9946634 1.0 0.75581396 0.7953488 0.8372093
7500 0.8692 0.8759333 0.88586664 1.0 75.1 78.0 0.98630136 0.99334764 1.0 0.75581396 0.7953488 0.8372093
7600 0.8709211 0.8774473 0.88736844 1.0 75.3 78.0 0.9861111 0.9919758 1.0 0.75581396 0.7965116 0.8372093
7700 0.8724675 0.8789741 0.8888312 1.0 75.3 78.0 0.9861111 0.9933456 1.0 0.75581396 0.7965116 0.8372093
7800 0.8741026 0.8804744 0.89 1.0 75.4 78.0 0.9861111 0.99332905 1.0 0.75581396 0.7976744 0.8372093
7900 0.8756962 0.881962 0.8913924 1.0 75.4 78.0 0.9861111 0.99332905 1.0 0.75581396 0.7976744 0.8372093
