rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.10929294 0.11111111 0.8372093 0.88953483 0.95348835
100 0.25 0.313 0.39 1.0 93.0 95.0 0.1 0.1289911 0.18085106 0.8255814 0.88139534 0.9767442
200 0.255 0.3495 0.405 1.0 97.6 102.0 0.08163265 0.13416952 0.1764706 0.7790698 0.8476745 0.94186044
300 0.32 0.37033334 0.40666667 1.0 96.3 100.0 0.11578947 0.14927311 0.18367347 0.76744187 0.8372094 0.90697676
400 0.3625 0.40124997 0.44 1.0 94.2 99.0 0.13043478 0.18431357 0.23958333 0.75581396 0.83255816 0.89534885
500 0.4 0.43160003 0.47 1.0 91.5 96.0 0.14772727 0.19241974 0.2413793 0.76744187 0.8081396 0.8488372
600 0.42333335 0.45466667 0.48333332 1.0 88.2 93.0 0.18681319 0.22569771 0.26086956 0.7093023 0.7930232 0.88372093
700 0.44714287 0.47214285 0.49857143 1.0 85.6 91.0 0.22727273 0.25739598 0.29113925 0.6395349 0.76744187 0.8255814
800 0.46 0.49087495 0.51625 1.0 83.2 89.0 0.22222222 0.28968304 0.36708862 0.6976744 0.7604651 0.8255814
900 0.48 0.5083333 0.5311111 1.0 80.1 86.0 0.27160493 0.34380522 0.43023255 0.627907 0.7430233 0.81395346
1000 0.495 0.5275 0.547 1.0 77.6 84.0 0.29113925 0.35853687 0.42857143 0.6627907 0.7372093 0.8372093
1100 0.51545453 0.54481816 0.56545454 1.0 74.5 82.0 0.32857144 0.39566237 0.47368422 0.6627907 0.7174418 0.8488372
1200 0.5316667 0.5614167 0.5833333 1.0 72.0 77.0 0.35064936 0.43130136 0.52 0.627907 0.6976744 0.8372093
1300 0.5453846 0.577 0.60307693 1.0 70.2 75.0 0.4 0.4745082 0.6216216 0.60465115 0.6755814 0.75581396
1400 0.55714285 0.59314287 0.62285715 1.0 68.1 74.0 0.46376812 0.51896095 0.5945946 0.5697674 0.672093 0.75581396
1500 0.57133335 0.60926664 0.6346667 1.0 65.9 74.0 0.5 0.5641786 0.6229508 0.5813953 0.6686046 0.76744187
1600 0.586875 0.62225 0.644375 1.0 64.0 71.0 0.5409836 0.60512125 0.6911765 0.59302324 0.6523256 0.7209302
1700 0.60588235 0.63735294 0.66 1.0 62.6 69.0 0.56666666 0.6415069 0.71014494 0.59302324 0.6441861 0.6744186
1800 0.61944443 0.6512778 0.67388886 1.0 60.6 67.0 0.6034483 0.6652627 0.76119405 0.5697674 0.6302326 0.6976744
1900 0.6321053 0.6635263 0.68789476 1.0 59.0 64.0 0.63793105 0.69357765 0.78125 0.54651165 0.6232558 0.6744186
2000 0.648 0.6753 0.6995 1.0 57.6 63.0 0.625 0.71999866 0.83870965 0.53488374 0.61511624 0.6744186
2100 0.6590476 0.68595237 0.7104762 1.0 55.6 62.0 0.6363636 0.7599327 0.82258064 0.53488374 0.6034883 0.6744186
2200 0.6718182 0.69649994 0.7227273 1.0 54.9 62.0 0.74509805 0.78769445 0.82758623 0.54651165 0.6069767 0.6744186
2300 0.68347824 0.7069131 0.7330435 1.0 53.8 60.0 0.76 0.8211201 0.85714287 0.5116279 0.5918604 0.6627907
2400 0.69458336 0.7167083 0.74333334 1.0 53.2 60.0 0.76 0.8390349 0.89285713 0.5 0.5860465 0.6627907
2500 0.706 0.7262 0.7516 1.0 52.4 58.0 0.7916667 0.8596495 0.91071427 0.5 0.58255816 0.6627907
2600 0.7153846 0.73492306 0.75961536 1.0 51.4 58.0 0.8541667 0.88863957 0.93877554 0.5 0.57325584 0.6627907
2700 0.72444445 0.74399996 0.7685185 1.0 50.9 58.0 0.8541667 0.89542234 0.9183673 0.5 0.5732559 0.6627907
2800 0.73321426 0.7521786 0.7760714 1.0 50.6 58.0 0.87234044 0.9048954 0.9444444 0.5116279 0.57209295 0.6627907
2900 0.7413793 0.75982755 0.7837931 1.0 50.2 58.0 0.875 0.91505784 0.95454544 0.5116279 0.56860465 0.6627907
3000 0.74866664 0.76696664 0.79 1.0 49.8 58.0 0.875 0.9327636 0.98039216 0.5 0.5697675 0.6627907
3100 0.756129 0.77393544 0.7967742 1.0 49.3 57.0 0.8958333 0.94832724 0.98039216 0.5 0.56627905 0.6627907
3200 0.763125 0.78059375 0.803125 1.0 49.0 57.0 0.90384614 0.955533 1.0 0.5 0.5627907 0.6627907
3300 0.7690909 0.7870303 0.8087879 1.0 49.0 57.0 0.90384614 0.9577069 1.0 0.5 0.5627907 0.6627907
3400 0.7752941 0.79297054 0.81441176 1.0 48.8 56.0 0.9230769 0.97007847 1.0 0.5 0.56046504 0.6511628
3500 0.78171426 0.79871434 0.8197143 1.0 48.6 56.0 0.92156863 0.96981734 1.0 0.5 0.56046504 0.6511628
3600 0.7877778 0.8041666 0.82472223 1.0 48.6 56.0 0.9411765 0.9717781 1.0 0.5 0.55930233 0.6511628
3700 0.79351354 0.80916214 0.82891893 1.0 48.6 56.0 0.9583333 0.9776986 1.0 0.5 0.5581395 0.6511628
3800 0.7989474 0.81413156 0.83342105 1.0 48.5 56.0 0.9583333 0.97753686 1.0 0.5 0.5581395 0.6511628
3900 0.80410254 0.8188718 0.8376923 1.0 48.5 56.0 0.9411765 0.97557604 1.0 0.5 0.5581395 0.6511628
4000 0.809 0.82332504 0.84175 1.0 48.4 56.0 0.9411765 0.97761506 1.0 0.5 0.5581395 0.6511628
4100 0.81365854 0.8275366 0.8456098 1.0 48.2 56.0 0.9411765 0.98206824 1.0 0.4883721 0.5569767 0.6511628
4200 0.81809527 0.83157146 0.84880954 1.0 48.2 56.0 0.9411765 0.98415166 1.0 0.4883721 0.5569767 0.6511628
4300 0.8223256 0.8354186 0.85232556 1.0 48.0 56.0 0.96 0.9882078 1.0 0.4883721 0.5569767 0.6511628
4400 0.8263636 0.8391363 0.85568184 1.0 48.0 56.0 0.96 0.9899936 1.0 0.4883721 0.5569767 0.6511628
4500 0.83022225 0.8426444 0.85888886 1.0 48.0 56.0 0.9791667 0.9939936 1.0 0.4883721 0.5558139 0.6511628
4600 0.833913 0.84597826 0.86195654 1.0 48.0 56.0 0.9791667 0.9939936 1.0 0.4883721 0.5558139 0.6511628
4700 0.8374468 0.849234 0.8646808 1.0 48.0 56.0 0.9782609 0.99390304 1.0 0.4883721 0.5558139 0.6511628
4800 0.8408333 0.85231256 0.8675 1.0 48.0 56.0 0.98 0.99607694 1.0 0.4883721 0.55465114 0.6511628
4900 0.84408164 0.85530615 0.8702041 1.0 48.0 56.0 0.9782609 0.995903 1.0 0.4883721 0.55465114 0.6511628
5000 0.8472 0.85809994 0.8728 1.0 48.0 56.0 0.9782609 0.995903 1.0 0.4883721 0.5558139 0.6511628
5100 0.85019606 0.8608432 0.8752941 1.0 48.0 56.0 0.9807692 0.9980769 1.0 0.4883721 0.5558139 0.6511628
5200 0.85307693 0.8635 0.8776923 1.0 48.0 56.0 0.9807692 0.9980769 1.0 0.4883721 0.5558139 0.6511628
5300 0.855849 0.8659812 0.88 1.0 48.0 56.0 0.9807692 0.9980769 1.0 0.4883721 0.55465114 0.6511628
5400 0.85851854 0.8684629 0.88222224 1.0 48.0 56.0 0.9807692 0.9980769 1.0 0.4883721 0.55465114 0.6511628
5500 0.8610909 0.87081814 0.88436365 1.0 48.0 56.0 0.9807692 0.9980769 1.0 0.4883721 0.5558139 0.6511628
5600 0.8635714 0.87312496 0.8864286 1.0 48.0 56.0 0.9807692 0.9980769 1.0 0.4883721 0.5558139 0.6511628
5700 0.8659649 0.87535083 0.88842106 1.0 48.0 56.0 0.9807692 0.9980769 1.0 0.4883721 0.5558139 0.6511628
5800 0.8682759 0.87750006 0.8903448 1.0 48.0 56.0 0.9807692 0.9980769 1.0 0.4883721 0.5558139 0.6511628
5900 0.8701695 0.8795255 0.8922034 1.0 48.0 56.0 0.9807692 0.9980769 1.0 0.4883721 0.5558139 0.6511628
6000 0.87233335 0.88151664 0.894 1.0 48.0 56.0 0.98 0.9940769 1.0 0.4883721 0.5558139 0.6511628
6100 0.87442625 0.8834591 0.8957377 1.0 48.0 56.0 0.98 0.9940769 1.0 0.4883721 0.5558139 0.6511628
6200 0.8764516 0.88533866 0.89741933 1.0 48.0 56.0 0.98 0.9940769 1.0 0.4883721 0.5558139 0.6511628
6300 0.8784127 0.88715875 0.8990476 1.0 48.0 56.0 0.9791667 0.99199355 1.0 0.4883721 0.5558139 0.6511628
6400 0.8803125 0.8888594 0.90046877 1.0 48.0 56.0 0.9791667 0.9939936 1.0 0.4883721 0.5558139 0.6511628
6500 0.88215387 0.8905692 0.902 1.0 48.0 56.0 0.9791667 0.9939936 1.0 0.4883721 0.5558139 0.6511628
6600 0.8839394 0.8922273 0.9034848 1.0 48.0 56.0 0.9791667 0.9922079 1.0 0.4883721 0.5558139 0.6511628
6700 0.8856716 0.89382094 0.90492535 1.0 48.0 56.0 0.9791667 0.9922079 1.0 0.4883721 0.5558139 0.6511628
6800 0.88735294 0.8953676 0.90632355 1.0 47.9 56.0 0.9791667 0.9941309 1.0 0.4883721 0.55465114 0.6511628
6900 0.8889855 0.8968695 0.90768117 1.0 47.9 56.0 0.9791667 0.99613094 1.0 0.4883721 0.55465114 0.6511628
7000 0.8905714 0.8983285 0.909 1.0 47.9 56.0 0.9791667 0.9979166 1.0 0.4883721 0.55465114 0.6511628
7100 0.8921127 0.89974654 0.9101409 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
7200 0.89361113 0.9011389 0.9113889 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
7300 0.89506847 0.9024931 0.9126027 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
7400 0.89648646 0.90381086 0.9137838 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
7500 0.89786667 0.9050933 0.9149333 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
7600 0.8992105 0.906342 0.91605264 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
7700 0.9005195 0.90755856 0.91714287 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
7800 0.90179485 0.9087437 0.91820514 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
7900 0.90303797 0.90989876 0.91924053 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
8000 0.90425 0.9110249 0.92025 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
8100 0.9054321 0.9121234 0.92123455 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
8200 0.9065854 0.91319513 0.92219514 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
8300 0.90771085 0.91424096 0.92313254 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
8400 0.90880954 0.9152619 0.9240476 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
8500 0.90988237 0.9162588 0.9249412 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
8600 0.9109302 0.91723263 0.925814 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
8700 0.91195405 0.9181839 0.9266667 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
8800 0.91295457 0.91911376 0.9275 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
8900 0.91393256 0.9200225 0.9283146 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
9000 0.9148889 0.92091113 0.9291111 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
9100 0.9158242 0.9217802 0.9298901 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
9200 0.9167391 0.9226305 0.9306522 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
9300 0.9176344 0.9234624 0.93139786 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
9400 0.9185106 0.92427653 0.93212765 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
9500 0.91936845 0.9250736 0.9328421 1.0 47.9 56.0 1.0 1.0 1.0 0.4883721 0.55465114 0.6511628
