rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 13.0 13.0 0.9230769 0.9384616 1.0 0.069767445 0.076744184 0.093023255
100 0.25 0.307 0.38 1.0 60.4 66.0 0.20634921 0.2424223 0.31034482 0.40697673 0.51976746 0.55813956
200 0.265 0.32349998 0.385 1.0 72.0 81.0 0.18518518 0.22023717 0.2769231 0.5116279 0.61046517 0.7906977
300 0.3 0.34266663 0.38333333 1.0 73.4 81.0 0.17105263 0.20745423 0.22666667 0.47674417 0.59534883 0.73255813
400 0.3 0.3545 0.3925 1.0 70.1 79.0 0.19178082 0.22240898 0.27868852 0.47674417 0.57558143 0.68604654
500 0.326 0.3766 0.422 1.0 66.8 74.0 0.19354838 0.23634875 0.28070176 0.40697673 0.53372097 0.6511628
600 0.35166666 0.3931667 0.42833334 1.0 61.9 68.0 0.22413793 0.27304727 0.33333334 0.39534885 0.47209302 0.54651165
700 0.37285715 0.4067143 0.4342857 1.0 57.9 67.0 0.27272728 0.32472464 0.37288135 0.3488372 0.4488372 0.53488374
800 0.3925 0.42237496 0.45375 1.0 55.1 64.0 0.25862068 0.35273033 0.43137255 0.30232558 0.43488368 0.60465115
900 0.40555555 0.43744445 0.46333334 1.0 53.5 61.0 0.34545454 0.38485014 0.42857143 0.29069766 0.41627908 0.54651165
1000 0.428 0.4533 0.481 1.0 52.5 61.0 0.3877551 0.43286747 0.50980395 0.3372093 0.39767438 0.5
1100 0.45272726 0.47272724 0.5 1.0 52.6 60.0 0.4074074 0.4787387 0.5777778 0.27906978 0.3813953 0.45348838
1200 0.47166666 0.49124998 0.515 1.0 53.9 62.0 0.4528302 0.5042196 0.5660377 0.25581396 0.39999998 0.47674417
1300 0.49 0.5048462 0.5246154 1.0 53.2 60.0 0.5 0.5485383 0.627451 0.3255814 0.40581393 0.45348838
1400 0.5064286 0.52 0.5371429 1.0 53.7 62.0 0.50877196 0.5953214 0.73333335 0.3255814 0.40581393 0.5
1500 0.52533334 0.5356 0.548 1.0 53.9 59.0 0.5769231 0.63818276 0.78723407 0.37209302 0.41395348 0.47674417
1600 0.539375 0.5503751 0.56375 1.0 53.3 60.0 0.6315789 0.6944846 0.8125 0.37209302 0.41860467 0.45348838
1700 0.5570588 0.5658823 0.57823527 1.0 55.5 61.0 0.60714287 0.70915705 0.8 0.40697673 0.43372092 0.5
1800 0.5688889 0.5811111 0.5927778 1.0 56.6 62.0 0.6545454 0.74319303 0.8703704 0.40697673 0.45465118 0.5697674
1900 0.5857895 0.5951579 0.6057895 1.0 55.8 61.0 0.6896552 0.7895161 0.85714287 0.40697673 0.45697674 0.5
2000 0.599 0.6084 0.6175 1.0 55.9 63.0 0.7118644 0.81955385 0.9411765 0.40697673 0.45 0.5116279
2100 0.61 0.6210477 0.6304762 1.0 56.8 64.0 0.7457627 0.83463705 0.9423077 0.40697673 0.46046513 0.5232558
2200 0.6227273 0.6330455 0.6409091 1.0 56.3 61.0 0.8103448 0.87617654 0.90909094 0.41860464 0.4604651 0.5
2300 0.6334783 0.6445652 0.6517391 1.0 57.4 64.0 0.84375 0.889322 0.94545454 0.40697673 0.47441864 0.55813956
2400 0.64166665 0.65550005 0.66375 1.0 59.4 66.0 0.8125 0.8882017 0.94 0.43023255 0.5 0.54651165
2500 0.6516 0.66572 0.6748 1.0 59.4 66.0 0.828125 0.9008935 0.95454544 0.45348838 0.5046511 0.55813956
2600 0.6607692 0.675923 0.68538463 1.0 60.2 66.0 0.83076924 0.90597457 0.95384616 0.44186047 0.51627904 0.5697674
2700 0.6707407 0.68574077 0.69555557 1.0 59.5 64.0 0.88709676 0.9265402 0.984127 0.44186047 0.5081395 0.55813956
2800 0.6807143 0.6948571 0.7057143 1.0 59.8 65.0 0.87931037 0.9375466 1.0 0.45348838 0.5127907 0.55813956
2900 0.6910345 0.70382756 0.7137931 1.0 59.9 65.0 0.8909091 0.9475667 1.0 0.45348838 0.5197674 0.59302324
3000 0.699 0.7121333 0.721 1.0 60.4 65.0 0.90909094 0.94944084 1.0 0.43023255 0.5232558 0.59302324
3100 0.70709676 0.7201935 0.7283871 1.0 60.8 65.0 0.8947368 0.9531708 1.0 0.41860464 0.53255814 0.59302324
3200 0.7146875 0.72765625 0.7365625 1.0 60.9 67.0 0.8939394 0.9654668 1.0 0.43023255 0.5348837 0.59302324
3300 0.72242427 0.73484844 0.7442424 1.0 61.0 68.0 0.9491525 0.9763751 1.0 0.43023255 0.5360465 0.60465115
3400 0.73058826 0.74182355 0.75147057 1.0 61.8 68.0 0.9444444 0.9763688 1.0 0.45348838 0.5430232 0.61627907
3500 0.7382857 0.7485429 0.7582857 1.0 62.1 69.0 0.94736844 0.9800972 1.0 0.44186047 0.5488372 0.627907
3600 0.745 0.7550277 0.7647222 1.0 62.5 70.0 0.9622642 0.9800747 1.0 0.45348838 0.55348843 0.627907
3700 0.7516216 0.7613784 0.7710811 1.0 62.8 71.0 0.9677419 0.987404 1.0 0.4651163 0.5581395 0.627907
3800 0.7576316 0.7674474 0.7771053 1.0 63.0 70.0 0.9516129 0.9885812 1.0 0.47674417 0.56279075 0.627907
3900 0.76358974 0.7732564 0.7828205 1.0 63.5 70.0 0.9516129 0.9842738 1.0 0.4883721 0.56860465 0.627907
4000 0.7695 0.7785001 0.78825 1.0 63.4 70.0 0.9672131 0.98737395 1.0 0.5 0.5651163 0.627907
4100 0.774878 0.78358537 0.79317075 1.0 63.8 69.0 0.9677419 0.9887501 1.0 0.5116279 0.572093 0.627907
4200 0.78 0.7885714 0.7980952 1.0 64.1 70.0 0.9649123 0.98725843 1.0 0.5116279 0.5744186 0.627907
4300 0.78465116 0.7933023 0.8027907 1.0 64.3 70.0 0.9655172 0.9890641 1.0 0.5116279 0.57441866 0.6395349
4400 0.7893182 0.79790914 0.80727273 1.0 64.6 70.0 0.9661017 0.9891944 1.0 0.5116279 0.5767442 0.6511628
4500 0.79355556 0.8021778 0.81133336 1.0 65.1 70.0 0.95714283 0.98483276 1.0 0.5116279 0.5790698 0.6627907
4600 0.7976087 0.8062174 0.8147826 1.0 64.5 70.0 0.9830508 0.99391335 1.0 0.5116279 0.5767442 0.6395349
4700 0.80148935 0.8101276 0.8187234 1.0 64.4 69.0 0.9830508 0.9953419 1.0 0.5116279 0.5767442 0.6395349
4800 0.805625 0.814 0.8222917 1.0 64.5 69.0 0.9830508 0.9938035 1.0 0.5116279 0.5790698 0.6395349
4900 0.8095918 0.8177551 0.8257143 1.0 64.5 69.0 0.9705882 0.99382544 1.0 0.5116279 0.5802326 0.6395349
5000 0.8132 0.82128 0.8292 1.0 64.4 69.0 0.9705882 0.9940711 1.0 0.5116279 0.5802325 0.6395349
5100 0.81666666 0.82468635 0.83254904 1.0 64.2 69.0 0.9846154 0.99701226 1.0 0.5116279 0.57906973 0.6395349
5200 0.82019234 0.82799995 0.83576924 1.0 64.1 69.0 0.98550725 0.9985507 1.0 0.5116279 0.57790697 0.6395349
5300 0.8235849 0.83122647 0.8388679 1.0 64.3 69.0 0.98550725 0.9971014 1.0 0.5116279 0.57790697 0.6395349
