rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 53.2 54.0 0.11111111 0.11278826 0.11320755 0.81395346 0.88139534 0.95348835
100 0.53 0.554 0.59 1.0 17.5 22.0 0.27272728 0.35323447 0.42857143 0.12790698 0.2139535 0.27906978
200 0.725 0.736 0.745 1.0 9.6 12.0 0.5 0.6385931 0.85714287 0.08139535 0.110465124 0.1627907
300 0.8066667 0.81500006 0.8233333 1.0 6.9 8.0 0.75 0.88571435 1.0 0.069767445 0.07790698 0.093023255
400 0.855 0.86025 0.8675 1.0 6.5 8.0 0.75 0.93571424 1.0 0.069767445 0.074418604 0.093023255
500 0.884 0.888 0.892 1.0 6.4 8.0 0.75 0.9464285 1.0 0.069767445 0.07325582 0.093023255
600 0.9033333 0.90633327 0.91 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.07093024 0.08139535
700 0.91714287 0.91971433 0.92285717 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.07093024 0.08139535
800 0.9275 0.9294999 0.9325 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
900 0.9355556 0.9373333 0.94 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1000 0.942 0.9436 0.946 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1100 0.9472727 0.9487273 0.9509091 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1200 0.95166665 0.95300007 0.955 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1300 0.9553846 0.9566153 0.9584615 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1400 0.95857143 0.9597143 0.9614286 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1500 0.96133333 0.96239996 0.964 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1600 0.96375 0.96474993 0.96625 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1700 0.96588236 0.9668236 0.9682353 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1800 0.9677778 0.9686667 0.97 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1900 0.96947366 0.9703158 0.97157896 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2000 0.971 0.9718 0.973 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2100 0.97238094 0.9731429 0.9742857 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2200 0.9736364 0.9743636 0.97545457 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2300 0.9747826 0.9754783 0.97652173 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2400 0.97583336 0.97650003 0.9775 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
