rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 53.2 54.0 0.11111111 0.11278826 0.11320755 0.8372093 0.8848837 0.95348835
100 0.53 0.552 0.58 1.0 17.5 24.0 0.25 0.35772443 0.46153846 0.15116279 0.22906974 0.3488372
200 0.715 0.732 0.745 1.0 9.1 12.0 0.5 0.6723809 0.85714287 0.08139535 0.10348837 0.13953489
300 0.80333334 0.8136667 0.82666665 1.0 6.8 9.0 0.6666667 0.89880955 1.0 0.069767445 0.075581394 0.093023255
400 0.85 0.85950005 0.87 1.0 6.5 8.0 0.75 0.93214285 1.0 0.069767445 0.074418604 0.093023255
500 0.88 0.88740003 0.896 1.0 6.4 8.0 0.75 0.9464286 1.0 0.069767445 0.07325582 0.093023255
600 0.9 0.90583336 0.91333336 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.07093024 0.08139535
700 0.9142857 0.9191429 0.9257143 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.07093024 0.08139535
800 0.925 0.92912495 0.935 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
900 0.93333334 0.9369999 0.94222224 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1000 0.94 0.94329995 0.948 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1100 0.94545454 0.94845456 0.95272726 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1200 0.95 0.95275 0.95666665 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1300 0.95384616 0.95638466 0.96 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1400 0.95714283 0.9595 0.9628571 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1500 0.96 0.9622 0.96533334 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1600 0.9625 0.9645624 0.9675 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1700 0.9647059 0.966647 0.9694118 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1800 0.96666664 0.96849996 0.9711111 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1900 0.96842104 0.9701579 0.9726316 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2000 0.97 0.9716501 0.974 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2100 0.9714286 0.97300005 0.9752381 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2200 0.9727273 0.97422725 0.97636366 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2300 0.973913 0.9753478 0.9773913 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2400 0.975 0.9763749 0.97833335 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2500 0.976 0.9773199 0.9792 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2600 0.97692305 0.9781923 0.98 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2700 0.9777778 0.979 0.9807407 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2800 0.9785714 0.97975 0.98142856 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2900 0.97931033 0.98044825 0.98206896 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3000 0.98 0.98109996 0.9826667 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3100 0.9806452 0.98170966 0.9832258 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3200 0.98125 0.9822812 0.98375 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3300 0.9818182 0.98281825 0.98424244 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3400 0.9823529 0.9833236 0.98470587 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3500 0.98285717 0.98380005 0.9851429 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3600 0.98333335 0.98425007 0.9855555 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3700 0.9837838 0.9846757 0.98594594 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3800 0.98421055 0.98507893 0.9863158 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3900 0.9846154 0.9854616 0.9866667 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4000 0.985 0.98582494 0.987 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4100 0.98536587 0.98617077 0.9873171 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4200 0.98571426 0.9864999 0.98761904 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4300 0.9860465 0.9868139 0.987907 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4400 0.98636365 0.9871136 0.9881818 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4500 0.9866667 0.98739994 0.98844445 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4600 0.98695654 0.98767394 0.9886957 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4700 0.98723406 0.9879362 0.9889362 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4800 0.9875 0.98818743 0.9891667 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
