rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.7 55.0 0.10909091 0.11333333 0.12727273 0.81395346 0.8848837 0.95348835
100 0.25 0.32599998 0.39 1.0 101.8 108.0 0.12962963 0.1682836 0.21782178 0.8604651 0.9325582 0.9883721
200 0.3 0.3595 0.405 1.0 111.5 118.0 0.16513762 0.19256258 0.22123894 0.872093 0.9186047 0.9883721
300 0.36333334 0.39800003 0.43 1.0 115.8 123.0 0.16666667 0.21499678 0.27966103 0.90697676 0.9430232 0.9883721
400 0.39 0.419 0.4625 1.0 115.3 122.0 0.20833333 0.25673723 0.2857143 0.9302326 0.9593023 0.9883721
500 0.42 0.4474 0.48 1.0 113.1 120.0 0.25233644 0.2825726 0.3125 0.94186044 0.9639534 0.9883721
600 0.445 0.4743333 0.50666666 1.0 112.7 120.0 0.2882883 0.33474672 0.3653846 0.9302326 0.9604651 0.9883721
700 0.46857142 0.49328575 0.51285714 1.0 111.5 121.0 0.30578512 0.35768875 0.41284403 0.9186047 0.96279067 1.0
800 0.48375 0.50999993 0.52875 1.0 111.0 127.0 0.33636364 0.38647145 0.44144145 0.94186044 0.9709303 1.0
900 0.50222224 0.5252222 0.54444444 1.0 110.7 124.0 0.37903225 0.42921495 0.4649123 0.95348835 0.972093 1.0
1000 0.518 0.54330003 0.567 1.0 108.2 120.0 0.39252338 0.46469474 0.53535354 0.95348835 0.9767443 1.0
1100 0.5345455 0.55945456 0.58181816 1.0 107.0 120.0 0.42307693 0.51831573 0.6 0.95348835 0.9755813 1.0
1200 0.5525 0.57549995 0.60083336 1.0 105.1 110.0 0.48623854 0.5668787 0.61764705 0.95348835 0.9744185 1.0
1300 0.5661538 0.59123075 0.6130769 1.0 103.4 108.0 0.5277778 0.5962891 0.65656567 0.96511626 0.97674406 0.9883721
1400 0.58214283 0.6060714 0.62357146 1.0 102.7 107.0 0.57843137 0.63078696 0.6796116 0.96511626 0.97674406 0.9883721
1500 0.59866667 0.62013334 0.6386667 1.0 101.4 105.0 0.58762884 0.6624186 0.7184466 0.96511626 0.97674406 0.9883721
1600 0.615 0.63337505 0.648125 1.0 99.5 104.0 0.63265306 0.69033736 0.7281553 0.96511626 0.97674406 0.9883721
1700 0.6311765 0.64741176 0.65882355 1.0 98.4 104.0 0.63366336 0.7175583 0.75728154 0.96511626 0.97674406 0.9883721
1800 0.64611113 0.6603333 0.6722222 1.0 96.7 102.0 0.6862745 0.7405649 0.7920792 0.96511626 0.97674406 0.9883721
1900 0.66052634 0.67194736 0.6831579 1.0 96.4 102.0 0.7244898 0.76052076 0.8 0.96511626 0.97674406 0.9883721
2000 0.6725 0.68299997 0.694 1.0 94.6 103.0 0.7659575 0.79491186 0.84444445 0.96511626 0.97674406 0.9883721
2100 0.68190473 0.69428575 0.70428574 1.0 94.4 102.0 0.7647059 0.8115662 0.85555553 0.95348835 0.97558135 0.9883721
2200 0.69136363 0.70477265 0.7154545 1.0 92.7 103.0 0.74757284 0.8232765 0.8636364 0.95348835 0.97558135 0.9883721
2300 0.70086956 0.71404356 0.7217391 1.0 91.7 101.0 0.77227724 0.8366025 0.8965517 0.95348835 0.9767442 0.9883721
2400 0.71166664 0.72358334 0.73125 1.0 90.9 101.0 0.7821782 0.85602605 0.8965517 0.95348835 0.9767442 0.9883721
2500 0.72 0.73264 0.742 1.0 90.0 97.0 0.84090906 0.8718441 0.9302326 0.95348835 0.9767442 0.9883721
2600 0.72923076 0.74107695 0.7496154 1.0 89.9 95.0 0.84210527 0.88527596 0.92941177 0.95348835 0.9767442 0.9883721
2700 0.7374074 0.7496296 0.7585185 1.0 89.5 94.0 0.84090906 0.88884 0.92941177 0.95348835 0.9767442 0.9883721
2800 0.74607146 0.75703573 0.76714283 1.0 89.0 93.0 0.85227275 0.9015876 0.9425287 0.95348835 0.9767442 0.9883721
2900 0.7537931 0.76417243 0.7741379 1.0 88.7 92.0 0.85393256 0.90463245 0.9529412 0.95348835 0.9767442 0.9883721
3000 0.76166666 0.7711333 0.7816667 1.0 88.2 92.0 0.85555553 0.9098383 0.96428573 0.95348835 0.9767442 0.9883721
3100 0.7683871 0.7777742 0.7883871 1.0 87.5 91.0 0.89772725 0.92382115 0.9880952 0.95348835 0.9767442 0.9883721
3200 0.775 0.7840313 0.795 1.0 86.8 91.0 0.9010989 0.9372265 1.0 0.95348835 0.9767442 0.9883721
3300 0.7818182 0.7901819 0.80030304 1.0 86.4 90.0 0.9111111 0.9437124 1.0 0.95348835 0.9767442 0.9883721
3400 0.7882353 0.79605883 0.80588233 1.0 86.0 89.0 0.9101124 0.94917333 1.0 0.95348835 0.9767442 0.9883721
3500 0.794 0.8014857 0.8108571 1.0 85.7 89.0 0.92941177 0.955976 1.0 0.95348835 0.9767442 0.9883721
3600 0.79944444 0.80674994 0.81583333 1.0 85.9 89.0 0.92134833 0.9550465 0.9880952 0.95348835 0.9767442 0.9883721
3700 0.8043243 0.8115946 0.82 1.0 85.6 90.0 0.9111111 0.96076554 1.0 0.95348835 0.9767442 0.9883721
3800 0.8094737 0.81615794 0.8221053 1.0 85.2 88.0 0.9411765 0.966177 1.0 0.95348835 0.9767442 0.9883721
3900 0.81435895 0.82069236 0.82589746 1.0 85.5 90.0 0.93333334 0.96287996 1.0 0.95348835 0.9767442 0.9883721
4000 0.819 0.825 0.83 1.0 85.3 89.0 0.9411765 0.9650504 1.0 0.95348835 0.9767442 0.9883721
4100 0.8229268 0.829 0.8341463 1.0 85.3 87.0 0.9310345 0.96977633 1.0 0.95348835 0.9767442 0.9883721
4200 0.8264286 0.8327857 0.83761907 1.0 85.3 88.0 0.92045456 0.97227275 1.0 0.95348835 0.9767442 0.9883721
4300 0.83046514 0.83653486 0.8413954 1.0 85.2 88.0 0.9310345 0.97567 1.0 0.95348835 0.9767442 0.9883721
4400 0.83431816 0.8401818 0.845 1.0 85.1 88.0 0.9310345 0.97441167 1.0 0.95348835 0.9767442 0.9883721
4500 0.838 0.84346664 0.848 1.0 85.0 90.0 0.93333334 0.9779832 1.0 0.95348835 0.9767442 0.9883721
4600 0.84152174 0.8467392 0.85130435 1.0 84.8 88.0 0.95454544 0.98007643 1.0 0.95348835 0.9767442 0.9883721
4700 0.84489363 0.8498723 0.8544681 1.0 84.7 87.0 0.95238096 0.98235005 1.0 0.95348835 0.9767442 0.9883721
