rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11494949 0.12727273 0.8372093 0.8860465 0.95348835
100 0.19 0.31100002 0.42 1.0 89.0 93.0 0.09677419 0.12592292 0.1521739 0.8023256 0.8511628 0.9302326
200 0.33 0.36549997 0.4 1.0 85.1 92.0 0.09411765 0.1210743 0.15116279 0.6976744 0.7674418 0.8488372
300 0.37 0.38733333 0.40666667 1.0 73.9 82.0 0.093333334 0.122930765 0.14814815 0.59302324 0.7046511 0.81395346
400 0.3725 0.41349998 0.44 1.0 63.6 69.0 0.0952381 0.1311841 0.18644068 0.4883721 0.5813953 0.74418604
500 0.402 0.44439998 0.492 1.0 54.1 62.0 0.09677419 0.14151189 0.1875 0.41860464 0.48255816 0.5813953
600 0.44166666 0.47399998 0.50666666 1.0 46.0 51.0 0.13333334 0.1747968 0.2195122 0.30232558 0.3848837 0.4651163
700 0.47285715 0.5042857 0.54285717 1.0 38.9 43.0 0.17142858 0.19003215 0.21052632 0.25581396 0.31976742 0.38372093
800 0.50625 0.535625 0.565 1.0 32.4 38.0 0.18181819 0.22077763 0.28125 0.20930232 0.25813955 0.29069766
900 0.52111113 0.5657778 0.59555554 1.0 26.8 33.0 0.18181819 0.25736696 0.2962963 0.18604651 0.21511629 0.24418604
1000 0.548 0.5939001 0.623 1.0 21.4 24.0 0.25 0.32986158 0.4 0.11627907 0.1744186 0.19767442
1100 0.57363635 0.62036365 0.65090907 1.0 18.5 23.0 0.2857143 0.38374218 0.47058824 0.10465116 0.14651161 0.18604651
1200 0.6016667 0.6451667 0.6741667 1.0 16.0 21.0 0.33333334 0.44865495 0.61538464 0.093023255 0.1267442 0.1744186
1300 0.6253846 0.6669231 0.6969231 1.0 12.9 16.0 0.4 0.54265445 0.8 0.08139535 0.11395349 0.1744186
1400 0.645 0.6867143 0.7185714 1.0 11.2 15.0 0.46153846 0.61175996 0.8 0.069767445 0.10465117 0.11627907
1500 0.66466665 0.70559996 0.73733336 1.0 10.4 12.0 0.5 0.64060605 0.7 0.069767445 0.1 0.11627907
1600 0.683125 0.72206247 0.75375 1.0 9.6 11.0 0.54545456 0.69659084 0.875 0.069767445 0.093023255 0.11627907
