rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.4 56.0 0.10909091 0.11391415 0.12727273 0.8372093 0.8848837 0.95348835
100 0.29 0.37999997 0.44 1.0 60.5 66.0 0.11111111 0.14273003 0.18333334 0.40697673 0.56046516 0.6627907
200 0.475 0.505 0.57 1.0 41.8 48.0 0.13953489 0.1755049 0.21052632 0.20930232 0.32441857 0.38372093
300 0.5833333 0.60033333 0.64 1.0 27.1 31.0 0.20689656 0.24551992 0.3181818 0.13953489 0.20581396 0.24418604
400 0.665 0.67349994 0.6975 1.0 18.1 21.0 0.2857143 0.3514984 0.4375 0.11627907 0.14767443 0.18604651
500 0.714 0.72760004 0.746 1.0 13.0 16.0 0.375 0.47927198 0.6 0.069767445 0.11046511 0.1627907
600 0.7583333 0.76766664 0.7816667 1.0 10.2 14.0 0.42857143 0.6077056 0.6666667 0.069767445 0.091860466 0.12790698
700 0.79 0.7982858 0.80714285 1.0 8.5 10.0 0.6 0.71238095 0.85714287 0.069767445 0.08023255 0.10465116
800 0.815 0.82162505 0.83125 1.0 7.0 8.0 0.75 0.86785716 1.0 0.069767445 0.07325582 0.093023255
900 0.83444446 0.84077775 0.8488889 1.0 6.4 8.0 0.75 0.95 1.0 0.069767445 0.07093024 0.08139535
1000 0.851 0.85649997 0.864 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.07093024 0.08139535
1100 0.86454546 0.86954546 0.87636364 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.07093024 0.08139535
1200 0.87583333 0.8803333 0.88666666 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.06976745 0.069767445
1300 0.8853846 0.8894615 0.8953846 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1400 0.89357144 0.8973571 0.9028571 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1500 0.90066665 0.9042001 0.90933335 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1600 0.906875 0.91018754 0.915 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1700 0.9123529 0.9154705 0.92 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
