rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.3 55.0 0.10909091 0.11232324 0.12727273 0.8372093 0.8848837 0.95348835
100 0.29 0.376 0.43 1.0 58.3 64.0 0.1 0.14132573 0.1764706 0.44186047 0.5837209 0.7093023
200 0.465 0.496 0.575 1.0 41.0 49.0 0.1632653 0.18462017 0.22857143 0.23255815 0.32441857 0.39534885
300 0.5733333 0.59466666 0.63666666 1.0 27.2 33.0 0.18181819 0.23831546 0.3043478 0.15116279 0.21627907 0.26744187
400 0.6475 0.66850007 0.6975 1.0 18.1 23.0 0.26086956 0.3531131 0.4117647 0.11627907 0.15116279 0.20930232
500 0.702 0.7232001 0.746 1.0 13.3 17.0 0.3529412 0.46812892 0.54545456 0.08139535 0.115116276 0.1744186
600 0.74833333 0.7638333 0.78333336 1.0 10.3 15.0 0.4 0.6069697 0.6666667 0.069767445 0.09302325 0.15116279
700 0.7842857 0.795 0.80714285 1.0 8.6 11.0 0.54545456 0.7069264 0.85714287 0.069767445 0.08139534 0.11627907
800 0.81 0.818875 0.83125 1.0 7.2 9.0 0.6666667 0.8452381 1.0 0.069767445 0.07441862 0.10465116
900 0.83111113 0.8382222 0.8488889 1.0 6.5 8.0 0.75 0.93571436 1.0 0.069767445 0.07093024 0.08139535
1000 0.847 0.8540999 0.864 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.07093024 0.08139535
1100 0.8609091 0.86736363 0.87636364 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.07093024 0.08139535
1200 0.87166667 0.8783333 0.88666666 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.06976745 0.069767445
1300 0.88153845 0.8876154 0.8953846 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1400 0.89 0.8956429 0.9028571 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1500 0.8973333 0.9026 0.90933335 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1600 0.90375 0.9086875 0.915 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1700 0.9094118 0.91405886 0.92 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1800 0.91444445 0.9188334 0.92444444 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1900 0.91894734 0.92310524 0.9284211 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2000 0.923 0.9269501 0.932 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2100 0.9266667 0.9304286 0.9352381 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2200 0.93 0.933591 0.9381818 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2300 0.9330435 0.93647826 0.94086957 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2400 0.93583333 0.93912506 0.9433333 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2500 0.9384 0.94156 0.9456 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2600 0.94076926 0.9438077 0.94769233 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2700 0.94296294 0.9458889 0.9496296 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2800 0.945 0.94782144 0.9514286 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2900 0.94689655 0.9496207 0.9531034 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3000 0.9486667 0.9513 0.9546667 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3100 0.95032257 0.95287085 0.956129 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3200 0.951875 0.9543438 0.9575 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3300 0.9533333 0.9557272 0.95878786 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3400 0.9547059 0.95702946 0.96 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3500 0.956 0.958257 0.96114284 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3600 0.9572222 0.9594167 0.9622222 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3700 0.9583784 0.9605135 0.96324325 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3800 0.95947367 0.96155274 0.9642105 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3900 0.9605128 0.96253854 0.9651282 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4000 0.9615 0.96347505 0.966 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4100 0.962439 0.9643658 0.96682924 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4200 0.9633333 0.9652144 0.96761906 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4300 0.9641861 0.96602327 0.9683721 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4400 0.965 0.9667953 0.96909094 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4500 0.96577775 0.9675334 0.96977776 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4600 0.96652174 0.9682391 0.9704348 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4700 0.967234 0.96891487 0.97106385 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4800 0.96791667 0.9695624 0.9716667 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4900 0.9685714 0.97018373 0.9722449 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5000 0.9692 0.9707801 0.9728 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5100 0.9698039 0.97135305 0.97333336 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5200 0.9703846 0.9719038 0.97384614 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
