rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 13.0 13.0 0.9230769 0.95384616 1.0 0.069767445 0.07558141 0.08139535
100 0.24 0.31899998 0.38 1.0 58.8 63.0 0.1904762 0.2377064 0.3 0.44186047 0.527907 0.627907
200 0.285 0.3305 0.395 1.0 71.4 76.0 0.16666667 0.21488354 0.26153848 0.55813956 0.6418605 0.74418604
300 0.31 0.33399996 0.35666665 1.0 70.0 76.0 0.19444445 0.22305045 0.2753623 0.5116279 0.5918604 0.6744186
400 0.3175 0.34700003 0.3825 1.0 65.9 70.0 0.21428572 0.24647672 0.30508474 0.41860464 0.5116279 0.6511628
500 0.324 0.36400002 0.392 1.0 62.8 72.0 0.23214285 0.25621352 0.31343284 0.39534885 0.46860465 0.60465115
600 0.35166666 0.3866667 0.41166666 1.0 59.4 68.0 0.26 0.29729766 0.3548387 0.38372093 0.44767436 0.5232558
700 0.36285713 0.40342855 0.4342857 1.0 57.7 68.0 0.2769231 0.31346697 0.3653846 0.40697673 0.45348835 0.5232558
800 0.38625 0.41675 0.435 1.0 53.9 64.0 0.26530612 0.33939183 0.40425533 0.3604651 0.40813953 0.4651163
900 0.40444446 0.43199998 0.44777778 1.0 51.6 59.0 0.33898306 0.38060653 0.4528302 0.30232558 0.39999998 0.47674417
1000 0.43 0.45100003 0.475 1.0 53.2 61.0 0.3392857 0.406178 0.5 0.3255814 0.41860467 0.4883721
1100 0.45454547 0.46863636 0.48454547 1.0 52.0 60.0 0.3617021 0.44594446 0.53061223 0.3488372 0.40697676 0.5
1200 0.4775 0.48624998 0.49666667 1.0 50.2 61.0 0.42857143 0.4947885 0.61538464 0.29069766 0.37674415 0.47674417
1300 0.49615383 0.50184613 0.5123077 1.0 49.9 58.0 0.46 0.52508855 0.61538464 0.22093023 0.3848837 0.47674417
1400 0.50785714 0.516 0.5264286 1.0 49.8 59.0 0.4893617 0.5854491 0.64285713 0.3139535 0.40813953 0.4883721
1500 0.52066666 0.53146666 0.544 1.0 49.1 56.0 0.56 0.6306045 0.7173913 0.30232558 0.39418602 0.45348838
1600 0.53375 0.54775006 0.55875 1.0 49.6 57.0 0.5263158 0.66914487 0.75 0.29069766 0.40116277 0.4651163
1700 0.5517647 0.5629999 0.57411766 1.0 51.5 60.0 0.6 0.67505085 0.7254902 0.3139535 0.41744184 0.5116279
1800 0.56777775 0.57777774 0.58666664 1.0 53.4 62.0 0.66101694 0.69481385 0.73913044 0.3488372 0.4255814 0.5
1900 0.5842105 0.59089476 0.60052633 1.0 54.1 65.0 0.6792453 0.743519 0.78 0.3488372 0.43255815 0.5232558
2000 0.5955 0.60365 0.6155 1.0 54.4 66.0 0.69491524 0.7785181 0.8333333 0.37209302 0.4430233 0.5116279
2100 0.6066667 0.6148095 0.627619 1.0 56.1 65.0 0.71428573 0.78816193 0.8545455 0.39534885 0.4662791 0.54651165
2200 0.61727273 0.6252728 0.63863635 1.0 54.5 64.0 0.7592593 0.8385395 0.88461536 0.39534885 0.44883722 0.5116279
2300 0.6291304 0.63752174 0.6473913 1.0 55.4 62.0 0.7962963 0.8599167 0.9056604 0.44186047 0.46046513 0.4883721
2400 0.6408333 0.648625 0.65625 1.0 56.6 63.0 0.8305085 0.87061465 0.9423077 0.44186047 0.4732558 0.5
2500 0.6516 0.65919995 0.6664 1.0 57.9 67.0 0.76119405 0.88619167 0.9622642 0.45348838 0.48720926 0.5232558
2600 0.66 0.6696154 0.67615384 1.0 57.6 63.0 0.83870965 0.91317576 0.9811321 0.45348838 0.49302322 0.53488374
2700 0.67 0.67966664 0.68703705 1.0 58.5 64.0 0.87096775 0.9224046 0.9818182 0.45348838 0.50348836 0.54651165
2800 0.6792857 0.68925 0.6967857 1.0 58.0 64.0 0.90163934 0.9448906 0.9818182 0.43023255 0.5023256 0.54651165
2900 0.6893104 0.69827586 0.7062069 1.0 58.3 63.0 0.9166667 0.95024884 0.984127 0.43023255 0.50813955 0.55813956
3000 0.69733334 0.70673335 0.714 1.0 60.3 63.0 0.9032258 0.94544494 1.0 0.4651163 0.527907 0.5813953
3100 0.70548385 0.71506447 0.7222581 1.0 60.1 64.0 0.93650794 0.96667606 0.984375 0.47674417 0.5313954 0.59302324
3200 0.714375 0.7229687 0.7290625 1.0 62.0 66.0 0.9047619 0.9553293 0.9848485 0.4883721 0.55116284 0.60465115
3300 0.7209091 0.73045456 0.73636365 1.0 62.0 66.0 0.921875 0.9586007 0.984375 0.5116279 0.55116284 0.60465115
3400 0.7273529 0.7377647 0.7438235 1.0 61.9 67.0 0.93650794 0.96478814 1.0 0.5232558 0.5534884 0.60465115
3500 0.7342857 0.74465716 0.75114286 1.0 62.4 67.0 0.93939394 0.969672 0.98507464 0.5 0.55697674 0.60465115
3600 0.7411111 0.75133336 0.75777775 1.0 62.9 69.0 0.9375 0.96858585 0.9846154 0.4883721 0.5627907 0.60465115
3700 0.7475676 0.7575136 0.7637838 1.0 62.9 69.0 0.953125 0.9750881 1.0 0.5 0.5639535 0.61627907
3800 0.7536842 0.7635526 0.7697368 1.0 63.3 69.0 0.9375 0.97358686 1.0 0.5 0.56627905 0.61627907
3900 0.75948715 0.76887184 0.774359 1.0 63.0 69.0 0.93846154 0.9793725 1.0 0.5116279 0.5639535 0.61627907
4000 0.76525 0.77422506 0.7795 1.0 63.0 69.0 0.93846154 0.98255616 1.0 0.5116279 0.5662791 0.60465115
4100 0.7704878 0.77951217 0.7848781 1.0 63.2 70.0 0.9677419 0.98590505 1.0 0.53488374 0.5674418 0.60465115
4200 0.7754762 0.7845476 0.79 1.0 63.0 71.0 0.969697 0.9907217 1.0 0.5232558 0.5674419 0.60465115
4300 0.7806977 0.7893954 0.79465115 1.0 63.2 72.0 0.969697 0.9923806 1.0 0.5232558 0.56976753 0.60465115
4400 0.78568184 0.79393184 0.79886365 1.0 63.4 71.0 0.96875 0.9937237 1.0 0.5232558 0.57325584 0.61627907
4500 0.79044443 0.7984444 0.80333334 1.0 63.6 71.0 0.96875 0.9953598 1.0 0.5232558 0.57558143 0.627907
4600 0.7943478 0.8026304 0.8073913 1.0 63.9 71.0 0.984127 0.9937477 1.0 0.5232558 0.58023256 0.627907
4700 0.7985106 0.80663836 0.81148934 1.0 63.6 71.0 0.984127 0.9984127 1.0 0.5116279 0.57790697 0.627907
4800 0.8027083 0.8105833 0.8154167 1.0 63.7 71.0 0.984127 0.9968742 1.0 0.5116279 0.5790698 0.627907
4900 0.8063265 0.8143878 0.81918365 1.0 63.9 71.0 0.984127 0.99531174 1.0 0.5116279 0.5802326 0.627907
5000 0.8102 0.81806004 0.8228 1.0 64.0 71.0 0.984127 0.99533576 1.0 0.5116279 0.5813953 0.627907
5100 0.8139216 0.8215882 0.8262745 1.0 64.0 71.0 0.984127 0.9968742 1.0 0.5116279 0.58139545 0.6395349
5200 0.8175 0.82498074 0.8296154 1.0 64.2 71.0 0.9836066 0.9952582 1.0 0.5116279 0.58255816 0.6395349
5300 0.8209434 0.8282076 0.8328302 1.0 64.2 71.0 0.98275864 0.99668854 1.0 0.5116279 0.58255816 0.6395349
5400 0.8240741 0.8312963 0.83592594 1.0 64.2 71.0 0.984127 0.9984127 1.0 0.5232558 0.583721 0.6395349
5500 0.8272727 0.83432734 0.8389091 1.0 64.2 71.0 1.0 1.0 1.0 0.5232558 0.583721 0.6395349
5600 0.83035713 0.83724993 0.8417857 1.0 64.5 71.0 0.969697 0.9953824 1.0 0.5232558 0.58488375 0.6395349
5700 0.8333333 0.8400877 0.8445614 1.0 64.4 71.0 0.969697 0.9969697 1.0 0.5232558 0.58488375 0.6395349
5800 0.8362069 0.8427414 0.8472414 1.0 64.3 71.0 0.9846154 0.99846154 1.0 0.5232558 0.58488375 0.6395349
5900 0.83898306 0.84540683 0.8498305 1.0 64.3 71.0 0.9846154 0.99846154 1.0 0.5232558 0.58488375 0.6395349
6000 0.8415 0.84788334 0.8523333 1.0 64.6 71.0 0.984127 0.99381924 1.0 0.5232558 0.58720934 0.6395349
6100 0.8437705 0.8502787 0.8547541 1.0 64.2 71.0 1.0 1.0 1.0 0.5232558 0.583721 0.6395349
6200 0.84629035 0.85267746 0.8570968 1.0 64.2 71.0 1.0 1.0 1.0 0.5232558 0.583721 0.6395349
6300 0.84873015 0.8550159 0.8593651 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
6400 0.85109377 0.85726565 0.8615625 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
6500 0.8532308 0.85944617 0.8636923 1.0 64.4 71.0 0.984375 0.9984375 1.0 0.5232558 0.58488375 0.6395349
6600 0.85530305 0.86156064 0.8657576 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
6700 0.8574627 0.86359704 0.8677612 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
6800 0.8595588 0.8655883 0.86970586 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
6900 0.86115944 0.8674928 0.8715942 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
7000 0.86314285 0.8693857 0.8734286 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
7100 0.8650704 0.87122536 0.87521124 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
7200 0.86694443 0.87301385 0.8769444 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
7300 0.86876714 0.87475336 0.87863016 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
7400 0.87054056 0.8764324 0.88027024 1.0 64.4 71.0 0.9836066 0.99836063 1.0 0.5232558 0.58488375 0.6395349
7500 0.87226665 0.87806666 0.8818667 1.0 64.4 71.0 0.9830508 0.99830514 1.0 0.5232558 0.5860466 0.6395349
7600 0.8739474 0.8796579 0.88342106 1.0 64.4 71.0 0.9830508 0.99830514 1.0 0.5232558 0.5860466 0.6395349
7700 0.8755844 0.8812078 0.8849351 1.0 64.4 71.0 0.9830508 0.99830514 1.0 0.5232558 0.58488375 0.6395349
7800 0.8771795 0.88271797 0.88641024 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
7900 0.8787342 0.8841899 0.8878481 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
8000 0.88025 0.88563746 0.88925 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
8100 0.8817284 0.8870494 0.8906173 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
8200 0.8831707 0.8884269 0.8919512 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
8300 0.8845783 0.8897711 0.893253 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
8400 0.88595235 0.89107144 0.8945238 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
8500 0.88717645 0.89234114 0.8957647 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
8600 0.88848835 0.89359313 0.89697677 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
8700 0.8897701 0.8948161 0.89816093 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
8800 0.89102274 0.89601135 0.89931816 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
8900 0.8922472 0.8971798 0.90044945 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
9000 0.8934444 0.8983221 0.90155554 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
9100 0.8946154 0.8994395 0.90263736 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
9200 0.8957609 0.90053254 0.90369564 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
9300 0.8968817 0.90160215 0.90473115 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
9400 0.8979787 0.9026489 0.9057447 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
9500 0.8990526 0.90367365 0.90673685 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
9600 0.90010417 0.9046771 0.90770835 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
9700 0.901134 0.90565985 0.9086598 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
9800 0.9021429 0.9066223 0.90959185 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
9900 0.9031313 0.9075657 0.91050506 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
10000 0.9041 0.90849 0.9114 1.0 64.3 71.0 1.0 1.0 1.0 0.5232558 0.58488375 0.6395349
