rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11131313 0.12727273 0.8372093 0.8860465 0.95348835
2 0.0 0.25 0.5 1.0 55.7 56.0 0.10714286 0.109545454 0.12727273 0.8372093 0.8837209 0.95348835
3 0.0 0.2 0.6666667 1.0 56.8 57.0 0.10526316 0.11268797 0.125 0.8372093 0.8848837 0.95348835
4 0.0 0.325 0.75 1.0 57.2 58.0 0.10344828 0.11192529 0.125 0.8372093 0.88720924 0.95348835
5 0.0 0.32000005 0.8 1.0 58.5 59.0 0.10169491 0.10943892 0.12068965 0.8372093 0.88720924 0.95348835
6 0.0 0.3 0.6666667 1.0 59.5 60.0 0.1 0.10763393 0.12068965 0.8372093 0.88720924 0.94186044
7 0.14285715 0.3 0.5714286 1.0 60.4 61.0 0.09836066 0.107684076 0.118644066 0.8488372 0.8883721 0.94186044
8 0.125 0.3 0.5 1.0 61.0 62.0 0.09677419 0.10988102 0.12903225 0.8488372 0.8906978 0.94186044
9 0.11111111 0.32222226 0.5555556 1.0 61.6 63.0 0.0952381 0.110383645 0.14285715 0.8488372 0.8906978 0.94186044
10 0.1 0.33 0.6 1.0 62.6 64.0 0.0952381 0.11176503 0.15625 0.8488372 0.89534885 0.95348835
11 0.09090909 0.3272727 0.6363636 1.0 63.4 65.0 0.09375 0.111898795 0.15384616 0.8488372 0.8988372 0.95348835
12 0.083333336 0.30833334 0.5833333 1.0 64.3 66.0 0.092307694 0.111917004 0.15151516 0.8488372 0.90348834 0.96511626
13 0.15384616 0.30769232 0.61538464 1.0 65.0 66.0 0.09090909 0.11390176 0.15151516 0.8488372 0.9 0.96511626
14 0.14285715 0.30714285 0.5714286 1.0 65.7 67.0 0.08955224 0.1111597 0.14925373 0.8488372 0.90465117 0.9767442
15 0.13333334 0.3 0.53333336 1.0 66.6 68.0 0.0882353 0.11112863 0.15151516 0.8488372 0.905814 0.9767442
16 0.125 0.2875 0.5 1.0 67.5 69.0 0.08695652 0.1155359 0.1594203 0.8372093 0.90465117 0.9767442
17 0.11764706 0.2882353 0.47058824 1.0 67.8 70.0 0.08571429 0.11654352 0.1594203 0.8372093 0.90348834 0.9767442
18 0.11111111 0.28333333 0.44444445 1.0 68.4 71.0 0.08955224 0.11692736 0.15714286 0.8372093 0.90348834 0.9767442
19 0.10526316 0.2736842 0.47368422 1.0 69.1 71.0 0.08695652 0.11580626 0.15714286 0.8372093 0.9011628 0.9767442
20 0.1 0.27500004 0.5 1.0 69.6 72.0 0.08695652 0.11352597 0.15714286 0.8372093 0.9011628 0.9767442
21 0.14285715 0.2761905 0.47619048 1.0 69.9 72.0 0.08571429 0.11449967 0.15714286 0.8488372 0.90232563 0.9767442
22 0.13636364 0.27272725 0.45454547 1.0 70.7 73.0 0.097222224 0.11605767 0.15492958 0.8488372 0.90232563 0.9767442
23 0.17391305 0.26521736 0.4347826 1.0 71.8 74.0 0.09589041 0.11709885 0.15492958 0.8488372 0.90232563 0.9767442
24 0.16666667 0.26666668 0.45833334 1.0 72.3 74.0 0.0945946 0.116234645 0.15277778 0.8488372 0.90232563 0.9767442
25 0.16 0.268 0.48 1.0 72.9 75.0 0.0945946 0.116647884 0.15068494 0.8488372 0.90348834 0.9767442
26 0.15384616 0.2653846 0.46153846 1.0 73.6 76.0 0.093333334 0.11283151 0.14864865 0.8488372 0.90348834 0.9767442
27 0.14814815 0.2703704 0.4814815 1.0 73.9 76.0 0.093333334 0.11088369 0.14666666 0.8488372 0.90348834 0.9767442
28 0.14285715 0.26785713 0.4642857 1.0 74.4 77.0 0.093333334 0.112732075 0.15789473 0.8488372 0.90232563 0.9767442
29 0.13793103 0.26551723 0.4827586 1.0 75.0 78.0 0.09210526 0.1130779 0.16883117 0.8488372 0.90348846 0.9767442
30 0.16666667 0.27666667 0.46666667 1.0 75.3 78.0 0.09090909 0.11271586 0.16883117 0.8488372 0.90348846 0.9767442
31 0.16129032 0.27741933 0.4516129 1.0 75.8 79.0 0.09090909 0.11073319 0.16883117 0.8488372 0.90465117 0.9767442
32 0.15625 0.275 0.4375 1.0 76.4 80.0 0.08974359 0.11240504 0.16666667 0.8488372 0.90348834 0.9767442
33 0.18181819 0.27878788 0.42424244 1.0 76.8 80.0 0.08974359 0.11185993 0.16666667 0.8488372 0.9011628 0.9767442
34 0.1764706 0.28235295 0.4117647 1.0 77.1 80.0 0.088607594 0.110013865 0.1625 0.8488372 0.90465117 0.9883721
35 0.17142858 0.28000003 0.4 1.0 77.6 81.0 0.0875 0.109276675 0.16049382 0.8488372 0.90465117 0.9883721
36 0.16666667 0.28333333 0.3888889 1.0 78.0 82.0 0.0875 0.108675554 0.15853658 0.8604651 0.905814 0.9883721
37 0.16216215 0.28108108 0.3783784 1.0 78.4 83.0 0.0875 0.10936227 0.15662651 0.8604651 0.9069768 0.9883721
38 0.18421052 0.28157896 0.36842105 1.0 78.8 83.0 0.0875 0.10882972 0.15662651 0.8604651 0.9069768 0.9883721
39 0.17948718 0.2846154 0.35897437 1.0 79.3 84.0 0.086419754 0.10815674 0.15476191 0.8604651 0.9104651 0.9883721
40 0.175 0.2875 0.35 1.0 79.8 84.0 0.085365854 0.10747484 0.15476191 0.872093 0.91162795 0.9883721
41 0.17073171 0.2902439 0.34146342 1.0 80.3 85.0 0.085365854 0.10927476 0.15294118 0.872093 0.9116279 0.9883721
42 0.1904762 0.2857143 0.33333334 1.0 81.0 85.0 0.084337346 0.1095676 0.15294118 0.8604651 0.91279066 0.9883721
43 0.18604651 0.28139538 0.3488372 1.0 81.6 87.0 0.0945946 0.10990421 0.14942528 0.8604651 0.9139534 0.9883721
44 0.18181819 0.27727273 0.3409091 1.0 81.9 87.0 0.093333334 0.11074078 0.14942528 0.8604651 0.9116279 0.9883721
45 0.2 0.28000003 0.35555556 1.0 82.3 87.0 0.093333334 0.11260091 0.14942528 0.8604651 0.91279066 0.9883721
46 0.19565217 0.27826086 0.3478261 1.0 82.7 87.0 0.093333334 0.11087789 0.13793103 0.872093 0.916279 0.9883721
47 0.19148937 0.27872342 0.34042552 1.0 83.1 87.0 0.093333334 0.11268345 0.14942528 0.872093 0.91744184 0.9883721
48 0.20833333 0.27916667 0.35416666 1.0 83.6 87.0 0.093333334 0.11561117 0.14942528 0.872093 0.91860455 0.9883721
49 0.20408164 0.277551 0.3469388 1.0 84.2 87.0 0.093023255 0.117334425 0.14942528 0.872093 0.91860455 0.9883721
50 0.2 0.276 0.34 1.0 84.7 88.0 0.09195402 0.117853925 0.14772727 0.872093 0.92209303 0.9883721
51 0.19607843 0.2764706 0.3529412 1.0 85.1 88.0 0.09090909 0.11842649 0.1590909 0.872093 0.92325574 0.9883721
52 0.1923077 0.27307695 0.34615386 1.0 85.6 89.0 0.08988764 0.12113905 0.16853933 0.872093 0.92558134 0.9883721
53 0.18867925 0.2735849 0.33962265 1.0 85.8 89.0 0.08988764 0.12085444 0.16853933 0.872093 0.92209303 0.9883721
54 0.18518518 0.27037036 0.33333334 1.0 86.0 89.0 0.07865169 0.11944015 0.16853933 0.872093 0.9197675 0.9883721
55 0.18181819 0.26909092 0.3272727 1.0 86.6 90.0 0.08888889 0.12087618 0.16853933 0.872093 0.9197675 0.9883721
56 0.17857143 0.26785713 0.32142857 1.0 86.8 91.0 0.08791209 0.12062869 0.16853933 0.872093 0.91744184 0.9883721
57 0.19298245 0.26842102 0.33333334 1.0 87.3 91.0 0.08791209 0.11998638 0.16853933 0.872093 0.916279 0.9883721
58 0.18965517 0.26896554 0.3448276 1.0 87.7 91.0 0.08791209 0.12173939 0.16666667 0.872093 0.916279 0.9883721
59 0.20338982 0.26949152 0.33898306 1.0 88.0 91.0 0.08791209 0.12244339 0.16666667 0.872093 0.9186047 0.9883721
60 0.2 0.275 0.35 1.0 88.3 91.0 0.08791209 0.12195613 0.16666667 0.872093 0.9186047 0.9883721
61 0.19672132 0.27213115 0.3442623 1.0 88.5 91.0 0.09411765 0.12275984 0.16483517 0.872093 0.91744196 0.9883721
62 0.19354838 0.27741936 0.33870968 1.0 88.8 91.0 0.09756097 0.12352677 0.16483517 0.872093 0.9186047 0.9883721
63 0.1904762 0.27777776 0.34920636 1.0 89.1 92.0 0.084337346 0.12188683 0.16483517 0.872093 0.9197675 0.9883721
64 0.1875 0.278125 0.34375 1.0 89.2 92.0 0.084337346 0.12169571 0.17391305 0.872093 0.9186047 0.9883721
65 0.2 0.27692312 0.33846155 1.0 89.4 93.0 0.084337346 0.12365719 0.17391305 0.872093 0.91744196 0.9883721
