rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.10929294 0.11111111 0.8372093 0.8883721 0.95348835
2 0.0 0.2 0.5 1.0 55.6 56.0 0.10714286 0.10792208 0.10909091 0.8372093 0.8883721 0.95348835
3 0.0 0.2 0.6666667 1.0 56.6 57.0 0.10526316 0.11130953 0.125 0.8372093 0.88953495 0.95348835
4 0.0 0.275 0.5 1.0 57.2 58.0 0.10344828 0.11018386 0.125 0.8372093 0.88953495 0.95348835
5 0.0 0.3 0.6 1.0 58.1 59.0 0.10169491 0.11015359 0.12280702 0.8372093 0.88953495 0.95348835
6 0.0 0.3 0.5 1.0 59.1 60.0 0.1 0.10835282 0.12068965 0.8372093 0.89069766 0.95348835
7 0.0 0.31428576 0.5714286 1.0 60.0 61.0 0.09836066 0.108363256 0.13114753 0.8604651 0.89418614 0.95348835
8 0.0 0.3125 0.625 1.0 60.8 62.0 0.09677419 0.10857509 0.12903225 0.8604651 0.89418614 0.95348835
9 0.0 0.34444445 0.6666667 1.0 61.2 63.0 0.0952381 0.11109845 0.14285715 0.8604651 0.89418614 0.95348835
10 0.0 0.34 0.6 1.0 62.2 64.0 0.09375 0.1125347 0.15625 0.8604651 0.89767444 0.95348835
11 0.09090909 0.34545454 0.54545456 1.0 62.8 65.0 0.09375 0.11294149 0.15384616 0.8604651 0.89534885 0.95348835
12 0.083333336 0.34166664 0.5 1.0 63.6 66.0 0.09090909 0.11316172 0.15151516 0.8604651 0.89534885 0.95348835
13 0.07692308 0.33076924 0.53846157 1.0 64.4 67.0 0.08955224 0.11184056 0.14925373 0.8372093 0.8918605 0.95348835
14 0.071428575 0.32857144 0.5 1.0 65.0 68.0 0.08955224 0.110820316 0.14705883 0.8372093 0.8930233 0.95348835
15 0.06666667 0.32666665 0.53333336 1.0 65.8 69.0 0.0882353 0.111001834 0.15625 0.8372093 0.8930233 0.95348835
16 0.0625 0.31875 0.5 1.0 66.6 70.0 0.08695652 0.11409195 0.15714286 0.8372093 0.8930233 0.95348835
17 0.05882353 0.31176472 0.5294118 1.0 66.9 70.0 0.08695652 0.11359843 0.15714286 0.8372093 0.89534885 0.95348835
18 0.055555556 0.30555558 0.5 1.0 67.6 71.0 0.08571429 0.11241174 0.15492958 0.8372093 0.8965117 0.95348835
19 0.05263158 0.3 0.5263158 1.0 68.4 72.0 0.08571429 0.11103363 0.15277778 0.8372093 0.9011628 0.95348835
20 0.05 0.305 0.55 1.0 68.9 72.0 0.08450704 0.11028681 0.15277778 0.8372093 0.9 0.95348835
21 0.0952381 0.30476192 0.5714286 1.0 69.1 72.0 0.08450704 0.10847694 0.15277778 0.8372093 0.8988372 0.95348835
22 0.09090909 0.3090909 0.54545456 1.0 69.7 73.0 0.08450704 0.110346794 0.15068494 0.8372093 0.9 0.95348835
23 0.08695652 0.29999998 0.5217391 1.0 70.6 73.0 0.08450704 0.11035502 0.15068494 0.8372093 0.90232563 0.95348835
24 0.083333336 0.3 0.5 1.0 71.1 74.0 0.083333336 0.10956927 0.14864865 0.8372093 0.90232563 0.95348835
25 0.12 0.304 0.48 1.0 71.4 74.0 0.08219178 0.10918792 0.14864865 0.8372093 0.90232563 0.95348835
26 0.115384616 0.2923077 0.46153846 1.0 72.3 75.0 0.08108108 0.10779716 0.14666666 0.8372093 0.90232563 0.95348835
