rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.10949495 0.11111111 0.8372093 0.8930233 0.95348835
2 0.0 0.25 0.5 1.0 55.6 56.0 0.10714286 0.10792208 0.10909091 0.8372093 0.89069766 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.6 57.0 0.10526316 0.11130953 0.125 0.8372093 0.8918605 0.95348835
4 0.0 0.3 0.5 1.0 57.2 58.0 0.10344828 0.11018386 0.125 0.8372093 0.8918605 0.95348835
5 0.0 0.3 0.6 1.0 58.2 59.0 0.10169491 0.108246945 0.12068965 0.8372093 0.8918605 0.95348835
6 0.0 0.3 0.5 1.0 59.1 60.0 0.1 0.10668615 0.12068965 0.8372093 0.8930233 0.95348835
7 0.0 0.3 0.42857143 1.0 60.1 61.0 0.09836066 0.10652617 0.118644066 0.8488372 0.89418614 0.95348835
8 0.0 0.3 0.5 1.0 60.7 62.0 0.09677419 0.10712085 0.11666667 0.8488372 0.89418614 0.95348835
9 0.0 0.33333334 0.5555556 1.0 61.1 63.0 0.0952381 0.10966476 0.13114753 0.8488372 0.89418614 0.95348835
10 0.0 0.33 0.6 1.0 62.1 64.0 0.09375 0.111121014 0.140625 0.8488372 0.89767444 0.95348835
11 0.09090909 0.33636364 0.54545456 1.0 62.7 65.0 0.09375 0.11155184 0.14285715 0.8488372 0.8953489 0.95348835
12 0.083333336 0.3333333 0.5 1.0 63.4 66.0 0.092307694 0.11193524 0.14285715 0.8488372 0.8953489 0.95348835
13 0.07692308 0.33076924 0.53846157 1.0 64.1 66.0 0.09090909 0.11082709 0.14285715 0.8488372 0.8930233 0.95348835
14 0.14285715 0.33571428 0.5 1.0 64.6 67.0 0.09090909 0.108524516 0.14285715 0.8488372 0.89534885 0.95348835
15 0.13333334 0.33333334 0.53333336 1.0 65.1 68.0 0.08955224 0.11077676 0.15625 0.8488372 0.89534885 0.95348835
16 0.125 0.325 0.5 1.0 65.9 69.0 0.0882353 0.11390352 0.15384616 0.8488372 0.89534885 0.95348835
17 0.11764706 0.32352942 0.5294118 1.0 66.2 69.0 0.0882353 0.11497959 0.15384616 0.8604651 0.89651155 0.95348835
18 0.11111111 0.31666666 0.5 1.0 66.9 70.0 0.08695652 0.11376186 0.15384616 0.8604651 0.89651155 0.95348835
19 0.10526316 0.3105263 0.5263158 1.0 67.7 71.0 0.08695652 0.11236195 0.15151516 0.8604651 0.8988372 0.95348835
20 0.1 0.315 0.5 1.0 68.2 71.0 0.08571429 0.11155264 0.15151516 0.8604651 0.8988372 0.95348835
21 0.0952381 0.3142857 0.52380955 1.0 68.3 71.0 0.08571429 0.10983397 0.13432837 0.8604651 0.8976744 0.95348835
22 0.09090909 0.3181818 0.5 1.0 68.9 72.0 0.08571429 0.11177275 0.13432837 0.8604651 0.8976744 0.95348835
23 0.08695652 0.3043478 0.47826087 1.0 70.0 72.0 0.08450704 0.111431554 0.13043478 0.8604651 0.9 0.95348835
24 0.083333336 0.3 0.45833334 1.0 70.5 73.0 0.083333336 0.11067591 0.13043478 0.8604651 0.9 0.95348835
25 0.08 0.3 0.48 1.0 70.8 74.0 0.08571429 0.11157217 0.13043478 0.8604651 0.9 0.95348835
26 0.07692308 0.29615384 0.46153846 1.0 71.6 75.0 0.08571429 0.11029069 0.12857144 0.8604651 0.9 0.95348835
27 0.074074075 0.2962963 0.4814815 1.0 71.8 75.0 0.08571429 0.109933555 0.1388889 0.8604651 0.9 0.95348835
28 0.071428575 0.29285714 0.4642857 1.0 72.5 76.0 0.08450704 0.11160581 0.1369863 0.8488372 0.8976744 0.94186044
29 0.06896552 0.2862069 0.4827586 1.0 73.3 77.0 0.083333336 0.11164985 0.14285715 0.8488372 0.8965117 0.94186044
30 0.1 0.29333335 0.46666667 1.0 73.8 77.0 0.083333336 0.110953316 0.14285715 0.8488372 0.8965117 0.94186044
31 0.09677419 0.29677418 0.4516129 1.0 74.1 77.0 0.083333336 0.11192717 0.14285715 0.8488372 0.8965117 0.94186044
32 0.09375 0.296875 0.4375 1.0 74.8 78.0 0.083333336 0.11478543 0.15384616 0.8488372 0.8988372 0.94186044
33 0.121212125 0.2969697 0.42424244 1.0 75.1 78.0 0.083333336 0.11436602 0.15384616 0.8488372 0.89418614 0.94186044
34 0.11764706 0.3 0.44117647 1.0 75.5 80.0 0.083333336 0.11507143 0.15 0.8488372 0.8906978 0.94186044
35 0.114285715 0.30285713 0.42857143 1.0 75.9 81.0 0.083333336 0.11572126 0.15789473 0.8488372 0.88953495 0.94186044
36 0.11111111 0.3027778 0.41666666 1.0 76.4 82.0 0.088607594 0.11634064 0.15789473 0.8488372 0.89418614 0.94186044
37 0.10810811 0.3 0.4054054 1.0 76.6 83.0 0.088607594 0.11467765 0.14473684 0.872093 0.89767456 0.94186044
38 0.10526316 0.3 0.42105263 1.0 77.0 83.0 0.088607594 0.11534502 0.15662651 0.872093 0.89651173 0.94186044
39 0.102564104 0.30256408 0.41025642 1.0 77.4 83.0 0.0875 0.11474955 0.15662651 0.872093 0.89883727 0.94186044
40 0.1 0.3075 0.425 1.0 77.8 83.0 0.0875 0.11413739 0.15662651 0.872093 0.9 0.94186044
41 0.09756097 0.3097561 0.4390244 1.0 78.3 84.0 0.0875 0.114635624 0.15476191 0.872093 0.9 0.94186044
42 0.11904762 0.30476192 0.42857143 1.0 79.0 84.0 0.086419754 0.11627562 0.15476191 0.872093 0.9023255 0.94186044
43 0.13953489 0.3023256 0.41860464 1.0 79.5 85.0 0.0875 0.11670934 0.15294118 0.872093 0.90348834 0.94186044
44 0.1590909 0.29999998 0.4318182 1.0 79.9 85.0 0.09756097 0.119957104 0.15294118 0.8604651 0.90232563 0.94186044
45 0.17777778 0.3044445 0.42222223 1.0 80.2 86.0 0.09756097 0.1219247 0.16049382 0.8604651 0.89767444 0.94186044
46 0.17391305 0.3021739 0.41304347 1.0 80.6 86.0 0.09756097 0.121345736 0.15853658 0.8604651 0.89883727 0.94186044
47 0.17021276 0.3 0.40425533 1.0 80.9 86.0 0.09638554 0.12339077 0.15853658 0.8604651 0.89767444 0.95348835
48 0.1875 0.29999998 0.41666666 1.0 81.4 86.0 0.09638554 0.12509282 0.15853658 0.8604651 0.8965117 0.95348835
49 0.18367347 0.29591832 0.42857143 1.0 82.0 86.0 0.0952381 0.12676024 0.15853658 0.8604651 0.8965117 0.95348835
50 0.18 0.296 0.44 1.0 82.5 87.0 0.09411765 0.12603356 0.15853658 0.8604651 0.8965117 0.95348835
51 0.19607843 0.3 0.4509804 1.0 82.8 87.0 0.09411765 0.12441051 0.15853658 0.8604651 0.8965117 0.95348835
52 0.1923077 0.29807693 0.44230768 1.0 83.3 88.0 0.093023255 0.124838874 0.15853658 0.8604651 0.8988372 0.95348835
53 0.18867925 0.29999998 0.4528302 1.0 83.7 88.0 0.09195402 0.12432983 0.15853658 0.8604651 0.8988372 0.95348835
54 0.18518518 0.29814816 0.44444445 1.0 83.9 88.0 0.09195402 0.12038646 0.15853658 0.8604651 0.8988372 0.95348835
55 0.2 0.29636365 0.43636364 1.0 84.6 88.0 0.09411765 0.121672645 0.15662651 0.8604651 0.8976744 0.95348835
56 0.19642857 0.29642856 0.42857143 1.0 84.9 89.0 0.093023255 0.122452304 0.16666667 0.8604651 0.89418614 0.95348835
