rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.6 55.0 0.10909091 0.109899 0.11111111 0.8372093 0.88720924 0.95348835
2 0.0 0.25 0.5 1.0 55.2 56.0 0.10714286 0.10870852 0.11111111 0.8372093 0.8848837 0.95348835
3 0.0 0.26666665 0.6666667 1.0 56.1 57.0 0.10526316 0.11232571 0.125 0.8372093 0.8860464 0.95348835
4 0.0 0.3 0.75 1.0 56.9 58.0 0.10344828 0.11252628 0.14035088 0.8372093 0.8860464 0.95348835
5 0.0 0.3 0.6 1.0 57.8 59.0 0.10169491 0.110750355 0.13793103 0.8372093 0.8860464 0.95348835
6 0.0 0.3 0.5 1.0 58.8 60.0 0.1 0.10893762 0.13559322 0.8372093 0.88720924 0.95348835
7 0.0 0.28571433 0.5714286 1.0 59.6 61.0 0.09836066 0.10908568 0.13559322 0.8372093 0.88488376 0.95348835
8 0.0 0.3 0.5 1.0 60.1 62.0 0.09677419 0.10983781 0.13333334 0.8372093 0.88488376 0.95348835
9 0.0 0.31111112 0.5555556 1.0 60.8 63.0 0.0952381 0.110205926 0.13333334 0.8372093 0.88488376 0.95348835
10 0.1 0.32 0.5 1.0 61.6 64.0 0.0952381 0.111952245 0.140625 0.8372093 0.8883721 0.95348835
11 0.09090909 0.3272727 0.54545456 1.0 62.1 64.0 0.09375 0.11262312 0.14516129 0.8372093 0.89069766 0.95348835
12 0.083333336 0.32500002 0.5833333 1.0 62.8 65.0 0.092307694 0.112994924 0.14516129 0.8372093 0.89069766 0.95348835
13 0.15384616 0.33076924 0.53846157 1.0 63.5 65.0 0.092307694 0.1118538 0.14516129 0.8372093 0.88953495 0.95348835
14 0.14285715 0.3357143 0.5714286 1.0 64.0 65.0 0.092307694 0.109477974 0.14516129 0.8372093 0.8918605 0.95348835
15 0.13333334 0.33333334 0.6 1.0 64.6 66.0 0.09090909 0.108479045 0.14516129 0.8372093 0.8918605 0.95348835
16 0.125 0.3375 0.625 1.0 65.1 67.0 0.08955224 0.11068618 0.14516129 0.8372093 0.8918605 0.95348835
17 0.11764706 0.33529416 0.64705884 1.0 65.4 67.0 0.08955224 0.11170292 0.14285715 0.8372093 0.89069766 0.95348835
18 0.11111111 0.3222222 0.6111111 1.0 65.9 68.0 0.0882353 0.110902116 0.14516129 0.8372093 0.88953495 0.94186044
19 0.10526316 0.31578946 0.6315789 1.0 66.3 68.0 0.0882353 0.110174194 0.14285715 0.8372093 0.8872093 0.94186044
20 0.1 0.31999996 0.65 1.0 66.6 69.0 0.08695652 0.109753765 0.14285715 0.8255814 0.88488376 0.94186044
21 0.14285715 0.32857144 0.6666667 1.0 66.8 69.0 0.08695652 0.10782323 0.13235295 0.8255814 0.88488376 0.94186044
22 0.13636364 0.3318182 0.6363636 1.0 67.4 70.0 0.08695652 0.10825125 0.13043478 0.8372093 0.8872093 0.94186044
23 0.13043478 0.31739125 0.6086956 1.0 68.5 71.0 0.08695652 0.10796992 0.13043478 0.8372093 0.8872093 0.94186044
